symbol,bar_date,p_open,p_high,p_low,p_close,p_vol,a_open,a_high,a_low,a_close,a_vol,d_open,d_high,d_low,d_close,d_vol
INM,2024-12-30,4.74,4.74,4.46,4.59,9520.0,4.74,4.74,4.46,4.59,9520.0,0.0,0.0,0.0,0.0,0.0
BCS,2024-12-05,13.6,13.705,13.57,13.6,9431415.0,13.6,13.705,13.57,13.6,9431415.0,0.0,0.0,0.0,0.0,0.0
SSL,2024-12-27,4.5,4.54,4.38,4.5,1205840.0,4.5,4.54,4.38,4.5,1205840.0,0.0,0.0,0.0,0.0,0.0
AMTX,2024-12-31,2.82,2.9,2.64,2.69,728931.0,2.82,2.9,2.64,2.69,728931.0,0.0,0.0,0.0,0.0,0.0
TPET,2024-12-31,1.33,1.33,1.06,1.21,4056505.0,1.33,1.33,1.06,1.21,4056505.0,0.0,0.0,0.0,0.0,0.0
BMN,2024-12-30,25.7,25.79,25.45,25.46,30129.0,25.7,25.79,25.45,25.46,30129.0,0.0,0.0,0.0,0.0,0.0
RZLV,2024-11-22,1.64,1.85,1.57,1.82,2645118.0,1.64,1.85,1.57,1.82,2645118.0,0.0,0.0,0.0,0.0,0.0
COGT,2024-12-31,7.78,7.82,7.39,7.8,1698682.0,7.78,7.82,7.39,7.8,1698682.0,0.0,0.0,0.0,0.0,0.0
RMCO,2024-12-31,1.05,1.05,0.998,0.998,17413.0,1.05,1.05,0.998,0.998,17413.0,0.0,0.0,0.0,0.0,0.0
PSCH,2024-12-31,44.57,44.81,44.26,44.29,20546.0,44.57,44.81,44.26,44.29,20546.0,0.0,0.0,0.0,0.0,0.0
SCHB,2024-12-30,22.76,22.91,22.615,22.78,3709154.0,22.76,22.91,22.615,22.78,3709154.0,0.0,0.0,0.0,0.0,0.0
GINX,2024-12-30,25.59,25.7699,25.59,25.7,30568.0,25.59,25.7699,25.59,25.7,30568.0,0.0,0.0,0.0,0.0,0.0
NVBW,2024-12-30,30.947,31.06,30.947,31.0004,2059.0,30.947,31.06,30.947,31.0004,2059.0,0.0,0.0,0.0,0.0,0.0
BMRA,2024-12-27,0.31,0.3229,0.3001,0.3154,162385.0,0.31,0.3229,0.3001,0.3154,162385.0,0.0,0.0,0.0,0.0,0.0
PJP,2024-12-31,82.29,82.6263,82.1,82.6202,17924.0,82.29,82.6263,82.1,82.6202,17924.0,0.0,0.0,0.0,0.0,0.0
AXTI,2024-12-31,2.19,2.2489,2.09,2.17,431038.0,2.19,2.2489,2.09,2.17,431038.0,0.0,0.0,0.0,0.0,0.0
DD,2024-12-31,76.19,76.64,75.79,76.25,1254748.0,76.19,76.64,75.79,76.25,1254748.0,0.0,0.0,0.0,0.0,0.0
SSL,2024-12-06,5.08,5.09,4.91,4.97,981289.0,5.08,5.09,4.91,4.97,981289.0,0.0,0.0,0.0,0.0,0.0
EOLS,2024-11-11,13.74,13.88,12.97,13.12,730962.0,13.74,13.88,12.97,13.12,730962.0,0.0,0.0,0.0,0.0,0.0
ASPN,2024-11-27,14.5,14.96,14.3,14.48,1322000.0,14.5,14.96,14.3,14.48,1322000.0,0.0,0.0,0.0,0.0,0.0
GD,2024-12-30,263.19,265.11,261.06,263.38,1550288.0,263.19,265.11,261.06,263.38,1550288.0,0.0,0.0,0.0,0.0,0.0
GLD,2024-12-31,241.05,242.52,241.05,242.13,2522102.0,241.05,242.52,241.05,242.13,2522102.0,0.0,0.0,0.0,0.0,0.0
BAK,2024-12-11,5.05,5.195,4.95,5.08,1284902.0,5.05,5.195,4.95,5.08,1284902.0,0.0,0.0,0.0,0.0,0.0
TARK,2024-12-30,45.69,45.8921,43.64,44.95,58306.0,45.69,45.8921,43.64,44.95,58306.0,0.0,0.0,0.0,0.0,0.0
ATO,2024-12-30,138.67,139.48,137.66,138.93,567652.0,138.67,139.48,137.66,138.93,567652.0,0.0,0.0,0.0,0.0,0.0
BAND,2024-12-31,17.01,17.39,16.9,17.02,280765.0,17.01,17.39,16.9,17.02,280765.0,0.0,0.0,0.0,0.0,0.0
VSAT,2024-12-20,8.44,9.09,8.4,8.79,4920705.0,8.44,9.09,8.4,8.79,4920705.0,0.0,0.0,0.0,0.0,0.0
CBLL,2024-12-31,25.88,26.42,25.05,25.88,137983.0,25.88,26.42,25.05,25.88,137983.0,0.0,0.0,0.0,0.0,0.0
CPRT,2024-12-30,58.15,58.2599,57.185,58.13,4803974.0,58.15,58.2599,57.185,58.13,4803974.0,0.0,0.0,0.0,0.0,0.0
VKQ,2024-12-31,9.67,9.83,9.64,9.81,326197.0,9.67,9.83,9.64,9.81,326197.0,0.0,0.0,0.0,0.0,0.0
PYPD,2024-12-30,2.82,3.25,2.62,3.15,242947.0,2.82,3.25,2.62,3.15,242947.0,0.0,0.0,0.0,0.0,0.0
LUNR,2024-12-17,12.89,14.105,12.67,13.89,14294788.0,12.89,14.105,12.67,13.89,14294788.0,0.0,0.0,0.0,0.0,0.0
AGNCO,2024-12-31,25.04,25.45,25.04,25.44,332392.0,25.04,25.45,25.04,25.44,332392.0,0.0,0.0,0.0,0.0,0.0
AMKR,2024-12-31,25.87,26.035,25.51,25.69,931671.0,25.87,26.035,25.51,25.69,931671.0,0.0,0.0,0.0,0.0,0.0
LJUL,2024-12-30,23.9977,23.9977,23.9977,23.9977,0.0,23.995,23.995,23.995,23.995,0.0,0.011252344238377177,0.011252344238377177,0.011252344238377177,0.011252344238377177,
IJK,2024-12-30,91.11,91.54,90.08,91.07,352104.0,91.11,91.54,90.08,91.07,352104.0,0.0,0.0,0.0,0.0,0.0
NVDQ,2024-12-19,3.65,3.7799,3.515,3.71,58494671.0,3.65,3.7799,3.515,3.71,58494671.0,0.0,0.0,0.0,0.0,0.0
