cell,split,p_adj
K2_h10_n10,TRAIN,0.762
K2_h10_n20,TRAIN,0.8014
K2_h5_n10,TRAIN,0.9766
K2_h5_n20,TRAIN,0.9682
K2_h10_n10,VAL,0.8444
K2_h10_n20,VAL,0.4128
K2_h5_n10,VAL,0.9334
K2_h5_n20,VAL,0.9222
