symbol,date,ratr,ratr_tier
APM,2025-01-02,1.0790831613289837,wide
ATCH,2025-01-02,90.06497993583402,wide
CALY,2025-01-02,1.2002443972729253,wide
ETHT,2025-01-02,0.2427371197841306,narrow
ETHU,2025-01-02,0.2719085878250241,narrow
GRRR,2025-01-02,0.45373947460286623,normal
HOLO,2025-01-02,0.6464358976299879,wide
ICG,2025-01-02,0.13920384734432906,narrow
INTZ,2025-01-02,0.5848172319778996,normal
IVDA,2025-01-02,0.7747835501192769,wide
KULR,2025-01-02,0.19560639128066323,narrow
LAES,2025-01-02,0.32087811025620055,normal
MLGO,2025-01-02,,unknown
MSTU,2025-01-02,0.014984147335295897,narrow
NUAI,2025-01-02,0.7412650545707662,wide
OST,2025-01-02,,unknown
PONY,2025-01-02,,unknown
RGTI,2025-01-02,0.17747984762464628,narrow
RGTIW,2025-01-02,0.26046073331952485,narrow
SATL,2025-01-02,,unknown
SPCB,2025-01-02,1.2430788805852977,wide
TSLQ,2025-01-02,0.5042066510710863,normal
U,2025-01-02,0.7154378463783986,wide
XPON,2025-01-02,4.0011065559422,wide
ZVIA,2025-01-02,0.8297867224905173,wide
CRNC,2025-01-03,1.75164405303828,wide
KC,2025-01-03,0.40942120953670086,normal
KORU,2025-01-03,0.16406494960806053,narrow
MNSO,2025-01-03,0.6415056178514277,wide
ONDS,2025-01-03,0.5712634969089655,normal
QSI,2025-01-03,1.1509226738027536,wide
RGP,2025-01-03,,unknown
SIDU,2025-01-03,0.06845241646450184,narrow
SPCB,2025-01-03,1.65810734681615,wide
ZYME,2025-01-03,,unknown
ALLT,2025-01-06,0.6964809384164227,wide
AMDL,2025-01-06,0.457817879767577,normal
AMPG,2025-01-06,0.24344576197626455,narrow
AMPX,2025-01-06,1.0078106500552306,wide
ARBE,2025-01-06,4.808866821377588,wide
ASAN,2025-01-06,,unknown
ASPN,2025-01-06,0.7877618336334024,wide
CMTL,2025-01-06,0.6678677707642685,wide
CPRI,2025-01-06,0.781353585097038,wide
CRNC,2025-01-06,2.729824494399656,wide
DFNS,2025-01-06,0.06723782511033141,narrow
FUBO,2025-01-06,7.312409452031612,wide
GXAI,2025-01-06,,unknown
IDAI,2025-01-06,4.028106164041426,wide
KITT,2025-01-06,1.5438390839445801,wide
KORU,2025-01-06,0.17615187749826755,narrow
KTOS,2025-01-06,1.0440664478265205,wide
KULR,2025-01-06,0.45389536569997907,normal
LAES,2025-01-06,0.3908794253345359,normal
LCID,2025-01-06,,unknown
LTBR,2025-01-06,,unknown
MP,2025-01-06,0.6888251580961713,wide
MSTU,2025-01-06,0.04375931739703051,narrow
NUAI,2025-01-06,0.13372218896855573,narrow
NVDX,2025-01-06,0.25651877011425367,narrow
ONDS,2025-01-06,0.3718135776455004,normal
OPTX,2025-01-06,0.110884079843405,narrow
OSCR,2025-01-06,,unknown
PATH,2025-01-06,0.6983006501594001,wide
PBYI,2025-01-06,1.0673424109983434,wide
PDYN,2025-01-06,0.2591574675547505,narrow
PPTA,2025-01-06,0.7901221740909882,wide
PTLE,2025-01-06,0.5797564384108607,normal
QS,2025-01-06,0.9318129484871598,wide
RR,2025-01-06,,unknown
SEDG,2025-01-06,0.7801896561546672,wide
SERV,2025-01-06,1.1940785832433847,wide
SKYT,2025-01-06,0.6514590013000356,wide
SMR,2025-01-06,0.39796160836158934,normal
SOWG,2025-01-06,,unknown
STM,2025-01-06,0.39522325482502746,normal
SYM,2025-01-06,,unknown
TSLL,2025-01-06,0.20110340252283415,narrow
UNG,2025-01-06,0.09384975497388676,narrow
VECO,2025-01-06,0.708876560571674,wide
VUZI,2025-01-06,0.6220904665081151,wide
WOLF,2025-01-06,0.556161199921626,normal
ARBE,2025-01-07,1.2896213406667443,wide
AUR,2025-01-07,1.556384469471976,wide
BMEA,2025-01-07,,unknown
DHT,2025-01-07,0.7597722960151764,wide
ENVX,2025-01-07,1.6568312049185976,wide
FRO,2025-01-07,0.712383898443416,wide
FUBO,2025-01-07,1.8043424968647863,wide
GETY,2025-01-07,2.5401500746978116,wide
IMRX,2025-01-07,,unknown
MOB,2025-01-07,0.298916398217519,narrow
MSAI,2025-01-07,,unknown
MSTZ,2025-01-07,0.11499828384798266,narrow
MUU,2025-01-07,0.2613665919568686,narrow
NRXP,2025-01-07,0.7104842545975113,wide
NVNI,2025-01-07,,unknown
PBYI,2025-01-07,0.7713119821105235,wide
SATL,2025-01-07,,unknown
SMST,2025-01-07,0.15046801208450497,narrow
ZENA,2025-01-07,,unknown
ABSI,2025-01-08,1.203712157166075,wide
ANGO,2025-01-08,2.055091096825766,wide
SANA,2025-01-08,7.446319839468946,wide
SLDB,2025-01-08,,unknown
VIR,2025-01-08,3.4028061808304573,wide
AIV,2025-01-10,1.1760822435135339,wide
AMPX,2025-01-10,0.30610600786458303,normal
API,2025-01-10,0.8199149094574009,wide
ARHS,2025-01-10,,unknown
BAER,2025-01-10,,unknown
BCRX,2025-01-10,,unknown
CDZI,2025-01-10,1.4878857991007122,wide
CPRI,2025-01-10,0.7728414094882878,wide
DHT,2025-01-10,0.3988491429531016,normal
FRO,2025-01-10,0.7765988921433246,wide
FUBO,2025-01-10,0.9541863132407288,wide
GFI,2025-01-10,,unknown
GOGL,2025-01-10,,unknown
HAFN,2025-01-10,0.6358695841384201,wide
HMY,2025-01-10,0.4495626792953247,normal
INDO,2025-01-10,1.0883717304019034,wide
KITT,2025-01-10,0.2244109844094388,narrow
LABD,2025-01-10,0.2569580282240189,narrow
LAES,2025-01-10,0.3577317310380604,normal
MYSE,2025-01-10,0.23001574800004765,narrow
PENG,2025-01-10,,unknown
PRM,2025-01-10,0.28703953067557175,narrow
RPRX,2025-01-10,1.011584953983068,wide
SANA,2025-01-10,0.7357669144931114,wide
UCO,2025-01-10,,unknown
UNG,2025-01-10,0.08864875614802185,narrow
UVIX,2025-01-10,0.2051782975793682,narrow
UVXY,2025-01-10,0.20144329187603588,narrow
WKEY,2025-01-10,0.26534380291220516,narrow
ZENA,2025-01-10,,unknown
ZNTL,2025-01-10,,unknown
AEO,2025-01-13,,unknown
ARQT,2025-01-13,,unknown
BAER,2025-01-13,,unknown
BTCZ,2025-01-13,0.22825377082108053,narrow
GRRR,2025-01-13,0.2527547999284568,narrow
INTZ,2025-01-13,0.47763791190142574,normal
JELD,2025-01-13,0.7401207101634435,wide
MSTZ,2025-01-13,0.1928805062793249,narrow
MYSE,2025-01-13,0.46305126980541844,normal
NUS,2025-01-13,0.7353400278815694,wide
NVDQ,2025-01-13,0.3439335310978627,normal
NVDS,2025-01-13,,unknown
OPCH,2025-01-13,,unknown
OPFI,2025-01-13,0.7516042276425468,wide
ORIC,2025-01-13,,unknown
SBIT,2025-01-13,0.24917285724383542,narrow
SMST,2025-01-13,0.18909899863905874,narrow
SOXS,2025-01-13,0.27505817317967535,narrow
TSLQ,2025-01-13,0.283050950400046,narrow
TXG,2025-01-13,0.9363514665439401,wide
UVIX,2025-01-13,0.11730983541002603,narrow
UVXY,2025-01-13,0.11866638430724832,narrow
VRME,2025-01-13,0.8375735222678271,wide
ACHR,2025-01-14,0.32741094071428695,normal
ACMR,2025-01-14,1.5913875792029817,wide
AISP,2025-01-14,0.2975782051229605,narrow
AMPX,2025-01-14,0.6380470282612001,wide
APLD,2025-01-14,,unknown
ARBE,2025-01-14,0.2439959361940575,narrow
ATOM,2025-01-14,0.2016790565051033,narrow
AUR,2025-01-14,0.21812547629820517,narrow
BBAI,2025-01-14,0.12692187455594406,narrow
BILI,2025-01-14,,unknown
BTBT,2025-01-14,0.25694449102800637,narrow
BTDR,2025-01-14,0.20178950012672014,narrow
CIFR,2025-01-14,0.2033680085832923,narrow
ETHT,2025-01-14,0.0898364453912677,narrow
ETHU,2025-01-14,0.09332230594720509,narrow
GDS,2025-01-14,,unknown
HIVE,2025-01-14,0.35271543858988946,normal
HSAI,2025-01-14,0.4601177270406869,normal
HUT,2025-01-14,0.2970865735654413,narrow
IREN,2025-01-14,0.25302088529602185,narrow
KC,2025-01-14,0.30100929530149656,normal
LUNR,2025-01-14,0.20876097555389547,narrow
MBLY,2025-01-14,0.2907331344692888,narrow
MSTU,2025-01-14,0.10315735219639185,narrow
NNE,2025-01-14,0.2843933777885733,narrow
NVTS,2025-01-14,0.34457155171083204,normal
OKLO,2025-01-14,0.24207062291435583,narrow
OPFI,2025-01-14,0.6823673103939693,wide
PDYN,2025-01-14,0.19058609730961246,narrow
PLTU,2025-01-14,0.18476256170879804,narrow
POET,2025-01-14,0.15480152120701876,narrow
QBTS,2025-01-14,0.17435887580111545,narrow
QMCO,2025-01-14,0.11593579800772072,narrow
QTRX,2025-01-14,,unknown
QUBT,2025-01-14,0.29913639771203476,narrow
RCAT,2025-01-14,0.20597331623315385,narrow
RGTI,2025-01-14,0.21892290125899477,narrow
RILY,2025-01-14,,unknown
SERV,2025-01-14,0.18858953590343122,narrow
SOUN,2025-01-14,0.2187316680774455,narrow
SPRY,2025-01-14,,unknown
TDOC,2025-01-14,,unknown
TGTX,2025-01-14,1.0064329710519953,wide
TIGR,2025-01-14,,unknown
TSLL,2025-01-14,0.23586922578041358,narrow
UMAC,2025-01-14,0.08708671904262065,narrow
VRME,2025-01-14,0.688886763307519,wide
WGMI,2025-01-14,0.17868842215379763,narrow
WOLF,2025-01-14,0.19464867450144932,narrow
WULF,2025-01-14,0.33001998844041897,normal
XPEV,2025-01-14,0.221164343972772,narrow
YINN,2025-01-14,,unknown
ACHR,2025-01-15,0.2624335102915377,narrow
AIOT,2025-01-15,0.6629737014180243,wide
AMSC,2025-01-15,,unknown
ARQQ,2025-01-15,0.3879768228768022,normal
