symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
FMST,2025-09-02,10:00:00,3.32,3.28,3.40,3012,10:06:00,3.28,stop,-120.48,-1.20,7,0.0400,0.0800,2.00,120.48,4.85,38.71,2,16619,1950,0.1550,3.29,3.32,3.34,3.34,3.34,3.34,3670,3.17,3.35,2.96,3.05,409786,13.18,194780,2.10,,11439587,30,1
PLBL,2025-09-02,14:35:00,9.89,9.84,9.99,1011,14:36:00,9.99,target,101.10,1.01,3,0.0500,0.1000,2.00,50.55,8.11,27.81,2,3492,382,0.7550,9.85,9.89,9.99,10.00,9.99,10.00,395,9.60,10.29,9.30,9.95,25561,10.59,16152,1.58,,12015000,305,1
LFCR,2025-09-04,09:56:00,8.50,8.44,8.62,1176,09:58:00,8.44,stop,-70.56,-0.71,4,0.0600,0.1200,2.00,70.56,10.48,11.11,2,14936,6401,0.8100,8.45,8.50,8.59,8.59,8.59,8.59,732,7.62,8.69,7.47,7.94,325845,16.33,199959,1.63,,19793278,26,1
LUXE,2025-09-04,15:14:00,9.52,9.44,9.67,1050,15:15:00,9.67,target,157.50,1.58,3,0.0750,0.1500,2.00,78.75,3.42,25.40,3,2383,1665,0.3150,9.45,9.52,9.60,9.60,9.60,9.60,298,9.19,9.88,8.73,9.73,157001,13.12,204000,0.77,,18049083,344,1
LAWR,2025-09-08,10:30:00,2.66,2.64,2.70,3759,10:35:00,2.70,target,150.36,1.50,6,0.0200,0.0400,2.00,75.18,3.07,50.00,4,3751,1548,0.0800,2.65,2.66,2.69,2.70,2.65,2.65,6695,2.41,2.72,2.35,2.40,460683,15.87,0,,,18050684,60,1
SBC,2025-09-08,10:30:00,4.46,4.41,4.56,2242,10:37:00,4.56,target,224.20,2.24,5,0.0500,0.1000,2.00,112.10,6.44,11.14,3,2673,761,0.2694,4.42,4.46,4.52,4.60,4.44,4.60,517,4.25,5.07,4.16,4.99,211301,21.88,12652,16.70,,9295523,60,1
WATT,2025-09-08,10:53:00,7.04,6.97,7.18,1420,10:55:00,7.18,target,205.05,2.05,3,0.0722,0.1444,2.00,102.52,6.10,37.12,4,5721,1080,0.4100,6.98,7.04,7.25,7.25,7.25,7.25,758,6.84,9.27,6.72,8.81,205819,37.91,265110,0.78,,1964149,83,1
SBLX,2025-09-09,15:02:00,5.87,5.83,5.95,1703,15:03:00,5.95,target,129.09,1.29,3,0.0379,0.0758,2.00,64.54,4.58,45.53,2,4551,1074,0.2609,5.84,5.87,5.98,5.98,5.98,5.98,1391,6.25,10.56,4.40,6.31,4157272,140.00,29236,142.20,,1365865,332,1
FORA,2025-09-10,11:12:00,2.25,2.22,2.31,4444,11:20:00,2.22,stop,-133.32,-1.33,7,0.0300,0.0600,2.00,133.32,4.67,10.00,3,3605,2030,0.1000,2.23,2.25,2.28,2.28,2.28,2.28,6800,2.12,2.34,2.10,2.32,91195,11.43,10988,8.30,,11599893,102,1
TURB,2025-09-10,15:53:00,2.59,2.56,2.66,3861,15:56:00,2.66,target,270.27,2.70,3,0.0350,0.0700,2.00,135.13,5.69,24.95,2,789,589,0.1399,2.56,2.59,2.67,2.67,2.67,2.67,320,2.63,2.71,2.41,2.70,333064,12.45,3226639,0.10,,13503708,383,1
SPPL,2025-09-11,09:51:00,4.12,4.02,4.32,2427,09:54:00,4.02,stop,-238.09,-2.38,3,0.0981,0.1962,2.00,238.09,8.14,28.42,3,2204,361,0.3100,4.03,4.12,4.08,4.08,4.00,4.00,1006,3.83,4.40,3.74,4.30,58464,17.53,3540,16.52,,4318970,21,1
HUHU,2025-09-12,11:09:00,7.87,7.80,8.01,1270,11:12:00,8.01,target,177.80,1.78,4,0.0700,0.1400,2.00,88.90,6.03,22.22,2,1899,929,0.4500,7.81,7.87,7.95,7.95,7.95,7.95,497,7.08,8.07,7.08,7.93,38395,13.98,2759,13.92,,5349119,99,1
HYPD,2025-09-12,15:09:00,13.29,13.19,13.51,752,15:10:00,13.51,target,160.48,1.61,3,0.1067,0.2134,2.00,80.24,3.95,45.43,2,15772,11426,0.5100,13.20,13.29,13.49,13.70,13.35,13.66,26166,12.36,15.00,10.65,14.98,2504172,40.85,400076,6.26,,6433752,339,1
EFOI,2025-09-15,10:57:00,2.74,2.72,2.78,3649,11:07:00,2.78,target,146.69,1.47,4,0.0201,0.0402,2.00,73.34,10.69,25.89,3,6782,630,0.2704,2.73,2.74,2.80,2.80,2.80,2.80,333,2.42,3.15,2.42,3.11,115764,30.17,47899,2.42,,2349717,87,2
EGAN,2025-09-15,09:38:00,8.83,8.65,9.18,1133,09:46:00,8.65,stop,-199.52,-2.00,8,0.1761,0.3522,2.00,199.52,8.88,23.61,2,4894,945,0.7200,8.66,8.83,8.90,8.90,8.77,8.77,2163,8.11,9.00,8.11,8.93,212738,10.97,150838,1.41,,14978833,8,1
BLNE,2025-09-16,15:07:00,4.07,4.03,4.15,2457,15:16:00,4.03,stop,-98.28,-0.98,11,0.0400,0.0800,2.00,98.28,3.28,30.84,4,14108,1518,0.1297,4.04,4.07,4.08,4.10,4.08,4.09,4946,3.62,4.11,3.30,3.87,4061331,24.55,669697,6.06,,18842063,337,1
HYPD,2025-09-16,10:06:00,12.24,12.11,12.50,816,10:08:00,12.50,target,212.16,2.12,4,0.1300,0.2600,2.00,106.08,3.42,32.10,2,16432,4768,0.4050,12.12,12.24,12.37,12.38,12.25,12.28,4254,12.13,13.36,11.00,11.55,1891016,21.45,400076,4.73,,6433752,36,1
BLNE,2025-09-17,11:21:00,3.70,3.64,3.82,2702,11:26:00,3.82,target,324.24,3.24,7,0.0600,0.1200,2.00,162.12,5.97,33.40,4,12206,1532,0.2096,3.65,3.70,3.70,3.75,3.69,3.71,7917,3.70,4.09,3.45,3.56,2651924,18.55,669697,3.96,,18842063,111,1
FBYD,2025-09-17,10:49:00,12.36,12.16,12.76,809,10:50:00,12.76,target,323.60,3.24,3,0.2000,0.4000,2.00,161.80,7.05,34.57,4,1356,339,0.8100,12.02,12.36,13.18,13.30,13.18,13.30,536,11.49,14.76,11.10,13.84,152445,32.97,28787,5.30,,14837663,79,1
FGI,2025-09-17,15:30:00,7.65,7.60,7.75,1307,15:31:00,7.60,stop,-65.35,-0.65,3,0.0500,0.1000,2.00,65.35,3.10,17.39,2,523,379,0.2300,7.61,7.65,7.86,7.89,7.84,7.86,6622,7.40,8.57,6.88,8.56,581924,24.48,9777,59.52,,523257,360,1
TURB,2025-09-17,14:59:00,11.36,11.26,11.56,880,15:02:00,11.26,stop,-88.00,-0.88,5,0.1000,0.2000,2.00,88.00,3.39,8.11,3,14227,2518,0.3700,11.27,11.36,11.42,11.55,11.42,11.52,16704,9.51,12.38,8.54,11.27,4353517,44.94,3226639,1.35,,13503708,329,1
APVO,2025-09-18,10:01:00,2.28,2.24,2.36,4386,10:06:00,2.24,stop,-175.00,-1.75,7,0.0399,0.0798,2.00,175.00,4.55,50.00,2,235854,147154,0.1000,2.25,2.28,2.29,2.30,2.28,2.29,232204,2.51,2.55,1.77,1.98,115351516,44.07,33770,3415.80,,935437,31,1
HYPD,2025-09-18,10:50:00,13.50,13.30,13.90,740,10:51:00,13.30,stop,-148.00,-1.48,3,0.2000,0.4000,2.00,148.00,3.93,41.31,2,10945,7566,0.5100,13.29,13.50,13.55,13.67,13.55,13.67,3857,12.60,13.71,11.75,12.28,1458062,16.68,400076,3.64,,6433752,80,1
OWLT,2025-09-18,10:37:00,8.20,8.11,8.38,1219,10:41:00,8.11,stop,-109.71,-1.10,3,0.0900,0.1800,2.00,109.71,3.65,37.93,2,2545,401,0.2900,8.12,8.20,8.30,8.30,8.30,8.30,220,7.56,8.32,7.56,8.18,80558,10.05,537774,0.15,,15809005,67,1
DBGI,2025-09-19,15:26:00,7.62,7.44,7.98,1312,15:29:00,7.98,target,472.32,4.72,4,0.1800,0.3600,2.00,236.16,7.92,28.33,3,3305,1416,0.5581,7.45,7.62,7.79,7.79,7.78,7.79,600,8.69,8.99,7.01,8.51,274736,28.25,964927,0.28,,6326930,356,1
LICN,2025-09-19,11:12:00,5.19,5.08,5.41,1926,11:57:00,5.08,stop,-211.86,-2.12,15,0.1100,0.2200,2.00,211.86,4.85,41.67,2,4340,1606,0.2400,5.09,5.19,5.46,5.46,5.46,5.46,1616,4.68,5.60,4.60,4.75,117102,21.74,2728,42.93,,756690,102,1
QMCO,2025-09-19,10:16:00,9.96,9.88,10.13,1004,10:17:00,10.13,target,170.08,1.70,3,0.0847,0.1694,2.00,85.04,6.50,17.16,2,59898,47529,0.6100,9.89,9.96,10.04,10.18,10.03,10.13,87112,8.70,12.69,8.53,11.88,22217533,48.74,205922,107.89,,14364591,46,1
WKEY,2025-09-19,10:51:00,6.24,6.14,6.44,1603,14:48:00,6.44,target,321.56,3.22,78,0.1003,0.2006,2.00,160.78,5.03,38.30,5,12251,851,0.3000,6.15,6.24,6.33,6.33,6.33,6.33,610,6.08,6.60,5.96,6.46,288627,10.74,72042,4.01,,3920317,81,1
SPCB,2025-09-22,09:49:00,12.53,12.41,12.77,798,09:54:00,12.77,target,192.32,1.92,7,0.1205,0.2410,2.00,96.16,3.95,43.74,2,4784,955,0.4799,12.42,12.53,12.68,12.77,12.68,12.71,5012,11.93,13.20,11.89,12.78,362160,11.02,54559,6.64,,4441995,19,1
USGO,2025-09-22,09:55:00,10.68,10.48,11.08,936,09:56:00,10.48,stop,-187.20,-1.87,3,0.2000,0.4000,2.00,187.20,6.47,41.30,2,2845,1802,0.6474,10.39,10.68,10.75,10.75,10.60,10.73,1377,9.82,12.40,9.69,11.80,444364,27.97,185366,2.40,,2850817,25,1
EAF,2025-09-23,09:45:00,13.25,13.05,13.65,754,09:55:00,13.65,target,301.60,3.02,9,0.2000,0.4000,2.00,150.80,5.41,20.95,2,1361,666,0.6717,12.94,13.25,13.13,13.17,13.13,13.17,3384,12.97,14.10,12.41,13.50,306632,13.62,324826,0.94,,17992485,15,1
ATRA,2025-09-24,09:57:00,14.00,13.80,14.40,714,09:58:00,14.40,target,285.60,2.86,3,0.2000,0.4000,2.00,142.80,7.25,12.37,4,3978,1468,0.9300,13.63,14.00,14.20,14.30,14.11,14.28,3024,13.00,14.91,12.82,14.26,198399,16.27,171922,1.15,,4632720,27,2
DBGI,2025-09-24,11:11:00,6.38,6.33,6.48,1567,11:12:00,6.48,target,156.70,1.57,3,0.0500,0.1000,2.00,78.35,5.73,36.45,2,14956,11257,0.3503,6.34,6.38,6.50,6.50,6.37,6.37,9186,4.80,6.99,4.73,6.90,4109365,47.78,964927,4.26,,6326930,101,1
FGI,2025-09-24,15:18:00,6.96,6.77,7.34,1436,16:00:00,7.00,eod,57.44,0.57,9,0.1900,0.3800,2.00,272.84,10.63,28.36,3,2866,553,0.6700,6.78,6.96,7.00,7.05,6.99,7.05,1948,7.31,7.49,6.30,7.00,55366,18.89,9777,5.66,,523257,348,1
BLNE,2025-09-25,09:55:00,4.15,4.08,4.29,2409,10:25:00,4.29,target,334.85,3.35,30,0.0695,0.1390,2.00,167.43,4.76,47.11,2,16523,429,0.1900,4.09,4.15,4.15,4.18,4.15,4.18,823,4.01,4.65,3.99,4.35,1636007,16.54,669697,2.44,,18842063,25,1
TKNO,2025-09-25,11:28:00,6.23,6.20,6.29,1606,11:43:00,6.29,target,101.50,1.02,12,0.0316,0.0632,2.00,50.75,3.12,39.47,3,6264,753,0.1900,6.21,6.23,6.25,6.25,6.25,6.25,592,5.76,6.40,5.45,5.79,826670,17.51,168007,4.92,,10427623,118,2
