symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
VELO,2026-01-06,09:49:00,17.10,16.64,17.85,897,10:55:00,18.62,exhaust+trail_stop,1402.17,9.14,70,0.4551,0.7500,2.50,408.18,7.64,20.85,4,12104,6088,1.1990,16.65,16.94,17.01,17.15,16.80,16.97,3782,15.70,19.80,15.00,18.96,1910317,32.00,1889690,1.01,,13791904,79,4,4.90,2.81,False,0.06,2,7.64,5.78,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.770,0.20,0.00,16.20,0.621,0.770
AHMA,2026-01-15,12:32:00,27.40,26.36,28.86,530,13:41:00,26.28,stop,-591.15,-4.07,68,1.0363,1.4618,2.50,549.24,6.85,36.42,3,6620,2687,1.7300,26.37,26.94,27.26,27.63,26.89,27.05,12488,15.51,30.50,15.00,29.38,2855131,103.33,2442158,1.17,,2144956,242,4,16.91,-0.90,False,-0.07,2,6.85,18.73,2.30,1.80,0.30,0.00,0.30,-0.50,0.00,2.300,0.768,0.20,0.00,86.67,4.648,0.768
DDC,2026-01-16,13:21:00,3.83,3.65,4.21,1085,14:15:00,3.64,stop,-208.31,-5.01,22,0.1810,0.3800,2.50,196.44,6.51,18.18,10,6181,1972,0.2200,3.56,3.80,3.81,3.81,3.81,3.81,200,3.21,3.99,3.15,3.51,152790,26.67,83573,1.83,Consumer Defensive,29414880,291,9,11.09,-0.31,False,0.02,2,6.51,11.92,2.20,1.00,0.30,-0.30,0.30,-0.50,0.20,2.200,0.707,0.20,0.00,20.63,0.101,0.707
TNMG,2026-01-22,12:25:00,4.02,3.84,4.42,1171,13:55:00,3.83,stop,-224.27,-4.76,35,0.1800,0.4000,2.50,210.78,6.87,31.81,8,2697,1583,0.2499,3.81,4.00,4.00,4.00,4.00,4.00,586,3.17,4.29,3.10,3.78,362672,38.39,2585304,0.14,Communication Services,1898259,235,6,4.71,-2.11,False,-0.00,2,6.87,5.22,2.50,1.00,0.30,-0.30,0.30,0.00,0.00,2.500,1.126,0.20,0.00,38.39,0.370,1.126
CORD,2026-01-26,09:50:00,14.87,14.24,16.27,481,11:33:00,16.78,exhaust+trail_stop,922.19,12.89,105,0.6340,1.4000,2.50,304.95,6.37,50.00,3,26400,18348,0.8800,14.25,14.80,14.60,14.92,14.60,14.62,29554,16.60,18.27,13.68,18.17,4114936,33.55,1046460,3.93,,6693210,80,8,0.85,-19.10,False,-0.04,2,6.37,1.35,2.00,1.80,0.30,-0.30,0.00,0.00,0.00,2.000,0.910,0.00,0.00,22.08,1.611,0.910
