symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,2900,10:39:00,3.80,trail_stop,514.98,4.91,18,0.1330,0.1875,2.50,385.70,6.47,47.99,5,4767,1764,0.2188,3.50,3.56,3.60,3.60,3.60,3.60,351,3.76,4.35,3.25,3.49,1342813,33.85,349427,3.84,,9239991,113,4,-9.40,-2.23,False,0.01,3,6.47,-7.92,2.90,1.00,0.30,0.30,0.30,0.00,0.00,2.900,1.053,0.00,0.00,30.63,0.199,1.053
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,1272,09:43:00,4.65,trail_stop,260.65,4.61,7,0.1989,0.4420,2.50,253.00,14.58,37.50,3,371480,360047,0.5600,4.19,4.42,4.34,4.44,4.23,4.26,501202,3.84,6.43,3.84,5.08,60248270,67.45,1357654,44.38,,8739197,69,2,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62,1.392,1.328
BFRG,2025-02-10,10:28:00,3.50,3.40,3.69,1518,10:34:00,3.61,trail_stop,175.07,3.30,8,0.0964,0.1975,2.50,146.34,5.79,31.05,4,37464,5293,0.1900,3.41,3.48,3.46,3.48,3.44,3.44,6799,3.22,4.35,3.20,3.36,14154888,35.92,690024,20.51,Healthcare,10223833,118,4,-0.78,15.03,False,-0.06,2,5.79,-0.28,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,31.82,1.285,0.983
DOMH,2025-02-10,10:12:00,4.18,4.06,4.43,1200,10:14:00,4.05,stop,-162.23,-3.23,4,0.1230,0.2500,2.50,147.61,5.30,47.62,3,12788,7512,0.2100,4.07,4.16,4.16,4.30,4.16,4.24,22118,3.90,6.50,3.74,6.16,23714849,73.98,467391,50.74,,9239991,102,1,-2.85,16.61,False,-0.06,2,5.30,-2.30,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,44.88,2.944,0.983
BFRG,2025-02-11,10:41:00,3.98,3.85,4.25,2045,10:49:00,3.84,stop,-288.86,-3.55,13,0.1297,0.2748,2.50,265.24,5.61,42.88,2,45999,38930,0.2099,3.86,3.96,3.90,3.96,3.90,3.91,17943,3.51,4.00,3.01,3.02,3563481,32.89,1386121,2.57,Healthcare,10223833,131,3,7.56,4.46,False,0.07,2,5.61,7.82,1.50,2.00,0.30,0.00,0.00,0.00,0.00,1.500,0.813,0.20,0.00,17.26,0.461,0.813
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1835,09:51:00,5.46,stop,-458.27,-4.37,8,0.2333,0.3050,2.50,428.12,5.83,-12.30,3,2733,899,0.3000,5.49,5.60,5.68,5.68,5.68,5.68,7929,5.30,6.10,5.15,5.84,208410,18.45,36732,5.67,,10449212,73,1,4.32,4.90,False,0.05,3,5.83,5.47,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.899,0.20,0.00,15.88,8.823,0.899
INLF,2025-02-14,09:46:00,10.36,9.90,11.39,545,10:13:00,11.31,trail_stop,515.28,9.12,32,0.4639,1.0310,2.50,252.85,7.49,48.96,5,11131,5354,0.6900,9.56,10.31,10.18,10.60,10.18,10.60,19720,8.75,21.00,5.40,16.33,7680970,288.89,292884,26.23,,11822982,76,3,8.44,-2.89,False,0.05,2,7.49,5.76,1.50,2.00,0.30,-0.30,0.30,0.00,0.00,1.500,0.899,0.20,0.00,17.83,3.683,0.899
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,506,10:29:00,12.56,trail_stop,203.01,3.30,12,0.4005,0.8500,2.50,202.65,13.74,32.43,2,6796,1458,1.4800,11.77,12.10,11.97,12.33,11.90,11.90,1773,10.35,14.00,10.25,10.90,793127,36.59,129171,6.14,,5262679,110,1,3.19,-6.76,False,-0.02,3,13.74,3.64,2.30,1.00,0.00,0.30,0.30,-0.50,0.00,2.300,0.648,0.20,0.00,36.59,1.216,0.648
INSG,2025-02-20,09:49:00,9.50,9.18,10.17,582,10:41:00,9.65,trail_stop,91.17,1.65,51,0.3171,0.6747,2.50,184.58,7.88,37.68,2,15489,6016,0.6900,9.19,9.45,9.31,9.45,9.21,9.45,8300,10.50,12.57,8.76,12.51,1261919,43.49,114681,11.00,,13939697,79,1,1.25,-8.63,False,0.00,3,7.88,1.74,2.10,1.00,0.30,0.00,0.30,-0.50,0.00,2.100,0.476,0.00,0.00,23.29,1.380,0.476
LE,2025-02-25,09:02:00,13.04,12.49,14.24,861,15:00:00,12.97,eod,-64.40,-0.57,222,0.5548,1.2000,2.50,477.68,8.23,0.00,4,2627,1503,0.9500,12.50,12.97,12.98,12.98,12.96,12.98,2233,12.58,13.85,12.41,12.64,660044,11.60,80719,8.18,,11865096,32,1,7.98,0.89,False,0.00,2,8.23,7.62,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.224,0.20,0.00,15.38,1.486,1.224
