symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
VRCA,2025-12-01,11:26:00,7.84,7.72,8.14,10000,12:42:00,7.72,stop,-1200.00,-1.53,78,0.1200,0.3000,2.50,1200.00,3.09,46.81,2,2542,772,0.2350,7.72,7.83,7.84,7.85,7.84,7.85,675,7.99,8.18,7.30,7.55,851623,12.10,87826,9.70,,6777375,116,1
QTTB,2025-12-02,11:30:00,3.62,3.60,3.67,10000,11:47:00,3.67,target,500.00,1.38,18,0.0200,0.0500,2.50,200.00,3.47,11.50,2,7102,5679,0.1209,3.59,3.60,3.62,3.62,3.61,3.62,2713,3.80,3.93,3.23,3.41,6448654,21.67,406014,15.88,,6302665,120,1
PLRZ,2025-12-03,10:13:00,6.33,6.24,6.55,10000,10:17:00,6.55,target,2250.00,3.55,7,0.0900,0.2250,2.50,900.00,5.26,46.88,2,25995,7025,0.3200,6.25,6.33,6.27,6.37,6.25,6.35,8586,6.44,7.15,6.07,7.09,9470314,17.79,47866,197.85,,979274,43,1
NA,2025-12-04,11:05:00,3.40,3.36,3.50,10000,11:08:00,3.50,target,1000.00,2.94,4,0.0400,0.1000,2.50,400.00,10.58,24.24,2,7346,3480,0.3300,3.37,3.40,3.40,3.40,3.39,3.39,225,4.10,4.21,2.87,3.00,875087,46.86,24079,36.34,,9473425,95,1
PLRZ,2025-12-04,10:11:00,16.47,16.28,16.94,10000,10:16:00,16.28,stop,-1890.00,-1.15,7,0.1890,0.4725,2.50,1890.00,6.08,29.47,2,58898,29520,0.9500,16.29,16.47,16.42,16.64,16.42,16.46,49363,16.31,18.20,12.46,14.50,26546008,46.07,47866,554.59,,979274,41,1
QCLS,2025-12-05,10:47:00,7.10,7.02,7.30,10000,10:49:00,7.30,target,2000.00,2.82,4,0.0800,0.2000,2.50,800.00,5.38,33.33,2,85376,75136,0.3600,6.93,7.00,7.10,7.14,7.05,7.09,60105,7.36,8.17,6.37,6.85,28777227,28.26,187397,153.56,,3689583,77,1
LIXT,2025-12-08,11:41:00,4.38,4.30,4.58,10000,14:19:00,4.30,stop,-800.00,-1.83,40,0.0800,0.2000,2.50,800.00,7.80,37.50,4,3406,859,0.3200,4.30,4.37,4.38,4.45,4.38,4.45,2333,4.09,4.45,4.01,4.34,97784,10.97,12238,7.99,,5697013,131,3
OESX,2025-12-08,10:46:00,17.52,17.34,17.97,10000,11:10:00,17.97,target,4532.50,2.59,5,0.1813,0.4533,2.50,1813.00,7.33,46.43,2,1502,1110,1.2110,17.17,17.34,17.52,17.52,17.49,17.49,1500,16.65,18.50,16.52,18.18,99879,11.99,34682,2.88,,3380452,76,1
BBGI,2025-12-11,10:18:00,9.20,9.10,9.45,10000,10:19:00,9.10,stop,-1000.00,-1.09,3,0.1000,0.2500,2.50,1000.00,6.88,45.36,3,3132,1212,0.6040,9.11,9.20,9.19,9.20,9.19,9.20,487,8.90,11.78,8.05,8.84,3143784,46.31,6129,512.94,,618788,48,2
COEP,2025-12-11,14:06:00,15.70,15.61,15.92,10000,14:21:00,15.92,target,2250.00,1.43,5,0.0900,0.2250,2.50,900.00,3.80,41.01,2,2568,1429,0.5764,15.49,15.57,15.70,15.70,15.57,15.70,2848,15.23,16.48,14.81,16.24,113651,11.24,68479,1.66,,4428073,276,1
DOMH,2025-12-11,10:39:00,4.85,4.82,4.93,10000,10:40:00,4.82,stop,-336.00,-0.69,3,0.0336,0.0840,2.50,336.00,11.31,27.01,2,13243,11070,0.4980,4.77,4.79,4.85,4.86,4.80,4.83,13490,4.42,5.08,4.40,4.76,1063170,15.40,44197,24.06,,8733983,69,1
HUHU,2025-12-11,10:55:00,11.39,11.29,11.64,10000,11:20:00,11.64,target,2500.00,2.19,12,0.1000,0.2500,2.50,1000.00,3.97,23.26,2,1135,900,0.4300,11.16,11.25,11.39,11.39,11.39,11.39,158,10.32,11.86,10.30,11.67,46144,15.15,2759,16.72,,5349119,85,1
OPXS,2025-12-11,11:17:00,14.59,14.48,14.86,10000,11:31:00,14.48,stop,-1100.00,-0.75,6,0.1100,0.2750,2.50,1100.00,4.67,20.05,2,3364,864,0.6484,14.40,14.50,14.59,14.59,14.59,14.59,127,13.63,15.44,13.63,15.32,86584,13.28,33104,2.62,,4277635,107,1
QCLS,2025-12-11,10:42:00,5.66,5.55,5.92,10000,10:46:00,5.55,stop,-1060.00,-1.87,6,0.1060,0.2650,2.50,1060.00,5.56,46.67,2,18400,8618,0.3000,5.56,5.66,5.62,5.66,5.56,5.57,7461,5.58,5.90,5.11,5.35,2096831,15.45,187397,11.19,,3689583,72,1
TWG,2025-12-11,10:45:00,4.84,4.68,5.24,10000,10:53:00,4.68,stop,-1600.00,-3.31,10,0.1600,0.4000,2.50,1600.00,7.10,43.77,3,3163,2028,0.3201,4.69,4.84,4.75,4.84,4.75,4.84,1647,4.71,5.40,4.40,4.65,556732,22.73,23637,23.55,,541613,75,2
BNKK,2025-12-12,10:50:00,3.51,3.47,3.60,10000,10:52:00,3.60,target,880.00,2.51,3,0.0352,0.0880,2.50,352.00,10.31,13.70,2,4629,2791,0.3300,3.48,3.51,3.50,3.54,3.49,3.50,3433,3.22,4.06,3.20,4.06,458597,26.87,41588,11.03,,3021518,80,1
KPLT,2025-12-12,10:15:00,8.89,8.58,9.67,6451,10:18:00,9.67,target,4999.53,8.72,5,0.3100,0.7750,2.50,1999.81,10.83,35.62,2,208381,137710,0.8699,8.59,8.89,8.84,9.23,8.83,9.01,376900,9.20,9.23,7.00,7.13,20772570,31.86,59046,351.80,,4030858,45,1
PLRZ,2025-12-12,10:45:00,13.34,13.09,13.98,7858,10:53:00,13.98,target,4999.65,4.77,11,0.2545,0.6363,2.50,1999.86,9.82,48.98,4,18505,3192,1.2250,13.10,13.34,13.28,13.35,13.27,13.35,3509,12.45,14.20,12.45,12.61,338730,14.06,47866,7.08,,979274,75,3
