symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult
RIOX,2025-08-01,10:20:00,14.09,13.56,15.24,6520,11:01:00,13.52,stop,-3721.49,-4.05,46,0.5301,1.1500,2.50,3456.25,6.79,47.19,4,15399,10307,0.8900,13.57,14.02,13.79,14.14,13.75,14.14,7106,15.88,16.05,12.44,12.91,1496917,29.00,747851,2.00,,4650700,50,3,3.05,-21.59,False,-0.16,2,6.79,3.52,1.00,1.50
SHEN,2025-08-01,10:30:00,13.06,12.80,13.56,9010,11:16:00,13.33,trail_stop,2431.57,2.07,39,0.2650,0.5000,2.50,2387.65,4.33,35.19,3,2149,1830,0.5400,12.81,13.00,12.98,13.20,12.98,13.20,2186,14.39,14.91,12.27,13.24,580471,21.56,300385,1.93,,48385624,60,1,-2.00,-1.98,False,-0.16,5,4.33,-1.45,1.00,1.50
CSTL,2025-08-05,09:58:00,21.36,20.94,22.13,7878,09:59:00,20.88,stop,-3774.11,-2.24,3,0.4163,0.7750,2.50,3279.22,3.51,37.50,3,24837,8391,0.7200,20.95,21.25,21.25,21.25,20.98,21.07,5791,19.85,21.33,18.68,20.35,2024883,14.20,393939,5.14,,25117808,28,4,5.47,29.57,False,-0.09,2,3.51,5.93,1.30,1.00
AIMD,2025-08-06,09:38:00,3.93,3.75,4.32,4051,09:41:00,3.74,stop,-762.85,-4.79,5,0.1771,0.3910,2.50,717.23,29.99,33.33,3,2514198,2290221,0.8998,3.60,3.91,3.91,4.24,3.83,4.16,4091260,3.06,4.50,2.90,3.26,137885208,55.17,135062,1020.90,,2147638,8,1,8.14,31.76,False,-0.07,3,29.99,6.35,1.00,1.50
CYRX,2025-08-06,10:19:00,8.98,8.77,9.41,8877,10:21:00,8.74,stop,-2139.45,-2.68,4,0.2147,0.4250,2.50,1905.89,4.38,42.67,3,59724,25445,0.3750,8.78,8.94,8.90,8.94,8.85,8.88,29268,8.60,9.35,8.24,8.75,9690858,13.47,443868,21.83,,40000574,49,1,2.27,27.60,False,-0.07,2,4.38,2.77,1.30,1.00
QVCGA,2025-08-07,10:31:00,4.00,3.82,4.40,8793,10:46:00,3.81,stop,-1675.62,-4.76,17,0.1791,0.3980,2.50,1574.83,9.42,44.10,3,3539,3504,0.3399,3.80,3.98,3.89,3.98,3.89,3.98,4979,3.06,4.16,3.06,3.42,398830,35.95,679997,0.59,,6665281,61,1,13.83,-5.26,False,-0.07,4,9.42,13.77,0.70,1.00
AUUD,2025-08-11,09:41:00,3.76,3.55,4.13,20269,09:42:00,3.54,stop,-4405.59,-5.78,3,0.2067,0.3700,2.50,4189.60,11.21,40.54,2,487379,355708,0.3700,3.52,3.70,3.74,3.78,3.57,3.64,708661,3.51,3.78,2.92,3.04,28280134,29.45,1087526,26.00,,402448,11,1,4.62,32.45,False,-0.02,2,11.21,5.64,1.00,1.50
MSOX,2025-08-11,09:40:00,7.69,7.38,8.34,18460,09:55:00,7.36,stop,-6078.59,-4.28,17,0.3071,0.6500,2.50,5669.89,7.71,38.60,2,49424,14128,0.5440,7.39,7.64,7.65,7.71,7.61,7.71,20522,7.09,9.53,6.80,9.02,4396563,40.20,690196,6.37,,4702895,10,1,5.35,21.20,False,-0.02,2,7.71,5.78,1.60,1.50
PAL,2025-08-12,09:46:00,7.24,6.91,7.96,4386,10:10:00,6.89,stop,-1512.01,-4.76,27,0.3240,0.7200,2.50,1421.06,6.19,30.38,5,16351,1317,0.3950,6.66,7.20,7.11,7.20,7.11,7.11,2832,6.50,7.50,5.97,7.40,765147,25.63,146236,5.23,,24221285,16,2,8.40,8.88,False,0.01,2,6.19,8.18,1.30,1.50
ZENA,2025-08-12,10:23:00,5.59,5.40,5.91,10500,10:39:00,5.38,stop,-2154.66,-3.67,18,0.1890,0.3250,2.50,1984.56,3.20,47.06,4,37563,24048,0.1700,5.41,5.53,5.56,5.60,5.53,5.59,45236,5.45,5.95,5.17,5.58,22259878,15.09,1555884,14.31,,21610402,53,1,0.63,13.54,False,0.01,2,3.20,1.70,0.70,1.00
TGEN,2025-08-13,09:41:00,11.27,11.06,11.65,22500,09:42:00,11.23,post_fill_exit,-760.46,-0.30,1,0.2089,0.3823,2.50,4701.37,11.70,8.79,2,25730,14606,1.1700,11.07,11.21,,,,,,10.94,11.55,8.42,8.61,2544992,37.17,1238379,2.06,,18164866,11,3,4.46,24.04,False,-0.06,4,11.70,,1.30,1.50
