symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
KRKR,2025-02-04,11:37:00,5.84,5.68,6.09,3900,11:41:00,5.66,stop,-686.75,-3.02,5,0.1590,0.2500,2.50,620.29,6.26,23.53,2,3483,956,0.3400,5.69,5.78,5.81,5.81,5.81,5.81,109,5.74,6.20,5.04,5.58,132364,23.02,1248719,0.11,,1404267,187,3,8.12,5.90,False,-0.02,3,6.26,9.21,2.60,2.00,0.30,0.30,0.30,0.30,0.20,2.600,1.374,0.20,0.00,15.67,0.114,1.374
RYM,2025-02-05,09:40:00,29.35,28.28,30.60,343,10:03:00,28.19,stop,-395.25,-3.93,10,1.0675,1.2538,2.50,366.15,4.88,21.17,4,5022,439,1.3300,28.29,28.78,29.20,29.20,29.20,29.20,308,27.25,29.88,22.54,23.64,58261,32.56,32711,1.78,,1173016,70,2,2.59,5.01,False,-0.01,3,4.88,4.56,2.30,1.00,0.30,0.00,0.30,0.30,0.20,2.300,1.328,0.20,0.00,12.37,0.702,1.328
FBYD,2025-02-06,11:34:00,7.41,7.22,7.77,1682,11:50:00,7.20,stop,-342.66,-2.75,12,0.1820,0.3630,2.50,306.21,7.59,16.49,2,1341,314,0.5166,7.23,7.37,7.37,7.49,7.37,7.49,1384,5.88,9.75,5.79,6.78,381926,68.39,37425,10.21,,25504873,184,4,-6.93,0.00,False,-0.08,2,7.59,-6.44,2.10,1.80,0.30,0.30,0.30,0.00,0.20,2.100,1.156,0.00,0.00,68.39,4.401,1.156
NIPG,2025-02-06,13:26:00,3.73,3.62,3.98,1400,13:37:00,3.87,trail_stop,193.73,3.70,15,0.1150,0.2410,2.50,160.97,5.11,38.89,3,2164,909,0.1800,3.63,3.72,3.70,3.76,3.70,3.76,6401,3.07,4.25,3.07,4.12,371917,38.44,117171,3.17,,3105261,296,2,7.51,0.33,False,-0.08,3,5.11,7.58,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,1.156,0.20,0.00,21.06,7.039,1.156
MNTS,2025-02-10,11:53:00,4.72,4.59,5.00,2330,12:08:00,5.05,trail_stop,763.78,6.94,17,0.1335,0.2750,2.50,311.05,7.73,38.31,7,109796,37018,0.3393,4.60,4.70,4.65,4.77,4.64,4.72,88170,4.69,6.35,4.15,4.46,47961331,53.01,224145,213.97,,8449971,203,12,-7.76,2.61,False,-0.06,3,7.73,-7.28,1.90,1.80,0.30,0.30,0.30,0.00,0.00,1.900,0.983,0.00,0.00,48.84,2.382,0.983
KRKR,2025-02-11,15:11:00,4.83,4.71,5.03,3372,15:15:00,4.70,stop,-468.65,-2.87,3,0.1249,0.2000,2.50,421.01,13.96,42.62,2,5085,580,0.6100,4.72,4.79,4.81,4.81,4.81,4.81,102,4.71,4.98,4.20,4.81,213443,18.57,1279539,0.17,,1404267,401,1,6.27,-2.89,False,0.07,2,13.96,7.26,1.80,2.00,0.00,0.30,0.30,0.00,0.00,1.800,0.813,0.20,0.00,18.57,0.176,0.813
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1835,09:51:00,5.46,stop,-458.27,-4.37,8,0.2333,0.3050,2.50,428.12,5.83,-12.30,3,2733,899,0.3000,5.49,5.60,5.68,5.68,5.68,5.68,7929,5.30,6.10,5.15,5.84,208410,18.45,36732,5.67,,12304941,73,2,4.32,4.90,False,0.05,3,5.83,5.47,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.899,0.20,0.00,15.88,8.823,0.899
INLF,2025-02-14,13:53:00,12.75,12.29,13.75,911,13:58:00,14.49,trail_stop,1584.68,13.64,7,0.4634,1.0000,2.50,422.20,8.32,20.83,2,8556,7064,0.9600,12.30,12.69,12.58,13.11,12.58,13.09,17488,8.75,21.00,5.40,16.33,7680970,288.89,292884,26.23,,6716741,323,19,13.23,-2.89,False,0.05,3,8.32,13.67,2.70,1.80,0.30,0.00,0.00,0.00,0.20,2.700,0.899,0.20,0.00,170.19,2.476,0.899
PCLA,2025-02-14,11:14:00,5.34,5.19,5.64,1562,11:28:00,5.17,stop,-253.23,-3.04,16,0.1465,0.3000,2.50,228.91,5.35,44.44,2,6862,4478,0.2700,5.20,5.31,5.31,5.40,5.27,5.30,5820,6.55,7.59,4.50,7.51,3504529,68.67,957780,3.66,,1090024,164,8,6.66,-30.88,False,0.05,3,5.35,7.17,2.50,1.00,0.30,0.00,0.00,0.00,0.00,2.500,0.899,0.20,0.00,48.22,1.300,0.899
JYD,2025-02-18,11:06:00,4.14,4.00,4.30,2422,12:36:00,3.99,stop,-357.52,-3.57,19,0.1356,0.1625,2.50,328.42,6.12,-10.87,2,3097,150,0.2300,4.01,4.07,4.12,4.12,4.12,4.12,200,4.03,4.43,3.55,4.02,88670,24.79,599789,0.15,Industrials,2635424,156,2,0.89,0.00,False,-0.00,2,6.12,2.62,2.10,1.00,0.30,0.30,0.30,0.00,0.20,2.100,0.814,0.00,0.00,17.82,1.333,0.814
