symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
CPIX,2025-02-04,09:10:00,2.42,2.34,2.60,4571,09:32:00,2.33,stop,-407.14,-3.68,25,0.0820,0.1750,2.50,375.05,7.32,42.42,3,14568,4621,0.1650,2.35,2.41,2.41,2.41,2.40,2.40,3653,2.35,3.79,2.21,3.76,18464777,71.42,439428,42.02,,8723752,40,2,1.45,20.19,True,-0.02,4,7.32,1.95,1.60,1.00,0.30,0.00,0.30,0.30,0.00,1.600,1.374,0.00,-0.30,19.29
ACRV,2025-02-05,10:24:00,6.93,6.70,7.41,668,10:30:00,7.14,trail_stop,139.95,3.02,8,0.2345,0.4750,2.50,156.65,5.88,34.21,3,4864,1063,0.3800,6.71,6.89,6.90,7.00,6.84,7.00,7907,5.83,8.00,5.83,6.97,738524,37.22,33434,22.09,,25674782,114,2,6.73,-1.35,False,-0.01,2,5.88,6.91,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.328,0.20,0.00,18.18
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,2544,09:43:00,4.65,trail_stop,521.31,4.61,7,0.1989,0.4420,2.50,506.00,14.58,37.50,3,371480,360047,0.5600,4.19,4.42,4.34,4.44,4.23,4.26,501202,3.84,6.43,3.84,5.08,60248270,67.45,1357654,44.38,,8723752,69,2,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,1.50,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62
DUOT,2025-02-05,09:39:00,7.46,7.12,8.20,1516,09:42:00,7.10,stop,-546.28,-4.83,5,0.3390,0.7415,2.50,513.91,10.33,44.60,3,4556,3811,0.6949,7.11,7.41,7.42,7.42,7.27,7.27,5490,6.74,7.95,6.65,7.28,573681,19.55,164084,3.50,,25986212,69,1,5.18,1.87,False,-0.01,3,10.33,5.37,1.50,1.50,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,13.86
NVCT,2025-02-05,09:39:00,7.09,6.79,7.57,2932,15:00:00,7.27,eod,541.69,2.61,242,0.3002,0.4875,2.50,880.33,19.45,12.83,3,8607,3545,1.1300,6.79,6.98,7.05,7.05,6.99,7.05,7702,5.81,7.50,5.81,7.15,496551,29.09,97785,5.08,,15438834,69,1,9.03,-5.57,False,-0.01,4,19.45,9.88,2.30,1.50,0.00,0.30,0.30,0.30,0.20,2.300,1.328,0.20,0.00,26.68
PLCE,2025-02-05,09:55:00,10.82,10.47,11.54,1440,15:00:00,11.23,eod,597.01,3.83,267,0.3454,0.7290,2.50,497.39,7.34,31.01,3,31640,10062,0.7320,10.48,10.76,10.66,10.86,10.66,10.78,24698,10.13,11.50,9.86,11.11,1371277,16.63,274482,5.00,,7745727,85,2,5.29,10.27,False,-0.01,5,7.34,5.29,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.328,0.20,0.00,17.02
ZDGE,2025-02-05,10:30:00,2.85,2.79,2.95,1325,13:17:00,2.78,stop,-95.22,-2.52,39,0.0635,0.1000,2.50,84.13,4.31,49.15,2,2395,954,0.1180,2.80,2.83,2.84,2.84,2.84,2.84,2225,2.58,2.98,2.58,2.89,247318,15.50,66273,3.73,,10401564,120,1,3.95,4.10,False,-0.01,4,4.31,4.60,2.10,1.00,0.00,0.30,0.30,0.30,0.00,2.100,1.328,0.20,0.00,10.78
HKD,2025-02-06,10:06:00,3.26,3.16,3.46,4499,10:09:00,3.15,stop,-481.33,-3.28,5,0.0975,0.2000,2.50,438.68,5.88,38.89,2,82227,35415,0.1800,3.17,3.24,3.24,3.28,3.23,3.27,81547,2.94,3.32,2.80,3.20,5355559,18.57,244131,21.94,,43990309,96,1,5.72,10.94,False,-0.08,6,5.88,5.95,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,1.156,0.20,0.00,22.26
MAZE,2025-02-06,10:33:00,11.95,11.69,12.46,1268,10:50:00,12.53,trail_stop,733.42,4.84,20,0.2644,0.5125,2.50,335.32,4.01,42.58,3,1568,440,0.4580,11.70,11.89,11.84,12.00,11.84,11.98,619,12.82,13.00,11.34,13.00,863646,14.62,807102,1.07,Healthcare,27698658,123,2,1.09,-0.08,False,-0.08,2,4.01,1.56,1.30,1.00,0.00,0.00,0.30,0.00,0.00,1.300,1.156,0.00,0.00,13.04
STIM,2025-02-07,10:15:00,3.15,3.08,3.28,6000,11:34:00,3.07,stop,-479.49,-2.54,81,0.0707,0.1250,2.50,424.05,3.31,30.00,4,42157,22935,0.1000,3.09,3.13,3.13,3.14,3.13,3.13,5076,3.00,3.22,2.80,3.07,8129531,15.00,1425280,5.70,,28677738,105,1,5.30,-15.73,False,0.01,2,3.31,5.98,1.50,1.00,0.00,0.00,0.30,0.00,0.00,1.500,0.814,0.20,0.00,13.57
