symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
KIDZ,2025-05-01,11:09:00,3.73,3.60,3.99,2680,11:11:00,3.99,target,696.80,6.97,4,0.1300,0.2600,2.00,348.40,10.91,40.52,2,899731,853626,0.3699,3.61,3.73,3.76,3.90,3.67,3.85,1263102,2.41,5.43,2.13,5.36,262873244,154.93,14666294,17.92,,429867,99,1
DFSC,2025-05-05,10:06:00,6.11,6.06,6.22,1636,10:07:00,6.06,stop,-91.62,-0.92,3,0.0560,0.1120,2.00,91.62,5.47,32.66,2,10119,3318,0.3200,6.07,6.11,6.23,6.25,5.98,6.01,15035,6.47,6.79,5.66,6.37,5557432,20.00,30365,183.02,,1618864,36,1
PHOE,2025-05-05,11:13:00,2.42,2.37,2.53,4132,12:18:00,2.53,target,454.52,4.55,15,0.0550,0.1100,2.00,227.26,4.00,27.06,4,1946,362,0.0924,2.38,2.42,2.50,2.50,2.50,2.50,1600,2.68,2.68,2.31,2.57,74865,16.14,27687,2.70,,5500008,103,1
SCOR,2025-05-06,14:22:00,5.50,5.32,5.87,1818,16:00:00,5.41,eod,-163.62,-1.64,7,0.1850,0.3700,2.00,336.33,5.06,42.75,3,970,200,0.2620,5.33,5.50,5.35,5.35,5.35,5.35,400,5.29,5.80,5.17,5.41,14729,12.08,16109,0.91,,1068537,292,1
XBIT,2025-05-06,15:18:00,2.94,2.86,3.10,3401,15:19:00,2.86,stop,-271.74,-2.72,3,0.0799,0.1598,2.00,271.74,7.19,49.77,4,10002,2599,0.1991,2.87,2.94,2.94,2.94,2.91,2.91,1361,2.85,3.00,2.65,2.78,222258,13.21,5262,42.24,,19091722,348,1
OM,2025-05-08,09:50:00,12.36,12.25,12.59,809,09:54:00,12.25,stop,-93.03,-0.93,6,0.1150,0.2300,2.00,93.03,4.30,20.59,2,2577,325,0.5100,12.26,12.36,12.37,12.45,12.37,12.38,748,11.87,16.40,11.70,15.88,692539,40.21,194148,3.57,,13062782,20,1
ELPW,2025-05-09,14:38:00,4.45,4.40,4.54,2249,14:41:00,4.54,target,202.41,2.02,3,0.0450,0.0900,2.00,101.20,6.92,24.14,3,3681,167,0.2900,4.41,4.45,4.50,4.54,4.50,4.54,228,4.50,4.70,4.06,4.68,219034,15.76,14860579,0.01,,51660,308,1
BGLC,2025-05-12,10:28:00,2.84,2.78,2.96,3522,10:30:00,2.78,stop,-206.39,-2.06,3,0.0586,0.1172,2.00,206.39,4.28,-8.76,4,1854,564,0.1141,2.79,2.84,2.80,2.80,2.80,2.80,100,2.63,3.24,2.63,3.07,382693,23.37,4831,79.22,,1291994,58,1
CPIX,2025-05-12,09:41:00,5.24,5.14,5.45,1907,09:45:00,5.45,target,393.22,3.93,5,0.1031,0.2062,2.00,196.61,4.04,0.05,4,1555,778,0.2000,5.15,5.24,5.29,5.38,5.29,5.38,1288,4.80,5.50,4.80,5.27,89916,14.58,65400,1.37,,8642836,11,1
NTHI,2025-05-12,11:28:00,7.19,7.04,7.49,1390,11:33:00,7.49,target,417.00,4.17,7,0.1500,0.3000,2.00,208.50,8.75,27.59,3,3624,1149,0.5800,7.05,7.19,7.29,7.29,7.16,7.23,2470,7.51,7.51,5.87,6.12,236200,27.95,70151,3.37,,4137316,118,1
