symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
STI,2026-01-02,09:51:00,7.96,7.64,8.58,1596,09:52:00,7.94,post_fill_exit,-38.13,-0.30,1,0.3209,0.6157,2.50,512.20,6.76,24.64,4,2580,430,0.4923,7.65,7.89,,,,,,7.41,10.90,7.28,8.00,1532283,49.73,63890,23.98,,2466690,81,2,4.25,4.51,False,0.04,3,6.76,,1.50,1.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.524,0.20,0.00,15.69
VELO,2026-01-06,09:49:00,17.10,16.64,17.85,25000,09:50:00,17.04,post_fill_exit,-1282.13,-0.30,1,0.4551,0.7500,2.50,11376.25,7.64,20.85,4,12104,6088,1.1990,16.65,16.94,,,,,,15.70,19.80,15.00,18.96,1910317,32.00,1889690,1.01,,7669469,79,1,4.90,2.81,False,0.06,2,7.64,,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.770,0.20,0.00,16.20
EMAT,2026-01-07,10:16:00,21.40,20.44,23.52,5577,10:17:00,20.38,stop,-5684.84,-4.76,5,0.9580,2.1289,2.50,5342.89,8.99,0.00,4,3328,2423,1.6500,20.00,21.29,20.75,21.40,20.25,21.00,4667,16.10,24.09,16.10,19.00,800522,49.60,736330,1.09,,187460,106,3,12.13,-24.85,False,-0.04,3,8.99,12.30,1.90,1.00,0.30,-0.30,0.00,-0.50,0.20,1.900,0.714,0.20,0.00,66.64
PLUL,2026-01-22,10:11:00,17.98,17.17,19.77,633,10:30:00,17.12,stop,-542.21,-4.76,7,0.8050,1.7890,2.50,509.60,8.74,27.66,4,2577,1022,1.4101,17.16,17.89,17.88,18.11,17.75,18.00,4840,14.58,19.13,14.58,18.77,56545,31.21,14131,4.00,,41725,101,2,4.22,3.17,False,-0.00,3,8.74,3.64,1.70,1.80,0.30,-0.30,0.30,0.00,0.20,1.700,1.126,0.20,0.00,26.59
CVRX,2026-01-23,09:37:00,7.47,7.13,8.21,14947,15:00:00,7.25,eod,-3245.74,-2.91,223,0.3343,0.7430,2.50,4997.53,10.45,20.00,3,35931,15932,0.6750,7.00,7.43,7.01,7.44,7.01,7.44,6499,6.55,7.84,6.46,7.31,976161,21.36,298969,3.27,,18201580,67,1,6.54,2.13,False,0.01,2,10.45,6.88,1.40,2.00,0.00,-0.30,0.30,0.00,0.20,1.400,1.129,0.20,0.00,15.02
CORD,2026-01-26,09:50:00,14.87,14.24,16.27,16068,11:33:00,16.78,exhaust+trail_stop,30806.38,12.89,105,0.6340,1.4000,2.50,10187.11,6.37,50.00,3,26400,18348,0.8800,14.25,14.80,14.60,14.92,14.60,14.62,29554,16.60,18.27,13.68,18.17,4114936,33.55,1046460,3.93,,6693210,80,2,0.85,-19.10,False,-0.04,2,6.37,1.35,2.00,1.80,0.30,-0.30,0.00,0.00,0.00,2.000,0.910,0.00,0.00,53.65
PHGE,2026-01-28,10:32:00,5.66,5.58,5.81,12500,10:35:00,5.56,stop,-1298.79,-1.83,5,0.0872,0.1475,2.50,1089.69,4.89,-6.16,3,4387,2120,0.2598,5.59,5.63,5.59,5.70,5.59,5.65,4785,6.54,6.79,5.25,6.58,1101121,29.33,2810247,0.39,Healthcare,1121250,122,2,-7.98,-5.18,False,0.06,2,4.89,-7.45,1.60,1.00,0.30,0.30,0.30,-0.50,0.20,1.600,0.530,0.00,0.00,27.87
CRMX,2026-01-30,09:37:00,20.87,19.83,22.94,8167,09:46:00,19.77,stop,-8981.66,-5.27,11,1.0402,2.0660,2.50,8495.72,14.88,47.76,3,12824,6493,2.6800,19.41,20.66,20.77,20.77,20.41,20.41,5458,18.01,20.77,15.56,15.89,820917,33.48,589570,1.39,,487740,67,2,1.76,-2.91,False,0.15,2,14.88,2.76,1.50,1.80,0.00,0.00,0.30,0.00,0.00,1.500,0.925,0.20,0.00,29.80
PDYN,2026-02-03,10:33:00,8.24,8.04,8.52,12500,10:34:00,8.02,stop,-2815.26,-2.73,3,0.2011,0.2747,2.50,2513.76,4.22,30.30,4,125985,47990,0.3300,8.05,8.15,8.20,8.22,8.11,8.13,44220,7.60,8.46,7.20,7.90,11759509,17.50,6459825,1.82,,34234634,123,3,5.69,11.44,False,0.06,2,4.22,6.80,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,304.263,0.20,0.00,20.23
PMN,2026-02-03,09:59:00,15.82,15.29,16.94,19122,11:34:00,16.82,trail_stop,19159.98,6.33,83,0.5287,1.1250,2.50,10109.80,8.01,40.17,3,4654,1007,1.1699,15.30,15.74,15.69,16.00,15.65,15.82,3260,14.15,17.40,14.01,15.90,238542,24.20,424992,0.56,,4604014,89,1,3.31,-5.27,False,0.06,2,8.01,2.84,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,304.263,0.20,0.00,21.68
