symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,2922,10:32:00,7.99,stop,-657.22,-2.74,46,0.2009,0.4000,2.50,586.96,6.79,29.81,2,7445,3068,0.5200,8.03,8.18,8.11,8.30,8.09,8.30,5163,8.70,8.99,7.35,8.43,1321044,22.31,1453348,0.91,,5723600,17,9,3.59,-0.57,False,,3,6.79,4.01,2.60,2.00,0.30,0.30,0.30,0.30,0.20,2.600,1.799,0.20,0.00,18.37,1.683,1.799
CRMX,2026-04-02,10:06:00,14.38,13.93,15.16,1201,10:25:00,13.89,stop,-592.50,-3.43,20,0.4515,0.7750,2.50,542.31,4.86,-1.55,4,4284,1606,0.6450,13.94,14.24,14.31,14.59,14.31,14.59,4338,11.64,15.25,11.50,13.97,239987,32.61,189034,1.27,,487740,36,1,8.10,-15.35,False,,3,4.86,7.53,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.578,0.20,0.00,23.83,2.701,1.578
LUD,2026-04-02,13:28:00,3.96,3.90,4.08,4599,14:03:00,4.10,trail_stop,601.67,3.30,14,0.0647,0.1125,2.50,297.67,3.69,14.29,3,6574,878,0.1400,3.91,3.94,3.92,3.96,3.92,3.96,1067,3.18,4.56,3.17,4.45,387555,43.85,191140,2.03,,2689900,238,3,10.29,-1.24,False,,2,3.69,10.81,2.30,1.00,0.00,0.30,0.30,0.30,0.20,2.300,1.578,0.20,0.00,24.45,1.215,1.578
SKYQ,2026-04-02,13:47:00,5.46,5.23,5.79,1246,13:49:00,5.21,stop,-308.72,-4.54,4,0.2321,0.3248,2.50,289.17,6.76,38.21,3,674353,342385,0.3400,5.24,5.36,5.43,5.44,5.32,5.35,506289,5.57,5.89,3.75,5.10,206131152,57.07,1777098,115.99,,4070750,257,8,12.53,120.16,True,,2,6.76,14.58,1.80,1.00,0.30,0.00,0.30,0.30,0.00,1.800,1.578,0.20,-0.30,114.23,1.479,1.578
USAX,2026-04-02,10:03:00,13.73,13.47,14.17,1849,10:10:00,14.00,trail_stop,510.80,2.01,8,0.2533,0.4375,2.50,468.35,3.15,-18.29,3,3375,1290,0.4100,13.48,13.65,13.66,13.67,13.66,13.67,352,11.41,15.00,11.30,14.43,146077,32.74,138431,1.06,,589120,33,4,7.01,-8.28,False,,2,3.15,7.56,2.00,1.80,0.00,0.00,0.30,0.30,0.20,2.000,1.578,0.20,0.00,21.42,0.273,1.578
CLIR,2026-04-06,14:05:00,7.02,6.86,7.34,1617,14:23:00,6.84,stop,-296.78,-2.61,13,0.1629,0.3200,2.50,263.49,6.81,21.84,5,1467,1297,0.4442,6.87,6.99,6.93,7.06,6.93,7.04,5363,4.85,7.56,4.80,6.94,691115,57.50,121408,5.69,,4457195,275,5,2.76,0.41,False,,2,6.81,3.24,2.30,1.00,0.30,0.30,0.00,0.30,0.20,2.300,1.667,0.20,0.00,57.50,4.134,1.667
MLEC,2026-04-06,11:27:00,9.43,9.27,9.71,2458,12:09:00,9.59,trail_stop,398.47,1.72,44,0.1595,0.2815,2.50,392.08,5.44,42.86,6,6485,3057,0.4900,9.28,9.38,9.34,9.44,9.34,9.40,11068,8.69,11.76,8.06,11.44,10593726,45.91,45562,232.51,,128330,117,10,-1.08,24.60,False,,2,5.44,-0.58,2.20,1.80,0.30,0.30,0.30,0.30,0.00,2.200,1.667,0.00,0.00,47.84,3.620,1.667
MNTS,2026-04-06,09:58:00,3.82,3.69,3.97,3900,10:36:00,4.00,trail_stop,701.62,4.70,40,0.1340,0.1500,2.50,522.70,4.75,29.41,2,32661,15031,0.1700,3.70,3.75,3.81,3.81,3.77,3.78,19328,3.30,4.15,3.27,3.51,3182946,26.91,667358,4.77,,8449971,28,3,5.15,0.61,False,,2,4.75,6.96,2.60,1.00,0.30,0.30,0.30,0.30,0.20,2.600,1.667,0.20,0.00,17.43,1.286,1.667
SMX,2026-04-06,12:26:00,14.44,13.99,15.27,708,12:41:00,14.95,trail_stop,362.00,3.54,19,0.4518,0.8250,2.50,319.91,5.05,42.23,2,33951,31542,0.6867,14.00,14.32,14.37,14.50,14.26,14.48,19832,8.08,19.68,8.08,13.00,22046631,143.56,451039,48.88,,32595,176,6,-6.54,-4.49,False,,3,5.05,-5.74,2.60,1.00,0.30,0.00,0.00,0.30,0.00,2.600,1.667,0.00,0.00,143.56,0.629,1.667
MOVE,2026-04-07,14:03:00,12.37,12.08,12.93,2140,14:04:00,12.04,stop,-690.50,-2.61,3,0.2864,0.5622,2.50,612.95,8.76,37.23,3,8453,4397,1.0038,12.09,12.30,12.30,12.60,12.30,12.60,17035,9.09,12.98,8.80,12.13,1059908,47.50,39691,26.70,,1465361,273,4,13.72,-12.09,False,,3,8.76,13.85,3.00,1.80,0.30,0.30,0.30,0.00,0.00,3.100,1.172,0.20,0.00,41.63,3.875,1.172
