symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
CRMU,2026-05-04,10:19:00,12.42,11.98,13.37,708,10:44:00,11.94,stop,-338.17,-3.85,22,0.4417,0.9497,2.50,312.72,7.07,28.05,3,4269,2375,0.8062,11.99,12.36,12.34,12.55,12.34,12.55,2739,11.24,12.67,10.59,10.95,277722,19.64,205928,1.35,,76895,49,6,8.72,9.87,False,,2,7.07,8.92,2.00,1.80,0.30,0.00,0.30,0.00,0.20,2.000,0.822,0.20,0.00,20.82,1.153,0.822
UK,2026-05-04,13:47:00,4.18,3.99,4.60,1946,14:09:00,4.79,exhaust+trail_stop,1197.36,14.72,21,0.1872,0.4160,2.50,364.28,9.14,3.03,2,2503,554,0.3300,3.93,4.16,4.12,4.30,4.12,4.21,1837,3.63,5.00,3.33,3.97,303654,50.13,594458,0.51,,443092,257,2,15.50,-3.97,False,,2,9.14,14.34,2.40,1.80,0.00,-0.30,0.30,0.00,0.20,2.400,0.822,0.20,0.00,24.90,3.313,0.822
UONE,2026-05-04,14:00:00,8.42,8.19,8.89,1283,14:07:00,8.17,stop,-327.89,-3.03,8,0.2310,0.4727,2.50,296.37,5.00,49.99,2,1459,826,0.3999,8.20,8.38,8.35,8.38,8.35,8.38,335,5.96,8.88,5.82,8.30,468609,52.57,238049,1.97,,1905209,270,7,9.88,-18.47,False,,2,5.00,10.42,1.80,1.80,0.30,0.00,0.30,0.00,0.00,1.800,0.822,0.20,0.00,52.57,0.406,0.822
DRCT,2026-05-05,15:30:00,5.16,5.00,5.48,1867,15:45:00,5.12,force_close,-66.56,-0.69,11,0.1556,0.3250,2.50,290.60,6.43,38.71,3,4311,2509,0.3100,5.01,5.13,5.13,5.13,5.13,5.13,100,4.54,5.60,4.54,5.44,224647,23.35,630756,0.36,,698831,360,2,4.35,7.08,False,,2,6.43,4.79,1.80,1.80,0.30,0.00,0.30,0.00,0.00,1.800,0.974,0.20,0.00,21.93,0.040,0.974
MED,2026-05-05,09:45:00,12.18,11.89,12.76,1758,11:21:00,13.19,exhaust+trail_stop,1664.65,7.77,83,0.2906,0.5750,2.50,510.87,6.37,16.67,2,14677,6374,0.7200,11.90,12.12,12.09,12.15,12.08,12.10,8630,10.00,13.43,9.92,13.02,834309,35.37,190724,4.37,,7705626,15,2,3.88,-5.93,False,,3,6.37,3.90,3.00,1.80,0.30,0.00,0.30,0.00,0.20,3.000,0.974,0.20,0.00,22.57,1.354,0.974
APT,2026-05-07,11:34:00,5.87,5.75,6.09,708,11:38:00,5.74,stop,-95.34,-2.29,6,0.1174,0.2205,2.50,83.12,4.68,34.15,3,8730,388,0.2618,5.76,5.84,5.76,5.85,5.76,5.85,2470,5.11,6.55,5.02,6.48,1117337,30.48,28351,39.41,,7991276,124,6,8.15,8.72,False,,3,4.68,8.62,2.10,1.00,0.30,0.30,0.30,0.00,0.00,2.100,0.806,0.20,0.00,24.50,6.361,0.806
SIF,2026-05-08,09:54:00,20.49,19.99,21.28,427,09:55:00,19.93,stop,-239.94,-2.74,3,0.5020,0.7875,2.50,214.33,8.62,10.63,2,10258,2646,1.6000,20.00,20.30,20.39,20.39,20.01,20.01,1574,18.75,20.39,18.05,19.86,342491,12.96,65537,5.23,,4832377,24,8,6.01,20.58,False,,3,8.62,6.92,1.80,1.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.766,0.20,0.00,29.90,0.595,0.766
TTGT,2026-05-08,09:56:00,5.70,5.58,5.92,3448,10:03:00,5.84,trail_stop,502.43,2.56,9,0.1183,0.2250,2.50,408.07,5.64,10.00,2,5869,4455,0.3000,5.59,5.67,5.62,5.71,5.61,5.71,3062,6.01,6.51,5.23,6.10,1341041,24.47,565049,2.37,,21858291,26,2,-2.52,-7.11,False,,2,5.64,-1.97,2.30,1.80,0.30,0.30,0.00,-0.50,0.20,2.300,0.766,0.00,0.00,20.75,0.687,0.766
CCUP,2026-05-11,11:03:00,6.72,6.57,7.02,2022,11:12:00,6.90,trail_stop,348.29,2.56,11,0.1535,0.3000,2.50,310.28,6.73,19.02,2,91226,46384,0.4200,6.58,6.69,6.69,6.75,6.69,6.72,88392,6.42,7.99,5.03,7.65,13483060,58.75,2486011,5.42,,14369380,93,4,13.91,11.46,False,,3,6.73,14.12,1.80,1.80,0.30,0.30,0.30,-0.50,0.20,1.800,0.761,0.20,0.00,33.18,1.906,0.761
ONDL,2026-05-14,11:20:00,18.40,18.10,18.90,673,11:38:00,18.98,trail_stop,390.13,3.15,20,0.3015,0.5000,2.50,202.94,3.89,34.44,3,38572,19748,0.6864,18.11,18.30,18.31,18.37,18.27,18.35,7874,16.48,21.57,15.30,19.92,6197562,40.98,1240933,4.99,,6839595,110,7,8.46,24.47,False,,3,3.89,9.03,1.80,1.00,0.00,0.30,0.30,0.00,0.00,1.800,0.898,0.20,0.00,37.95,0.399,0.898
