day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R,cellC_new,split,half,wrapper,cost,imp,netR,pnl_10k,pnl_50k
2025-01-02,MSTZ,26.6287,25.69,26.1,3.596551724137921,378467.0,2.030896294076553,0.7989773090444255,28.09,-7.084371662513345,19.97436810252758,0.8537107007913313,-9.722318303194644,423.0016421362784,330749258.95,581,0,25.61293,1,,25.55,26.6287,stop,582.0,662.0,1.0786999999999978,1,TRAIN,TRAIN_H1,True,0.03501301870144985,False,-1.032458532216047,-53.45822489766949,-271.74597656315325
2025-01-02,SMST,7.8897,7.61,7.73,3.6183699870633896,856629.0,1.956781130825477,0.7865570253843394,8.34,-7.314148681055149,19.96402877697841,0.8588588588588592,-9.8542274052478,12.992837111857172,25410175.35,581,0,7.58717,1,,7.565,7.8897,stop,582.0,653.0,0.3247,1,TRAIN,TRAIN_H1,True,0.01367151611133655,False,-1.0421050696376242,-55.83130015837053,-279.494872307964
2025-01-03,PDYN,11.58,10.83,11.0,6.8181818181818175,224937.0,2.25570282441892,1.0,11.76,-6.462585034013604,22.959183673469383,0.6888888888888889,-26.421404682274247,20.876969665877272,12519672.25,618,0,10.79751,1,,10.9294,10.05,eod,619.0,900.0,0.6506000000000007,0,TRAIN,TRAIN_H1,False,0.039134502923976654,False,1.291523973372304,95.7902666666665,479.79159883040853
2025-01-03,QBTS,9.58,9.04,9.11,5.92755214050495,2299168.0,2.4661209683359475,0.851851851851852,9.61,-5.202913631633716,19.562955254942768,0.9627659574468084,-20.15775635407537,18.47548402974733,95024454.45,619,0,9.01288,1,,8.97,9.58,stop,620.0,656.0,0.6099999999999994,1,TRAIN,TRAIN_H1,False,0.014907715919711101,False,-1.0244388785569034,-86.86217251283976,-434.9357702801185
2025-01-03,RGTI,19.74,18.16,18.95,8.337730870712393,9598581.0,3.900454038591476,0.6962025316455712,20.0,-5.250000000000004,23.5,1.0,-5.250000000000004,19.632206445379207,185848192.1,619,0,18.10552,1,,18.02,18.7967,eod,620.0,900.0,1.7199999999999989,1,TRAIN,TRAIN_H1,False,0.0195755563531943,False,-0.46295090485650964,-54.943013388370524,-275.5113424982058
2025-01-06,MNSO,26.45,25.95,26.01,1.9223375624759709,163226.0,1.0500029815005885,0.0799999999999983,27.56,-5.624092888243822,3.737300435413647,0.854368932038833,-6.134969325153372,3.611372142766964,1073098.6,575,0,25.87215,1,,25.885,24.39,eod,576.0,900.0,0.5649999999999977,0,TRAIN,TRAIN_H1,False,0.027541107382550098,False,2.597272376314083,70.43802684563765,353.6575931208057
2025-01-06,NVD,24.56,24.0,24.31,2.303578774167004,130659.0,0.8636090298039285,0.2321428571428559,25.72,-5.482115085536548,7.892690513219276,0.0837438423645312,0.0,0.0,0.0,580,0,23.928,1,,23.94,23.9,eod,581.0,945.0,0.6199999999999974,0,TRAIN,TRAIN_H1,True,0.0280341484445819,False,0.019299760573259432,0.6222242808818815,3.1230872559648284
2025-01-07,CRNC,20.07,18.94,18.96,5.95991561181434,1210851.0,2.4783237130071347,0.8938053097345123,20.18,-6.045589692765108,41.77403369672943,0.1316725978647686,-31.05454545454545,32.57388280493232,13313431.9,603,0,18.883180000000003,1,,18.8699,20.07,stop,604.0,621.0,1.200099999999999,1,TRAIN,TRAIN_H1,False,0.04334391140126835,False,-1.0361169164246882,-82.06729815248364,-411.57993467381954
2025-01-07,MSTU,11.95,11.42,11.7,4.5299145299145245,2224077.0,2.2834976443202417,0.3962264150943417,12.58,-6.995230524642296,22.398251192368843,0.921922135074706,-93.1542917324908,24.89446679753099,34375305.75,576,0,11.38574,1,,11.38,11.95,stop,577.0,583.0,0.5699999999999985,1,TRAIN,TRAIN_H1,True,0.0143476270035877,False,-1.0251712754448907,-63.693891343390895,-320.80684722496886
2025-01-07,STOK,10.555,9.82,9.83,7.477110885045772,121617.0,2.698577873689937,0.5850340136054423,11.02,-10.79854809437386,5.852994555353899,0.0620155038759677,-16.197783461210573,2.6757553073038607,466284.4,579,1,9.79054,1,,9.78,9.25,eod,580.0,945.0,0.7750000000000004,1,TRAIN,TRAIN_H1,False,0.06678151126258039,False,0.5977012757902178,58.828748069652214,295.9966143032107
2025-01-08,ALTS,6.6,6.325,6.4,4.296874999999992,15670.0,1.5289399051892762,0.9272727272727288,6.8,-5.882352941176463,19.558823529411768,0.7819548872180451,-9.73201692524682,5.2856269401011735,303384.0,580,0,6.306025,1,,6.4,6.61,stop,581.0,639.0,0.1999999999999993,0,TRAIN,TRAIN_H1,False,0.15779411764705908,False,-1.8389705882353018,-71.71985294117651,-358.9670588235296
2025-01-08,ARQQ,27.99,24.3,27.99,13.183279742765269,188272.0,4.794408771841694,0.0805962059620595,35.7,-21.5966386554622,12.24089635854341,0.1121281464530897,-46.9785944307634,15.736559352894728,1292786.35,575,1,24.2271,1,,25.15,27.99,stop,576.0,779.0,2.84,0,TRAIN,TRAIN_H1,False,0.5803686067019402,False,-1.2043551432049084,-167.59806172839507,-848.2514144620811
2025-01-08,ATOM,14.935,13.69,14.86,8.378196500672955,154340.0,3.448868668561742,0.1325301204819283,16.24,-8.497536945812803,10.65578817733991,0.8552441490898571,-15.327635327635331,9.70562188287676,950325.35,575,1,13.64893,1,,13.8953,11.7936,eod,576.0,900.0,1.0396999999999998,0,TRAIN,TRAIN_H1,False,0.09687773456490029,False,1.9282699484804282,178.429181623724,900.1651971803603
2025-01-08,NNE,28.6,27.71,28.05,3.1729055258467045,287460.0,1.856678439564566,0.3180898876404464,30.24,-7.242063492063484,13.359788359788356,0.2178217821782176,-16.01796407185628,7.49983334044987,3900566.35,577,0,27.62687,1,,27.59,26.63,eod,578.0,945.0,1.0100000000000016,1,TRAIN,TRAIN_H1,False,0.09380381086803125,False,0.8576199892395725,38.978828510938634,195.76033874382514
2025-01-08,OKLO,28.86,27.4,27.74,5.263157894736845,734272.0,2.1850074960430854,0.9417808219178077,29.5,-5.96610169491526,12.305084745762707,0.3360881542699722,-13.068003760576628,7.850412602183679,15590143.35,587,0,27.3178,1,,27.6,26.33,eod,588.0,945.0,1.259999999999998,0,TRAIN,TRAIN_H1,False,0.058342754233237204,False,0.9616327347355299,54.52457605950446,273.83453754328906
2025-01-08,OUST,13.9,13.37,13.66,3.879941434846275,143177.0,1.977815236437104,0.8113207547169822,14.61,-6.502395619438736,10.53524982888432,0.2533783783783777,-13.925645872715812,7.382410744780427,2059452.35,580,0,13.32989,1,,13.24,12.59,eod,581.0,945.0,0.6600000000000001,1,TRAIN,TRAIN_H1,False,0.041443224202237505,False,0.922055720905701,57.204336924989704,287.23879817654404
2025-01-08,PDYN,7.89,7.48,7.87,5.209656925031757,285590.0,2.361803499014356,0.3048780487804883,8.24,-4.490291262135924,18.677184466019416,0.0838206627680309,-47.357859531772576,21.36777851613125,13074317.7,577,0,7.45756,1,,7.4427,7.219050000000001,lock,578.0,860.0,0.4472999999999993,1,TRAIN,TRAIN_H1,False,0.0383521138016462,False,0.4142586322341903,30.944746995124955,155.46492652041817
2025-01-08,RCAT,12.9,12.1305,12.26,6.276508972267543,605993.0,3.0171690137602307,0.764782326185834,13.06,-6.12557427258806,16.003062787136304,0.0909090909090914,-19.731302827736567,11.242580449846743,14113036.0,591,0,12.0941085,1,,12.1979,11.9501,eod,592.0,900.0,0.7020999999999997,0,TRAIN,TRAIN_H1,False,0.024813401187447702,False,0.31759948556124795,22.744633078880312,114.16913859202667
