day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R
2025-01-02,MSTZ,26.6287,25.69,26.1,3.5965517241379206,378467.0,2.030896294076553,0.7989773090444255,28.09,-7.084371662513345,19.97436810252758,0.8537107007913313,-9.722318303194644,423.0016421362784,330749258.95,581,0,25.612930000000002,0,gap_through,,,,,,
2025-01-02,PDYN,11.95,10.8124,11.4,9.978947368421045,394085.0,3.5098979269701553,0.011075949367087787,12.27,-7.090464547677255,17.440912795436027,0.6962616822429906,-23.745819397993305,21.066866750555256,12302619.5,575,1,10.7799628,0,gap_through,,,,,,
2025-01-02,SMST,7.8897,7.61,7.73,3.6183699870633896,856629.0,1.956781130825477,0.7865570253843394,8.34,-7.3141486810551495,19.964028776978406,0.8588588588588592,-9.854227405247801,12.992837111857172,25410175.35,581,0,7.58717,0,gap_through,,,,,,
2025-01-02,TSLL,26.0,24.6,25.67,5.4538371640046694,5123520.0,1.77466750366956,0.0,27.53,-6.756265891754447,13.512531783508894,0.0806451612903228,-38.14457831325301,8.406399943903933,66388223.6,575,1,24.526200000000003,0,gap_through,,,,,,
2025-01-03,HOLO,5.41,4.92,5.41,9.057301293900188,1371334.0,3.769223673755103,0.2244897959183679,5.8,-6.724137931034477,18.620689655172416,0.25925925925925947,-41.51351351351351,40.419284611367225,29255394.65,601,1,4.90524,0,gap_through,,,,,,
2025-01-03,PDYN,11.58,10.83,11.0,6.8181818181818175,224937.0,2.2557028244189197,1.0,11.76,-6.462585034013604,22.959183673469383,0.6888888888888889,-26.421404682274247,20.876969665877272,12519672.25,618,0,10.79751,1,,10.9294,10.05,eod,619.0,900.0,0.6506000000000007
2025-01-03,QBTS,9.58,9.04,9.11,5.92755214050495,2299168.0,2.4661209683359475,0.851851851851852,9.61,-5.202913631633716,19.562955254942768,0.9627659574468084,-20.157756354075378,18.475484029747335,95024454.45,619,0,9.01288,0,gap_through,,,,,,
2025-01-03,RGTI,19.74,18.16,18.95,8.337730870712393,9598581.0,3.900454038591476,0.6962025316455712,20.0,-5.2500000000000036,23.499999999999996,1.0,-5.2500000000000036,19.632206445379207,185848192.1,619,0,18.10552,0,gap_through,,,,,,
2025-01-06,MNSO,26.45,25.95,26.01,1.9223375624759707,163226.0,1.0500029815005885,0.0799999999999983,27.56,-5.624092888243822,3.737300435413647,0.854368932038833,-6.134969325153372,3.611372142766964,1073098.6,575,0,25.872149999999998,1,,25.885,24.39,eod,576.0,900.0,0.5649999999999977
2025-01-06,MSTZ,19.12,18.02,18.02,6.1043285238623834,677102.0,2.433296001788016,0.7454545454545447,19.21,-6.194690265486732,36.855804268610086,0.08615819209039542,-37.67035156412136,423.3422375184157,298593856.6,593,0,17.96594,0,gap_through,,,,,,
