day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R,split,half,wrapper,comp,q,_k,veto,cost,imp,netR,pnl_10k,pnl_50k
2025-01-03,PDYN,11.58,10.83,11.0,6.8181818181818175,224937.0,2.25570282441892,1.0,11.76,-6.462585034013604,22.959183673469383,0.6888888888888889,-26.421404682274247,20.876969665877272,12519672.25,618,0,10.79751,1,,10.9294,10.05,eod,619.0,900.0,0.6506000000000007,TRAIN,TRAIN_H1,False,-0.20745719583101693,2,1,False,0.039134502923976654,False,1.291523973372304,95.7902666666665,479.79159883040853
2025-01-08,SOUN,17.07,16.38,16.57,4.164152082076049,5631490.0,2.245263317162717,0.8833333333333325,17.975,-7.816411682892912,16.467315716272605,0.1604729729729734,-33.66693354683747,10.156509773403643,98274475.5,578,0,16.330859999999998,1,,16.37,15.0527,eod,579.0,900.0,0.6999999999999993,TRAIN,TRAIN_H1,False,0.12187014231766935,3,1,False,0.0113154098945709,False,1.8656922715791882,99.2548288480127,497.580128830169
2025-01-15,MSTZ,16.07,15.55,15.8,3.2911392405063267,530207.0,1.678099672377649,0.3076923076923082,17.19,-8.086096567771964,15.760907504362995,0.4539918060015505,-45.34914288086112,423.26972160682095,63783926.2,598,0,15.50335,1,,15.5085,15.32,eod,599.0,900.0,0.5615000000000006,TRAIN,TRAIN_H1,True,0.07067016883513408,3,1,False,0.01298812270596695,False,0.31257680729124193,14.0409501835226,70.7312865494951
2025-01-16,RGTI,10.58,10.1,10.35,4.637681159420295,11120010.0,2.832992928401221,0.8749999999999991,10.94,-5.393053016453381,16.727605118829985,0.6612021857923492,-51.68067226890757,24.151774845224363,213845763.85,583,0,10.0697,1,,10.135,10.58,stop,584.0,589.0,0.4450000000000003,TRAIN,TRAIN_H1,False,0.6624481359125437,5,1,False,0.0120000606761964,False,-1.0269664284858346,-56.211007463172194,-281.51203737653714
2025-01-17,RGTI,11.0,10.45,10.53,5.223171889838564,7599587.0,2.2019921139520413,0.700000000000002,11.24,-6.316725978647694,15.3914590747331,0.7109826589595376,-50.84033613445379,23.25981516845799,215219050.0,614,0,10.41865,1,,10.4199,9.915,eod,615.0,945.0,0.5800999999999998,TRAIN,TRAIN_H1,False,0.4854191574214655,5,1,False,0.0101403133616592,False,0.8528868930155868,58.876402709962676,296.3610522963667
2025-01-21,SMX,5.04,4.6301,5.02,8.165338645418336,34237.0,3.226201555120144,0.0973408148328866,5.36,-6.343283582089566,13.272388059701496,0.3955580545403436,-21.56250000000001,747.7785102784284,41856233.307692304,581,1,4.6162097,1,,4.6698,4.43,eod,582.0,900.0,0.3701999999999996,TRAIN,TRAIN_H1,False,-0.06029776962530463,2,1,False,0.03823863636363655,False,0.5444661362408545,53.81688409090922,269.6891045454552
2025-01-27,SERV,18.22,17.58,18.0,3.555555555555559,847262.0,1.8611933773990008,0.3439062500000031,19.26,-6.5420560747663625,16.935098650051923,0.3970322224606804,-26.07802874743327,13.651945806550284,12861681.85,576,0,17.52726,1,,17.56,16.41,eod,577.0,945.0,0.6600000000000001,TRAIN,TRAIN_H1,False,0.2172243027364551,4,0,False,0.03743609426575565,False,1.6857028874761253,78.99203730713124,394.96018653565625
2025-02-03,BKKT,16.3525,15.73,16.2,3.842592592592585,106608.0,1.6556491604869097,0.1216064257028105,17.56,-7.744874715261957,12.813211845102506,0.0088888888888887,-48.976377952755904,8.609548227769217,486673.2,577,0,15.68281,1,,15.8399,15.5836,lock,578.0,609.0,0.5125999999999991,TRAIN,TRAIN_H1,False,-0.1286335567390825,2,1,False,0.15380952380952395,False,0.19994240380506392,7.994257142857095,40.38124761904738
2025-02-07,GMEX,5.63,5.38,5.42,4.612546125461255,18318.0,1.8541476012961555,0.0,6.28,-13.694267515923572,25.636942675159226,0.3664596273291925,-53.79369138959932,9.880676257803648,442828.85,575,1,5.36386,1,,5.43,2.5493,eod,576.0,945.0,0.2000000000000001,TRAIN,TRAIN_H1,False,-0.13911679140247107,2,1,False,0.16432608695652165,False,13.581869565217383,624.766,3126.546373913043
2025-02-18,AUR,9.505,8.85,9.435,6.942236354001071,2756154.0,2.545775441097689,0.1068702290076338,10.19,-7.409224730127567,15.799803729146216,0.6397515527950309,-12.395543175487456,11.385099266628451,13908024.75,575,1,8.82345,1,,8.945,9.505,stop,576.0,901.0,0.5600000000000005,TRAIN,TRAIN_H1,False,0.4797476111031615,5,1,False,0.013300948938093051,False,-1.023751694532309,-79.68883190239501,-400.1640623587893
2025-02-25,AIFF,6.7399,6.36,6.605,5.751703255109753,71160.0,1.804219615604821,0.0,7.04,-6.178977272727267,21.91051136363637,0.313452188006483,-61.59883720930232,42.01452343712975,18286089.2,575,0,6.340920000000001,1,,6.4673,6.331,lock,576.0,629.0,0.2725999999999997,TRAIN,TRAIN_H1,False,-0.10834321252947861,2,1,False,0.12755753365175856,False,0.03207067625913745,1.6872960052104855,8.445222492400667
2025-02-26,DOMH,9.4555,9.16,9.24,3.198051948051954,30505.0,1.3590210078082685,0.7275803722504212,9.9,-6.666666666666668,25.95858585858585,0.961087980077046,-31.958261842870712,32.18155917756058,4631746.4,582,0,9.13252,1,,9.1442,9.4555,stop,583.0,593.0,0.311300000000001,TRAIN,TRAIN_H1,False,0.24289440021152695,4,0,False,0.2249999999999996,False,-1.7227754577577865,-72.93680000000009,-366.29290000000043
2025-02-27,SMCL,30.0911,28.65,28.87,4.991686872185667,36514.0,1.8120224444057635,0.2845048920963149,31.53,-8.43640976847447,21.29559150015857,0.1705264725593864,-47.192244375342966,17.056109542749,919773.75,575,1,28.56405,1,,28.57,21.015,eod,576.0,945.0,1.5211000000000006,TRAIN,TRAIN_H1,False,-0.2068399056681188,2,1,False,0.11364616451731971,False,4.8920871970828195,319.97821492575525,1622.2151361352242
2025-03-12,TSLZ,5.27,5.04,5.09,4.518664047151268,3404361.0,2.873150656885774,0.4130434782608693,5.96,-14.597315436241612,18.288590604026854,0.3302752293577982,-23.916292974588945,9.750561744507753,69740598.9,576,1,5.0248800000000005,1,,5.03,5.27,stop,577.0,632.0,0.2399999999999993,TRAIN,TRAIN_H1,True,0.07051999487727408,3,1,False,0.010015479498841951,False,-1.0417311645785083,-62.00383891571264,-310.5192255375609
