day,symbol,m
2025-04-07,DFTX,578
2025-04-07,DLO,585
2025-04-07,ECC,576
2025-04-07,EPD,583
2025-04-07,ETHE,584
2025-04-07,FVRR,585
2025-04-07,GDS,585
2025-04-07,GGLL,579
2025-04-07,HLX,585
2025-04-07,HOS,585
2025-04-07,KREF,582
2025-04-07,KSS,576
2025-04-07,NAVI,583
2025-04-07,NBIS,579
2025-04-07,NBXG,583
2025-04-07,NMRK,578
2025-04-07,NTLA,581
2025-04-07,NVDL,583
2025-04-07,OSCR,581
2025-04-07,RGNX,577
2025-04-07,SEZL,583
2025-04-07,SG,584
2025-04-07,SONO,586
2025-04-07,SPRY,579
2025-04-07,ST,583
2025-04-07,URTY,579
2025-04-07,USD,578
2025-04-07,VKTX,579
2025-04-07,VSCO,611
2025-04-07,W,585
2025-04-07,WEBL,583
2025-04-07,WRBY,586
2025-04-07,XIFR,578
2025-04-07,XPRO,585
2025-04-07,YMAX,584
2025-04-08,NVDD,576
2025-04-08,PLTD,606
2025-04-09,BE,576
2025-04-09,CLMT,614
2025-04-10,AAOI,593
2025-04-10,AMKR,578
2025-04-10,APA,577
2025-04-10,BTDR,576
2025-04-10,CONL,602
2025-04-10,CRGY,579
2025-04-10,ETHU,583
2025-04-10,FNGU,584
2025-04-10,HIBL,577
2025-04-10,IONX,579
2025-04-10,PCT,578
2025-04-10,PTEN,578
2025-04-10,QQQU,585
2025-04-10,SMCL,577
2025-04-10,SVIX,595
2025-04-10,W,602
2025-04-16,GDS,577
2025-04-16,ROBN,596
2025-04-21,HTZ,576
2025-04-21,TSLL,578
2025-04-21,TSLR,579
2025-04-21,TSLT,579
2025-04-23,ZYBT,606
2025-04-24,UPXI,576
2025-04-29,ACMR,577
2025-04-30,HIMZ,576
2025-04-30,SOXL,582
2025-04-30,TSLT,576
2025-05-01,MATW,576
2025-05-06,ROBN,599
2025-05-07,DNOW,577
2025-05-08,CLF,576
2025-05-08,PTON,577
2025-05-09,REAL,580
2025-05-09,TMCI,577
2025-05-12,PAAS,576
2025-05-14,ASST,576
2025-05-14,ETHT,579
2025-05-15,RYET,578
2025-05-15,XPOF,600
2025-05-16,ETHD,576
2025-05-16,URGN,578
2025-05-19,QUBT,576
2025-05-19,TSSI,596
2025-05-20,AEVA,576
2025-05-21,CHAI,577
2025-05-22,ARQQ,578
2025-05-22,ARRY,577
2025-05-22,BKSY,579
2025-05-22,MWYN,578
2025-05-22,NTCL,604
2025-05-22,SEDG,576
2025-05-23,QMCO,577
2025-05-28,CODI,595
2025-05-28,PLAB,626
2025-05-28,TEMT,578
2025-05-29,EOSE,578
2025-05-29,HOLO,629
2025-05-30,TIL,576
2025-06-02,RYET,632
2025-06-05,TSLG,578
2025-06-05,TSLL,578
2025-06-05,TSLR,578
2025-06-05,TSLT,578
2025-06-09,PLCE,583
2025-06-12,GME,577
2025-06-13,NVTS,632
2025-06-16,RBNE,578
2025-06-17,MARPS,608
2025-06-17,QUBT,580
2025-06-17,RCAT,584
2025-06-17,SEDG,576
2025-06-20,AGIG,576
2025-06-23,BRR,576
2025-06-23,GRRR,576
2025-06-23,RGTX,577
2025-06-23,WHLR,600
2025-06-27,AGIG,581
2025-07-01,ECVT,593
2025-07-01,TAOX,587
2025-07-01,WBUY,605
2025-07-07,CORZ,576
2025-07-07,CORZW,576
2025-07-15,CLBR,579
2025-07-15,PEW,579
2025-07-16,BGMS,578
2025-07-17,HYPD,580
2025-07-22,VIVO,584
2025-07-22,VVPR,584
2025-07-23,SOLT,576
2025-07-25,BGMS,589
2025-07-25,CRI,576
2025-07-25,SOLT,582
2025-07-28,HTOO,582
2025-07-29,STEM,576
2025-07-30,FVRR,577
2025-07-30,LHAI,607
2025-07-30,PUMP,581
2025-07-30,SOFX,582
2025-07-31,BGLC,576
2025-07-31,CVI,576
2025-07-31,REPL,578
2025-08-01,AEVA,576
2025-08-01,CWVX,585
2025-08-01,DNA,579
2025-08-01,METC,579
2025-08-01,MSTU,577
2025-08-01,NWL,579
2025-08-01,SATS,577
2025-08-01,SOXL,582
2025-08-01,UEC,582
2025-08-04,FDMT,576
2025-08-05,ICHR,580
2025-08-06,AMDL,621
2025-08-06,SMCL,587
2025-08-07,CDNA,577
2025-08-07,RDW,584
2025-08-08,AVPT,576
2025-08-08,EVH,590
2025-08-08,NRDS,582
2025-08-08,OS,580
2025-08-11,ASPN,576
2025-08-12,BTAI,578
2025-08-18,FRMM,576
2025-08-19,VKTX,622
2025-08-19,XNET,577
2025-08-21,CSIQ,624
2025-08-21,VNET,577
2025-08-25,DFDV,584
2025-08-25,RIOX,582
2025-09-02,CNTN,631
2025-09-02,CRCA,608
2025-09-02,CRCG,608
2025-09-04,STI,577
2025-09-08,SMMT,599
2025-09-08,TGS,585
2025-09-09,INHD,607
2025-09-12,RFIL,589
2025-09-15,FOFO,581
2025-09-15,HYPD,587
2025-09-17,FGI,585
2025-09-17,RICK,576
2025-09-22,AGMH,581
2025-09-22,COMP,618
2025-09-22,FCHL,592
2025-09-22,QBTS,577
2025-09-22,QUBT,582
2025-09-22,RGTI,577
2025-09-22,RGTIW,576
2025-09-23,DGNX,579
2025-09-23,WLDS,585
2025-09-25,AMPX,577
2025-09-25,ASTX,576
2025-09-25,BAIG,577
2025-09-25,LTBR,581
2025-09-25,RGTI,578
2025-09-25,RGTIW,580
2025-09-25,TSSI,578
2025-09-25,UPSX,576
2025-09-25,WYFI,582
2025-10-06,QUBT,587
2025-10-06,QUBX,587
2025-10-09,AREB,578
2025-10-09,HELE,602
2025-10-10,XBIO,630
2025-10-14,ALOY,576
2025-10-14,BCRX,581
2025-10-14,CRCA,576
2025-10-14,CRWG,577
2025-10-14,DPRO,576
2025-10-14,HIVE,576
2025-10-14,MSOX,576
2025-10-14,POET,578
2025-10-14,SMU,576
2025-10-14,SOLT,577
2025-10-14,TAOX,579
2025-10-14,UPXI,576
2025-10-14,XRPT,576
2025-10-15,CRML,579
2025-10-15,GWAV,582
2025-10-15,GWH,594
2025-10-16,BITF,578
2025-10-16,GWH,576
2025-10-16,KEEL,578
2025-10-16,LAC,576
2025-10-17,ALM,577
2025-10-17,BMNU,581
2025-10-17,CIFR,580
2025-10-17,CRCA,581
2025-10-17,CRCG,582
2025-10-17,CRWG,580
2025-10-17,DPRO,582
2025-10-17,IONR,625
2025-10-17,MOB,586
2025-10-17,MRAL,580
2025-10-17,XRPT,585
2025-10-21,ALM,582
2025-10-21,CRWG,576
2025-10-21,CWVX,576
2025-10-21,HYMC,587
2025-10-21,NB,605
2025-10-21,SMU,576
2025-10-21,TAOX,581
2025-10-21,UAMY,576
2025-10-22,BTQ,579
2025-10-22,CIFR,578
2025-10-22,HIVE,627
2025-10-22,LAES,582
2025-10-22,NERV,578
2025-10-22,RR,578
2025-10-22,SOLT,576
2025-10-22,USAR,576
2025-10-23,RGTZ,624
2025-10-23,TSLL,577
2025-10-27,ALM,620
2025-10-27,CRML,576
2025-10-27,TMQ,577
2025-10-30,HIVE,583
2025-10-30,PACK,584
2025-10-30,THRY,581
2025-10-31,AQMS,578
2025-10-31,SVV,576
2025-11-03,BMNU,576
2025-11-03,BSOL,619
2025-11-03,SSTK,577
2025-11-04,ADTN,577
2025-11-04,BTQ,578
2025-11-04,DFDV,577
2025-11-04,EOSE,576
2025-11-04,FWDI,608
2025-11-04,LAES,576
2025-11-04,MSTX,576
2025-11-04,NBIL,576
2025-11-04,SLDP,577
2025-11-04,SMU,576
2025-11-04,SOC,576
2025-11-04,SOUN,576
2025-11-04,TSLG,576
2025-11-04,TSLL,576
2025-11-04,TSLT,576
2025-11-05,MBC,583
2025-11-05,PSNL,578
2025-11-05,QBTZ,627
2025-11-06,ACHC,576
2025-11-06,ACVA,576
2025-11-06,ASPN,580
2025-11-06,MGNI,576
2025-11-06,SLDP,582
2025-11-06,TAC,576
2025-11-06,XERS,578
2025-11-06,XRPT,576
2025-11-06,XXRP,576
2025-11-06,ZLAB,578
2025-11-07,ACHR,580
2025-11-07,AMDL,576
2025-11-07,ARCX,579
2025-11-07,ASLE,586
2025-11-07,BULG,579
2025-11-07,CLPT,580
2025-11-07,INFQ,579
2025-11-07,LAES,576
2025-11-07,LTBR,580
2025-11-07,MSTX,577
2025-11-07,NB,576
2025-11-07,NUAI,576
2025-11-07,QURE,591
2025-11-07,SMR,576
2025-11-07,SMU,576
2025-11-07,SMUP,576
2025-11-07,STGW,580
2025-11-07,UMAC,576
2025-11-10,OSCR,586
2025-11-10,PLTZ,576
2025-11-11,CLSK,577
2025-11-11,SOLT,586
2025-11-13,AMDL,583
2025-11-13,DAWN,576
2025-11-13,IRE,576
2025-11-13,IREX,576
2025-11-13,KRRO,583
2025-11-13,NEXN,578
2025-11-13,PAYS,578
2025-11-13,QUBX,576
2025-11-13,RIOX,578
2025-11-14,DFDV,632
2025-11-14,FRMM,614
2025-11-14,SOC,600
2025-11-18,ENR,576
2025-11-20,FINV,597
2025-11-20,TSLQ,576
2025-11-20,UVIX,589
2025-11-21,CTNM,577
2025-11-21,MSTX,618
2025-11-21,UVIX,578
2025-11-21,XXRP,636
2025-11-25,CRWU,577
2025-11-25,IREX,576
2025-11-25,MRAL,576
2025-11-25,MSTX,586
2025-11-25,NBIL,582
2025-11-26,PD,579
2025-11-28,BMNZ,595
2025-11-28,IMPP,582
2025-11-28,MSTZ,612
2025-12-01,BSOL,617
2025-12-01,CRWU,585
2025-12-01,SOLZ,615
2025-12-01,XRPT,613
2025-12-02,BMNZ,576
2025-12-04,CAPR,576
2025-12-05,BAIG,576
2025-12-05,IMTX,576
2025-12-05,SOLT,578
2025-12-05,TARA,579
2025-12-08,CRWU,612
2025-12-08,PLRZ,577
2025-12-08,QBTZ,589
2025-12-09,XXI,576
2025-12-10,OCG,576
2025-12-10,TGL,594
2025-12-11,BBGI,585
2025-12-11,BMNG,596
2025-12-11,CCUP,596
2025-12-11,CONL,595
2025-12-11,MRAL,592
2025-12-11,SMU,587
2025-12-11,TE,585
2025-12-12,BEX,585
2025-12-12,BGDE,631
2025-12-12,MIGI,631
2025-12-15,KPLT,624
2025-12-16,NAVN,598
2025-12-22,BMNZ,596
2025-12-22,BOIL,578
2025-12-23,FJET,578
2025-12-23,RGTX,606
2025-12-23,RXST,585
2025-12-29,HYMC,606
2026-01-02,BMNZ,584
2026-01-02,INBS,577
2026-01-05,BMNZ,584
2026-01-05,MSTZ,579
2026-01-07,CLSX,622
2026-01-07,SMU,576
2026-01-08,BMNU,604
2026-01-08,TGL,586
2026-01-08,XXRP,585
2026-01-09,ACON,578
2026-01-12,ATEC,576
2026-01-14,BMNZ,588
2026-01-14,EOSE,586
2026-01-14,MSTZ,578
2026-01-14,OKLL,577
2026-01-20,ADUR,604
2026-01-20,BKKT,576
2026-01-20,BMNU,612
2026-01-20,IONX,588
2026-01-20,MNTS,589
2026-01-20,MRAL,596
2026-01-20,MST,587
2026-01-20,NVTS,587
2026-01-20,OKLL,587
2026-01-20,RGTX,577
2026-01-20,ROLR,588
2026-01-20,SMU,587
2026-01-20,SOLT,589
2026-01-20,SPHL,591
2026-01-21,ERAS,607
2026-01-21,LEGN,579
2026-01-22,BNAI,585
2026-01-22,RGTZ,582
2026-01-26,ASTI,606
2026-01-27,BOIL,593
2026-01-27,CORD,576
2026-01-27,UNHG,576
2026-01-28,RR,577
2026-01-29,CLSX,577
2026-01-29,CRWU,576
2026-01-29,MRAL,577
2026-01-29,NB,576
2026-01-29,NOWL,586
2026-01-29,RGTX,584
2026-01-29,UAMY,577
2026-01-29,UUUG,576
2026-01-29,UUUU,576
2026-01-29,VZLA,634
2026-01-30,CPXR,599
2026-01-30,IRE,594
2026-01-30,IREX,594
2026-01-30,NBIL,578
2026-01-30,ROLR,576
2026-01-30,SGML,599
2026-01-30,SPPP,602
2026-01-30,TMQ,601
2026-02-02,BOIL,581
2026-02-02,NUAI,594
2026-02-03,ADBG,625
2026-02-04,AMDL,576
2026-02-04,APPX,582
2026-02-04,INTA,576
2026-02-04,IRE,576
2026-02-04,IREX,576
2026-02-04,NBIL,576
2026-02-04,NEBX,576
2026-02-04,ROBN,576
2026-02-05,BMNR,603
2026-02-05,CRMX,593
2026-02-05,ETHU,595
2026-02-05,EXK,616
2026-02-05,GLXY,598
2026-02-05,NUAI,601
2026-02-05,QBTX,577
2026-02-05,RCAT,595
2026-02-05,SBET,593
2026-02-05,UAMY,614
2026-02-05,VELO,596
2026-02-05,XRP,600
2026-02-06,HIMS,577
2026-02-09,HIMS,576
2026-02-09,MSTW,577
2026-02-10,GILT,586
