day,symbol,m
2025-04-04,ROBN,577
2025-04-04,RSI,625
2025-04-04,SEI,577
2025-04-04,SERV,579
2025-04-04,SEZL,608
2025-04-04,SM,576
2025-04-04,SMR,576
2025-04-04,SMTC,579
2025-04-04,SOUN,578
2025-04-04,SPYU,577
2025-04-04,STLA,577
2025-04-04,SUPV,577
2025-04-04,SYRE,620
2025-04-04,TIGR,577
2025-04-04,TME,577
2025-04-04,TSLL,577
2025-04-04,TSLR,577
2025-04-04,TSLT,577
2025-04-04,UCO,582
2025-04-04,UWM,577
2025-04-04,VSAT,577
2025-04-04,VSTM,577
2025-04-04,W,578
2025-04-04,WSC,576
2025-04-04,WTTR,577
2025-04-04,ZETA,578
2025-04-07,ACMR,584
2025-04-07,AEO,576
2025-04-07,AMDY,579
2025-04-07,ARCT,576
2025-04-07,ARKG,579
2025-04-07,ARLO,583
2025-04-07,ASX,577
2025-04-07,BBIO,581
2025-04-07,BITU,577
2025-04-07,BSTZ,576
2025-04-07,BXSL,584
2025-04-07,CAPR,577
2025-04-07,CARS,584
2025-04-07,CIM,584
2025-04-07,CLF,583
2025-04-07,CONL,581
2025-04-07,CONY,583
2025-04-07,CORZ,583
2025-04-07,CPS,576
2025-04-07,CRNC,579
2025-04-07,CRSR,577
2025-04-07,CWK,581
2025-04-07,DAWN,586
2025-04-07,DFEN,583
2025-04-07,DJT,584
2025-04-07,DNA,581
2025-04-07,DOCN,577
2025-04-07,ENVX,581
2025-04-07,EOLS,580
2025-04-07,FETH,584
2025-04-07,FRSH,582
2025-04-07,GOF,576
2025-04-07,GUSH,582
2025-04-07,HIMX,576
2025-04-07,HLF,576
2025-04-07,HSAI,581
2025-04-07,IEP,576
2025-04-07,INTW,578
2025-04-07,JHG,583
2025-04-07,KD,583
2025-04-07,KRP,582
2025-04-07,LNC,581
2025-04-07,LTBR,582
2025-04-07,LUNR,581
2025-04-07,LYFT,579
2025-04-07,MGNI,577
2025-04-07,MSFL,576
2025-04-07,MSFU,576
2025-04-07,MSTY,582
2025-04-07,NCLH,583
2025-04-07,NVDY,581
2025-04-07,OILU,577
2025-04-07,OPRA,582
2025-04-07,OUST,583
2025-04-07,OWL,578
2025-04-07,PAYO,581
2025-04-07,PCT,581
2025-04-07,PGY,579
2025-04-07,PONY,582
2025-04-07,PUBM,576
2025-04-07,QBTS,582
2025-04-07,RCAT,577
2025-04-07,RNG,576
2025-04-07,RPC,583
2025-04-07,SDGR,578
2025-04-07,SEDG,581
2025-04-07,SGML,577
2025-04-07,SM,580
2025-04-07,SOUN,583
2025-04-07,SOXL,577
2025-04-07,SPYU,576
2025-04-07,SRRK,577
2025-04-07,STLA,579
2025-04-07,SVIX,576
2025-04-07,SYM,583
2025-04-07,TAL,579
2025-04-07,TIGR,579
2025-04-07,TRIP,579
2025-04-07,TSL,578
2025-04-07,TSSI,581
2025-04-07,U,577
2025-04-07,UWM,581
2025-04-07,WRD,577
2025-04-08,FAZ,587
2025-04-08,FNGD,599
2025-04-08,MSTZ,587
2025-04-08,SDS,599
2025-04-08,TSLS,618
2025-04-10,AAL,578
2025-04-10,ALGM,577
2025-04-10,AMZU,583
2025-04-10,CRSR,592
2025-04-10,DEA,607
2025-04-10,ENVX,576
2025-04-10,FEED,590
2025-04-10,HP,578
2025-04-10,MBLY,584
2025-04-10,MLYS,578
2025-04-10,MSTX,583
2025-04-10,NVDX,599
2025-04-10,OILU,577
2025-04-10,PLTU,601
2025-04-10,RETL,578
2025-04-10,ROBN,602
2025-04-10,SDRL,578
2025-04-10,SOFX,577
2025-04-10,SPYU,578
2025-04-10,TNA,582
2025-04-10,TSLL,597
2025-04-10,TSLT,596
2025-04-10,UMAC,600
2025-04-10,URTY,582
2025-04-10,UWM,582
2025-04-14,MSTZ,594
2025-04-15,ALGM,591
2025-04-15,MLGO,577
2025-04-17,ALHC,582
2025-04-21,MSTZ,630
2025-04-21,SMCX,600
2025-04-22,MSTZ,581
2025-04-23,FNGD,578
2025-04-23,SEDG,576
2025-04-23,SOXS,578
2025-04-24,SOXS,586
2025-04-28,CSIQ,576
2025-04-30,FNGU,582
2025-04-30,PONY,636
2025-04-30,SOFX,578
2025-04-30,TSLL,577
2025-04-30,TSLR,576
2025-05-05,CAPR,580
2025-05-05,IART,577
2025-05-05,OCUL,621
2025-05-05,RIOX,579
2025-05-05,UMAC,578
2025-05-06,CSTL,592
2025-05-07,LFST,606
2025-05-08,CARS,581
2025-05-08,EOLS,576
2025-05-09,ETHD,577
2025-05-09,KODK,577
2025-05-12,LABD,578
2025-05-12,OMER,580
2025-05-12,UVXY,580
2025-05-13,ETHD,576
2025-05-13,FIAT,576
2025-05-13,HTZ,577
2025-05-13,PSFE,583
2025-05-15,CONL,580
2025-05-16,SMCZ,576
2025-05-19,ACHR,576
2025-05-20,KOLD,578
2025-05-21,GTX,587
2025-05-21,VFC,577
2025-05-22,RUN,577
2025-05-30,NMAX,578
2025-06-05,RYET,585
2025-06-06,GIII,576
2025-06-10,KWM,577
2025-06-10,LQDA,576
2025-06-11,CGNT,583
2025-06-11,MP,576
2025-06-11,USAR,578
2025-06-13,DFDV,606
2025-06-13,RIOX,615
2025-06-13,SMCL,595
2025-06-13,SOXL,629
2025-06-16,SRPT,578
2025-06-16,UVIX,587
2025-06-16,UVXY,590
2025-06-24,AGIG,578
2025-06-27,HSAI,576
2025-06-27,KOLD,578
2025-06-30,ARRY,594
2025-07-01,SOLT,580
2025-07-01,XCUR,601
2025-07-03,DAIC,586
2025-07-09,NDRA,611
2025-07-10,GRRR,627
2025-07-10,NDRA,584
2025-07-15,SQFT,613
2025-07-16,ETHD,577
2025-07-18,DPRO,580
2025-07-23,BTCS,588
2025-07-23,MARA,577
2025-07-23,XRPT,577
2025-07-29,TRON,601
2025-07-31,BAX,615
2025-08-01,AMPX,580
2025-08-01,APLD,577
2025-08-01,BGLC,579
2025-08-01,CALY,577
2025-08-01,MRAL,584
2025-08-01,MST,577
2025-08-01,RIOT,577
2025-08-01,SMCL,582
2025-08-01,VISN,583
2025-08-04,REPL,592
2025-08-05,EPC,576
2025-08-06,ACMR,582
2025-08-06,AIP,576
2025-08-06,ARVN,607
2025-08-06,BLMN,576
2025-08-06,EOLS,593
2025-08-06,FUN,576
2025-08-06,LFMD,576
2025-08-07,LLYX,577
2025-08-07,SEAT,576
2025-08-08,FIP,577
2025-08-11,ALTS,576
2025-08-12,FLNC,629
2025-08-12,KODK,577
2025-08-13,CWVX,581
2025-08-13,ZVRA,591
2025-08-14,CWVX,582
2025-08-14,FRMM,576
2025-08-14,MRAL,598
2025-08-15,DFDV,576
2025-08-15,FRMM,595
2025-08-15,RCAT,578
2025-08-20,FRMM,587
2025-08-20,JHX,579
2025-08-20,TEMT,586
2025-08-25,XRPT,586
2025-09-02,CWVX,607
2025-09-04,DAVA,636
2025-09-04,IPDN,576
2025-09-09,PACS,576
2025-09-09,SOC,577
2025-09-10,INHD,601
2025-09-11,QMCO,593
2025-09-12,RENT,579
2025-09-15,IONZ,598
2025-09-16,RCEL,585
2025-09-17,TURB,580
2025-09-17,WLDS,581
2025-09-18,PMI,576
2025-09-18,SQFT,612
2025-09-22,BNC,585
2025-09-22,CCUP,577
2025-09-22,CRCA,577
2025-09-22,CRCG,577
2025-09-22,HYPD,576
2025-09-22,QUBX,577
2025-09-23,OPEN,588
2025-09-24,HRMY,614
2025-09-25,IMSR,583
2025-09-25,MVLL,578
2025-09-25,QBTS,578
2025-09-25,SMCL,576
2025-09-25,SOLT,579
2025-09-25,TEMT,576
2025-09-25,TGEN,582
2025-09-25,UMAC,578
2025-09-25,UPXI,577
2025-09-25,XRPT,577
2025-09-30,JFB,607
2025-09-30,TIC,590
2025-09-30,XTND,607
2025-10-01,SLMT,591
2025-10-06,EPSM,576
2025-10-07,AEHR,576
2025-10-10,TTRX,620
2025-10-13,HIBS,599
2025-10-13,RGTZ,587
2025-10-13,SRTY,599
2025-10-13,TZA,599
2025-10-13,UVIX,580
2025-10-13,UVXY,588
2025-10-14,BMNU,576
2025-10-14,BTDR,576
2025-10-14,BULG,577
2025-10-14,CCUP,576
2025-10-14,CRCG,576
2025-10-14,OEC,612
2025-10-14,XXRP,577
2025-10-15,AQMS,590
2025-10-15,UVIX,605
2025-10-16,OMER,594
2025-10-17,BAIG,582
2025-10-17,BTDR,578
2025-10-17,CCUP,581
2025-10-17,CLSK,585
2025-10-17,DFNS,615
2025-10-17,SBSW,576
2025-10-17,XXRP,585
2025-10-20,HSDT,576
2025-10-20,UVIX,578
2025-10-21,ASM,576
2025-10-21,FLNC,579
2025-10-21,USAR,576
2025-10-21,XRPT,586
2025-10-21,XXRP,586
2025-10-22,ABAT,578
2025-10-22,AQMS,626
2025-10-22,DFNS,579
2025-10-22,MSTX,625
2025-10-22,QUBX,577
2025-10-24,SOC,576
2025-10-27,UUUU,616
2025-10-28,METC,577
2025-10-29,CZR,595
2025-10-30,BMNU,625
