day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R,cellC_new,split,half,wrapper,comp,q,_k,veto,cost,imp,netR,pnl_10k,pnl_50k
2025-01-02,SMST,7.8897,7.61,7.73,3.6183699870633896,856629.0,1.956781130825477,0.7865570253843394,8.34,-7.314148681055149,19.96402877697841,0.8588588588588592,-9.8542274052478,12.992837111857172,25410175.35,581,0,7.58717,1,,7.565,7.8897,stop,582.0,653.0,0.3247,1,TRAIN,TRAIN_H1,True,0.2235902935728824,4,0,False,0.01367151611133655,False,-1.0421050696376242,-55.83130015837053,-279.494872307964
2025-01-02,MSTZ,26.6287,25.69,26.1,3.596551724137921,378467.0,2.030896294076553,0.7989773090444255,28.09,-7.084371662513345,19.97436810252758,0.8537107007913313,-9.722318303194644,423.0016421362784,330749258.95,581,0,25.61293,1,,25.55,26.6287,stop,582.0,662.0,1.0786999999999978,1,TRAIN,TRAIN_H1,True,0.16081077085144407,4,0,False,0.03501301870144985,False,-1.032458532216047,-53.45822489766949,-271.74597656315325
2025-01-03,RGTI,19.74,18.16,18.95,8.337730870712393,9598581.0,3.900454038591476,0.6962025316455712,20.0,-5.250000000000004,23.5,1.0,-5.250000000000004,19.632206445379207,185848192.1,619,0,18.10552,1,,18.02,18.7967,eod,620.0,900.0,1.7199999999999989,1,TRAIN,TRAIN_H1,False,0.6793916325316689,5,1,False,0.0195755563531943,False,-0.46295090485650964,-54.943013388370524,-275.5113424982058
2025-01-03,QBTS,9.58,9.04,9.11,5.92755214050495,2299168.0,2.4661209683359475,0.851851851851852,9.61,-5.202913631633716,19.562955254942768,0.9627659574468084,-20.15775635407537,18.47548402974733,95024454.45,619,0,9.01288,1,,8.97,9.58,stop,620.0,656.0,0.6099999999999994,1,TRAIN,TRAIN_H1,False,0.07772008906163871,3,1,False,0.014907715919711101,False,-1.0244388785569034,-86.86217251283976,-434.9357702801185
2025-01-07,MSTU,11.95,11.42,11.7,4.5299145299145245,2224077.0,2.2834976443202417,0.3962264150943417,12.58,-6.995230524642296,22.398251192368843,0.921922135074706,-93.1542917324908,24.89446679753099,34375305.75,576,0,11.38574,1,,11.38,11.95,stop,577.0,583.0,0.5699999999999985,1,TRAIN,TRAIN_H1,True,-0.22133014396463238,2,1,False,0.0143476270035877,False,-1.0251712754448907,-63.693891343390895,-320.80684722496886
2025-01-08,NNE,28.6,27.71,28.05,3.1729055258467045,287460.0,1.856678439564566,0.3180898876404464,30.24,-7.242063492063484,13.359788359788356,0.2178217821782176,-16.01796407185628,7.49983334044987,3900566.35,577,0,27.62687,1,,27.59,26.63,eod,578.0,945.0,1.0100000000000016,1,TRAIN,TRAIN_H1,False,0.07821269106216863,3,1,False,0.09380381086803125,False,0.8576199892395725,38.978828510938634,195.76033874382514
2025-01-08,SOUN,17.07,16.38,16.57,4.164152082076049,5631490.0,2.245263317162717,0.8833333333333325,17.975,-7.816411682892912,16.467315716272605,0.1604729729729734,-33.66693354683747,10.156509773403643,98274475.5,578,0,16.330859999999998,1,,16.37,15.0527,eod,579.0,900.0,0.6999999999999993,0,TRAIN,TRAIN_H1,False,0.041166160825829926,3,1,False,0.0113154098945709,False,1.8656922715791882,99.2548288480127,497.580128830169
2025-01-10,XXII,5.7723,5.35,5.69,7.421792618629188,24833.0,2.090506566745724,0.0473596968979408,8.1,-29.75308641975308,53.333333333333336,0.5949074074074073,-42.23350253807106,2328.864977638965,4361001.9,576,1,5.33395,1,,5.3599,4.91,eod,577.0,900.0,0.4124000000000007,0,TRAIN,TRAIN_H1,False,0.40170029718399386,5,1,False,0.16159722222222225,False,0.6990853001400988,67.1745472222221,336.16103888888824
2025-01-13,SERV,17.58,16.77,17.52,4.62328767123287,847023.0,2.3656023150965755,0.2407407407407414,18.735,-6.485188150520416,13.877768881772091,0.994230769230769,-28.049281314168383,13.736134182526074,13108262.05,575,1,16.71969,1,,16.7,15.26,eod,576.0,900.0,0.879999999999999,1,TRAIN,TRAIN_H1,False,0.2818320524853124,4,0,False,0.0434823468391012,False,1.5869518785919317,103.34230633390648,522.297602282176
2025-01-13,RGTI,8.1,7.07,7.33,14.051841746248286,11893119.0,4.381935859872335,0.9862135922330107,8.93,-17.917133258678607,25.86786114221725,0.2164502164502164,-65.7796451914099,21.12586187078129,196796305.55,609,1,7.04879,1,,7.0112,6.235,eod,610.0,900.0,1.0888,1,TRAIN,TRAIN_H1,False,-0.15651650799302913,2,1,False,0.01078491361842875,False,0.7029896090940215,136.24388537591958,681.9848419659794
