day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R,split,half,wrapper,cost,imp,netR,pnl_10k,pnl_50k
2025-01-03,PDYN,11.58,10.83,11.0,6.8181818181818175,224937.0,2.25570282441892,1.0,11.76,-6.462585034013604,22.959183673469383,0.6888888888888889,-26.421404682274247,20.876969665877272,12519672.25,618,0,10.79751,1,,10.9294,10.05,eod,619.0,900.0,0.6506000000000007,TRAIN,TRAIN_H1,False,0.039134502923976654,False,1.291523973372304,95.7902666666665,479.79159883040853
2025-01-06,MNSO,26.45,25.95,26.01,1.9223375624759709,163226.0,1.0500029815005885,0.0799999999999983,27.56,-5.624092888243822,3.737300435413647,0.854368932038833,-6.134969325153372,3.611372142766964,1073098.6,575,0,25.87215,1,,25.885,24.39,eod,576.0,900.0,0.5649999999999977,TRAIN,TRAIN_H1,False,0.027541107382550098,False,2.597272376314083,70.43802684563765,353.6575931208057
2025-01-06,NVD,24.56,24.0,24.31,2.303578774167004,130659.0,0.8636090298039285,0.2321428571428559,25.72,-5.482115085536548,7.892690513219276,0.0837438423645312,0.0,0.0,0.0,580,0,23.928,1,,23.94,23.9,eod,581.0,945.0,0.6199999999999974,TRAIN,TRAIN_H1,True,0.0280341484445819,False,0.019299760573259432,0.6222242808818815,3.1230872559648284
2025-01-08,ALTS,6.6,6.325,6.4,4.296874999999992,15670.0,1.5289399051892762,0.9272727272727288,6.8,-5.882352941176463,19.558823529411768,0.7819548872180451,-9.73201692524682,5.2856269401011735,303384.0,580,0,6.306025,1,,6.4,6.61,stop,581.0,639.0,0.1999999999999993,TRAIN,TRAIN_H1,False,0.15779411764705908,False,-1.8389705882353018,-71.71985294117651,-358.9670588235296
2025-01-08,ARQQ,27.99,24.3,27.99,13.183279742765269,188272.0,4.794408771841694,0.0805962059620595,35.7,-21.596638655462197,12.24089635854341,0.1121281464530897,-46.9785944307634,15.736559352894728,1292786.35,575,1,24.2271,1,,25.15,27.99,stop,576.0,779.0,2.84,TRAIN,TRAIN_H1,False,0.5803686067019402,False,-1.2043551432049084,-167.59806172839507,-848.2514144620811
2025-01-08,ATOM,14.935,13.69,14.86,8.378196500672955,154340.0,3.448868668561742,0.1325301204819283,16.24,-8.497536945812803,10.65578817733991,0.8552441490898571,-15.327635327635331,9.70562188287676,950325.35,575,1,13.64893,1,,13.8953,11.7936,eod,576.0,900.0,1.0396999999999998,TRAIN,TRAIN_H1,False,0.09687773456490029,False,1.9282699484804282,178.429181623724,900.1651971803603
2025-01-08,OKLO,28.86,27.4,27.74,5.263157894736845,734272.0,2.1850074960430854,0.9417808219178077,29.5,-5.96610169491526,12.305084745762707,0.3360881542699722,-13.068003760576628,7.850412602183679,15590143.35,587,0,27.3178,1,,27.6,26.33,eod,588.0,945.0,1.259999999999998,TRAIN,TRAIN_H1,False,0.058342754233237204,False,0.9616327347355299,54.52457605950446,273.83453754328906
2025-01-08,RCAT,12.9,12.1305,12.26,6.276508972267543,605993.0,3.0171690137602307,0.764782326185834,13.06,-6.12557427258806,16.003062787136304,0.0909090909090914,-19.731302827736567,11.242580449846743,14113036.0,591,0,12.0941085,1,,12.1979,11.9501,eod,592.0,900.0,0.7020999999999997,TRAIN,TRAIN_H1,False,0.024813401187447702,False,0.31759948556124795,22.744633078880312,114.16913859202667
2025-01-08,SOUN,17.07,16.38,16.57,4.164152082076049,5631490.0,2.245263317162717,0.8833333333333325,17.975,-7.816411682892912,16.467315716272605,0.1604729729729734,-33.66693354683747,10.156509773403643,98274475.5,578,0,16.330859999999998,1,,16.37,15.0527,eod,579.0,900.0,0.6999999999999993,TRAIN,TRAIN_H1,False,0.0113154098945709,False,1.8656922715791882,99.2548288480127,497.580128830169
2025-01-10,ACHR,10.05,9.62,9.77,4.40122824974413,2271601.0,2.147395602320884,0.1162790697674431,10.48,-6.774809160305352,10.591603053435108,0.3783783783783785,-21.683366733466936,8.290401821079803,48168053.65,575,0,9.59114,1,,9.64,9.155,eod,576.0,900.0,0.4100000000000001,TRAIN,TRAIN_H1,False,0.0142971887550199,False,1.148055637182881,60.72066265060259,305.0154216867479
