,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.08,0.02,-0.06,-0.08,0.29,0.43,0.32,0.12,0.36,0.0,-0.03,0.0,0.04,0.08,-0.03,-0.0,-0.1,-0.06,-0.03,0.15,0.1,0.12,-0.11
range_size_pct,-0.08,1.0,0.32,0.92,-0.23,0.1,0.09,0.1,0.1,0.06,0.15,0.44,-0.08,0.07,0.38,0.18,0.15,0.41,-0.08,-0.12,-0.06,-0.03,0.04,-0.06
range_total_volume,0.02,0.32,1.0,0.34,-0.28,0.11,0.07,0.09,0.08,0.09,-0.03,0.11,0.07,0.51,0.16,-0.03,0.0,0.16,0.02,0.02,-0.01,0.03,-0.02,-0.05
range_avg_bar_range_pct,-0.06,0.92,0.34,1.0,-0.25,0.1,0.08,0.06,0.1,0.05,0.17,0.48,-0.05,0.09,0.43,0.14,0.19,0.41,-0.08,-0.1,-0.05,-0.01,0.06,-0.07
range_volume_stddev_pct,-0.08,-0.23,-0.28,-0.25,1.0,-0.15,-0.15,-0.14,-0.14,-0.13,-0.01,-0.12,-0.0,-0.25,-0.21,-0.02,-0.08,-0.08,-0.01,0.01,0.12,0.09,-0.03,-0.05
bars_green_in_range,0.29,0.1,0.11,0.1,-0.15,1.0,0.68,0.65,0.49,0.6,0.01,0.01,0.05,0.05,0.04,-0.02,0.03,-0.04,-0.05,0.08,0.05,0.07,-0.02,-0.09
range_close_position,0.43,0.09,0.07,0.08,-0.15,0.68,1.0,0.71,0.49,0.82,0.02,0.04,0.09,0.01,0.08,-0.05,-0.0,-0.03,-0.11,0.07,0.07,0.06,-0.02,-0.11
range_return_pct,0.32,0.1,0.09,0.06,-0.14,0.65,0.71,1.0,0.32,0.82,-0.02,0.07,0.03,0.03,0.07,-0.12,0.04,-0.05,-0.11,0.07,0.14,0.04,-0.01,-0.05
last_bar_green,0.12,0.1,0.08,0.1,-0.14,0.49,0.49,0.32,1.0,0.45,0.04,0.09,0.01,0.06,0.09,0.01,0.02,0.02,-0.08,0.04,-0.03,-0.01,-0.04,-0.02
range_vwap_distance_pct,0.36,0.06,0.09,0.05,-0.13,0.6,0.82,0.82,0.45,1.0,0.05,0.08,0.07,0.03,0.05,-0.1,-0.01,-0.04,-0.11,0.12,0.08,0.06,-0.05,-0.07
gap_pct,0.0,0.15,-0.03,0.17,-0.01,0.01,0.02,-0.02,0.04,0.05,1.0,0.02,-0.07,0.15,0.1,0.66,0.0,-0.0,0.01,0.03,-0.05,-0.03,0.01,0.07
prev_day_range_pct,-0.03,0.44,0.11,0.48,-0.12,0.01,0.04,0.07,0.09,0.08,0.02,1.0,-0.16,0.06,0.42,-0.01,0.11,0.55,0.01,-0.14,-0.03,-0.03,0.03,-0.02
prev_day_close_position,0.0,-0.08,0.07,-0.05,-0.0,0.05,0.09,0.03,0.01,0.07,-0.07,-0.16,1.0,-0.04,-0.15,-0.04,-0.04,-0.03,0.07,0.24,-0.13,0.02,-0.14,-0.06
avg_daily_volume_20d,0.04,0.07,0.51,0.09,-0.25,0.05,0.01,0.03,0.06,0.03,0.15,0.06,-0.04,1.0,0.37,0.06,0.19,-0.09,0.03,-0.03,-0.04,-0.02,0.01,0.02
avg_daily_range_pct_20d,0.08,0.38,0.16,0.43,-0.21,0.04,0.08,0.07,0.09,0.05,0.1,0.42,-0.15,0.37,1.0,0.04,0.2,0.12,-0.07,-0.11,0.03,-0.08,0.04,0.03
price_vs_20d_high_pct,-0.03,0.18,-0.03,0.14,-0.02,-0.02,-0.05,-0.12,0.01,-0.1,0.66,-0.01,-0.04,0.06,0.04,1.0,-0.01,0.06,0.08,0.04,-0.09,-0.0,-0.02,0.0
return_volatility_20d,-0.0,0.15,0.0,0.19,-0.08,0.03,-0.0,0.04,0.02,-0.01,0.0,0.11,-0.04,0.19,0.2,-0.01,1.0,0.01,0.01,-0.02,0.01,0.0,-0.02,0.02
prev_day_volume_vs_20d,-0.1,0.41,0.16,0.41,-0.08,-0.04,-0.03,-0.05,0.02,-0.04,-0.0,0.55,-0.03,-0.09,0.12,0.06,0.01,1.0,-0.07,-0.08,-0.09,-0.09,0.05,0.07
spy_range_pct_5min,-0.06,-0.08,0.02,-0.08,-0.01,-0.05,-0.11,-0.11,-0.08,-0.11,0.01,0.01,0.07,0.03,-0.07,0.08,0.01,-0.07,1.0,0.32,-0.4,0.11,-0.14,-0.25
spy_return_5min_pct,-0.03,-0.12,0.02,-0.1,0.01,0.08,0.07,0.07,0.04,0.12,0.03,-0.14,0.24,-0.03,-0.11,0.04,-0.02,-0.08,0.32,1.0,-0.3,-0.06,-0.46,0.14
spy_gap_pct,0.15,-0.06,-0.01,-0.05,0.12,0.05,0.07,0.14,-0.03,0.08,-0.05,-0.03,-0.13,-0.04,0.03,-0.09,0.01,-0.09,-0.4,-0.3,1.0,0.28,0.14,-0.25
spy_3d_range_pct,0.1,-0.03,0.03,-0.01,0.09,0.07,0.06,0.04,-0.01,0.06,-0.03,-0.03,0.02,-0.02,-0.08,-0.0,0.0,-0.09,0.11,-0.06,0.28,1.0,-0.08,-0.75
day_of_week,0.12,0.04,-0.02,0.06,-0.03,-0.02,-0.02,-0.01,-0.04,-0.05,0.01,0.03,-0.14,0.01,0.04,-0.02,-0.02,0.05,-0.14,-0.46,0.14,-0.08,1.0,0.09
days_since_month_start,-0.11,-0.06,-0.05,-0.07,-0.05,-0.09,-0.11,-0.05,-0.02,-0.07,0.07,-0.02,-0.06,0.02,0.03,0.0,0.02,0.07,-0.25,0.14,-0.25,-0.75,0.09,1.0
