,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.05,0.02,-0.03,-0.08,0.31,0.43,0.34,0.13,0.37,0.0,-0.01,-0.02,0.02,0.03,-0.01,0.01,-0.03,-0.09,0.11,-0.11,-0.06,0.08,0.04
range_size_pct,-0.05,1.0,0.21,0.92,-0.21,0.1,0.09,0.18,0.04,0.04,0.11,0.34,-0.03,-0.0,0.37,0.08,0.12,0.34,-0.12,0.13,-0.19,-0.22,0.09,0.08
range_total_volume,0.02,0.21,1.0,0.25,-0.26,0.08,0.06,0.1,0.01,0.07,-0.02,0.06,0.06,0.59,0.09,-0.01,0.02,0.11,-0.06,0.07,-0.1,-0.1,0.02,0.03
range_avg_bar_range_pct,-0.03,0.92,0.25,1.0,-0.24,0.09,0.06,0.11,0.04,0.01,0.11,0.4,-0.01,0.03,0.43,0.07,0.14,0.38,-0.14,0.14,-0.2,-0.21,0.1,0.08
range_volume_stddev_pct,-0.08,-0.21,-0.26,-0.24,1.0,-0.15,-0.12,-0.15,-0.01,-0.11,-0.01,-0.12,0.04,-0.22,-0.23,-0.0,-0.05,-0.03,0.14,-0.15,0.2,0.09,-0.07,-0.05
bars_green_in_range,0.31,0.1,0.08,0.09,-0.15,1.0,0.67,0.64,0.43,0.57,-0.01,-0.04,-0.03,0.02,-0.0,-0.01,-0.0,-0.04,-0.04,0.05,-0.01,-0.08,0.02,0.03
range_close_position,0.43,0.09,0.06,0.06,-0.12,0.67,1.0,0.7,0.4,0.8,-0.02,-0.05,-0.03,-0.0,-0.02,-0.02,-0.01,-0.02,-0.04,0.05,-0.02,-0.11,0.02,0.01
range_return_pct,0.34,0.18,0.1,0.11,-0.15,0.64,0.7,1.0,0.22,0.82,-0.05,-0.07,-0.03,-0.01,-0.04,-0.04,-0.02,-0.02,-0.02,0.04,0.01,-0.09,0.02,0.02
last_bar_green,0.13,0.04,0.01,0.04,-0.01,0.43,0.4,0.22,1.0,0.36,0.0,0.0,-0.03,-0.01,-0.02,-0.01,0.01,-0.01,0.03,0.01,-0.0,0.02,-0.01,-0.02
range_vwap_distance_pct,0.37,0.04,0.07,0.01,-0.11,0.57,0.8,0.82,0.36,1.0,-0.02,-0.07,-0.02,-0.0,-0.07,-0.03,-0.04,-0.02,-0.01,0.05,-0.0,-0.07,0.01,-0.01
gap_pct,0.0,0.11,-0.02,0.11,-0.01,-0.01,-0.02,-0.05,0.0,-0.02,1.0,0.03,-0.02,0.37,0.13,0.87,0.0,-0.01,-0.03,0.02,-0.03,-0.02,-0.01,0.04
prev_day_range_pct,-0.01,0.34,0.06,0.4,-0.12,-0.04,-0.05,-0.07,0.0,-0.07,0.03,1.0,-0.12,0.03,0.44,0.01,0.12,0.46,-0.0,0.02,-0.07,0.05,0.03,-0.01
prev_day_close_position,-0.02,-0.03,0.06,-0.01,0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.12,1.0,-0.0,-0.08,0.0,-0.03,0.02,-0.06,0.03,0.03,0.03,-0.08,-0.05
avg_daily_volume_20d,0.02,-0.0,0.59,0.03,-0.22,0.02,-0.0,-0.01,-0.01,-0.0,0.37,0.03,-0.0,1.0,0.22,0.31,0.14,-0.08,-0.07,0.05,-0.08,-0.02,0.01,0.03
avg_daily_range_pct_20d,0.03,0.37,0.09,0.43,-0.23,-0.0,-0.02,-0.04,-0.02,-0.07,0.13,0.44,-0.08,0.22,1.0,0.04,0.18,0.06,-0.21,0.17,-0.18,-0.13,0.05,0.13
price_vs_20d_high_pct,-0.01,0.08,-0.01,0.07,-0.0,-0.01,-0.02,-0.04,-0.01,-0.03,0.87,0.01,0.0,0.31,0.04,1.0,-0.0,0.0,-0.01,0.02,-0.02,-0.03,0.01,0.02
return_volatility_20d,0.01,0.12,0.02,0.14,-0.05,-0.0,-0.01,-0.02,0.01,-0.04,0.0,0.12,-0.03,0.14,0.18,-0.0,1.0,0.03,-0.04,0.02,-0.03,-0.02,0.02,0.02
prev_day_volume_vs_20d,-0.03,0.34,0.11,0.38,-0.03,-0.04,-0.02,-0.02,-0.01,-0.02,-0.01,0.46,0.02,-0.08,0.06,0.0,0.03,1.0,0.01,0.01,-0.07,-0.03,0.05,0.02
spy_range_pct_5min,-0.09,-0.12,-0.06,-0.14,0.14,-0.04,-0.04,-0.02,0.03,-0.01,-0.03,-0.0,-0.06,-0.07,-0.21,-0.01,-0.04,0.01,1.0,-0.46,0.41,0.24,-0.28,-0.27
spy_return_5min_pct,0.11,0.13,0.07,0.14,-0.15,0.05,0.05,0.04,0.01,0.05,0.02,0.02,0.03,0.05,0.17,0.02,0.02,0.01,-0.46,1.0,-0.62,-0.2,0.27,0.14
spy_gap_pct,-0.11,-0.19,-0.1,-0.2,0.2,-0.01,-0.02,0.01,-0.0,-0.0,-0.03,-0.07,0.03,-0.08,-0.18,-0.02,-0.03,-0.07,0.41,-0.62,1.0,0.37,-0.3,-0.11
