,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.09,0.01,-0.07,-0.1,0.33,0.45,0.35,0.16,0.39,-0.02,0.01,-0.03,0.02,0.04,-0.02,0.01,-0.02,-0.0,0.07,-0.1,-0.02,0.05,0.02
range_size_pct,-0.09,1.0,0.18,0.91,-0.21,0.08,0.05,0.11,0.05,-0.02,0.11,0.32,0.02,-0.03,0.32,0.09,0.09,0.31,-0.07,0.05,-0.17,-0.06,0.05,0.05
range_total_volume,0.01,0.18,1.0,0.22,-0.21,0.05,0.03,0.05,0.01,0.02,-0.01,0.03,0.05,0.56,0.02,-0.0,0.0,0.09,-0.02,0.01,-0.07,-0.03,0.01,0.02
range_avg_bar_range_pct,-0.07,0.91,0.22,1.0,-0.23,0.07,0.03,0.05,0.04,-0.05,0.11,0.37,0.04,-0.01,0.35,0.08,0.1,0.36,-0.08,0.06,-0.18,-0.06,0.05,0.06
range_volume_stddev_pct,-0.1,-0.21,-0.21,-0.23,1.0,-0.16,-0.12,-0.13,-0.03,-0.09,-0.02,-0.13,0.03,-0.18,-0.21,-0.0,-0.04,-0.06,0.02,-0.06,0.16,0.01,-0.04,-0.02
bars_green_in_range,0.33,0.08,0.05,0.07,-0.16,1.0,0.68,0.64,0.45,0.58,-0.01,-0.02,-0.02,0.0,-0.02,-0.01,-0.01,-0.02,-0.01,0.03,-0.02,-0.02,0.02,0.02
range_close_position,0.45,0.05,0.03,0.03,-0.12,0.68,1.0,0.7,0.43,0.8,-0.02,-0.04,-0.01,-0.01,-0.03,-0.01,-0.01,-0.02,-0.01,0.04,-0.04,-0.03,0.02,0.01
range_return_pct,0.35,0.11,0.05,0.05,-0.13,0.64,0.7,1.0,0.23,0.81,-0.05,-0.06,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.01,0.03,0.0,-0.02,0.01,-0.01
last_bar_green,0.16,0.05,0.01,0.04,-0.03,0.45,0.43,0.23,1.0,0.38,-0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.0,0.0,0.01,0.01,-0.02,0.02,-0.01,0.0
range_vwap_distance_pct,0.39,-0.02,0.02,-0.05,-0.09,0.58,0.8,0.81,0.38,1.0,-0.04,-0.07,-0.0,-0.01,-0.06,-0.02,-0.02,-0.05,0.0,0.03,-0.01,-0.01,0.01,-0.01
gap_pct,-0.02,0.11,-0.01,0.11,-0.02,-0.01,-0.02,-0.05,-0.0,-0.04,1.0,0.03,-0.02,0.25,0.13,0.84,0.0,-0.0,-0.01,0.0,-0.02,-0.01,-0.01,0.01
prev_day_range_pct,0.01,0.32,0.03,0.37,-0.13,-0.02,-0.04,-0.06,-0.0,-0.07,0.03,1.0,-0.12,0.02,0.45,0.0,0.11,0.38,0.0,0.02,-0.06,0.0,0.01,0.01
prev_day_close_position,-0.03,0.02,0.05,0.04,0.03,-0.02,-0.01,-0.02,-0.01,-0.0,-0.02,-0.12,1.0,-0.02,-0.09,0.01,-0.01,0.03,-0.08,-0.01,0.0,-0.01,-0.05,-0.04
