,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.07,0.03,-0.05,-0.09,0.31,0.44,0.35,0.11,0.38,0.02,-0.02,-0.0,0.04,0.05,0.02,0.01,-0.03,-0.09,0.14,-0.14,-0.09,0.11,0.07
range_size_pct,-0.07,1.0,0.23,0.92,-0.2,0.08,0.07,0.09,0.04,-0.03,0.16,0.38,-0.05,0.03,0.39,0.17,0.13,0.34,-0.14,0.13,-0.19,-0.24,0.09,0.12
range_total_volume,0.03,0.23,1.0,0.27,-0.25,0.09,0.08,0.09,0.02,0.07,-0.02,0.1,0.05,0.58,0.13,-0.02,0.03,0.12,-0.07,0.09,-0.11,-0.12,0.02,0.02
range_avg_bar_range_pct,-0.05,0.92,0.27,1.0,-0.24,0.08,0.06,0.06,0.04,-0.04,0.17,0.42,-0.03,0.07,0.43,0.15,0.14,0.36,-0.14,0.13,-0.2,-0.23,0.1,0.11
range_volume_stddev_pct,-0.09,-0.2,-0.25,-0.24,1.0,-0.17,-0.14,-0.15,-0.03,-0.12,-0.03,-0.14,0.03,-0.24,-0.25,-0.02,-0.06,-0.04,0.14,-0.15,0.21,0.11,-0.07,-0.06
bars_green_in_range,0.31,0.08,0.09,0.08,-0.17,1.0,0.66,0.63,0.42,0.56,-0.0,-0.01,0.0,0.04,0.05,-0.02,0.0,-0.03,-0.09,0.11,-0.05,-0.09,0.06,0.07
range_close_position,0.44,0.07,0.08,0.06,-0.14,0.66,1.0,0.69,0.39,0.79,-0.01,-0.03,0.01,0.03,0.04,-0.02,-0.0,-0.02,-0.11,0.17,-0.1,-0.11,0.1,0.06
range_return_pct,0.35,0.09,0.09,0.06,-0.15,0.63,0.69,1.0,0.21,0.81,-0.07,-0.04,0.01,0.0,0.02,-0.1,-0.03,-0.03,-0.08,0.11,-0.03,-0.08,0.06,0.05
last_bar_green,0.11,0.04,0.02,0.04,-0.03,0.42,0.39,0.21,1.0,0.35,0.03,0.03,-0.02,0.02,0.0,0.0,0.02,0.0,0.04,-0.0,-0.01,0.04,-0.02,-0.01
range_vwap_distance_pct,0.38,-0.03,0.07,-0.04,-0.12,0.56,0.79,0.81,0.35,1.0,-0.02,-0.06,0.02,0.02,-0.03,-0.04,-0.05,-0.04,-0.05,0.11,-0.04,-0.06,0.05,0.01
gap_pct,0.02,0.16,-0.02,0.17,-0.03,-0.0,-0.01,-0.07,0.03,-0.02,1.0,0.05,-0.03,0.32,0.19,0.8,0.0,-0.01,-0.03,0.02,-0.03,-0.03,-0.04,0.04
prev_day_range_pct,-0.02,0.38,0.1,0.42,-0.14,-0.01,-0.03,-0.04,0.03,-0.06,0.05,1.0,-0.15,0.07,0.46,0.02,0.12,0.44,0.06,-0.06,-0.05,0.08,0.01,-0.05
prev_day_close_position,-0.0,-0.05,0.05,-0.03,0.03,0.0,0.01,0.01,-0.02,0.02,-0.03,-0.15,1.0,-0.01,-0.08,-0.02,-0.03,0.01,-0.04,-0.01,0.08,0.01,-0.14,-0.06
avg_daily_volume_20d,0.04,0.03,0.58,0.07,-0.24,0.04,0.03,0.0,0.02,0.02,0.32,0.07,-0.01,1.0,0.31,0.2,0.18,-0.09,-0.07,0.06,-0.1,-0.05,-0.01,0.03
avg_daily_range_pct_20d,0.05,0.39,0.13,0.43,-0.25,0.05,0.04,0.02,0.0,-0.03,0.19,0.46,-0.08,0.31,1.0,0.09,0.19,0.04,-0.21,0.17,-0.16,-0.17,0.03,0.16
price_vs_20d_high_pct,0.02,0.17,-0.02,0.15,-0.02,-0.02,-0.02,-0.1,0.0,-0.04,0.8,0.02,-0.02,0.2,0.09,1.0,-0.0,0.02,-0.02,0.03,-0.05,-0.04,-0.04,0.01
