symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
BTCZ,2026-06-01,4.734159999999999,-621.4092399999906,-1.2428815249167566,stop,0,1,0.8510638297872347,112585.0,0.2771136958230566,63.72752328139829,2.0,0.0,-0.4255319148936268,0.0,-0.4897941113496705,4.444444444444448,4.997777777777776,0.4886616273899498,12333882.1,3.692088008065946,1.8418201516793056,3.323108123731121,1.1934450873338571,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
ENHA,2026-06-01,3.3,0.0,0.0,no_fill,0,0,7.32484076433121,76365.0,4.965930549906879,60.12844284978838,2.0,0.2660869565217407,-0.2802547770700611,0.0,-1.8164164454083824,4.318936877076424,15.265780730897005,0.8052230685527744,1300993.3,25.012258903044987,-77.57126836620262,15.967831307356356,1.4083100966008049,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
GTM,2026-06-01,3.59074,3973.63112,7.947665383737057,target,1,1,4.322766570605185,541331.0,1.6509430892986017,103.52194871478216,3.0,0.4619999999999982,0.8443804034582034,1.0,-0.1316558675463695,4.204204204204208,4.504504504504515,0.3333333333333343,13539776.45,5.9019587175036765,-49.47215143793228,7.419162509902344,1.3851453950703891,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
IREZ,2026-06-01,5.61,0.0,0.0,no_fill,0,0,5.628517823639788,427491.0,1.9765653365859484,69.91613873601857,2.0,0.7333333333333337,3.752345215759853,0.0,0.6532544962891941,4.305283757338547,12.328767123287667,0.3174603174603178,10272104.95,19.786761102153257,-63.20128139628009,15.135007308652574,1.2322862803304984,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
NVDG,2026-06-01,21.213449999999995,1636.5247200000094,3.274432023079717,eod,1,1,4.023552502453388,52667.0,1.2559658997819727,86.99724471984705,3.0,0.6036585365853668,2.1835132482826314,0.0,-0.1044725335953197,4.45925166581239,6.457713992824184,0.0,467291.5,6.256913757906155,-17.51993200857987,4.69098043292875,1.122706062489902,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
NVDX,2026-06-01,21.20342,1614.6874242000065,3.2295257085885334,eod,1,1,3.98425971470734,1273977.0,1.4458122132758822,51.98109780351776,3.0,0.5185185185185192,2.065912444663068,0.0,-0.0635144353974973,4.256410256410248,6.41025641025641,0.0080000000000012,12376875.05,6.393701088057008,-17.75889967637541,4.593529965596766,1.120787512515124,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
OKLS,2026-06-01,19.78,0.0,0.0,no_fill,0,0,2.806652806652821,18349.0,0.8758582544278904,61.204633940494176,2.0,0.6851851851851836,1.9230769230769285,0.0,0.2571071410244391,4.112554112554101,16.18614718614718,0.5415886600695378,725714.65,16.457550395777336,-36.015962753575,13.095025326218684,0.9429022825982636,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
ORCU,2026-06-01,22.37693,6719.112439999987,13.440896494738084,target,1,1,7.051865332120095,161059.0,2.397434327155809,40.55832370278773,3.0,0.4387096774193554,-2.456778889899905,1.0,0.6777391397838963,4.716531681753225,14.745116722248683,0.9854604200323096,1652620.75,8.828526947174032,4.4925124792013325,7.0832782866983806,2.3309758152316555,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
PTIR,2026-06-01,18.58559,-2483.5962999999965,-4.967665809909713,stop,0,1,4.638472032742164,501785.0,1.9847150706228631,69.32919094444085,2.0,0.211647058823529,-2.538062755798088,1.0,-0.4318167522634881,4.237770193401599,14.033560864618876,0.8999229865023711,5610037.8,7.878182485550995,2.7940920743371027,7.21505192537697,2.8408304129430286,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
RDTL,2026-06-01,24.072,-1444.3457999999912,-2.888833499501479,eod,0,1,5.867560771165124,38499.0,1.971569483190148,64.90083757119383,2.0,0.3857142857142855,-3.0176026823134907,1.0,-0.3958454140147415,4.603244191144238,11.01928978518194,0.9071016510841444,807426.3,11.681239465052462,-0.831255195344968,7.678722543614509,1.1497049328217324,0.0,0.0,-0.148054145516075,0.5512416157971979,0.0,1.0
FOTO,2026-06-02,26.53938,1681.820280000003,3.3654139621950545,eod,1,1,2.7530050407134583,183850.0,0.5442495757480933,46.70598749611754,5.0,0.9718309859154936,2.5203567274137346,1.0,1.41035265376877,4.1178845377472735,5.026241421073884,0.7349397590361433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1990666279958856,0.6565305978778799,1.0,2.0
MOMO,2026-06-02,6.5,0.0,0.0,no_fill,0,0,5.156250000000001,105961.0,1.7812752017593678,108.89982530062235,2.0,0.3787878787878787,-1.6406250000000069,0.0,-0.845672932788009,4.404567699836876,3.752039151712895,0.739130434782607,502778.0,2.399119288113951,-1.3867488443759608,1.676748336679963,1.8288151032861424,0.0,0.0,-0.1990666279958856,0.6565305978778799,1.0,2.0
POET,2026-06-02,14.908592,-2959.465095999997,-5.920290796072488,stop,0,1,5.678842177808419,3143533.0,2.4623651115148526,81.6451265852765,2.0,0.5717233009708746,0.0075809786354306,0.0,0.379094550972665,4.463642908567309,20.23038156947445,0.8078291814946622,60552015.8,15.305095555587576,-30.273906775588657,15.328188162856035,0.768599284187662,0.0,0.0,-0.1990666279958856,0.6565305978778799,1.0,2.0
RCAX,2026-06-02,14.77419,-3410.970480000001,-6.822506005405375,eod,0,1,7.54583921015515,46328.0,4.006865724896884,61.22821895629594,2.0,0.1121495327102796,-2.8208744710860394,0.0,-3.010589353706603,4.726735598227479,20.679468242245207,0.371428571428571,661871.8,15.339680218763698,-7.320261437908503,18.16280523627945,1.6671642454022062,0.0,0.0,-0.1990666279958856,0.6565305978778799,1.0,2.0
AIRJ,2026-06-03,5.7,0.0,0.0,no_fill,0,0,6.315789473684216,135143.0,2.174360938473097,69.53903856747084,3.0,0.3055555555555562,-4.385964912280701,1.0,-0.4668966863508246,4.014598540145981,8.57299270072993,0.4895700297999155,1419221.55,9.833570031741289,-0.3461659498583873,6.663483398829855,2.45684685382631,0.0,0.0,-0.1869478784048965,0.5552017441157894,2.0,3.0
