date,pnl_R,symbol
2025-01-02,-0.2306295111111098,POET
2025-01-02,-0.0889938666666665,LTBR
2025-01-02,0.3545053912000005,SERV
2025-01-03,1.3420775040266673,ATOM
2025-01-17,-0.4390718218666637,ATOM
2025-01-21,2.092830120575591,WKEY
2025-02-04,-0.1946209626057141,API
2025-02-04,-0.07295565610666563,LAES
2025-02-13,-0.23783856376888912,BZAI
2025-02-14,-0.44627403022222084,FLNC
2025-02-21,-0.2116135131695227,KC
2025-02-26,-0.2716702372209521,PONY
2025-03-19,0.6696922186524432,SMCL
2025-04-03,0.5866802880000022,KAZR
2025-04-03,0.5866802880000022,SKBL
2025-04-11,0.21881396444444454,AMDL
2025-04-24,-0.07537263999999948,SMCX
2025-05-01,-0.10183070088888786,USAR
2025-05-07,-0.2254734889259682,RXRX
2025-05-08,0.11049951727644378,CURI
2025-05-13,0.780407734282666,ROBN
2025-05-16,0.7367635645441067,CONL
2025-05-20,0.6576490847334371,ASST
2025-05-22,-0.1776248480000003,REPL
2025-06-04,-0.3312547804444448,LVWR
2025-06-04,0.16246002773333387,FMST
2025-06-06,0.5405904438044454,TEMT
2025-06-12,-0.37720234444444295,STEX
2025-06-24,0.26637148444444636,NVTS
2025-07-01,-0.353530133333332,UNCY
2025-07-02,0.1596624532799998,GRAN
2025-07-02,-0.3128593725866664,HERE
2025-07-08,-0.22877652121762235,BKKT
2025-07-10,-0.17113714156863438,OCC
2025-07-10,-0.6076379580266673,UPXI
2025-07-11,0.16310459804799932,VIVO
2025-07-11,0.16310459804799932,VVPR
2025-07-21,0.11008938875555485,BKKT
2025-07-22,-0.08423892750222343,BGMS
2025-07-22,-0.3809869528888886,SBET
2025-07-25,-0.24664888888888833,SY
2025-07-28,0.03566229333333303,SY
2025-07-31,0.9706193611200005,TGEN
2025-08-05,-0.2131450198095247,NBP
2025-08-12,-0.5817757319111119,SMU
2025-08-13,0.9489636004746673,NAKA
2025-08-25,0.1515726181386664,FABC
2025-08-25,0.1515726181386664,SBLX
2025-08-25,0.13444793400000019,
2025-08-27,-0.14147573333333402,LWLG
2025-08-28,0.970201800654221,ALTS
2025-09-09,-0.37258814237999976,TRON
2025-09-11,-0.22556785104000077,HIMZ
2025-09-15,0.2556594304,UPSX
2025-09-18,-0.4382175914047389,AEI
2025-09-24,0.52844651326,LASE
2025-09-30,-0.3244913208888881,CRCG
2025-09-30,-0.3520777748531424,CRCA
2025-09-30,-0.33768827733333245,CCUP
2025-10-02,0.09095819640888929,IMRX
2025-10-06,-0.31460951999999964,HIMZ
2025-10-07,-0.19445084867784215,AREC
2025-10-08,0.8256929913955551,CRWU
2025-10-08,0.8742145252800028,CRWG
2025-10-09,-0.18655766289879308,LAWR
2025-10-10,-0.26240775208726824,MRAL
2025-10-21,-0.5418124799999996,QBTZ
2025-10-22,0.949803686250668,IONZ
2025-10-24,0.034672213333333986,CRML
2025-10-24,-0.26922573599999916,SMCL
2025-10-24,0.3846182204444473,EOSE
2025-10-27,-0.36411150222222227,SMU
2025-10-27,1.1355985608533319,VWAV
2025-10-31,0.11481951780800113,NBIL
2025-10-31,1.0243824470672354,BKKT
2025-10-31,0.3416370346666653,STEM
2025-11-10,0.5218267312355569,SGML
2025-11-17,-0.40498813528888883,WKEY
2025-11-19,1.0184025230222231,MSTZ
2025-11-19,-0.4275865599999999,NBIG
2025-11-21,-0.3551831324444439,CONL
2025-12-02,0.16974475555555502,BEX
2025-12-12,-0.3606577173333332,JMG
2025-12-12,-0.20103846400000103,RGTZ
2025-12-19,-0.10000804759111202,SOC
