symbol,bar_date
VUZI,2025-01-02
POET,2025-01-02
LTBR,2025-01-02
SERV,2025-01-02
RCAT,2025-01-03
ATOM,2025-01-03
NN,2025-01-07
MRVI,2025-01-13
SGMT,2025-01-15
DFNS,2025-01-16
SPCB,2025-01-16
ATOM,2025-01-17
LAES,2025-01-21
WKEY,2025-01-21
GDS,2025-01-23
PCLA,2025-01-27
TSMX,2025-01-28
BE,2025-01-29
BTCT,2025-01-30
LTBR,2025-01-30
RGTI,2025-01-30
API,2025-02-04
LAES,2025-02-04
GRRR,2025-02-06
PDYN,2025-02-07
RZLV,2025-02-10
BZAI,2025-02-13
FLNC,2025-02-14
CMPX,2025-02-19
SPCB,2025-02-19
KC,2025-02-21
CHAI,2025-02-24
PONY,2025-02-26
SERV,2025-02-26
RDW,2025-02-26
CYD,2025-02-27
JTAI,2025-02-28
STIM,2025-03-11
TSLG,2025-03-11
XNET,2025-03-11
AVGX,2025-03-11
PDYN,2025-03-12
GRRR,2025-03-13
QMCO,2025-03-17
SMCL,2025-03-19
ROBN,2025-03-19
TSLZ,2025-03-26
NIU,2025-03-27
KAZR,2025-04-03
SKBL,2025-04-03
CRVO,2025-04-04
BABX,2025-04-10
AMDL,2025-04-11
LHSW,2025-04-17
KSCP,2025-04-17
USAR,2025-04-24
SMCX,2025-04-24
TNXP,2025-04-24
ROBN,2025-04-25
USAR,2025-05-01
UMAC,2025-05-02
RXRX,2025-05-07
CURI,2025-05-08
RGTIW,2025-05-09
ROBN,2025-05-13
GPUS,2025-05-13
WOLF,2025-05-14
CONL,2025-05-16
ASST,2025-05-20
SMCL,2025-05-21
REPL,2025-05-22
RDTL,2025-05-22
LVWR,2025-06-04
SMCL,2025-06-04
FMST,2025-06-04
TEMT,2025-06-06
STEX,2025-06-12
USBC,2025-06-17
ADUR,2025-06-18
STEX,2025-06-20
LZMH,2025-06-24
HERE,2025-06-24
APPS,2025-06-24
NVTS,2025-06-24
GRRR,2025-06-26
RGTX,2025-06-26
SRFM,2025-06-30
UNCY,2025-07-01
GRAN,2025-07-02
HERE,2025-07-02
ARTL,2025-07-02
BKKT,2025-07-08
OCC,2025-07-10
UPXI,2025-07-10
AGIG,2025-07-10
VIVO,2025-07-11
VVPR,2025-07-11
RBNE,2025-07-11
ASST,2025-07-11
INKT,2025-07-17
PEW,2025-07-18
UMAC,2025-07-21
BKKT,2025-07-21
BGMS,2025-07-22
SBET,2025-07-22
SY,2025-07-25
SY,2025-07-28
TGEN,2025-07-31
RIOX,2025-08-04
ASST,2025-08-05
NBP,2025-08-05
SY,2025-08-12
SMU,2025-08-12
NAKA,2025-08-13
MSOS,2025-08-13
IA,2025-08-15
ISSC,2025-08-15
HIT,2025-08-19
OKLL,2025-08-21
FABC,2025-08-25
SBLX,2025-08-25
,2025-08-25
MSOX,2025-08-25
LWLG,2025-08-27
ALTS,2025-08-28
LASE,2025-08-28
SKYA,2025-09-03
STSS,2025-09-03
ASTX,2025-09-05
SMU,2025-09-08
OPAD,2025-09-08
TRON,2025-09-09
HIMZ,2025-09-11
OPAD,2025-09-15
UPSX,2025-09-15
WLDS,2025-09-16
AEI,2025-09-18
HERE,2025-09-19
LASE,2025-09-24
CLPT,2025-09-25
CRCG,2025-09-30
CRCA,2025-09-30
CCUP,2025-09-30
IMRX,2025-10-02
QUBX,2025-10-02
HIMZ,2025-10-06
AREC,2025-10-07
LWLG,2025-10-07
CRWG,2025-10-07
FLNC,2025-10-08
SMU,2025-10-08
CRWU,2025-10-08
CRWG,2025-10-08
LAWR,2025-10-09
MRAL,2025-10-10
BNZI,2025-10-14
PARA,2025-10-14
SOLT,2025-10-15
BLNE,2025-10-16
BMNU,2025-10-16
QBTZ,2025-10-21
IONZ,2025-10-22
POET,2025-10-22
CRML,2025-10-24
SMCL,2025-10-24
EOSE,2025-10-24
AREC,2025-10-24
NB,2025-10-24
SMU,2025-10-27
VWAV,2025-10-27
VELO,2025-10-29
NBIL,2025-10-29
NBIL,2025-10-31
BKKT,2025-10-31
STEM,2025-10-31
SGML,2025-11-10
SANA,2025-11-10
PLTZ,2025-11-11
NBIL,2025-11-12
WKEY,2025-11-17
LAES,2025-11-17
XXRP,2025-11-18
MSTZ,2025-11-19
NBIG,2025-11-19
OKLL,2025-11-21
CONL,2025-11-21
SMCX,2025-11-21
ASPI,2025-11-24
CONL,2025-11-24
PTIR,2025-11-24
SOC,2025-11-28
BEX,2025-12-02
QBTZ,2025-12-09
RGTZ,2025-12-09
RGTZ,2025-12-10
QBTZ,2025-12-12
JMG,2025-12-12
RGTZ,2025-12-12
WVE,2025-12-12
BEX,2025-12-15
IONX,2025-12-16
MSTX,2025-12-16
SOC,2025-12-19
MRAL,2025-12-19
BRR,2025-12-19
WKEY,2025-12-23
DJTU,2025-12-24
VUZI,2025-12-26
FJET,2025-12-30
AZI,2025-12-30
ASTI,2026-01-02
TROO,2026-01-05
AMCI,2026-01-05
RKLZ,2026-01-07
BMNZ,2026-01-07
NBY,2026-01-09
SDEV,2026-01-09
TGL,2026-01-09
BMNZ,2026-01-09
UMAC,2026-01-12
MRAL,2026-01-13
LABX,2026-01-13
OKLL,2026-01-15
NKLR,2026-01-21
ASTI,2026-01-21
RDW,2026-01-22
CRML,2026-01-22
SIDU,2026-01-27
VELO,2026-01-28
CORD,2026-01-29
IREZ,2026-01-29
SLGB,2026-01-30
AREC,2026-02-02
UAMY,2026-02-03
SATL,2026-02-03
RGTZ,2026-02-04
CORD,2026-02-04
MSTZ,2026-02-04
AMDL,2026-02-06
USAR,2026-02-06
LPTH,2026-02-06
HOOX,2026-02-09
CORD,2026-02-10
RKLZ,2026-02-10
RDTL,2026-02-10
IREZ,2026-02-10
NOWL,2026-02-10
LABX,2026-02-12
HOOG,2026-02-13
ROBN,2026-02-13
IREX,2026-02-13
RDW,2026-02-13
BMNZ,2026-02-17
APLZ,2026-02-19
RKLZ,2026-02-19
QBTZ,2026-02-20
RGTZ,2026-02-20
AGIG,2026-02-23
TNDM,2026-02-23
YSS,2026-02-23
BNAI,2026-02-27
LABX,2026-03-04
ASTN,2026-03-05
BDMD,2026-03-06
QBTZ,2026-03-09
TMDE,2026-03-09
INDO,2026-03-10
RKLZ,2026-03-10
RIOX,2026-03-10
NAMM,2026-03-10
ONDG,2026-03-12
ONDL,2026-03-12
AVXX,2026-03-12
OKLL,2026-03-13
RGTX,2026-03-13
UAMY,2026-03-16
QBTX,2026-03-16
ONDG,2026-03-23
IONZ,2026-03-24
RGTZ,2026-03-24
CONL,2026-03-25
