,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.09,0.01,-0.07,-0.08,0.32,0.44,0.35,0.16,0.39,-0.01,-0.0,-0.01,0.02,0.03,-0.02,0.02,-0.02,-0.05,0.08,-0.08,-0.03,0.04,0.03
range_size_pct,-0.09,1.0,0.18,0.91,-0.21,0.08,0.05,0.12,0.04,-0.02,0.11,0.31,0.01,-0.02,0.31,0.08,0.09,0.31,-0.08,0.08,-0.17,-0.18,0.06,0.03
range_total_volume,0.01,0.18,1.0,0.22,-0.22,0.05,0.03,0.05,0.01,0.01,-0.01,0.04,0.05,0.59,0.05,-0.0,-0.0,0.08,-0.04,0.03,-0.08,-0.08,0.01,0.01
range_avg_bar_range_pct,-0.07,0.91,0.22,1.0,-0.24,0.06,0.02,0.05,0.04,-0.06,0.11,0.36,0.04,0.01,0.34,0.07,0.1,0.36,-0.1,0.09,-0.18,-0.18,0.07,0.03
range_volume_stddev_pct,-0.08,-0.21,-0.22,-0.24,1.0,-0.16,-0.12,-0.13,-0.02,-0.09,-0.01,-0.12,0.02,-0.2,-0.19,-0.0,-0.04,-0.05,0.09,-0.09,0.15,0.07,-0.04,-0.03
bars_green_in_range,0.32,0.08,0.05,0.06,-0.16,1.0,0.68,0.64,0.44,0.58,-0.01,-0.04,-0.02,0.01,-0.03,-0.01,-0.0,-0.03,-0.04,0.03,-0.0,-0.05,0.02,0.01
range_close_position,0.44,0.05,0.03,0.02,-0.12,0.68,1.0,0.7,0.42,0.8,-0.02,-0.05,-0.01,-0.0,-0.04,-0.01,-0.01,-0.03,-0.03,0.04,-0.02,-0.07,0.03,0.01
range_return_pct,0.35,0.12,0.05,0.05,-0.13,0.64,0.7,1.0,0.22,0.82,-0.05,-0.06,-0.04,-0.02,-0.05,-0.03,-0.01,-0.04,-0.02,0.02,0.02,-0.04,0.01,-0.0
last_bar_green,0.16,0.04,0.01,0.04,-0.02,0.44,0.42,0.22,1.0,0.37,0.0,0.0,-0.01,-0.01,-0.02,-0.0,0.01,-0.01,0.03,0.02,-0.01,0.01,0.0,-0.0
range_vwap_distance_pct,0.39,-0.02,0.01,-0.06,-0.09,0.58,0.8,0.82,0.37,1.0,-0.04,-0.07,-0.02,-0.01,-0.07,-0.03,-0.02,-0.05,-0.01,0.04,0.01,-0.03,0.01,-0.01
gap_pct,-0.01,0.11,-0.01,0.11,-0.01,-0.01,-0.02,-0.05,0.0,-0.04,1.0,0.03,-0.02,0.28,0.13,0.84,0.0,-0.01,-0.02,0.01,-0.02,-0.01,-0.01,0.02
prev_day_range_pct,-0.0,0.31,0.04,0.36,-0.12,-0.04,-0.05,-0.06,0.0,-0.07,0.03,1.0,-0.12,0.03,0.43,0.0,0.11,0.39,-0.01,0.02,-0.05,0.04,0.01,-0.01
prev_day_close_position,-0.01,0.01,0.05,0.04,0.02,-0.02,-0.01,-0.04,-0.01,-0.02,-0.02,-0.12,1.0,-0.01,-0.08,-0.0,-0.01,0.04,-0.03,0.02,-0.0,0.02,-0.04,-0.06
avg_daily_volume_20d,0.02,-0.02,0.59,0.01,-0.2,0.01,-0.0,-0.02,-0.01,-0.01,0.28,0.03,-0.01,1.0,0.17,0.24,0.19,-0.08,-0.04,0.02,-0.05,-0.02,0.0,0.02
avg_daily_range_pct_20d,0.03,0.31,0.05,0.34,-0.19,-0.03,-0.04,-0.05,-0.02,-0.07,0.13,0.43,-0.08,0.17,1.0,0.02,0.18,0.02,-0.16,0.13,-0.12,-0.1,0.01,0.09
price_vs_20d_high_pct,-0.02,0.08,-0.0,0.07,-0.0,-0.01,-0.01,-0.03,-0.0,-0.03,0.84,0.0,-0.0,0.24,0.02,1.0,-0.0,0.0,-0.01,-0.0,-0.03,-0.02,-0.0,0.01
return_volatility_20d,0.02,0.09,-0.0,0.1,-0.04,-0.0,-0.01,-0.01,0.01,-0.02,0.0,0.11,-0.01,0.19,0.18,-0.0,1.0,0.0,-0.02,0.02,-0.03,-0.02,0.01,0.02
