,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.07,0.01,-0.06,-0.1,0.3,0.4,0.33,0.12,0.36,0.02,-0.03,0.0,0.03,0.04,0.01,0.01,-0.06,0.01,-0.04,0.05,0.04,0.03,-0.03
range_size_pct,-0.07,1.0,0.24,0.92,-0.2,0.06,0.05,0.11,0.08,-0.0,0.16,0.41,-0.08,0.02,0.34,0.17,0.1,0.37,0.03,-0.06,-0.05,-0.11,0.03,0.04
range_total_volume,0.01,0.24,1.0,0.28,-0.25,0.1,0.08,0.11,0.03,0.08,-0.02,0.09,0.07,0.54,0.11,-0.02,0.02,0.13,0.03,0.0,-0.01,-0.03,-0.03,-0.03
range_avg_bar_range_pct,-0.06,0.92,0.28,1.0,-0.22,0.05,0.03,0.06,0.08,-0.03,0.15,0.46,-0.06,0.05,0.38,0.13,0.12,0.39,0.02,-0.06,-0.05,-0.09,0.05,0.03
range_volume_stddev_pct,-0.1,-0.2,-0.25,-0.22,1.0,-0.21,-0.19,-0.19,-0.07,-0.13,-0.03,-0.13,-0.0,-0.24,-0.21,-0.02,-0.05,-0.04,-0.0,-0.01,0.09,-0.01,-0.01,-0.03
bars_green_in_range,0.3,0.06,0.1,0.05,-0.21,1.0,0.68,0.66,0.43,0.59,-0.03,-0.03,0.01,0.06,0.02,-0.05,-0.01,-0.06,-0.03,0.02,0.08,0.02,0.0,-0.02
range_close_position,0.4,0.05,0.08,0.03,-0.19,0.68,1.0,0.7,0.42,0.81,-0.01,-0.03,0.02,0.05,0.03,-0.03,-0.01,-0.04,-0.02,0.03,0.06,0.0,-0.0,-0.04
range_return_pct,0.33,0.11,0.11,0.06,-0.19,0.66,0.7,1.0,0.24,0.82,-0.09,-0.04,0.01,0.01,0.0,-0.12,-0.04,-0.04,-0.03,0.03,0.09,-0.01,0.01,-0.01
last_bar_green,0.12,0.08,0.03,0.08,-0.07,0.43,0.42,0.24,1.0,0.38,0.02,0.04,-0.01,0.02,0.03,-0.01,0.03,0.0,0.02,0.02,-0.05,-0.02,-0.03,-0.01
range_vwap_distance_pct,0.36,-0.0,0.08,-0.03,-0.13,0.59,0.81,0.82,0.38,1.0,-0.01,-0.07,0.03,0.02,-0.03,-0.04,-0.05,-0.05,-0.01,0.06,0.06,-0.0,-0.02,-0.04
gap_pct,0.02,0.16,-0.02,0.15,-0.03,-0.03,-0.01,-0.09,0.02,-0.01,1.0,0.07,-0.07,0.25,0.11,0.77,0.0,-0.01,-0.0,0.01,-0.02,-0.01,-0.03,0.01
prev_day_range_pct,-0.03,0.41,0.09,0.46,-0.13,-0.03,-0.03,-0.04,0.04,-0.07,0.07,1.0,-0.14,0.07,0.51,0.03,0.11,0.47,0.06,-0.08,-0.03,-0.03,-0.01,-0.01
prev_day_close_position,0.0,-0.08,0.07,-0.06,-0.0,0.01,0.02,0.01,-0.01,0.03,-0.07,-0.14,1.0,-0.02,-0.11,-0.05,-0.03,0.01,-0.02,0.14,-0.04,0.1,-0.14,-0.12
avg_daily_volume_20d,0.03,0.02,0.54,0.05,-0.24,0.06,0.05,0.01,0.02,0.02,0.25,0.07,-0.02,1.0,0.3,0.14,0.23,-0.09,0.02,-0.02,-0.01,0.02,-0.04,-0.02
avg_daily_range_pct_20d,0.04,0.34,0.11,0.38,-0.21,0.02,0.03,0.0,0.03,-0.03,0.11,0.51,-0.11,0.3,1.0,0.05,0.17,0.07,0.03,-0.06,0.06,-0.01,-0.02,0.03
price_vs_20d_high_pct,0.01,0.17,-0.02,0.13,-0.02,-0.05,-0.03,-0.12,-0.01,-0.04,0.77,0.03,-0.05,0.14,0.05,1.0,-0.0,0.03,0.02,0.01,-0.04,-0.02,-0.04,-0.03
return_volatility_20d,0.01,0.1,0.02,0.12,-0.05,-0.01,-0.01,-0.04,0.03,-0.05,0.0,0.11,-0.03,0.23,0.17,-0.0,1.0,-0.02,-0.02,0.01,-0.02,0.01,0.0,0.01
