,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.09,0.01,-0.07,-0.07,0.32,0.44,0.34,0.15,0.38,-0.01,-0.01,-0.02,0.02,0.02,-0.02,0.02,-0.02,-0.06,0.07,-0.08,-0.04,0.05,0.02
range_size_pct,-0.09,1.0,0.19,0.91,-0.21,0.08,0.06,0.13,0.04,-0.01,0.1,0.32,0.01,-0.01,0.32,0.08,0.09,0.32,-0.11,0.1,-0.18,-0.19,0.07,0.04
range_total_volume,0.01,0.19,1.0,0.24,-0.23,0.05,0.03,0.05,0.01,0.01,-0.01,0.05,0.05,0.58,0.06,-0.01,0.0,0.09,-0.05,0.04,-0.08,-0.09,0.02,0.01
range_avg_bar_range_pct,-0.07,0.91,0.24,1.0,-0.24,0.07,0.03,0.06,0.04,-0.05,0.1,0.36,0.03,0.02,0.36,0.07,0.1,0.37,-0.12,0.11,-0.19,-0.19,0.08,0.05
range_volume_stddev_pct,-0.07,-0.21,-0.23,-0.24,1.0,-0.16,-0.12,-0.13,-0.02,-0.09,-0.02,-0.12,0.03,-0.19,-0.19,-0.01,-0.04,-0.06,0.11,-0.1,0.16,0.08,-0.04,-0.02
bars_green_in_range,0.32,0.08,0.05,0.07,-0.16,1.0,0.67,0.64,0.43,0.57,-0.01,-0.04,-0.02,0.01,-0.03,-0.01,-0.0,-0.03,-0.03,0.03,-0.0,-0.05,0.02,-0.0
range_close_position,0.44,0.06,0.03,0.03,-0.12,0.67,1.0,0.7,0.41,0.79,-0.02,-0.06,-0.01,-0.01,-0.04,-0.01,-0.01,-0.03,-0.02,0.04,-0.02,-0.08,0.03,-0.01
range_return_pct,0.34,0.13,0.05,0.06,-0.13,0.64,0.7,1.0,0.22,0.82,-0.04,-0.07,-0.03,-0.02,-0.06,-0.03,-0.01,-0.04,-0.01,0.03,0.02,-0.05,-0.0,-0.02
last_bar_green,0.15,0.04,0.01,0.04,-0.02,0.43,0.41,0.22,1.0,0.36,0.0,0.0,-0.01,-0.0,-0.02,-0.01,0.01,-0.01,0.03,0.0,-0.01,0.02,0.0,-0.01
range_vwap_distance_pct,0.38,-0.01,0.01,-0.05,-0.09,0.57,0.79,0.82,0.36,1.0,-0.03,-0.08,-0.02,-0.01,-0.07,-0.03,-0.02,-0.05,-0.0,0.04,0.01,-0.04,0.01,-0.02
gap_pct,-0.01,0.1,-0.01,0.1,-0.02,-0.01,-0.02,-0.04,0.0,-0.03,1.0,0.03,-0.02,0.3,0.12,0.85,0.0,-0.01,-0.02,0.01,-0.02,-0.01,-0.01,0.02
prev_day_range_pct,-0.01,0.32,0.05,0.36,-0.12,-0.04,-0.06,-0.07,0.0,-0.08,0.03,1.0,-0.12,0.03,0.43,0.0,0.11,0.4,-0.01,0.02,-0.05,0.04,0.01,-0.02
prev_day_close_position,-0.02,0.01,0.05,0.03,0.03,-0.02,-0.01,-0.03,-0.01,-0.02,-0.02,-0.12,1.0,-0.02,-0.08,-0.0,-0.02,0.04,-0.04,0.01,-0.0,0.02,0.0,-0.07
avg_daily_volume_20d,0.02,-0.01,0.58,0.02,-0.19,0.01,-0.01,-0.02,-0.0,-0.01,0.3,0.03,-0.02,1.0,0.19,0.26,0.2,-0.08,-0.04,0.03,-0.05,-0.02,0.0,0.02
avg_daily_range_pct_20d,0.02,0.32,0.06,0.36,-0.19,-0.03,-0.04,-0.06,-0.02,-0.07,0.12,0.43,-0.08,0.19,1.0,0.03,0.18,0.03,-0.17,0.13,-0.14,-0.1,0.02,0.09
price_vs_20d_high_pct,-0.02,0.08,-0.01,0.07,-0.01,-0.01,-0.01,-0.03,-0.01,-0.03,0.85,0.0,-0.0,0.26,0.03,1.0,-0.0,0.0,-0.01,0.0,-0.03,-0.03,0.0,0.01
return_volatility_20d,0.02,0.09,0.0,0.1,-0.04,-0.0,-0.01,-0.01,0.01,-0.02,0.0,0.11,-0.02,0.2,0.18,-0.0,1.0,0.0,-0.03,0.02,-0.03,-0.02,0.01,0.01
prev_day_volume_vs_20d,-0.02,0.32,0.09,0.37,-0.06,-0.03,-0.03,-0.04,-0.01,-0.05,-0.01,0.4,0.04,-0.08,0.03,0.0,0.0,1.0,-0.01,0.01,-0.07,-0.04,0.04,0.0
spy_range_pct_5min,-0.06,-0.11,-0.05,-0.12,0.11,-0.03,-0.02,-0.01,0.03,-0.0,-0.02,-0.01,-0.04,-0.04,-0.17,-0.01,-0.03,-0.01,1.0,-0.42,0.42,0.31,-0.18,-0.23
spy_return_5min_pct,0.07,0.1,0.04,0.11,-0.1,0.03,0.04,0.03,0.0,0.04,0.01,0.02,0.01,0.03,0.13,0.0,0.02,0.01,-0.42,1.0,-0.55,-0.24,0.15,0.1
spy_gap_pct,-0.08,-0.18,-0.08,-0.19,0.16,-0.0,-0.02,0.02,-0.01,0.01,-0.02,-0.05,-0.0,-0.05,-0.14,-0.03,-0.03,-0.07,0.42,-0.55,1.0,0.42,-0.25,-0.08
spy_3d_range_pct,-0.04,-0.19,-0.09,-0.19,0.08,-0.05,-0.08,-0.05,0.02,-0.04,-0.01,0.04,0.02,-0.02,-0.1,-0.03,-0.02,-0.04,0.31,-0.24,0.42,1.0,-0.13,-0.25
day_of_week,0.05,0.07,0.02,0.08,-0.04,0.02,0.03,-0.0,0.0,0.01,-0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.04,-0.18,0.15,-0.25,-0.13,1.0,0.05
days_since_month_start,0.02,0.04,0.01,0.05,-0.02,-0.0,-0.01,-0.02,-0.01,-0.02,0.02,-0.02,-0.07,0.02,0.09,0.01,0.01,0.0,-0.23,0.1,-0.08,-0.25,0.05,1.0
