,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.08,0.02,-0.05,-0.06,0.3,0.42,0.33,0.13,0.36,0.01,-0.04,0.03,0.01,0.04,-0.01,0.01,-0.05,0.01,-0.04,0.09,0.03,0.02,-0.09
range_size_pct,-0.08,1.0,0.24,0.91,-0.22,0.08,0.08,0.11,0.09,0.01,0.15,0.41,-0.09,0.03,0.36,0.16,0.1,0.38,-0.07,-0.07,-0.02,-0.04,0.02,-0.02
range_total_volume,0.02,0.24,1.0,0.28,-0.25,0.1,0.07,0.1,0.0,0.07,-0.03,0.08,0.08,0.5,0.1,-0.03,-0.0,0.13,0.03,0.01,-0.01,-0.02,-0.02,-0.07
range_avg_bar_range_pct,-0.05,0.91,0.28,1.0,-0.25,0.08,0.06,0.06,0.09,-0.01,0.16,0.47,-0.07,0.07,0.41,0.14,0.13,0.38,-0.07,-0.07,-0.01,-0.03,0.04,-0.01
range_volume_stddev_pct,-0.06,-0.22,-0.25,-0.25,1.0,-0.18,-0.17,-0.17,-0.09,-0.12,-0.03,-0.12,-0.02,-0.22,-0.19,-0.03,-0.07,-0.05,-0.01,-0.02,0.08,0.03,-0.02,-0.02
bars_green_in_range,0.3,0.08,0.1,0.08,-0.18,1.0,0.67,0.66,0.44,0.58,0.01,-0.01,0.03,0.04,0.02,-0.02,0.01,-0.04,-0.07,0.03,0.07,0.05,-0.01,-0.05
range_close_position,0.42,0.08,0.07,0.06,-0.17,0.67,1.0,0.7,0.45,0.81,0.02,0.0,0.03,0.02,0.04,-0.01,0.01,-0.02,-0.09,0.05,0.08,0.02,-0.02,-0.1
range_return_pct,0.33,0.11,0.1,0.06,-0.17,0.66,0.7,1.0,0.25,0.82,-0.04,-0.01,0.03,0.01,0.02,-0.08,0.02,-0.04,-0.08,0.03,0.11,-0.0,-0.0,-0.05
last_bar_green,0.13,0.09,0.0,0.09,-0.09,0.44,0.45,0.25,1.0,0.4,0.05,0.05,0.01,0.03,0.05,0.02,0.03,0.03,-0.02,0.03,-0.01,0.03,-0.07,-0.01
range_vwap_distance_pct,0.36,0.01,0.07,-0.01,-0.12,0.58,0.81,0.82,0.4,1.0,0.03,-0.03,0.05,0.02,-0.01,-0.05,0.01,-0.04,-0.05,0.08,0.08,0.02,-0.04,-0.08
gap_pct,0.01,0.15,-0.03,0.16,-0.03,0.01,0.02,-0.04,0.05,0.03,1.0,0.03,-0.07,0.27,0.11,0.73,0.01,-0.01,0.01,0.01,-0.03,-0.02,-0.02,0.02
