day,symbol,hour,entry_m,entry,gate5,f_hrv3,f_sus,f_abs,f_mir,price,rr_bare,why_bare,exitm_bare,rr_tgt,why_tgt,exitm_tgt,rr_lock,why_lock,exitm_lock
2024-07-09,ROOT,14,900,66.45,True,True,False,False,True,66.45,-0.5568096313017342,eod,923,-0.5568096313017342,eod,923,-0.5568096313017342,eod,923
2024-07-09,TSL,12,782,11.1207,False,True,False,True,False,11.1207,-0.09306968086541165,eod,953,-0.09306968086541165,eod,953,-0.09306968086541165,eod,953
2024-07-09,TSLA,14,900,262.41,False,False,True,False,False,262.41,0.03620288860942758,eod,955,0.03620288860942758,eod,955,0.03620288860942758,eod,955
2024-07-09,TSLL,14,900,15.83,True,False,True,False,False,15.83,0.09475679090334573,eod,955,0.09475679090334573,eod,955,0.09475679090334573,eod,955
2024-07-09,TSLR,14,900,23.96,True,True,False,True,False,23.96,0.08535058430718011,eod,937,0.08535058430718011,eod,937,0.08535058430718011,eod,937
2024-07-09,VNET,11,720,2.445,False,True,False,True,False,2.445,-1.071472392638028,stop,831,-1.071472392638028,stop,831,-1.071472392638028,stop,831
2024-07-09,VNET,12,780,2.42,False,True,False,False,True,2.42,-0.20661157024792948,eod,934,-0.20661157024792948,eod,934,-0.20661157024792948,eod,934
2024-07-09,VNET,13,840,2.395,False,True,True,False,False,2.395,0.3131524008350768,eod,934,0.3131524008350768,eod,934,0.3131524008350768,eod,934
2024-07-10,AEHL,9,600,4.67,False,True,False,False,True,4.67,17.45182012847967,eod,955,2.0,target,603,0.44949999999999146,lock_stop,608
2024-07-10,AEHL,10,660,4.85,True,True,False,False,True,4.85,14.94845360824736,eod,955,2.0,target,662,14.94845360824736,eod,955
2024-07-10,AEHL,11,720,5.081,True,True,True,False,True,5.081,11.995670143672442,eod,955,2.0,target,779,0.4495000000000006,lock_stop,781
2024-07-10,AEHL,13,843,5.3492,True,True,False,False,True,5.3492,8.88731025200032,eod,955,2.0,target,850,8.88731025200032,eod,955
2024-07-10,ALT,13,840,7.375,True,True,False,False,True,7.375,0.37288135593220156,eod,955,0.37288135593220156,eod,955,0.37288135593220156,eod,955
2024-07-10,EVGO,13,840,3.2859,True,True,False,False,False,3.2859,-1.0490000000000028,stop,866,-1.0490000000000028,stop,866,-1.0490000000000028,stop,866
2024-07-10,EVGO,14,900,3.2,True,True,True,False,False,3.2,0.0,eod,956,0.0,eod,956,0.0,eod,956
2024-07-10,GNLX,12,781,2.42,True,True,False,False,True,2.42,-1.25127685950413,stop,792,-1.25127685950413,stop,792,-1.25127685950413,stop,792
2024-07-10,JMIA,13,840,11.76,True,True,True,True,False,11.76,-0.5952380952380958,eod,955,-0.5952380952380958,eod,955,-0.5952380952380958,eod,955
2024-07-10,LGVN,9,600,4.48,True,True,False,False,True,4.48,-1.0534598214285797,stop,601,-1.0534598214285797,stop,601,-1.0534598214285797,stop,601
2024-07-10,LGVN,10,660,4.3104,True,True,False,False,True,4.3104,-1.0489999999999964,stop,751,2.0,target,680,0.4494999999999948,lock_stop,682
2024-07-10,NAAS,9,600,3.77,False,True,False,False,True,3.77,18.302387267904482,eod,955,2.0,target,619,0.44950000000000195,lock_stop,606
2024-07-10,NAAS,10,660,4.98,True,True,False,False,True,4.98,-1.0490000000000024,stop,697,2.0,target,662,0.4494999999999956,lock_stop,686
2024-07-10,NAAS,11,720,4.3,True,True,True,False,True,4.3,-1.0490000000000017,stop,743,2.0,target,723,0.4494999999999952,lock_stop,725
2024-07-10,NAAS,12,780,4.3299,True,True,True,False,True,4.3299,-1.0489999999999986,stop,782,-1.0489999999999986,stop,782,-1.0489999999999986,stop,782
2024-07-10,NAAS,13,840,4.52,True,True,True,True,False,4.52,-1.0489999999999993,stop,848,-1.0489999999999993,stop,848,-1.0489999999999993,stop,848
2024-07-10,NAAS,14,900,4.68,True,True,True,False,True,4.68,5.02136752136751,eod,955,2.0,target,901,5.02136752136751,eod,955
2024-07-10,NEOV,13,840,2.76,True,True,False,False,False,2.76,-1.049000000000001,stop,854,-1.049000000000001,stop,854,-1.049000000000001,stop,854
2024-07-10,ORIC,9,601,9.31,False,True,False,False,True,9.31,0.10741138560687234,eod,900,0.10741138560687234,eod,900,0.10741138560687234,eod,900
