day,symbol,m,sp_mean,sp_med,mid_med,n_q,err
2024-07-08,PLSE,720,0.1154545454545453,0.10999999999999943,15.355,110,
2024-07-08,PLSE,721,0.123333333333334,0.120000000000001,15.415,42,
2024-07-08,PLSE,780,0.158080808080808,0.16000000000000014,16.32,297,
2024-07-08,PLSE,825,0.1495348837209306,0.15000000000000036,15.684999999999999,43,
2024-07-08,PLSE,840,0.13479999999999945,0.1399999999999988,15.76,75,
2024-07-08,PLSE,942,0.10000000000000059,0.09999999999999964,15.614999999999998,34,
2024-07-09,JMIA,720,0.010575692963752728,0.009999999999999787,10.934999999999999,469,
2024-07-09,JMIA,745,0.01097368421052641,0.009999999999999787,10.934999999999999,380,
2024-07-09,ROOT,900,0.26849056603773647,0.2400000000000091,67.44999999999999,53,
2024-07-09,ROOT,923,0.2912195121951254,0.3299999999999983,66.785,82,
2024-07-10,AEHL,720,0.09333333333333335,0.08999999999999986,4.9625,54,
2024-07-10,AEHL,779,,,,0,
2024-07-10,AEHL,781,0.08000000000000007,0.08000000000000007,5.09,1,
2024-07-10,AEHL,843,0.07000000000000028,0.07000000000000028,5.205,2,
2024-07-10,AEHL,850,,,,0,
2024-07-10,AEHL,955,0.06181818181818179,0.05999999999999961,5.609999999999999,11,
2024-07-10,ALT,840,0.01188235294117696,0.010000000000000675,7.3149999999999995,85,
2024-07-10,ALT,955,0.010052854122621599,0.009999999999999787,7.455,946,
2024-07-11,AEHL,600,0.1200000000000001,0.1200000000000001,5.9399999999999995,1,
2024-07-11,AEHL,624,0.1566666666666666,0.16999999999999993,5.725,3,
2024-07-11,AEHL,639,,,,0,
2024-07-11,AEHL,657,0.18921052631578936,0.1999999999999993,5.55,76,
2024-07-11,EMPD,660,0.056857142857142794,0.05999999999999961,5.445,210,
2024-07-11,EMPD,661,0.03650485436893213,0.040000000000000036,5.359999999999999,103,
2024-07-11,INO,900,0.09230158730158672,0.08000000000000007,11.1675,126,
2024-07-11,INO,909,0.046875000000000035,0.049999999999998934,11.055,48,
2024-07-11,KOSS,900,0.0784705882352941,0.08000000000000007,9.315,170,
2024-07-11,KOSS,948,0.05110091743119263,0.05000000000000071,8.735,109,
2024-07-12,AEHL,900,0.06099999999999994,0.05999999999999961,4.77,10,
2024-07-12,AEHL,917,0.11500000000000037,0.1200000000000001,5.08,6,
2024-07-12,LPA,720,0.36714801444043327,0.3000000000000007,13.775,277,
2024-07-12,LPA,721,0.5290404040404042,0.45000000000000107,13.2375,198,
2024-07-12,LPA,780,0.2756783919597992,0.2700000000000031,21.14,199,
2024-07-12,LPA,784,0.27131004366812145,0.22000000000000242,21.91,687,
2024-07-12,LPA,787,0.27080597014925395,0.25,20.53,335,
2024-07-12,LPA,828,0.2776033057851232,0.28999999999999915,17.23,121,
2024-07-12,LPA,840,0.31040404040403985,0.2799999999999976,17.7,99,
2024-07-12,LPA,841,0.2285507246376815,0.22000000000000242,17.975,69,
2024-07-12,SOUN,660,0.010043290043290085,0.009999999999999787,6.015,462,
2024-07-12,SOUN,715,0.009999999999999787,0.009999999999999787,6.175,233,
2024-07-12,SOUN,720,0.010041152263374608,0.009999999999999787,6.175,486,
2024-07-12,SOUN,730,0.010000000000000675,0.010000000000000675,6.145,127,
2024-07-12,SOUN,780,0.010000000000000024,0.009999999999999787,6.365,239,
2024-07-12,SOUN,840,0.010042016806722636,0.009999999999999787,6.1850000000000005,238,
2024-07-12,SOUN,874,0.010062499999999785,0.009999999999999787,6.335,160,
2024-07-12,SOUN,955,0.009999999999999787,0.009999999999999787,6.235,440,
2024-07-15,CYN,720,0.09459821428571409,0.09999999999999964,9.61,224,
2024-07-15,CYN,731,0.10286677908937593,0.09999999999999964,10.035,593,
2024-07-15,HUMA,660,0.016563573883161212,0.019999999999999574,8.35,291,
2024-07-15,HUMA,675,0.012181818181817922,0.009999999999999787,8.28,55,
2024-07-15,HUMA,720,0.020000000000000826,0.02000000000000135,8.635,136,
2024-07-15,HUMA,723,0.01882352941176499,0.019999999999999574,8.629999999999999,255,
2024-07-15,LXEO,600,0.009999999999999787,0.009999999999999787,13.504999999999999,4,
2024-07-15,LXEO,657,0.14749999999999946,0.16999999999999993,13.125,56,
2024-07-15,LXEO,660,0.1464285714285714,0.16000000000000014,13.18,42,
2024-07-15,LXEO,671,0.07085714285714287,0.07000000000000028,13.325,35,
2024-07-15,LXEO,672,0.09101123595505582,0.09999999999999964,13.29,89,
2024-07-15,LXEO,780,0.06952380952380982,0.0600000000000005,12.3,21,
2024-07-15,LXEO,840,0.07761904761904719,0.06999999999999851,13.1075,42,
2024-07-15,LXEO,876,0.09879999999999967,0.09999999999999964,13.07,25,
2024-07-15,LXEO,880,0.11145454545454495,0.09999999999999964,12.969999999999999,55,
2024-07-16,AAOI,840,0.017542087542087526,0.019999999999999574,11.565000000000001,297,
2024-07-16,AAOI,900,0.021558441558441745,0.02000000000000135,11.805,77,
2024-07-16,AAOI,932,0.016303317535544794,0.019999999999999574,12.004999999999999,211,
2024-07-16,ACHR,840,0.010107526881720215,0.009999999999999787,5.375,93,
2024-07-16,ACHR,955,0.009999999999999787,0.009999999999999787,5.375,163,
2024-07-16,FHTX,840,,,,0,
2024-07-16,FHTX,900,0.17299999999999996,0.17999999999999972,6.68,10,
2024-07-16,KOSS,600,0.06396946564885467,0.0600000000000005,10.795,393,
2024-07-16,KOSS,602,0.07449838187702243,0.08000000000000007,10.655,309,
2024-07-16,KOSS,605,0.05287769784172679,0.05000000000000071,10.32,278,
2024-07-16,KOSS,666,0.0638297872340425,0.06999999999999851,10.84,188,
2024-07-16,LPA,660,0.397370892018779,0.4200000000000017,22.565,639,
2024-07-16,LPA,664,0.36102380952381014,0.370000000000001,23.185000000000002,420,
2024-07-16,NKTX,660,0.020384615384615293,0.019999999999999574,7.99,26,
2024-07-16,NKTX,845,0.009999999999999787,0.009999999999999787,7.985,11,
2024-07-16,NKTX,935,0.013142857142856863,0.009999999999999787,8.094999999999999,105,
2024-07-16,SPIR,840,0.09999999999999964,0.09999999999999964,13.64,4,
2024-07-16,SPIR,888,0.1666393442622949,0.16999999999999993,14.21,122,
2024-07-16,SPIR,900,0.08224358974358957,0.08000000000000007,14.3275,156,
2024-07-16,VRDN,660,0.06302272727272504,0.06999999999999673,16.705,440,
2024-07-16,VRDN,666,0.025576923076924683,0.030000000000001137,16.745,52,
2024-07-17,AEHR,720,0.05493297587131387,0.05999999999999872,20.75,373,
2024-07-17,AEHR,752,0.053429158110882904,0.05000000000000071,19.975,487,
2024-07-17,AEHR,780,0.03648854961832051,0.03999999999999915,20.23,131,
2024-07-17,AEHR,840,0.026194029850746096,0.019999999999999574,21.049999999999997,134,
2024-07-17,AEHR,854,0.020576923076923152,0.019999999999999574,21.35,52,
2024-07-17,AEHR,856,0.04051282051282179,0.0400000000000027,21.240000000000002,156,
2024-07-17,AEHR,957,0.014139650872817641,0.010000000000001563,20.615000000000002,401,
2024-07-17,FLNA,600,0.04394265232974915,0.040000000000000924,9.575,279,
2024-07-17,FLNA,603,0.022941176470588374,0.019999999999999574,9.515,272,
2024-07-17,FLNA,660,0.01366197183098575,0.009999999999999787,9.915,142,
2024-07-17,FLNA,665,0.03243243243243283,0.030000000000001137,9.715,111,
2024-07-17,FLNA,720,0.016010362694300433,0.009999999999999787,9.405000000000001,193,
2024-07-17,FLNA,876,0.019999999999999574,0.019999999999999574,9.74,22,
2024-07-17,FLNA,956,0.011037037037037038,0.009999999999999787,9.565000000000001,270,
2024-07-17,HE,840,0.022784156142365234,0.019999999999999574,13.07,1742,
2024-07-17,HE,900,0.009999999999999787,0.009999999999999787,12.605,184,
2024-07-17,HE,950,0.01041522491349495,0.009999999999999787,12.765,289,
2024-07-18,BNED,720,0.07260273972602721,0.07000000000000028,10.025,292,
2024-07-18,BNED,755,0.08468749999999993,0.08999999999999986,10.225,224,
2024-07-18,BNED,763,0.07540145985401467,0.07000000000000028,10.175,137,
2024-07-18,BNED,788,0.061333333333333684,0.05000000000000071,10.455,45,
2024-07-18,BNED,840,0.056106870229007316,0.05999999999999872,10.754999999999999,131,
2024-07-18,BNED,864,0.11124668435013338,0.120000000000001,10.09,377,
