date,n_universe,n_signals,n_kept,kept_R_sum_proxy,kept_R_sum_measured,first4_R_sum,later_R_sum,placebo_mean
2026-09-16,33,15,13,-2.9983053050974884,-2.8638585932369027,1.4608574156963583,-4.459162720793847,0.4360902255639096
2026-09-17,121,55,16,-6.68939855464814,-6.610239451807837,-1.4732917804202217,-5.216106774227919,-0.1401589370735123
2026-09-18,46,16,0,0.0,0.0,0.0,0.0,
