split,n,n_weeks,trades_per_week,gross_bps,net_bps,net_daily_bps,net_auction_bps,med_net_bps,t_trade,wr,sd_trade_bps,mde_trade_bps,wk_mean_bps,wk_green,t_week,mde_week_bps,stop_rate,trunc_rate,span_days,entry_days,net_R,t_R,net_bps_no_top1,net_bps_no_top5,net_bps_wincap,pos_usd_med,pos_usd_p25,book_usd,usd_per_month,usd_worst_month,pct_book_per_month,n_months,cell,fam,hold,slots,universe
TRAIN,48,39,1.23077,-326.969,-385.808,-338.094,-336.969,-114.825,-1.64485,45.8333,1625.05,469.111,-47.484,43.5897,-1.55853,60.9343,22.9167,2.08333,1230,43,-0.244375,-1.40686,-450.251,-563.942,-389.511,169532,124605,1.69532e+06,-10825.9,-133018,-0.638578,29,K1_h5_n10,K1,5,10,primary
VAL,149,48,3.10417,-91.414,-139.062,-100.595,-101.414,-75.2921,-1.51008,45.6376,1124.09,184.179,-43.1672,39.5833,-1.51837,56.86,17.4497,0,371,96,-0.0261518,-0.253553,-201.642,-285.43,-172.943,432600,201816,4.326e+06,-56022.4,-252650,-1.29502,16,K1_h5_n10,K1,5,10,primary
TRAIN,48,39,1.23077,-326.969,-385.808,-338.094,-336.969,-114.825,-1.64485,45.8333,1625.05,469.111,-23.742,43.5897,-1.55853,30.4672,22.9167,2.08333,1230,43,-0.244375,-1.40686,-450.251,-563.942,-389.511,169532,124605,3.39063e+06,-10825.9,-133018,-0.319289,29,K1_h5_n20,K1,5,20,primary
VAL,163,48,3.39583,-78.0816,-126.488,-87.3945,-88.0816,-88.8552,-1.48149,44.7853,1090.04,170.758,-21.4766,41.6667,-1.55148,27.6852,18.4049,0,371,95,-0.0410162,-0.39298,-183.47,-270.812,-157.466,407131,194946,8.14262e+06,-52462.7,-237775,-0.644298,16,K1_h5_n20,K1,5,20,primary
TRAIN,48,41,1.17073,-346.001,-404.84,-357.126,-356.001,-232.056,-2.15842,35.4167,1299.48,375.127,-47.3959,36.5854,-2.16866,43.7099,12.5,2.08333,1230,43,-0.240677,-2.6918,-456.359,-534.642,-416.664,169532,124605,1.69532e+06,-10627.1,-120456,-0.626848,31,K1_h2_n10,K1,2,10,primary
VAL,161,45,3.57778,-77.7546,-125.754,-86.9969,-87.7546,-55.1714,-2.01358,42.8571,792.442,124.906,-44.9921,33.3333,-1.63097,55.1721,6.21118,0,371,96,-0.0734909,-1.27455,-159.211,-223.028,-141.922,412003,206022,4.12003e+06,-55610.6,-185663,-1.34976,15,K1_h2_n10,K1,2,10,primary
TRAIN,48,41,1.17073,-346.001,-404.84,-357.126,-356.001,-232.056,-2.15842,35.4167,1299.48,375.127,-23.6979,36.5854,-2.16866,21.8549,12.5,2.08333,1230,43,-0.240677,-2.6918,-456.359,-534.642,-416.664,169532,124605,3.39063e+06,-10627.1,-120456,-0.313424,31,K1_h2_n20,K1,2,20,primary
VAL,165,45,3.66667,-82.7657,-131.15,-92.0748,-92.7657,-70.2693,-2.14982,41.8182,783.627,122.01,-24.0442,33.3333,-1.83396,26.2211,6.66667,0,371,96,-0.116723,-1.77156,-163.852,-233.966,-146.926,407561,196123,8.15122e+06,-58796.9,-183661,-0.721326,15,K1_h2_n20,K1,2,20,primary
TRAIN,880,219,4.01826,-47.3295,-97.6242,-56.9704,-57.3295,-113.514,-2.64775,43.75,1093.76,73.7413,-39.228,41.0959,-1.91073,41.0607,32.9545,0.795455,1247,542,-0.139463,-2.64775,-145.01,-252.024,-119.73,351479,181398,3.51479e+06,-49500.5,-611408,-1.40835,61,K2_h10_n10,K2,10,10,primary
VAL,346,75,4.61333,-56.3299,-104.832,-65.6593,-66.3299,-73.6041,-2.04735,43.6416,952.44,102.407,-48.3623,42.6667,-1.64906,58.6546,29.4798,0,371,202,-0.14976,-2.04735,-149.703,-248.187,-120.99,390193,193515,3.90193e+06,-74489.3,-399810,-1.90904,19,K2_h10_n10,K2,10,10,primary
