cell,split,n_v1,trades_per_week_v1,net_bps_v1,t_trade_v1,mde_trade_bps_v1,wk_green_v1,gross_bps_v1,net_auction_bps_v1,net_bps_no_top5_v1,net_bps_wincap_v1,usd_per_month_v1,usd_worst_month_v1,pos_usd_med_v1,n_v2,trades_per_week_v2,net_bps_v2,t_trade_v2,mde_trade_bps_v2,wk_green_v2,gross_bps_v2,net_auction_bps_v2,net_bps_no_top5_v2,net_bps_wincap_v2,usd_per_month_v2,usd_worst_month_v2,pos_usd_med_v2
K1_h5_n10,VAL,149,3.10417,-139.062,-1.51008,184.179,39.5833,-91.414,-101.414,-285.43,-172.943,-56022.4,-252650,432600,149,3.10417,-139.062,-1.51008,184.179,39.5833,-91.414,-101.414,-285.43,-172.943,-56022.4,-252650,432600
K1_h5_n10,TRAIN,48,1.2,-428.009,-1.74596,490.285,45,-369.17,-379.17,-608.957,-431.712,-11609.8,-167395,169532,48,1.23077,-385.808,-1.64485,469.111,43.5897,-326.969,-336.969,-563.942,-389.511,-10825.9,-133018,169532
K1_h5_n20,VAL,163,3.39583,-126.488,-1.48149,170.758,41.6667,-78.0816,-88.0816,-270.812,-157.466,-52462.7,-237775,407131,163,3.39583,-126.488,-1.48149,170.758,41.6667,-78.0816,-88.0816,-270.812,-157.466,-52462.7,-237775,407131
K1_h5_n20,TRAIN,48,1.2,-428.009,-1.74596,490.285,45,-369.17,-379.17,-608.957,-431.712,-11609.8,-167395,169532,48,1.23077,-385.808,-1.64485,469.111,43.5897,-326.969,-336.969,-563.942,-389.511,-10825.9,-133018,169532
K1_h2_n10,VAL,161,3.57778,-125.754,-2.01358,124.906,33.3333,-77.7546,-87.7546,-223.028,-141.922,-55610.6,-185663,412003,161,3.57778,-125.754,-2.01358,124.906,33.3333,-77.7546,-87.7546,-223.028,-141.922,-55610.6,-185663,412003
K1_h2_n10,TRAIN,48,1.2,-394.77,-2.135,369.809,37.5,-335.932,-345.932,-523.901,-406.595,-10708.2,-120456,169532,48,1.17073,-404.84,-2.15842,375.127,36.5854,-346.001,-356.001,-534.642,-416.664,-10627.1,-120456,169532
K1_h2_n20,VAL,165,3.66667,-131.15,-2.14982,122.01,33.3333,-82.7657,-92.7657,-233.966,-146.926,-58796.9,-183661,407561,165,3.66667,-131.15,-2.14982,122.01,33.3333,-82.7657,-92.7657,-233.966,-146.926,-58796.9,-183661,407561
K1_h2_n20,TRAIN,48,1.2,-394.77,-2.135,369.809,37.5,-335.932,-345.932,-523.901,-406.595,-10708.2,-120456,169532,48,1.17073,-404.84,-2.15842,375.127,36.5854,-346.001,-356.001,-534.642,-416.664,-10627.1,-120456,169532
K2_h10_n10,VAL,322,4.23684,-144.497,-2.72569,106.026,39.4737,-95.3175,-105.318,-290.428,-161.144,-89494.2,-396337,365455,346,4.61333,-104.832,-2.04735,102.407,42.6667,-56.3299,-66.3299,-248.187,-120.99,-74489.3,-399810,390193
K2_h10_n10,TRAIN,809,3.66063,-101.782,-2.4915,81.7031,42.9864,-51.3125,-61.3125,-263.92,-125.306,-44585.7,-448891,341128,880,4.01826,-97.6242,-2.64775,73.7413,41.0959,-47.3295,-57.3295,-252.024,-119.73,-49500.5,-611408,351479
K2_h10_n20,VAL,525,6.90789,-107.408,-2.57004,83.5849,39.4737,-58.9939,-68.9939,-242.195,-123.649,-117970,-474731,397490,540,7.10526,-73.9393,-1.87989,78.6634,44.7368,-25.6072,-35.6072,-204.963,-91.708,-84926.6,-482669,404136
K2_h10_n20,TRAIN,1216,5.45291,-90.9725,-2.80954,64.7596,37.2197,-40.9587,-50.9587,-251.763,-116.055,-63162.8,-775087,359715,1250,5.63063,-75.969,-2.47083,61.4927,38.2883,-25.8269,-35.8269,-234.519,-101.612,-54593.9,-827071,350693
K2_h5_n10,VAL,491,6.63514,-100.67,-2.56375,78.5338,35.1351,-51.779,-61.779,-208.76,-121.954,-101716,-405963,390984,514,6.94595,-73.2222,-2.08271,70.3144,41.8919,-24.6684,-34.6684,-175.433,-103.033,-79799.8,-436017,402856
K2_h5_n10,TRAIN,1162,5.28182,-94.8791,-3.20121,59.2771,36.8182,-44.2908,-54.2908,-235.622,-118.244,-61030.2,-703726,337674,1178,5.40367,-84.8861,-2.95409,57.4702,38.0734,-34.3519,-44.3519,-222.845,-108.599,-56717.7,-709240,340320
K2_h5_n20,VAL,648,8.75676,-91.6537,-2.78139,65.9049,33.7838,-42.8632,-52.8632,-196.747,-112.576,-121798,-660128,389646,661,8.93243,-74.655,-2.42464,61.5803,37.8378,-26.0381,-36.0381,-176.68,-97.7425,-102799,-715944,395806
K2_h5_n20,TRAIN,1410,6.40909,-80.3581,-2.95878,54.3185,35.4545,-30.0784,-40.0784,-226.988,-106.622,-64713.1,-626340,348396,1419,6.50917,-74.4347,-2.80203,53.1291,35.7798,-24.1418,-34.1418,-219.547,-100.744,-61242.8,-625439,347895
K3_h3_n10,VAL,1168,15.3684,-67.8231,-2.56031,52.9804,40.7895,-17.7875,-27.7875,-192.29,-96.0156,-145510,-585509,349000,1168,15.3684,-65.0348,-2.49179,52.1994,40.7895,-14.6444,-24.6444,-186.94,-91.8153,-137242,-589847,343283
K3_h3_n10,TRAIN,4013,15.3755,-40.7409,-3.0052,27.1136,40.2299,12.3499,2.34991,-156.134,-65.1775,-75858.8,-968073,283033,4054,15.5326,-49.406,-3.666,26.9536,40.2299,3.81089,-6.18911,-163.934,-74.406,-92714.3,-965794,282366
K3_h3_n20,VAL,2286,30.0789,-57.4876,-2.81239,40.8817,40.7895,-7.10504,-17.105,-177.174,-89.1902,-238640,-1.07657e+06,345022,2282,30.0263,-60.7962,-2.97904,40.816,43.4211,-10.3011,-20.3011,-179.353,-91.354,-248097,-1.1376e+06,339768
K3_h3_n20,TRAIN,7628,29.2261,-38.4168,-4.11666,18.6641,42.5287,14.3965,4.39649,-148.535,-61.8655,-139268,-1.91703e+06,289900,7690,29.4636,-37.8261,-4.11283,18.3942,42.9119,15.0944,5.09442,-147.389,-60.9541,-137631,-1.95583e+06,288621
K3_h1_n10,VAL,3237,42.5921,-67.8806,-8.47883,16.0118,22.3684,-17.7382,-27.7382,-128.842,-79.3624,-401159,-860491,346882,3230,42.5,-72.478,-8.97107,16.1582,18.4211,-22.1728,-32.1728,-132.825,-83.4942,-420438,-843296,341230
K3_h1_n10,TRAIN,10366,39.5649,7.59771,0.109491,138.783,24.4275,60.394,50.394,-120.576,-72.8508,37018.8,-733904,286720,10344,39.4809,-61.3174,-13.8597,8.84831,24.4275,-8.41112,-18.4111,-120.28,-72.5856,-297371,-752191,285993
K3_h1_n20,VAL,5369,70.6447,-72.4816,-12.6531,11.4568,11.8421,-22.4314,-32.4314,-127.014,-82.2021,-725574,-1.2593e+06,354254,5359,70.5132,-74.7369,-12.985,11.5113,10.5263,-24.6094,-34.6094,-128.776,-84.0567,-739758,-1.25088e+06,350933
K3_h1_n20,TRAIN,16186,61.7786,-15.8879,-0.357204,88.957,24.4275,36.6605,26.6605,-116.081,-70.4873,-123462,-1.24208e+06,292858,16149,61.6374,-60.3359,-17.82,6.77169,24.4275,-7.70865,-17.7087,-116.21,-70.6344,-466001,-1.23733e+06,291740
K4_h1_n10,VAL,3520,46.3158,-82.4169,-6.90812,23.8609,23.6842,-31.8475,-41.8475,-176.017,-100.198,-523580,-1.07324e+06,342908,3520,46.3158,-75.641,-6.40434,23.6218,25,-25.3169,-35.3169,-168.689,-93.6347,-494937,-1.10541e+06,353186
K4_h1_n10,TRAIN,12471,47.5992,-85.3456,-17.7581,9.61202,20.229,-28.8206,-38.8206,-152.788,-98.1808,-410757,-1.38023e+06,235414,12471,47.5992,-84.0899,-17.5201,9.59926,22.1374,-27.6507,-37.6507,-151.696,-97.0279,-405944,-1.38443e+06,236130
