,0
2016-01-31,0.0
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.0
2016-05-31,0.0
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,0.0
2016-12-31,0.0
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,-0.005425615140006945
2017-06-30,-0.02331661862404588
2017-07-31,0.0
2017-08-31,-0.013263908664973512
2017-09-30,-0.013345217989071068
2017-10-31,-0.07957548752863364
2017-11-30,0.038565952909617396
2017-12-31,0.01706040719948443
2018-01-31,0.05125150526790101
2018-02-28,-0.010842982250775735
2018-03-31,-0.00924185212241746
2018-04-30,-0.006036186878800809
2018-05-31,0.05900970432202168
2018-06-30,0.02092767511288751
2018-07-31,-0.051941941658620316
2018-08-31,0.055094781192371656
2018-09-30,0.00414618667759159
2018-10-31,-0.103584867084208
2018-11-30,0.020861890208518474
2018-12-31,-0.1120957306870749
2019-01-31,0.09537180006404711
2019-02-28,0.05805799692802038
2019-03-31,-0.00854281766195697
2019-04-30,0.06402129548483093
2019-05-31,-0.07313294558035921
2019-06-30,0.05887752361114762
2019-07-31,-0.005725336829493721
2019-08-31,-0.02897760971715846
2019-09-30,0.019159459948299595
2019-10-31,0.009247148260914884
2019-11-30,0.031356937234185533
2019-12-31,0.028030393439585133
2020-01-31,-0.040137656478859585
2020-02-29,-0.10432422172726064
2020-03-31,-0.1885074942977253
2020-04-30,0.15005750520504524
2020-05-31,0.05076702352594942
2020-06-30,0.08742199582116128
2020-07-31,0.00812168367596433
2020-08-31,0.014040080328783233
2020-09-30,0.02285417599611894
2020-10-31,-0.03398479522238085
2020-11-30,0.09442485644838094
2020-12-31,0.08036101955165531
2021-01-31,0.11423649550724235
2021-02-28,0.15379504945378342
2021-03-31,0.03670656834282893
2021-04-30,0.05309105542253412
2021-05-31,0.03854915728005803
2021-06-30,0.05501787345774867
2021-07-31,-0.006680191195076013
2021-08-31,-0.012866887509859093
2021-09-30,-0.06244649952854597
2021-10-31,0.06441438729723381
2021-11-30,-0.07095285868371692
2021-12-31,0.06655205842182732
2022-01-31,-0.11159382843816579
2022-02-28,0.014697136380153575
2022-03-31,0.026196026478652268
2022-04-30,-0.05518079957119115
2022-05-31,0.0443443835111097
2022-06-30,-0.08334759907978528
2022-07-31,-0.022709853360103893
2022-08-31,-0.0012611740178130049
2022-09-30,-0.11126117103444788
2022-10-31,0.09858840570669791
2022-11-30,-0.005847236574949233
2022-12-31,-0.05023672672027646
2023-01-31,0.10085099078317405
2023-02-28,-0.017224432755912567
2023-03-31,-0.037758399068876236
2023-04-30,-0.01955144501147721
2023-05-31,0.054593295325141566
2023-06-30,0.06636888831957077
2023-07-31,0.061171354072862894
2023-08-31,-0.05438251644800063
2023-09-30,-0.04654485835065569
2023-10-31,-0.028253981148945506
2023-11-30,0.10326641796274205
2023-12-31,0.0893408451875568
2024-01-31,-0.011330827222365891
2024-02-29,0.03348214451432008
2024-03-31,0.03321628605211968
2024-04-30,-0.09381939073019163
2024-05-31,0.03961754224112002
2024-06-30,-0.03125317584942444
2024-07-31,0.02444929578402233
2024-08-31,0.06392817109986981
2024-09-30,0.02645114910111901
2024-10-31,0.009240540864905666
2024-11-30,0.04143379656350188
2024-12-31,-0.0700060428971574
2025-01-31,0.04864834483314584
2025-02-28,-0.056893818576282285
2025-03-31,-0.035885563839765044
2025-04-30,0.01595023815245633
2025-05-31,0.08731974462576053
2025-06-30,0.07188808752182174
2025-07-31,0.005258382817215468
2025-08-31,0.0826082985525507
2025-09-30,0.02068766297492175
2025-10-31,0.01307034913550309
2025-11-30,-0.028698687945346246
2025-12-31,0.025176194296747223
2026-01-31,0.050316277080524996
2026-02-28,0.01651588517532776
2026-03-31,-0.05096002543124134
2026-04-30,0.025601320692611562
2026-05-31,-0.002086864351310447
2026-06-30,0.08667328173951816
2026-07-31,-0.024549839927502037
2026-08-31,0.0
2026-09-30,0.0
