book,split,stat,effect,sd,n_needed,weeks,years
orb,TRAIN,raw,0.21611602565560242,1.6937719637561939,481.5617653467327,74.08642543795888,1.4247389507299784
orb,TRAIN,diff_b,0.15270107102827368,1.6983663156357418,969.8278063142056,149.20427789449317,2.869313036432561
orb,TRAIN,diff_a,0.1977616909439172,1.4532812379948692,423.38070587224445,65.13549321111454,1.2526056386752795
orb,VAL,raw,0.4695062418246859,2.732066245572169,265.4701977413502,40.841568883284644,0.7854147862170124
orb,VAL,diff_b,0.43593554009458557,2.7454026828021294,310.9450278391692,47.837696590641414,0.9199557036661811
orb,VAL,diff_a,0.32389159212735913,2.473758782629153,457.3318122530048,70.35874034661612,1.3530526989733869
bf,TRAIN,raw,0.6913851546546534,1.9386181225741141,61.63969752343335,94.83030388220514,1.8236596900424067
bf,TRAIN,diff_b,0.5073446362141989,1.9834384339406257,119.82497999409718,184.3461230678418,3.54511775130465
bf,TRAIN,diff_a,0.6460787610496388,2.1904217708814033,90.11573483488141,138.6395920536637,2.6661460010319944
bf,VAL,raw,0.8163085151692205,2.127363513533966,53.24647006813593,81.91764625867066,1.5753393511282818
bf,VAL,diff_b,0.3486763046955485,2.1204828740601247,289.9617631785661,446.0950202747171,8.578750389898406
bf,VAL,diff_a,0.6220470213598431,2.031497687574827,83.61848556120128,128.64382394030966,2.473919691159801
