rung,split,n,rr_conv,rr_meas,gain,rr_asis,dollars,h1,h2,wr,med_over_bps,mde
50,TRAIN,208,-0.08927489174579518,-0.18652479826701482,0.09724990652121963,-0.03670951014136676,-6963.441556172025,-0.04687612623621586,-0.12036731978615335,21.153846153846153,43.42169765074066,0.1976925114639376
50,VAL,90,0.2692071479388175,0.1710962974889291,0.09811085044988849,0.28759300062683624,9085.741242935092,,0.2692071479388175,33.33333333333333,44.03814615311252,0.49607506878462587
100,TRAIN,121,-0.051320737041377684,-0.08700806997643301,0.035687332935055334,0.10419722432743263,-2328.6784432525105,0.011957342174223036,-0.10957674647796245,23.96694214876033,71.17437722419906,0.24932678391589172
100,VAL,71,0.25546106969563387,0.07668450704404224,0.17877656265159164,0.32599506882632073,6801.650980646253,,0.25546106969563387,29.577464788732392,74.74235055976663,0.4567161537196505
150,TRAIN,37,-0.23945864874465556,-0.26197083117241976,0.022512182427764222,-0.11890736846787349,-3322.488751332096,-0.03958685715759653,-0.36111973927590885,24.324324324324326,127.20156555772854,0.456209053968507
150,VAL,15,-0.29652286476929796,-0.27952025933979235,-0.01700260542950559,-0.2116596794543168,-1667.941114327301,,-0.29652286476929796,13.333333333333334,130.62409288824517,0.3274094883812064
