geom,split,sig,a,b,d,d_h1,d_h2,da,ta,db,tb,dd,td,mde_a
X0,TRAIN,-0.03895918684147365,0.022966312555164223,-0.16136192659608645,-0.05787805862854056,-0.06882712630042141,-0.047743514175087744,-0.0637679858662479,-1.8519112205513026,0.12282434254740798,2.9630966776582186,0.018743159982215256,0.455656865873497,0.07999304255593483
X0,VAL,0.08272033029467891,0.05381306515536455,-0.15962115825075715,-0.042288350031572136,,-0.042288350031572136,0.02874890605973802,0.646394953906166,0.2400480083908385,4.738532279380158,0.12440601133911632,2.6304444118252914,0.12106024254807438
G1,TRAIN,-0.004120184370379998,0.059947760264392184,-0.1624949437237605,-0.05215682650300123,-0.0650649675845971,-0.04020894806045238,-0.06600380565099044,-1.481397276825116,0.15890432412709335,2.7427056863706785,0.04778030731968576,0.8154264095358983,0.09227556353770257
G1,VAL,0.08909930498495386,0.04345841199166702,-0.16998384038440115,-0.04701443802438319,,-0.04701443802438319,0.04808080820646495,0.9319747072792817,0.2564881524867315,4.5525915803476185,0.13552804573585842,2.471186607407036,0.1270715232947812
G2,TRAIN,-0.02480202525039398,0.036718442444678895,-0.15743178173535277,-0.052180961082756695,-0.06437409037603652,-0.040894903260062246,-0.06364712236470331,-1.6567037723893432,0.13406485270128765,2.8731018240440904,0.028027886202119313,0.5977194195281933,0.08548492672423516
G2,VAL,0.08475401772466835,0.04464530782768739,-0.16081547338965405,-0.04210370884637019,,-0.04210370884637019,0.04098315910865188,0.9039623560134018,0.24362381255869225,4.726341026370714,0.12625878134121518,2.6207939066462638,0.12266451540824724
G2p,TRAIN,-0.024353034676456938,0.03747024391802271,-0.15314848738347323,-0.0493780707791518,-0.06018210097985231,-0.03937777416698951,-0.06387517062368206,-1.7649755921346488,0.1300435070131468,2.968110202750935,0.02529560027777682,0.5779906593115223,0.0815827751168045
G2p,VAL,0.09605932235482194,0.0556086952182126,-0.15433976537562136,-0.037667533426713654,,-0.037667533426713654,0.04092575545585094,0.9011272307954414,0.24854101261660863,4.817726188731142,0.1331389814808947,2.7733384060660446,0.12191503643807308
G3,TRAIN,0.014167178243332744,0.06225553936948143,-0.16882483166020407,-0.05360123202974664,-0.0674022916190794,-0.04082686108745639,-0.049852170036599995,-1.0701844234529794,0.1829128132998339,2.750098136330205,0.06711999116945591,0.9935839934529803,0.09734741744578437
G3,VAL,0.07857930917141347,0.04281542576335824,-0.17070694987401092,-0.048769035027161976,,-0.048769035027161976,0.03884281811113538,0.8074519343115519,0.2452033368579443,4.237216226196332,0.1267535995723981,2.3090706554752005,0.1320868449063358
G5,TRAIN,-0.02115414720369746,0.03983031897425066,-0.1626755587602953,-0.05395752325865348,-0.06747061773148419,-0.041449695127284844,-0.06247970367736891,-1.6751339929808307,0.1423364500992114,3.0021010328837883,0.03295946558784722,0.7018378889537108,0.08564062041536466
G5,VAL,0.1039629511130421,0.05084795380100656,-0.1650377734457376,-0.04218163893124066,,-0.04218163893124066,0.05628006927087068,1.199006990653131,0.2650298386176033,4.9359263941117915,0.14556254937564708,2.883325507337182,0.13092750032593284
G6,TRAIN,-0.00941522483134903,0.04670857763381976,-0.16582509789313363,-0.05409904347792526,-0.06713929386344777,-0.042028883608913235,-0.05784239879898123,-1.456302003849529,0.1565144127889718,3.000747697530924,0.04436099858022416,0.8609898684892705,0.08960893455055192
G6,VAL,0.08883871489751514,0.04564936646374035,-0.16722977577819176,-0.04431726405186187,,-0.04431726405186187,0.0463005224911922,0.9999160332276894,0.25235840288969064,4.7068653409568,0.13256157221796308,2.6101875242077246,0.1322883706653876
G7,TRAIN,0.0009960745009215109,0.052695956608980986,-0.17039653921172268,-0.05588167480601951,-0.06864727063248398,-0.04406573738968862,-0.05350071326358719,-1.2684514889828287,0.16989981765309495,3.0050507499497288,0.055428548329825404,0.9738405965718425,0.09350562632872202
G7,VAL,0.09035573843114833,0.04411338807384448,-0.1701640964559778,-0.04820101114798618,,-0.04820101114798618,0.0493460899730448,1.03824363840483,0.25660674841309306,4.510220359709814,0.13797616321103473,2.559891394010685,0.13504528630740653
