arm,slots,split,picks,fills,pnl,r_per_pick,worst_mo,red_mo,mdd
asis,8,ALL,215,162,14429.0,0.495,-148.0,2,-576.0
asis,8,TEST,57,38,1380.0,0.172,-148.0,1,-515.0
asis,8,TRAIN,105,84,6662.0,0.486,-25.0,1,-528.0
asis,8,VAL,53,40,6386.0,0.862,159.0,0,-489.0
asis,3,ALL,88,70,7187.0,0.532,-223.0,6,-714.0
asis,3,TEST,22,17,855.0,0.278,-122.0,1,-193.0
asis,3,TRAIN,47,38,3650.0,0.502,-203.0,3,-617.0
asis,3,VAL,19,15,2681.0,0.902,-223.0,2,-409.0
strict,8,ALL,215,162,8158.0,0.295,-218.0,3,-537.0
strict,8,TEST,57,38,852.0,0.106,-41.0,1,-515.0
strict,8,TRAIN,105,84,5377.0,0.404,-48.0,1,-516.0
strict,8,VAL,53,40,1928.0,0.282,-218.0,1,-513.0
strict,3,ALL,88,70,2243.0,0.172,-311.0,11,-671.0
strict,3,TEST,22,17,-63.0,0.003,-31.0,3,-225.0
strict,3,TRAIN,47,38,2546.0,0.356,-311.0,4,-396.0
strict,3,VAL,19,15,-241.0,-0.09,-134.0,4,-390.0
measured_live,8,ALL,215,162,12197.0,0.416,-148.0,4,-709.0
measured_live,8,TEST,57,38,727.0,0.075,-148.0,2,-667.0
measured_live,8,TRAIN,105,84,5915.0,0.448,-36.0,2,-560.0
measured_live,8,VAL,53,40,5554.0,0.72,159.0,0,-489.0
measured_live,3,ALL,88,70,5044.0,0.345,-372.0,8,-714.0
measured_live,3,TEST,22,17,202.0,0.027,-122.0,2,-319.0
measured_live,3,TRAIN,47,38,2904.0,0.417,-372.0,3,-617.0
measured_live,3,VAL,19,15,1938.0,0.537,-223.0,3,-409.0
measured,8,ALL,215,162,10297.0,0.344,-148.0,5,-751.0
measured,8,TEST,57,38,685.0,0.066,-148.0,2,-667.0
measured,8,TRAIN,105,84,5673.0,0.423,-110.0,3,-560.0
measured,8,VAL,53,40,3939.0,0.484,159.0,0,-489.0
measured,3,ALL,88,70,5002.0,0.34,-372.0,9,-714.0
measured,3,TEST,22,17,160.0,0.006,-122.0,3,-319.0
measured,3,TRAIN,47,38,2904.0,0.417,-372.0,3,-617.0
measured,3,VAL,19,15,1938.0,0.537,-223.0,3,-409.0
measured_tg,8,ALL,215,162,10610.0,0.35,-148.0,3,-620.0
measured_tg,8,TEST,57,38,904.0,0.083,-148.0,1,-515.0
measured_tg,8,TRAIN,105,84,5701.0,0.426,-110.0,2,-560.0
measured_tg,8,VAL,53,40,4005.0,0.488,159.0,0,-489.0
measured_tg,3,ALL,88,70,5030.0,0.344,-372.0,8,-647.0
measured_tg,3,TEST,22,17,160.0,0.006,-122.0,3,-319.0
measured_tg,3,TRAIN,47,38,2932.0,0.424,-372.0,2,-523.0
measured_tg,3,VAL,19,15,1938.0,0.537,-223.0,3,-409.0
meas_cost,8,ALL,215,162,11050.0,0.37,-146.0,4,-587.0
meas_cost,8,TEST,57,38,986.0,0.108,-146.0,2,-587.0
meas_cost,8,TRAIN,105,84,6134.0,0.455,-112.0,2,-553.0
meas_cost,8,VAL,53,40,3931.0,0.483,172.0,0,-470.0
meas_cost,3,ALL,88,70,5302.0,0.37,-356.0,8,-647.0
meas_cost,3,TEST,22,17,272.0,0.056,-121.0,3,-309.0
meas_cost,3,TRAIN,47,38,3063.0,0.445,-356.0,2,-586.0
meas_cost,3,VAL,19,15,1967.0,0.55,-229.0,3,-401.0
