trade_date,symbol,cap,fill_price,brk_ts,fill_ts,lag_s,fill_vs_cap_bps
2026-05-19,WAY,19.9,19.88,2026-05-19T13:38:00+00:00,2026-05-19T13:46:47.247638+00:00,527.247638,-10.050251256281673
2026-05-19,CORD,7.02,6.996241,2026-05-19T13:45:00+00:00,2026-05-19T13:46:47.360634+00:00,107.360634,-33.8447293447286
2026-05-19,PURR,7.6,7.58,2026-05-19T13:35:00+00:00,2026-05-19T13:46:47.471739+00:00,707.471739,-26.315789473683182
2026-05-19,LMRI,7.29,7.29,2026-05-19T13:36:00+00:00,2026-05-19T13:46:47.584704+00:00,647.584704,0.0
2026-05-20,GLWG,26.29,26.23,2026-05-20T14:31:00+00:00,2026-05-20T14:31:16.024000+00:00,16.024,-22.822365918599985
2026-05-20,QUIK,20.05,20.0417,2026-05-20T14:07:00+00:00,2026-05-20T14:07:55.952000+00:00,55.952,-4.139650872818645
2026-05-21,IREG,21.18,21.18,2026-05-21T13:36:00+00:00,2026-05-21T13:39:03.754000+00:00,183.754,0.0
2026-05-21,YANG,29.86,29.7797,2026-05-21T13:35:00+00:00,2026-05-21T13:35:40.520000+00:00,40.52,-26.892163429337312
2026-05-21,GRRR,14.28,14.24,2026-05-21T13:38:00+00:00,2026-05-21T13:35:06.385000+00:00,-173.615,-28.011204481792618
2026-05-22,FLO,7.69,7.6695,2026-05-22T13:41:00+00:00,2026-05-22T13:41:15.277000+00:00,15.277,-26.657997399219813
2026-05-22,SMWB,4.11,4.11,2026-05-22T13:37:00+00:00,2026-05-22T13:41:16.924000+00:00,256.924,0.0
2026-05-26,TRT,15.53,15.53,2026-05-26T13:42:00+00:00,2026-05-26T13:42:00.721000+00:00,0.721,0.0
2026-05-26,BRCB,7.36,7.35,2026-05-26T13:40:00+00:00,2026-05-26T13:40:47.725000+00:00,47.725,-13.586956521740579
2026-05-26,IHRT,4.84,4.84,2026-05-26T13:37:00+00:00,2026-05-26T13:41:16.642000+00:00,256.642,0.0
2026-05-26,IPWR,7.07,7.07,2026-05-26T14:02:00+00:00,2026-05-26T14:02:27.860000+00:00,27.86,0.0
2026-05-27,HIMZ,28.49,28.439777,2026-05-27T13:39:00+00:00,2026-05-27T13:39:02.706000+00:00,2.706,-17.628290628289854
2026-05-28,TDOC,7.03,7.01,2026-05-28T13:58:00+00:00,2026-05-28T13:58:12.750000+00:00,12.75,-28.449502133712777
2026-05-28,AMPX,19.15,19.1,2026-05-28T13:38:00+00:00,2026-05-28T13:38:05.382000+00:00,5.382,-26.109660574411553
2026-05-28,BOIL,27.41,27.34,2026-05-28T13:37:00+00:00,2026-05-28T13:37:42.797000+00:00,42.797,-25.538124771981032
2026-05-29,SMCY,8.0,7.99,2026-05-29T13:36:00+00:00,2026-05-29T13:36:50.526000+00:00,50.526,-12.499999999999734
2026-05-29,PLTG,15.55,15.53,2026-05-29T13:35:00+00:00,2026-05-29T13:35:17.142000+00:00,17.142,-12.861736334406348
2026-05-29,HPQ,27.55,27.4721,2026-05-29T13:59:00+00:00,2026-05-29T13:59:40.982000+00:00,40.982,-28.27586206896493
2026-05-29,QURE,29.08,29.0,2026-05-29T13:37:00+00:00,2026-05-29T13:37:05.496000+00:00,5.496,-27.510316368637433
2026-06-01,ATPC,5.31,5.31,2026-06-01T13:46:00+00:00,2026-06-01T13:46:12.925000+00:00,12.925,0.0
2026-06-01,CURI,3.16,3.16,2026-06-01T13:42:00+00:00,2026-06-01T13:42:40.080000+00:00,40.08,0.0
2026-06-01,QBTZ,3.76,3.76,2026-06-01T13:35:00+00:00,2026-06-01T13:35:23.156000+00:00,23.156,0.0
2026-06-02,PLTZ,22.17,22.16,2026-06-02T13:35:00+00:00,2026-06-02T13:35:34.459000+00:00,34.459,-4.510599909788304
2026-06-02,MSTZ,7.68,7.6599,2026-06-02T13:37:00+00:00,2026-06-02T13:37:15.761000+00:00,15.761,-26.17187499999951
2026-06-02,HIMX,23.86,23.811315,2026-06-02T13:35:00+00:00,2026-06-02T13:35:23.611000+00:00,23.611,-20.404442581726244
2026-06-03,OKLS,16.98,16.98,2026-06-03T13:35:00+00:00,2026-06-03T13:35:01.624000+00:00,1.624,0.0
2026-06-03,FABC,5.52,5.5196,2026-06-03T13:37:00+00:00,2026-06-03T13:37:40.773000+00:00,40.773,-0.7246376811598232
2026-06-03,ASTN,3.95,3.95,2026-06-03T13:36:00+00:00,2026-06-03T14:10:46.166000+00:00,2086.166,0.0
2026-06-04,UNHG,21.0,20.99,2026-06-04T13:36:00+00:00,2026-06-04T13:36:02+00:00,2.0,-4.761904761905189
2026-06-04,AMDD,3.19,3.1799,2026-06-04T13:40:00+00:00,2026-06-04T13:40:41.520000+00:00,41.52,-31.66144200626997
2026-06-04,OSCR,22.89,22.87,2026-06-04T13:35:00+00:00,2026-06-04T13:35:31.042000+00:00,31.042,-8.7374399300999
2026-06-04,RPGL,3.84,3.84,2026-06-04T14:05:00+00:00,2026-06-04T14:05:11.426000+00:00,11.426,0.0
2026-06-05,IREZ,6.04,6.04,2026-06-05T13:35:00+00:00,2026-06-05T13:35:07.955000+00:00,7.955,0.0
2026-06-05,RGTZ,3.39,3.389878,2026-06-05T13:37:00+00:00,2026-06-05T13:37:41.116000+00:00,41.116,-0.35988200590031383
2026-06-05,SMCZ,6.49,6.49,2026-06-05T13:35:00+00:00,2026-06-05T13:35:27.764000+00:00,27.764,0.0
2026-06-08,BITU,9.73,9.71,2026-06-08T13:35:00+00:00,2026-06-08T13:35:56.255000+00:00,56.255,-20.554984583761595
2026-06-08,BTC,28.23,28.16,2026-06-08T13:35:00+00:00,2026-06-08T13:35:56.315000+00:00,56.315,-24.796315975912364
2026-06-08,GSOL,5.03,5.01,2026-06-08T13:36:00+00:00,2026-06-08T13:35:54.447000+00:00,-5.553,-39.76143141153132
2026-06-09,EIDO,11.68,11.645,2026-06-09T13:45:00+00:00,2026-06-09T13:37:03.097000+00:00,-476.903,-29.96575342465779
2026-06-09,FABC,4.33,4.33,2026-06-09T13:35:00+00:00,2026-06-09T13:35:55.845000+00:00,55.845,0.0
2026-06-09,MSTZ,9.43,9.4097,2026-06-09T14:16:00+00:00,2026-06-09T14:16:29.225000+00:00,29.225,-21.527041357368716
2026-06-10,OSCR,28.95,28.9,2026-06-10T13:35:00+00:00,2026-06-10T13:35:23.633000+00:00,23.633,-17.271157167529914
2026-06-11,UMC,20.08,20.02,2026-06-11T13:35:00+00:00,2026-06-11T13:35:12.213000+00:00,12.213,-29.880478087648264
2026-06-11,TROX,7.67,7.67,2026-06-11T13:35:00+00:00,2026-06-11T13:35:11.833000+00:00,11.833,0.0
2026-06-11,BAK,4.04,4.04,2026-06-11T13:35:00+00:00,2026-06-11T13:36:20.297000+00:00,80.297,0.0
2026-06-12,FA,16.57,16.546687,2026-06-12T13:54:00+00:00,2026-06-12T13:54:33.034000+00:00,33.034,-14.069402534702125
2026-06-12,TENX,11.79,11.79,2026-06-12T13:35:00+00:00,2026-06-12T13:35:06.409000+00:00,6.409,0.0
2026-06-12,CRWU,6.3,6.28,2026-06-12T13:35:00+00:00,2026-06-12T13:35:10.595000+00:00,10.595,-31.746031746030525
2026-06-15,PALL,24.8,24.7597,2026-06-15T14:06:00+00:00,2026-06-15T14:06:40.515000+00:00,40.515,-16.250000000000988
2026-06-15,MARA,15.11,15.0899,2026-06-15T13:35:00+00:00,2026-06-15T13:35:06.204000+00:00,6.204,-13.30244870946351
2026-06-16,PURR,10.59,10.558336,2026-06-16T13:35:00+00:00,2026-06-16T13:35:15.472000+00:00,15.472,-29.899905571293406
2026-06-16,LODE,4.41,4.4,2026-06-16T13:36:00+00:00,2026-06-16T13:36:03.566000+00:00,3.566,-22.675736961450532
2026-06-16,SSRM,31.75,31.66,2026-06-16T13:37:00+00:00,2026-06-16T13:35:11.541000+00:00,-108.459,-28.34645669291369
2026-06-16,RGTZ,3.2,3.19,2026-06-16T13:36:00+00:00,2026-06-16T13:36:03.735000+00:00,3.735,-31.250000000000444
2026-06-17,KOLD,23.67,23.63,2026-06-17T13:35:00+00:00,2026-06-17T13:49:38.106000+00:00,878.106,-16.899028305873422
2026-06-17,BTGO,6.21,6.21,2026-06-17T13:36:00+00:00,2026-06-17T13:36:03.700000+00:00,3.7,0.0
2026-06-17,AVGG,29.18,29.18,2026-06-17T13:43:00+00:00,2026-06-17T13:48:45.641000+00:00,345.641,0.0
2026-06-18,QCML,29.07,28.985,2026-06-18T13:49:00+00:00,2026-06-18T13:49:32.707000+00:00,32.707,-29.239766081872176
2026-06-22,BSOL,10.17,10.145059,2026-06-22T13:36:00+00:00,2026-06-22T13:36:22.668000+00:00,22.668,-24.524090462143544
2026-06-22,ETHU,14.57,14.54,2026-06-22T13:36:00+00:00,2026-06-22T13:36:06.121000+00:00,6.121,-20.590253946466408
2026-06-22,GSOL,5.63,5.62,2026-06-22T13:37:00+00:00,2026-06-22T13:37:21+00:00,21.0,-17.76198934280604
2026-06-22,SSL,11.35,11.315,2026-06-22T13:48:00+00:00,2026-06-22T13:48:24.849000+00:00,24.849,-30.83700440528636
2026-06-23,TSLZ,12.82,12.7899,2026-06-23T13:35:00+00:00,2026-06-23T13:35:16.522000+00:00,16.522,-23.478939157567382
