day,symbol,spec_rr_csv,why_csv,V0_rr,V0_why,V0_exit_m,V1_rr,V1_why,V1_exit_m,V2_rr,V2_why,V2_exit_m,V3_rr,V3_why,V3_exit_m
2025-02-07,HIMS,2.0,target,1.999999999999991,target,625,1.999999999999991,target,625,1.999999999999991,target,625,1.999999999999991,target,625
2025-02-07,NBIS,2.0,target,2.0,target,790,2.0,target,790,2.0,target,790,2.0,target,790
2025-02-07,NNE,-1.0455769230769238,stop,-1.0455769230769238,stop,602,-1.0455769230769238,stop,602,-1.0455769230769238,stop,602,-1.0455769230769238,stop,602
2025-02-07,PLTU,-1.0451960091130488,stop,-1.0451960091130488,stop,868,-1.0451960091130488,stop,868,-1.0451960091130488,stop,868,-1.0451960091130488,stop,868
2025-02-07,RIOX,-1.1227345688019887,stop,-1.1227345688019887,stop,833,-1.1227345688019887,stop,833,-1.1227345688019887,stop,833,-1.1227345688019887,stop,833
2025-02-07,SMCX,-1.0374537762943423,stop,-1.0374537762943425,stop,600,-1.0374537762943425,stop,600,-1.0374537762943425,stop,600,-1.0374537762943425,stop,600
2025-02-07,SPIR,-1.0312718507981664,stop,-1.0312718507981664,stop,600,-1.0312718507981664,stop,600,-1.0312718507981664,stop,600,-1.0312718507981664,stop,600
2025-02-07,TSLL,-1.0385932203389852,stop,-1.0385932203389852,stop,600,-1.0385932203389852,stop,600,-1.0385932203389852,stop,600,-1.0385932203389852,stop,600
2025-02-07,VCTR,-0.2195202103187655,eod,-0.2195202103187655,eod,955,-0.2195202103187655,eod,955,-0.2195202103187655,eod,955,-0.2195202103187655,eod,955
2025-02-13,AAOI,-1.0789076556449255,stop,-1.0789076556449257,stop,717,-1.0789076556449257,stop,717,-1.0789076556449257,stop,717,-1.0789076556449257,stop,717
2025-02-13,ASND,-0.8122205663189294,eod,-0.8122205663189294,eod,955,-0.8122205663189294,eod,955,-0.8122205663189294,eod,955,-0.8122205663189294,eod,955
2025-02-13,ATEX,1.8152173913043463,eod,1.8152173913043463,eod,955,1.8152173913043463,eod,955,1.8152173913043463,eod,955,1.8152173913043463,eod,955
2025-02-13,CONL,2.0,target,2.0,target,643,2.0,target,643,2.0,target,643,2.0,target,643
2025-02-13,CSAI,-1.043915681890769,stop,-1.0439156818907693,stop,668,-1.0439156818907693,stop,668,-1.0439156818907693,stop,668,-1.0439156818907693,stop,668
2025-02-13,EH,-1.067236842105261,stop,-1.067236842105261,stop,689,-1.067236842105261,stop,689,-1.067236842105261,stop,689,-1.067236842105261,stop,689
2025-02-13,ESTA,-1.0814358974358942,stop,-1.0814358974358942,stop,704,-1.0814358974358942,stop,704,-1.0814358974358942,stop,704,-1.0814358974358942,stop,704
2025-02-13,GRAL,2.0,target,2.0,target,595,2.0,target,595,2.0,target,595,2.0,target,595
2025-02-13,GRRR,2.0,target,2.0,target,910,2.0,target,910,2.0,target,910,2.0,target,910
2025-02-13,HOOD,-1.037425219941347,stop,-1.037425219941347,stop,586,-1.037425219941347,stop,586,-1.037425219941347,stop,586,-1.037425219941347,stop,586
2025-02-13,LMND,2.0,target,2.0,target,616,2.0,target,616,2.0,target,615,2.0,target,616
2025-02-13,PLMR,2.0,target,2.0000000000000084,target,598,2.0000000000000084,target,594,2.0000000000000084,target,594,2.0000000000000084,target,598
2025-02-13,PZZA,2.0,target,2.0,target,797,2.0,target,771,2.0,target,771,2.0,target,797
