day,symbol,entry_m,level,entry,prev_close,open,adv20,adv20_20,adv20_5,nprev,rr
2025-01-15,IONQ,591,35.72,35.6436,29.51,32.78,49518800.25,,49518800.25,8.0,2.0
2025-01-15,KIDS,661,25.04,25.19,23.55,23.74,316936.5,,316936.5,8.0,-1.2350188679245324
2025-01-15,MUU,596,22.115,22.1383,20.15,21.03,342366.25,,342366.25,8.0,2.0
2025-01-15,OKLO,607,25.56,25.44,22.81,24.1,15107658.375,,15107658.375,8.0,2.0
2025-01-15,SEZL,584,254.95,256.2629,233.42,241.87,126540.5,,126540.5,8.0,0.2054358594602191
2025-01-15,SMR,632,21.2058,21.18,19.23,20.18,9094861.125,,9094861.125,8.0,-1.0673225806451572
2025-01-15,TEM,604,35.2,35.15,31.83,33.47,4072185.0,,4072185.0,8.0,2.0
2025-01-16,ALCO,713,32.705,32.54,30.35,29.75,159927.88888888888,,159927.88888888888,9.0,-1.2838599999999971
2025-01-16,BOIL,823,75.55,75.76,72.33,71.68,4540915.111111111,,4540915.111111111,9.0,2.0
2025-01-16,CONL,688,43.8694,43.73,42.0,41.89,5331827.777777778,,5331827.777777778,9.0,-1.0662769230769285
2025-01-16,DOGZ,581,45.4,45.29,44.32,42.56,408962.0,,408962.0,9.0,2.0
2025-01-16,HUT,670,26.94,26.955,26.26,25.56,5325723.0,,5325723.0,9.0,-1.0639518072289174
2025-01-16,IONQ,604,38.75,38.66,39.39,36.86,52335829.44444445,,52335829.44444445,9.0,-1.0384489795918386
2025-01-16,NGVT,701,45.65,45.825,41.87,43.35,219707.3333333333,,219707.33333333334,9.0,2.0
2025-01-16,TSLQ,703,24.26,24.3377,22.53,23.05,10349602.777777778,,10349602.777777778,9.0,-1.0710689961504316
2025-01-17,HUT,654,29.14,29.26,26.59,27.71,5290590.8,,5290590.8,10.0,-1.0780810810810824
2025-01-17,MARA,641,20.19,20.19,18.3,19.225,35582007.7,,35582007.7,10.0,2.0
2025-01-17,MDGL,903,292.0,292.93,272.79,273.61,452160.0,,452160.0,10.0,0.0
2025-01-17,MSTX,699,61.18,61.22,53.46,58.16,13024538.3,,13024538.3,10.0,-1.0566079796744143
2025-01-17,NNE,650,25.22,25.3,23.41,23.97,4643710.9,,4643710.9,10.0,-1.0476538461538458
2025-01-17,OKLO,697,26.32,26.3492,24.23,24.99,14408764.1,,14408764.1,10.0,-1.0461194563662386
2025-01-17,SMR,648,22.07,22.0247,20.28,20.995,8585621.1,,8585621.1,10.0,2.0
2025-01-17,TSLL,619,30.77,30.8411,28.19,29.26,70663745.4,,70663745.4,10.0,-1.065900433839476
2025-01-21,ARQQ,588,27.73,27.75,26.77,25.1,1397227.6363636365,,1397227.6363636365,11.0,-1.104035274725275
2025-01-21,ASTS,591,22.1299,22.13,20.78,20.9,5491319.090909091,,5491319.090909091,11.0,-1.0423921568627426
2025-01-21,BE,770,25.46,25.5,23.92,24.16,5057455.636363637,,5057455.636363637,11.0,0.4722222222222277
2025-01-21,BTSG,733,21.1,21.05,18.55,17.8,1044421.4545454546,,1044421.4545454546,11.0,-1.0591428571428612
2025-01-21,CBRL,588,58.42,58.285,54.73,55.4,803483.5454545454,,803483.5454545454,11.0,2.0
2025-01-21,GH,718,42.88,42.88,36.66,39.04,2112821.727272727,,2112821.727272727,11.0,2.0
2025-01-21,IONQ,581,41.855,41.72,38.89,39.19,49822249.72727273,,49822249.72727273,11.0,-1.029014388489207
2025-01-21,LB,908,80.98,81.3,74.75,77.0,485475.9090909091,,485475.9090909091,11.0,-1.0893333333333313
2025-01-21,LEU,667,86.0,85.66,77.83,81.63,589466.1818181818,,589466.1818181818,11.0,-1.086408163265313
2025-01-21,LUNR,633,21.82,21.85,18.51,19.54,14276326.363636363,,14276326.363636363,11.0,1.5636363636363606
2025-01-21,MUU,711,24.619,24.735,23.57,23.4,322230.2727272727,,322230.2727272727,11.0,2.0
2025-01-21,NNE,628,28.05,28.21,24.71,26.63,4566000.818181818,,4566000.818181818,11.0,2.0
2025-01-21,OKLO,670,29.78,29.77,26.05,27.62,14267323.636363637,,14267323.636363637,11.0,2.0
2025-01-21,PLAY,588,25.72,25.71,24.07,24.4,2078465.9090909087,,2078465.9090909092,11.0,2.0
2025-01-21,PRAX,805,76.41,76.355,70.54,72.28,317601.9090909091,,317601.9090909091,11.0,1.0846905537459155
2025-01-21,QMCO,582,34.8686,34.35,32.6,33.1,2277404.727272727,,2277404.727272727,11.0,-1.0436103896103903
2025-01-21,RIGL,866,21.38,21.45,20.13,20.35,254742.9090909091,,254742.9090909091,11.0,1.1785714285714453
2025-01-21,RNA,669,30.06,30.145,28.92,28.59,1376832.3636363635,,1376832.3636363635,11.0,2.0
2025-01-21,SDGR,701,20.3,20.275,19.0,19.26,563113.4545454546,,563113.4545454546,11.0,2.0
2025-01-21,SMMT,579,20.48,20.48,19.03,19.25,2424236.636363636,,2424236.6363636362,11.0,2.0
2025-01-21,SMR,775,25.07,25.036,21.97,23.86,8814256.454545455,,8814256.454545455,11.0,0.942567567567558
2025-01-21,SYM,690,31.94,31.9444,29.76,30.3,2856704.636363636,,2856704.6363636362,11.0,2.0
2025-01-21,TSLQ,578,23.63,23.77,22.55,21.93,10014779.818181818,,10014779.818181818,11.0,-1.0252448934525764
2025-01-22,CRSP,860,43.87,43.99,41.51,41.65,1771785.25,,1771785.25,12.0,0.2109704641350171
2025-01-22,FTAI,798,88.7,88.76,83.79,84.0,5728896.583333333,,5728896.583333333,12.0,1.868519395757668
2025-01-22,GH,621,47.55,47.6128,45.13,45.13,2533373.5,,2533373.5,12.0,2.0
2025-01-22,GRAL,754,22.82,22.76,18.49,18.805,721548.9166666666,,721548.9166666666,12.0,2.0
2025-01-22,IESC,656,307.9,307.53,276.32,284.63,157863.41666666666,,157863.41666666666,12.0,-1.0902551928783468
2025-01-22,MRNA,588,38.22,38.39,35.89,36.35,12123294.333333334,,12123294.333333334,12.0,0.099999999999999
2025-01-22,RDNT,619,62.78,62.565,60.19,59.71,809857.9166666666,,809857.9166666666,12.0,2.0
2025-01-22,SMCX,604,49.08,49.15,42.52,46.5,1358307.4166666667,,1358307.4166666667,12.0,-1.0319865771812082
2025-01-22,TMDX,611,59.97,60.15,56.73,56.8,3619447.0833333335,,3619447.0833333335,12.0,-1.071469879518072
2025-01-23,BE,676,26.4,26.415,25.53,25.1,5464786.692307692,,5464786.692307692,13.0,2.0
2025-01-23,BITU,579,60.95,60.75,60.38,58.02,2470379.153846154,,2470379.153846154,13.0,-1.0436691176470592
2025-01-23,BITX,579,63.583,63.45,63.17,60.5,8951072.692307692,,8951072.692307692,13.0,-1.041019867549669
2025-01-23,BKKT,677,31.06,30.93,29.16,28.12,360568.5384615384,,360568.53846153844,13.0,0.1490384615384627
2025-01-23,CONL,586,49.868,50.02,48.22,46.13,5525855.153846154,,5525855.153846154,13.0,-1.0302625
2025-01-23,FTAI,634,96.625,97.1,91.99,91.93,5861964.384615385,,5861964.384615385,13.0,1.7651821862348185
2025-01-23,GRAL,689,23.94,23.98,22.64,22.76,888812.8461538461,,888812.8461538461,13.0,-1.069529411764707
2025-01-23,JANX,611,42.305,42.54,40.18,40.29,1247285.076923077,,1247285.076923077,13.0,2.0
2025-01-23,LEU,644,94.1039,94.0591,90.81,89.35,696385.0769230769,,696385.0769230769,13.0,2.0
2025-01-23,LUNR,594,22.94,22.505,22.45,21.83,15251679.846153846,,15251679.846153846,13.0,-1.1656078431372554
2025-01-23,MSTX,579,58.47,58.59,55.84,54.18,13063772.461538462,,13063772.461538462,13.0,-1.0321973482916864
2025-01-23,OKLO,586,36.26,36.153,34.17,32.14,15610616.384615384,,15610616.384615384,13.0,-1.0373382820784722
2025-01-23,PTIR,579,135.81,134.97,131.56,128.7,633397.0769230769,,633397.0769230769,13.0,-1.0774709302325605
2025-01-23,SMR,586,26.3,26.33,25.57,24.75,9432786.692307692,,9432786.692307692,13.0,2.0
2025-01-23,SPIR,894,20.06,20.1,19.17,19.04,521127.0,,521127.0,13.0,0.3428571428571386
2025-01-23,TEM,661,51.98,51.84,50.45,49.72,7937322.923076923,,7937322.923076923,13.0,2.0
2025-01-23,TIL,602,20.49,20.4808,19.72,19.44,109915.6153846154,,109915.61538461539,13.0,2.0
2025-01-24,BE,659,29.13,28.98,27.67,27.72,5766654.785714285,,5766654.785714285,14.0,2.0
2025-01-24,BTDR,745,21.31,21.32,19.755,20.17,8206533.071428572,,8206533.071428572,14.0,-1.0497619047619071
2025-01-24,EWTX,772,29.13,29.21,27.0,26.84,969450.2142857144,,969450.2142857143,14.0,-1.0419558823529411
2025-01-24,GDS,596,23.19,23.15,21.23,21.97,1907432.571428572,,1907432.5714285714,14.0,-0.6017699115044269
2025-01-24,GRAL,594,27.58,27.61,25.97,26.19,943266.6428571428,,943266.6428571428,14.0,2.0
2025-01-24,NBIS,602,41.43,41.45,38.64,39.37,7357652.357142857,,7357652.357142857,14.0,2.0
2025-01-24,NNE,801,45.65,45.68,42.74,43.22,6432953.285714285,,6432953.285714285,14.0,2.0
2025-01-24,NVDS,775,22.57,22.596,21.68,21.45,1318686.7857142857,,1318686.7857142857,14.0,0.483050847457629
2025-01-24,OKLO,681,42.5999,42.63,38.78,39.55,16940623.714285713,,16940623.714285713,14.0,-1.0536538461538418
2025-01-24,PSIX,703,42.8,42.56,39.0,40.0,322070.8571428572,,322070.85714285716,14.0,0.3582089552238773
2025-01-24,TECX,934,45.5,45.41,42.2,43.0,124093.57142857143,,124093.57142857143,14.0,2.0
2025-01-27,ARQQ,651,26.7976,26.76,27.89,25.4,1241573.6666666667,,1241573.6666666667,15.0,-1.0481009174311935
2025-01-27,ASAN,588,20.0899,20.13,19.65,19.13,2831407.8,,2831407.8,15.0,2.0
2025-01-27,FBL,634,40.25,40.42,39.79,37.2,768399.9333333333,,768399.9333333333,15.0,2.0
2025-01-27,IONQ,589,40.37,40.4369,40.76,38.02,43101571.73333333,,43101571.733333334,15.0,-1.0240089059311035
2025-01-27,JANX,582,45.82,46.03,44.11,43.37,1282104.4666666666,,1282104.4666666666,15.0,-1.0344076923076932
2025-01-27,LUNR,646,23.04,23.0299,23.07,21.71,15681863.6,,15681863.6,15.0,-1.040910646041855
2025-01-27,METU,634,40.5686,40.75,40.13,37.41,460197.5333333333,,460197.5333333333,15.0,2.0
2025-01-27,MSTX,590,47.3598,47.42,48.85,44.96,12908830.8,,12908830.8,15.0,-1.0257909604519784
2025-01-27,PLTU,601,27.37,27.44,29.41,25.78,643013.0666666667,,643013.0666666667,15.0,-1.0463429951690826
2025-01-27,PTIR,601,129.18,129.6,138.82,120.54,628746.6,,628746.6,15.0,-1.046624297210894
2025-01-27,RDW,598,22.14,22.11,21.24,21.0,2082452.933333333,,2082452.9333333333,15.0,2.0
2025-01-27,SMCX,601,39.196,39.14,44.48,36.31,1331886.5333333334,,1331886.5333333334,15.0,-1.0308211382113792
2025-01-27,SOXS,689,21.94,21.9573,18.09,20.84,46025267.73333333,,46025267.733333334,15.0,2.0
2025-01-27,TARS,659,53.13,52.8,48.78,48.69,796640.2666666667,,796640.2666666667,15.0,-1.0563913043478232
2025-01-27,TREE,642,47.1694,47.205,41.45,42.9,233223.13333333333,,233223.13333333333,15.0,-1.2924975180825322
2025-01-28,AKRO,584,56.82,56.78,51.71,54.63,1885781.0625,,1885781.0625,16.0,-1.0455409836065572
2025-01-28,ASAN,621,21.0987,21.14,20.07,20.05,3070466.8125,,3070466.8125,16.0,2.0
2025-01-28,CRWD,603,392.69,392.93,373.75,372.67,2944832.5625,,2944832.5625,16.0,2.0
2025-01-28,GTLB,605,69.4899,69.78,64.76,65.47,2515211.8125,,2515211.8125,16.0,2.0
2025-01-28,KVYO,628,45.73,45.88,43.32,43.5,868799.5,,868799.5,16.0,-0.6592178770949736
2025-01-28,LAKE,722,24.61,24.61,23.1,23.32,114876.625,,114876.625,16.0,0.6022727272727316
2025-01-28,MXL,880,20.54,20.6,19.04,19.59,1692883.3125,,1692883.3125,16.0,-0.3728813559322113
2025-01-28,PSIX,614,36.0,36.04,31.91,34.24,375826.0,,375826.0,16.0,2.0
2025-01-29,ALGS,607,26.1499,26.13,24.76,24.83,344716.7058823529,,344716.70588235295,17.0,-1.1643913043478284
2025-01-29,BE,607,22.155,22.16,20.4,21.1,7706632.529411765,,7706632.529411765,17.0,-1.0953478260869611
2025-01-29,MXL,879,21.91,21.87,20.47,20.7,1739433.8823529412,,1739433.8823529412,17.0,-0.2307692307692381
2025-01-29,NNE,587,38.69,38.575,34.79,34.76,7154560.529411765,,7154560.529411765,17.0,-1.0278303437967096
2025-01-29,NVD,643,30.91,31.06,28.26,29.36,2816222.882352941,,2816222.882352941,17.0,-0.3174603174603148
2025-01-29,NVDS,782,26.75,26.85,24.52,25.42,1917718.4705882352,,1917718.4705882352,17.0,-1.0549375
2025-01-29,OKLO,586,35.6294,35.4,34.12,33.61,20337173.70588235,,20337173.70588235,17.0,2.0
2025-01-29,RIOX,611,21.37,21.27,19.97,19.52,195406.66666666663,,195406.66666666666,15.0,-1.0356724137931006
2025-01-29,ROOT,881,88.7,88.855,82.57,83.0,333342.64705882355,,333342.64705882355,17.0,2.0
2025-01-29,SEI,605,25.74,25.64,24.0,24.4,1039511.1176470588,,1039511.1176470588,17.0,-1.0410327868852476
2025-01-29,SMR,591,22.3374,22.47,20.95,21.25,11903796.411764706,,11903796.411764706,17.0,-1.0384210526315767
2025-01-30,ALGM,647,23.64,23.705,22.85,22.15,2243845.5,,2243845.5,18.0,-1.0793559322033848
2025-01-30,BABX,627,22.09,22.03,20.63,20.92,555729.8888888889,,555729.8888888889,18.0,2.0
2025-01-30,CMPR,737,69.0,69.37,74.23,61.49,125796.33333333331,,125796.33333333333,18.0,0.918806203570954
2025-01-30,FBNC,593,43.76,44.0,43.94,40.66,168735.83333333334,,168735.83333333334,18.0,-1.0468260869565251
2025-01-30,GRAL,644,28.65,28.57,26.665,27.25,1038950.2777777778,,1038950.2777777778,18.0,2.0
2025-01-30,KEX,578,111.5,110.66,106.56,106.1,689457.3888888889,,689457.3888888889,18.0,2.0
2025-01-30,LUNR,642,22.475,22.5,20.87,21.46,14947472.833333334,,14947472.833333334,18.0,-1.0330909090909106
2025-01-30,MSTX,596,48.94,48.98,45.25,46.5,12137371.944444444,,12137371.944444444,18.0,-1.0419649122807026
2025-01-30,NNE,591,40.04,39.9768,36.54,37.87,7280609.055555556,,7280609.055555556,18.0,-1.0380093676815008
2025-01-30,NVD,631,32.654,32.8256,30.47,30.88,3060395.4444444445,,3060395.4444444445,18.0,-1.0360659439927715
2025-01-30,NVDS,653,27.74,27.6701,26.15,26.41,2001346.6666666667,,2001346.6666666667,18.0,-1.4255170113408997
2025-01-30,OKLO,631,39.96,39.88,35.3,36.2,20990076.944444444,,20990076.944444444,18.0,-1.515885964912281
2025-01-30,RDW,586,24.2,23.88,22.22,23.02,2097756.388888889,,2097756.388888889,18.0,-1.0602307692307664
2025-01-30,SMR,612,23.42,23.5,22.0,22.21,12049961.111111112,,12049961.111111112,18.0,-1.0425185185185208
2025-01-30,TEM,588,55.6,55.6,50.77,52.815,9523530.388888888,,9523530.388888888,18.0,-1.0524615384615406
2025-01-30,TSDD,579,31.9999,32.12,34.2,30.34,9140039.555555556,,9140039.555555556,18.0,-1.021955974842768
2025-01-30,TSLQ,586,26.18,26.21,27.23,24.12,8508830.777777778,,8508830.777777778,18.0,2.0
2025-01-30,VST,611,167.57,167.72,155.21,159.02,10163594.944444444,,10163594.944444444,18.0,2.0
2025-01-31,ARQQ,603,22.0899,22.0,21.47,21.02,1076288.4210526317,,1076288.4210526317,19.0,2.0
2025-01-31,BEN,725,21.89,21.905,20.15,20.8,3707467.1578947366,,3707467.1578947366,19.0,2.0
2025-01-31,BOOT,631,171.46,171.99,174.52,157.25,834530.0,,834530.0,19.0,-1.0845671641791084
2025-01-31,CRDO,593,70.99,70.8878,64.6,67.21,5489802.47368421,,5489802.47368421,19.0,2.0
2025-01-31,HIMS,621,35.7,35.7709,33.96,34.0,9958422.0,,9958422.0,19.0,2.0
2025-01-31,HUT,656,22.73,22.73,21.5,21.54,6001131.894736842,,6001131.894736842,19.0,-1.0864230769230705
2025-01-31,IONQ,594,40.98,41.13,38.81,38.96,37332313.21052632,,37332313.21052632,19.0,-1.0457386363636365
2025-01-31,LUNR,650,23.79,23.73,22.42,22.65,14878938.842105264,,14878938.842105264,19.0,-1.0755483870967797
2025-01-31,NVDL,636,54.94,54.95,52.82,52.26,25633976.315789472,,25633976.315789472,19.0,-1.0742739726027404
2025-01-31,NVDU,636,77.63,77.6,74.55,73.8,1509019.5789473683,,1509019.5789473683,19.0,-1.3712083333333307
2025-01-31,OKLO,673,44.6,44.71,41.91,42.4,21692188.94736842,,21692188.94736842,19.0,-1.0747796610169478
2025-01-31,PLTU,593,32.7697,32.9465,30.88,30.84,691037.5263157894,,691037.5263157894,19.0,-1.0507619795758092
2025-01-31,PTIR,586,154.14,153.97,145.65,145.4,630135.5789473684,,630135.5789473684,19.0,2.0
2025-01-31,QMCO,619,23.7,23.61,22.45,22.5,1798395.8421052631,,1798395.8421052631,19.0,2.0
2025-01-31,RDW,637,26.33,26.31,22.77,23.37,2078461.210526316,,2078461.2105263157,19.0,-1.0505882352941185
2025-01-31,RKLB,627,30.04,30.15,28.53,28.75,20379841.47368421,,20379841.47368421,19.0,-1.0391999999999986
2025-01-31,SMR,629,25.1699,25.1766,23.58,23.97,12150280.52631579,,12150280.52631579,19.0,2.0
2025-01-31,TSLT,586,38.0,37.7262,35.89,35.99,2896520.0,,2896520.0,19.0,2.0
2025-02-03,ALAB,594,93.82,93.565,101.42,88.9,5019344.6,5019344.6,5019344.6,20.0,2.0
2025-02-03,ALGS,631,24.75,24.715,25.8,23.4,333208.4,333208.4,333208.4,20.0,-1.1188142076502734
2025-02-03,BITU,617,50.65,50.75,56.71,48.05,2547894.45,2547894.45,2547894.45,20.0,2.0
2025-02-03,BITX,617,53.7999,53.9,58.89,51.04,9040836.4,9040836.4,9040836.4,20.0,2.0
2025-02-03,CLS,632,122.955,123.125,123.47,110.8,4762506.15,4762506.15,4762506.15,20.0,-1.0653746630727738
2025-02-03,CONL,624,42.47,42.52,46.29,40.15,5315677.95,5315677.95,5315677.95,20.0,2.0
2025-02-03,DOOO,637,45.69,45.81,47.81,43.65,135808.45,135808.45,135808.45,20.0,-1.124966789667898
2025-02-03,ENPH,588,62.73,62.77,62.28,59.6,3436849.7,3436849.7,3436849.7,20.0,-1.0764938271604925
2025-02-03,HIMS,599,37.0669,37.0988,37.28,35.01,10446026.45,10446026.45,10446026.45,20.0,2.0
2025-02-03,LUNR,643,21.395,21.435,21.68,20.29,14845517.65,14845517.65,14845517.65,20.0,0.6039603960396046
2025-02-03,MSTR,626,326.62,326.745,334.79,310.0,19156213.85,19156213.85,19156213.85,20.0,2.0
2025-02-03,MSTX,579,39.8,39.7781,43.41,37.0,11620284.6,11620284.6,11620284.6,20.0,-1.0300039750584558
2025-02-03,NBIS,628,31.99,31.94,32.66,29.972,11008180.2,11008180.2,11008180.2,20.0,2.000000000000004
2025-02-03,NNE,578,36.9,36.86,38.62,34.75,7367655.3,7367655.3,7367655.3,20.0,2.0
2025-02-03,NVDL,647,47.05,47.0257,49.03,44.72,26723210.45,26723210.45,26723210.45,20.0,-1.03644978896233
2025-02-03,NVDU,644,66.21,65.8608,69.3,63.075,1569445.45,1569445.45,1569445.45,20.0,-1.0442464962901867
2025-02-03,OKLO,592,42.24,42.28,41.61,38.69,21955119.3,21955119.3,21955119.3,20.0,-1.0308086066807085
2025-02-03,PLAY,594,26.9715,26.944,26.56,25.68,1901261.55,1901261.55,1901261.55,20.0,2.0
2025-02-03,PLSE,599,21.3,21.085,20.93,20.26,132267.2,132267.2,132267.2,20.0,-1.191550389610388
2025-02-03,PLTU,672,31.4067,31.5,31.89,29.85,689566.5,689566.5,689566.5,20.0,2.0
2025-02-03,PSIX,654,40.99,40.99,42.31,38.99,381840.25,381840.25,381840.25,20.0,2.0
2025-02-03,PTCT,588,47.96,48.05,45.88,45.86,617723.85,617723.85,617723.85,20.0,2.0
2025-02-03,RIOX,611,20.6,20.5,23.34,18.76,194589.3333333333,,194589.33333333334,18.0,2.0
2025-02-03,ROOT,628,99.17,98.83,97.5,94.0,359294.6,359294.6,359294.6,20.0,-1.3347434306569286
2025-02-03,SMR,592,22.92,22.88,23.84,21.45,12525320.4,12525320.4,12525320.4,20.0,-1.0447599999999966
2025-02-03,TEM,592,56.99,57.302,57.39,53.63,10326721.7,10326721.7,10326721.7,20.0,2.0
2025-02-03,TSLQ,618,28.5695,28.5499,24.95,27.2,9177781.45,9177781.45,9177781.45,20.0,-1.097481890307001
2025-02-03,TWST,761,50.61,50.6618,52.37,45.3,733505.4,733505.4,733505.4,20.0,-1.070174206237711
2025-02-03,WGMI,626,21.85,21.815,22.55,20.6,645662.2,645662.2,645662.2,20.0,2.0
2025-02-03,XMTR,624,33.715,33.71,33.21,32.03,692889.45,692889.45,692889.45,20.0,2.0
2025-02-04,AAOI,683,25.94,25.97,25.83,24.0,2959344.4,2959344.4,2959344.4,21.0,2.0
2025-02-04,ASTS,597,23.12,23.2,21.47,21.95,10147865.45,10147865.45,10147865.45,21.0,-0.2388888888888891
2025-02-04,BOIL,636,57.99,58.0375,61.26,55.02,3788493.75,3788493.75,3788493.75,21.0,-0.4635108481262322
2025-02-04,ETHD,926,28.8695,28.82,29.34,27.43,292452.6,292452.6,292452.6,21.0,-0.5965958940164934
2025-02-04,MP,654,23.77,23.78,22.23,22.63,3009789.75,3009789.75,3009789.75,21.0,2.0
2025-02-04,SMCX,608,31.85,31.89,28.06,30.13,1414608.75,1414608.75,1414608.75,21.0,-1.1913813116656968
2025-02-05,AAOI,590,28.0,27.905,27.115,26.66,3069774.45,3069774.45,3069774.45,22.0,2.0
2025-02-05,AMTM,778,22.9,22.82,20.5,21.8,2302034.0,2302034.0,2302034.0,22.0,-0.1081081081081055
2025-02-05,ATEN,601,20.24,20.345,20.28,18.65,645286.25,645286.25,645286.25,22.0,1.285714285714299
2025-02-05,GRAL,584,30.0,30.17,28.28,28.41,1154718.25,1154718.25,1154718.25,22.0,2.0
2025-02-05,MWA,586,24.93,24.92,23.08,23.72,1271118.8,1271118.8,1271118.8,22.0,2.0
2025-02-05,SMR,649,24.2699,24.4,22.98,23.01,12822002.4,12822002.4,12822002.4,22.0,0.1789473684210545
2025-02-05,TEM,725,69.95,69.85,61.85,64.3,11493317.0,11493317.0,11493317.0,22.0,-0.3625000000000002
2025-02-06,ACMR,615,21.97,21.9656,20.85,20.91,1393542.85,1393542.85,1393542.85,23.0,2.0
2025-02-06,AGX,617,156.65,156.89,142.99,147.74,558081.65,558081.65,558081.65,23.0,-1.0624488615683292
2025-02-06,AOSL,685,41.62,41.74,43.33,38.53,631199.5,631199.5,631199.5,23.0,2.0
2025-02-06,ASTS,601,27.09,27.02,24.71,25.445,10521566.65,10521566.65,10521566.65,23.0,-1.049037037037036
2025-02-06,BYRN,667,28.06,28.1077,26.49,26.7,394731.95,394731.95,394731.95,23.0,-1.1420686916815592
2025-02-06,DGII,580,34.45,34.42,30.41,30.4,204347.5,204347.5,204347.5,23.0,2.0
2025-02-06,IDCC,653,211.0,211.495,182.5,200.0,353755.1,353755.1,353755.1,23.0,-1.076329067641686
2025-02-06,MAGN,631,20.02,19.995,19.59,17.98,441670.55,441670.55,441670.55,23.0,2.0
2025-02-06,NGNE,701,22.6,22.725,21.53,21.51,242970.35,242970.35,242970.35,23.0,2.0
2025-02-06,NTGR,805,27.56,27.56,28.15,26.0,335412.2,335412.2,335412.2,23.0,2.0
2025-02-06,PLTR,610,106.28,106.46,101.36,101.09,79114100.35,79114100.35,79114100.35,23.0,2.0
2025-02-06,PLTU,586,48.79,48.68,46.16,45.9,894162.85,894162.85,894162.85,23.0,2.0
2025-02-06,PSFE,669,21.06,21.09,19.81,19.93,222499.7,222499.7,222499.7,23.0,2.0
2025-02-06,PTIR,586,230.235,229.15,217.82,216.79,693262.7,693262.7,693262.7,23.0,2.0
2025-02-06,SWKS,609,66.15,66.12,87.08,62.55,2644891.45,2644891.45,2644891.45,23.0,-0.3801652892562024
2025-02-06,VKTX,640,32.59,32.5668,33.5,31.02,4006515.05,4006515.05,4006515.05,23.0,-1.032685146876294
2025-02-07,HIMS,587,43.97,44.1,40.47,41.48,12038943.05,12038943.05,12038943.05,24.0,2.0
2025-02-07,NBIS,766,37.36,37.37,34.55,35.34,11463114.4,11463114.4,11463114.4,24.0,2.0
2025-02-07,NNE,586,36.23,36.33,33.56,34.01,7908325.95,7908325.95,7908325.95,24.0,-1.0455769230769238
2025-02-07,PLTU,639,58.71,58.8029,55.22,55.63,934568.1,934568.1,934568.1,24.0,-1.0451960091130488
2025-02-07,RIOX,819,24.7179,24.8553,22.2,23.51,203661.9,203661.9,203661.9,22.0,-1.1227345688019887
