day,symbol,entry_m,level,entry,prev_close,open,adv20,adv20_20,adv20_5,nprev,rr
2025-01-10,DAL,585,68.2,68.5,61.42,64.99,9128026.6,,9128026.6,5.0,-1.0423544303797443
2025-01-10,IONQ,788,33.84,33.763,30.25,31.99,45991149.4,,45991149.4,5.0,-1.0827791563275482
2025-01-10,IRTC,788,95.0,95.225,93.0,90.26,258350.0,,258350.0,5.0,2.0
2025-01-10,ITCI,578,94.46,94.82,82.56,86.53,543077.2,,543077.2,5.0,0.0366972477064234
2025-01-10,LFVN,637,22.19,22.2,19.97,20.46,216851.0,,216851.0,5.0,0.512967032967034
2025-01-10,OS,679,27.59,27.58,26.36,26.27,1169035.4,,1169035.4,5.0,2.0
2025-01-10,PSMT,580,88.0,88.02,93.45,82.03,219356.6,,219356.6,5.0,1.1851851851851931
2025-01-10,QMCO,635,33.28,33.285,31.43,31.44,1893155.2,,1893155.2,5.0,-1.0296774193548417
2025-01-10,SMCX,631,45.6694,45.65,43.62,43.08,1364360.0,,1364360.0,5.0,-1.034115384615386
2025-01-10,UVXY,607,23.4498,23.42,21.03,22.26,16586498.8,,16586498.8,5.0,-1.0649718309859126
2025-01-13,ALGS,599,34.245,34.25,33.71,32.08,490730.1666666667,,490730.1666666667,6.0,-0.0813008130081314
2025-01-13,AMR,784,184.755,185.395,176.67,175.8,217533.8333333333,,217533.83333333334,6.0,2.0
2025-01-13,ASIX,593,28.48,28.57,26.5,26.61,128494.0,,128494.0,6.0,1.150000000000006
2025-01-13,BBIO,640,30.5,30.59,29.08,28.98,1530949.6666666667,,1530949.6666666667,6.0,2.0
2025-01-13,BITU,623,48.39,48.2698,50.22,46.09,2425752.333333333,,2425752.3333333335,6.0,-1.0744451391059684
2025-01-13,BITX,621,50.462,50.4,52.62,48.03,8637653.5,,8637653.5,6.0,-1.0667055346587877
2025-01-13,DJT,601,37.35,37.51,35.31,34.92,6164973.5,,6164973.5,6.0,2.0
2025-01-13,NBIS,827,33.92,33.9492,33.18,32.26,6122899.833333333,,6122899.833333333,6.0,2.0
2025-01-13,TSLL,648,25.675,25.74,25.92,24.38,72749613.83333333,,72749613.83333333,6.0,-1.0504800000000003
2025-01-13,TSLT,649,35.2,35.37,35.56,33.41,3429422.5,,3429422.5,6.0,-1.0599827586206916
2025-01-14,IONQ,832,29.75,29.67,27.86,28.2,50353886.28571428,,50353886.28571428,7.0,-1.0924193954659958
2025-01-14,TSLQ,705,25.8199,25.71,25.9,24.5,10124712.857142856,,10124712.857142856,7.0,-1.0723732876712373
2025-01-15,CONL,630,41.7164,41.96,36.5,39.675,5319123.75,,5319123.75,8.0,-1.043638297872344
2025-01-15,DOGZ,578,43.85,43.51,43.87,41.5,373061.375,,373061.375,8.0,2.0
