day,symbol,level,entry,rr,entry_m,nbars,break_h,touch_bps
2026-08-11,EZGO,1.2,1.19,-1.0584999999999947,614,58,1.2,0.0
2026-08-11,SNDU,15.9096,15.73,-1.0426944444444464,578,388,15.91,0.25142052597182385
