symbol,ts,open,high,low,close,volume,trade_count,vwap
ASMB,2026-09-15 17:16:00+00:00,27.03,27.03,27.03,27.03,370.0,18.0,27.03
ASMB,2026-09-15 17:18:00+00:00,26.93,26.93,26.93,26.93,1065.0,22.0,26.93
ASMB,2026-09-15 17:20:00+00:00,26.86,26.86,26.79,26.79,713.0,21.0,26.811944
ATKR,2026-09-15 17:16:00+00:00,94.53,94.53,94.53,94.53,867.0,36.0,94.53
ATKR,2026-09-15 17:17:00+00:00,94.525,94.525,94.525,94.525,372.0,6.0,94.525
ATKR,2026-09-15 17:18:00+00:00,94.525,94.525,94.525,94.525,421.0,5.0,94.525
ATKR,2026-09-15 17:19:00+00:00,94.53,94.53,94.53,94.53,1186.0,43.0,94.53
ATKR,2026-09-15 17:20:00+00:00,94.53,94.53,94.53,94.53,775.0,35.0,94.53
AVBP,2026-09-15 17:15:00+00:00,28.1,28.1,28.1,28.1,179.0,14.0,28.1
AVBP,2026-09-15 17:20:00+00:00,28.095,28.095,28.095,28.095,464.0,26.0,28.095
AIPI,2026-09-15 17:17:00+00:00,36.67,36.68,36.66,36.68,510.0,6.0,36.674
AIPI,2026-09-15 17:18:00+00:00,36.65,36.65,36.63,36.63,332.0,4.0,36.636667
AIPI,2026-09-15 17:20:00+00:00,36.64,36.665,36.64,36.665,263.0,3.0,36.6525
ARX,2026-09-15 17:15:00+00:00,19.835,19.835,19.835,19.835,475.0,14.0,19.835
ARX,2026-09-15 17:16:00+00:00,19.84,19.84,19.835,19.835,3750.0,17.0,19.835429
ARX,2026-09-15 17:17:00+00:00,19.835,19.835,19.835,19.835,1772.0,13.0,19.835
ARX,2026-09-15 17:18:00+00:00,19.835,19.835,19.83,19.835,686.0,10.0,19.834167
ARX,2026-09-15 17:19:00+00:00,19.835,19.835,19.835,19.835,730.0,12.0,19.835
ARX,2026-09-15 17:20:00+00:00,19.835,19.835,19.835,19.835,590.0,19.0,19.835
ASML,2026-09-15 17:15:00+00:00,1591.415,1591.92,1590.99,1591.625,188.0,59.0,1591.438585
ASML,2026-09-15 17:16:00+00:00,1591.62,1592.28,1591.33,1592.2179,1409.0,151.0,1591.721405
ASML,2026-09-15 17:17:00+00:00,1592.525,1592.525,1591.96,1592.0,1295.0,114.0,1592.259002
ASML,2026-09-15 17:18:00+00:00,1592.14,1592.36,1591.85,1592.09,760.0,108.0,1592.136679
ASML,2026-09-15 17:19:00+00:00,1591.86,1592.31,1591.01,1592.31,2224.0,222.0,1591.726557
ASML,2026-09-15 17:20:00+00:00,1592.295,1593.0,1591.84,1592.71,1408.0,123.0,1592.53811
AUB,2026-09-15 17:15:00+00:00,39.94,39.94,39.935,39.935,1067.0,36.0,39.938333
AUB,2026-09-15 17:16:00+00:00,39.92,39.92,39.915,39.915,595.0,22.0,39.918333
AUB,2026-09-15 17:17:00+00:00,39.91,39.91,39.905,39.905,603.0,19.0,39.906667
AUB,2026-09-15 17:18:00+00:00,39.91,39.92,39.91,39.92,804.0,27.0,39.915
AUB,2026-09-15 17:20:00+00:00,39.91,39.93,39.91,39.92,773.0,25.0,39.9175
BAC.PRN,2026-09-15 17:15:00+00:00,18.42,18.42,18.42,18.42,1191.0,9.0,18.42
BAC.PRN,2026-09-15 17:16:00+00:00,18.42,18.42,18.42,18.42,1161.0,7.0,18.42
BAC.PRN,2026-09-15 17:17:00+00:00,18.41,18.41,18.41,18.41,1809.0,28.0,18.41
BAC.PRN,2026-09-15 17:18:00+00:00,18.41,18.41,18.41,18.41,4697.0,51.0,18.41
BAC.PRN,2026-09-15 17:19:00+00:00,18.395,18.41,18.395,18.41,2392.0,33.0,18.408084
BAC.PRN,2026-09-15 17:20:00+00:00,18.41,18.41,18.395,18.41,3102.0,34.0,18.405128
ALMR,2026-09-15 17:15:00+00:00,29.44,29.62,29.44,29.54,1883.0,43.0,29.548075
ALMR,2026-09-15 17:16:00+00:00,29.54,29.56,29.46,29.51,4271.0,17.0,29.510154
ALMR,2026-09-15 17:17:00+00:00,29.505,29.505,29.505,29.505,703.0,9.0,29.505
ALMR,2026-09-15 17:19:00+00:00,29.505,29.505,29.505,29.505,176.0,6.0,29.505
ALMR,2026-09-15 17:20:00+00:00,29.505,29.505,29.505,29.505,213.0,11.0,29.505
AOSL,2026-09-15 17:16:00+00:00,24.25,24.25,24.23,24.24,903.0,26.0,24.238406
AOSL,2026-09-15 17:17:00+00:00,24.24,24.24,24.24,24.24,327.0,26.0,24.24
AOSL,2026-09-15 17:18:00+00:00,24.25,24.25,24.25,24.25,434.0,30.0,24.25
AOSL,2026-09-15 17:19:00+00:00,24.255,24.255,24.255,24.255,346.0,18.0,24.255
AOSL,2026-09-15 17:20:00+00:00,24.27,24.3275,24.27,24.3275,2373.0,56.0,24.283583
AEM,2026-09-15 17:15:00+00:00,196.72,196.78,196.645,196.645,3150.0,70.0,196.72944
AEM,2026-09-15 17:16:00+00:00,196.62,196.71,196.62,196.71,913.0,43.0,196.685824
AEM,2026-09-15 17:18:00+00:00,196.57,196.57,196.57,196.57,567.0,27.0,196.57
AEM,2026-09-15 17:20:00+00:00,196.63,196.63,196.53,196.6,1557.0,40.0,196.597902
AMDD,2026-09-15 17:18:00+00:00,28.095,28.095,28.095,28.095,175.0,1.0,28.095
AMDD,2026-09-15 17:19:00+00:00,28.103,28.103,28.103,28.103,333.0,1.0,28.103
AMDD,2026-09-15 17:20:00+00:00,28.07,28.07,28.07,28.07,300.0,1.0,28.07
AOR,2026-09-15 17:15:00+00:00,68.76,68.76,68.76,68.76,143.0,2.0,68.76
