variant,trades,WR%,total,2025,2026,green_mo,mean_mo,median_mo,worst_mo,mdd,top5_share%,avg_win,avg_loss
V0_asis,78,57.7,98158,110171,-12013,13/20,4908,4107,-11124,-27833,87,6349,-5683
V1_partial1R_be,78,61.5,63970,65915,-1945,13/20,3199,3720,-14939,-31728,91,4937,-5767
V2_partial1.5R_be,78,55.1,105105,98870,6236,13/20,5255,5108,-14938,-25955,65,6898,-5471
V3_partial1R_act1.5_trail0.75,78,61.5,63970,65915,-1945,13/20,3199,3720,-14939,-31728,91,4937,-5767
V4_exhaust2R,78,57.7,96964,109671,-12707,13/20,4848,2839,-11124,-28527,81,6322,-5683
V5_nopop10,78,55.1,73524,85537,-12013,13/20,3676,2937,-11124,-27833,106,6046,-5327
V6_partial1R_be_nopop10,78,61.5,63970,65915,-1945,13/20,3199,3720,-14939,-31728,91,4937,-5767
V7_act1.5_trail1,78,61.5,72250,79953,-7703,12/20,3612,2839,-10702,-26825,118,4955,-5520
V8_be1R,79,41.8,25403,65695,-40292,11/20,1270,2631,-20109,-51776,325,5917,-3692
