symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,entry_minutes_from_open,relative_volume,bars_held,patterns_detected_that_day,risk,R,era,entry_min,vol_ratio,flag_tight,stop_pct,bk_vol_ratio
NIKI,2025-01-02,09:52:00,3.33,3.22,3.55,18000,09:56:00,3.59,trail_stop,4725.91,7.89,False,,0,0.0,146.15,180164,5.05,,False,0.01,2,7.32,4.79,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,1.168,0.2,0.0,18.69,2.984,1.168,,7.32,31.11,2.0,32648.0,18195.0,0.225,3.23,3.31,3.3,3.39,3.26,3.31,54298.0,82.0,76.18,10.0,2.0,1979.9999999999977,2.386823232323235,25H1,22,1.7943391041494916,0.35555555555555585,3.3033033033032995,2.9842264358340205
XPON,2025-01-02,10:25:00,3.34,3.22,3.59,10038,10:44:00,3.21,stop,-1267.4,-3.78,False,,0,0.0,123.35,278876,-11.78,53.14,True,0.01,2,5.75,-11.31,1.3,1.8,0.3,0.0,0.3,0.0,0.0,1.3,1.168,0.0,-0.3,76.57,1.864,1.168,,5.75,44.44,5.0,61788.0,20643.0,0.18,3.23,3.32,3.25,3.33,3.25,3.31,38488.0,115.0,103.78,21.0,3.0,1204.5599999999965,-1.0521684266454172,25H1,55,2.993169597442232,0.4999999999999992,3.592814371257475,1.8644576854139419
ATRA,2025-01-03,09:43:00,16.35,15.49,17.97,4378,10:08:00,18.0,trail_stop,7218.39,10.08,False,,0,0.0,29.05,109496,5.16,4.03,False,0.04,3,6.08,6.0,1.5,2.0,0.3,-0.3,0.0,0.3,0.0,1.5,1.383,0.2,0.0,13.98,0.854,1.383,,6.08,30.0,3.0,2903.0,2041.0,0.9,15.44,16.14,16.27,16.29,16.27,16.29,1744.0,73.0,4.14,28.0,1.0,3765.0800000000054,1.9171943225641925,25H1,13,1.42234198922097,0.7777777777777789,5.2599388379204965,0.854483096521313
SYNX,2025-01-03,09:42:00,4.64,4.44,5.1,478,09:50:00,4.8,trail_stop,77.27,3.48,False,,0,0.0,56.39,23924,3.41,6.44,False,0.04,3,10.84,3.54,1.5,1.0,0.0,0.0,0.0,0.3,0.0,1.5,1.383,0.2,0.0,17.42,2.378,1.383,,10.84,34.44,3.0,1496.0,1062.0,0.45,4.45,4.62,4.46,4.65,4.46,4.54,2526.0,72.0,32.1,9.0,1.0,95.59999999999965,0.8082635983263627,25H1,12,1.408662900188324,0.3777777777777776,4.310344827586192,2.378531073446328
SPCB,2025-01-06,09:55:00,8.64,8.38,8.95,16000,09:58:00,8.35,stop,-4629.13,-3.35,False,,0,0.0,24.87,2713929,-3.72,-2.89,False,0.03,2,3.9,-2.12,1.6,1.0,0.0,0.0,0.3,0.3,0.0,1.6,1.316,0.0,0.0,20.58,0.329,1.316,,3.9,44.73,3.0,7844.0,2742.0,0.3199,8.39,8.5,8.6,8.6,8.59,8.6,903.0,85.0,0.42,6.0,2.0,4159.999999999996,-1.1127716346153855,25H1,25,2.8606856309263313,0.3438574554548278,3.009259259259257,0.3293216630196937
ARQQ,2025-01-10,10:18:00,23.8,22.88,25.79,5014,10:41:00,24.42,trail_stop,3110.8,2.61,False,,0,0.0,19.63,1336644,0.3,2.8,False,-0.14,3,3.01,0.8,1.0,2.0,0.0,-0.3,0.0,0.3,0.0,1.0,1.272,0.0,0.0,17.99,1.215,1.272,,3.01,42.49,4.0,2715.0,2169.0,0.6771,22.89,23.68,23.65,23.9,23.65,23.9,2635.0,108.0,0.63,24.0,1.0,4612.880000000008,0.6743726262118231,25H1,48,1.251728907330567,1.1667405110028048,3.865546218487402,1.214845550945136
STFS,2025-01-10,09:44:00,11.86,11.37,12.95,7816,09:48:00,11.33,stop,-4127.59,-4.45,False,,0,0.0,23.89,1216000,6.2,2.96,False,-0.14,2,4.57,6.65,1.7,1.0,0.3,-0.3,0.0,0.3,0.2,1.7,1.272,0.2,0.0,17.99,0.495,1.272,,4.57,24.88,5.0,1694.0,1489.0,0.5025,11.38,11.8,11.7,11.83,11.7,11.75,737.0,74.0,0.2,4.0,2.0,3829.8400000000015,-1.0777447621832763,25H1,14,1.1376762928139692,0.835820895522388,4.131534569983138,0.4949630624580255
WYHG,2025-01-10,10:42:00,4.52,4.37,4.77,2192,10:45:00,4.59,trail_stop,139.63,1.41,False,,0,0.0,34.02,109600,8.05,-2.19,False,-0.14,2,7.61,6.82,3.0,1.0,0.3,0.3,0.3,0.3,0.2,3.6,1.272,0.2,0.0,23.52,17.68,1.272,,7.61,23.81,5.0,4860.0,506.0,0.315,4.38,4.47,4.5,4.85,4.49,4.53,8953.0,132.0,1.1,5.0,4.0,328.7999999999988,0.424665450121656,25H1,72,9.604743083003953,0.28571428571428525,3.3185840707964487,17.693675889328063
CTEV,2025-01-13,09:36:00,14.82,14.45,15.22,7788,09:38:00,14.41,stop,-3248.37,-2.81,False,,0,0.0,19.2,194708,4.28,5.53,False,0.02,2,15.4,5.55,2.3,2.0,0.0,0.3,0.3,0.3,0.2,2.3,1.356,0.2,0.0,15.4,0.568,1.356,,15.4,22.61,2.0,5143.0,1612.0,1.9899,14.46,14.61,14.75,14.89,14.69,14.89,916.0,66.0,2.14,4.0,1.0,2881.5600000000077,-1.1272956315329166,25H1,6,3.1904466501240694,0.07538067239559705,2.4966261808367136,0.5682382133995038
ARQQ,2025-01-15,08:46:00,22.26,21.72,22.94,17037,09:29:00,24.36,exhaust+trail_stop,37482.96,9.88,False,,0,0.0,26.54,1272005,2.63,13.02,False,-0.05,2,6.42,3.81,2.3,1.0,0.3,0.3,0.3,0.0,0.2,2.3,1.18,0.2,0.0,21.88,0.362,1.18,,6.42,12.12,5.0,4050.0,2273.0,1.32,21.73,21.99,22.15,22.19,22.15,22.19,824.0,16.0,1.05,31.0,4.0,9199.980000000047,4.074243639660065,25H1,-44,1.781786185657721,0.19696969696969546,2.4258760107816832,0.36251649802023755
ARQQ,2025-01-16,09:40:00,25.41,24.1,27.92,5378,09:50:00,26.11,trail_stop,3770.2,2.76,False,,0,0.0,43.72,1294414,4.73,9.18,False,-0.09,3,12.39,5.41,1.5,1.8,0.0,0.0,0.3,0.0,0.0,1.5,1.023,0.2,0.0,22.88,1.765,1.023,,12.39,46.59,2.0,33456.0,19124.0,2.79,24.0,25.1,25.28,25.5,25.0,25.34,33752.0,70.0,3.22,12.0,1.0,7045.179999999993,0.5351460147221225,25H1,10,1.7494248065258313,0.3942652329749109,5.155450609996059,1.7649027400125497
COEP,2025-01-16,09:54:00,10.0,9.72,10.36,20000,10:13:00,9.7,stop,-6078.5,-3.04,False,,0,0.0,16.96,1298960,2.96,0.22,False,-0.09,2,3.16,4.09,1.7,2.0,0.0,0.0,0.3,0.0,0.2,1.7,1.023,0.2,0.0,16.37,1.213,1.023,,3.16,21.67,2.0,1527.0,865.0,0.3,9.73,9.87,9.95,9.95,9.8,9.83,1049.0,84.0,0.09,13.0,1.0,5599.999999999987,-1.0854464285714311,25H1,24,1.7653179190751445,0.4666666666666627,2.7999999999999936,1.2127167630057802
SPHL,2025-01-16,10:39:00,3.75,3.59,4.13,15586,11:40:00,3.96,trail_stop,3195.34,5.46,False,,0,0.0,40.57,432965,11.74,1.71,False,-0.09,2,4.05,11.49,1.4,1.8,0.0,-0.3,0.3,0.0,0.2,1.4,1.023,0.2,0.0,27.43,0.572,1.023,,4.05,7.5,2.0,3887.0,2200.0,0.14,3.59,3.73,3.72,3.74,3.72,3.74,1259.0,129.0,0.46,36.0,1.0,2493.760000000002,1.2813342101886298,25H1,69,1.7668181818181818,1.0000000000000009,4.266666666666671,0.5722727272727273
XGN,2025-01-17,10:43:00,3.54,3.41,3.73,7900,10:46:00,3.57,trail_stop,246.0,0.88,False,,0,0.0,34.54,197539,4.16,0.65,False,-0.05,3,3.31,5.27,1.4,2.0,0.0,-0.3,0.3,0.0,0.2,1.4,0.845,0.2,0.0,16.77,3.925,0.845,,3.31,7.0,3.0,1828.0,595.0,0.11,3.42,3.49,3.52,3.59,3.52,3.58,2334.0,133.0,4.14,5.0,1.0,1026.999999999999,0.23953261927945493,25H1,73,3.0722689075630254,0.6363636363636389,3.6723163841807875,3.922689075630252
