symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,entry_minutes_from_open,relative_volume,bars_held,patterns_detected_that_day,risk,R,era,entry_min,vol_ratio,flag_tight,stop_pct,bk_vol_ratio
XXII,2025-01-17,10:07:00,5.94,5.76,6.31,20000,11:10:00,6.05,trail_stop,2154.96,1.81,False,,0,0.0,30.0,2513341,-0.62,2.58,False,-0.05,3,6.06,-0.1,1.6,2.0,0.3,0.0,0.3,0.0,0.0,1.6,0.845,0.0,0.0,18.18,0.243,0.845,,6.06,41.06,3.0,3778.0,1700.0,0.3378,5.77,5.91,5.91,5.91,5.91,5.91,413.0,97.0,0.31,48.0,2.0,3600.0000000000123,0.598599999999998,25H1,37,2.2223529411764704,0.41444641799881754,3.03030303030304,0.24294117647058824
XCUR,2025-01-23,09:46:00,13.17,12.69,14.19,4390,09:51:00,12.65,stop,-2254.57,-3.9,False,,0,0.0,24.9,143986,-4.74,36.26,True,-0.02,2,6.47,-4.18,0.5,1.8,0.3,-0.3,0.3,-0.5,0.0,0.5,0.59,0.0,-0.3,47.06,1.582,0.59,,6.47,37.97,3.0,7214.0,2145.0,0.79,12.7,13.1,12.95,13.25,12.95,13.25,3393.0,76.0,3.96,7.0,1.0,2107.200000000002,-1.0699364085041752,25H1,16,3.3631701631701634,0.5063291139240511,3.6446469248291606,1.5818181818181818
ELAB,2025-01-24,09:51:00,3.32,3.17,3.65,5000,09:54:00,3.5,trail_stop,905.92,5.46,False,,0,0.0,46.4,352261,-17.04,110.1,True,0.02,2,7.87,-16.42,0.5,1.0,0.3,-0.3,0.3,-0.5,0.0,0.5,0.613,0.0,-0.3,141.41,1.944,0.613,,7.87,50.0,3.0,405668.0,225537.0,0.24,3.17,3.3,3.26,3.35,3.22,3.33,438424.0,81.0,219.17,5.0,2.0,749.9999999999995,1.207893333333334,25H1,21,1.7986760487192788,0.5416666666666663,4.518072289156624,1.943911641992223
GLMD,2025-01-27,10:08:00,3.47,3.31,3.81,1284,10:11:00,3.3,stop,-212.1,-4.76,False,,0,0.0,20.63,32116,9.08,1.17,False,0.28,3,8.03,9.31,1.2,2.0,0.3,-0.3,0.3,-0.5,0.2,1.2,0.587,0.2,0.0,16.36,1.172,0.587,,,,,,,,,,,,,,,,,,,205.44000000000017,-1.0324182242990645,25H1,38,,,4.610951008645537,
GRAL,2025-01-27,10:00:00,26.47,25.35,28.95,4444,11:54:00,25.27,stop,-5322.36,-4.52,False,,0,0.0,21.68,990510,2.21,-2.62,False,0.28,2,9.68,2.69,2.2,1.0,0.0,0.0,0.3,-0.5,0.2,2.2,0.587,0.2,0.0,21.68,0.242,0.587,,,,,,,,,,,,,,,,,,,4977.279999999989,-1.069331040246884,25H1,30,,,4.231205137891943,
SEI,2025-01-27,09:50:00,27.78,26.64,29.32,2270,09:57:00,28.3,trail_stop,1180.29,1.87,False,,0,0.0,23.86,812754,0.45,-16.96,False,0.28,2,3.54,2.29,0.7,1.0,0.0,-0.3,0.3,-0.5,0.2,0.7,0.587,0.0,0.0,16.34,1.978,0.587,,,,,,,,,,,,,,,,,,,2587.800000000001,0.4560978437282632,25H1,20,,,4.103671706263501,
NTCT,2025-01-30,09:43:00,27.91,26.66,30.69,3888,10:03:00,26.58,stop,-5169.57,-4.76,False,,0,0.0,12.46,344011,5.14,16.33,False,0.01,2,7.03,4.44,1.2,1.8,0.3,-0.3,0.0,0.0,0.0,1.2,1.009,0.2,0.0,21.37,0.952,1.009,,7.03,48.09,3.0,12440.0,7867.0,1.7915,26.43,27.77,27.38,27.88,27.36,27.88,7489.0,73.0,2.82,28.0,1.0,4860.0,-1.0636975308641974,25H1,13,1.5812889284352358,0.7479765559586937,4.478681476173414,0.9519511885089614
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,6748,10:36:00,3.85,trail_stop,1588.51,6.51,False,,0,0.0,33.85,337424,-9.4,-2.23,False,0.01,3,6.47,-7.92,2.9,1.0,0.3,0.3,0.3,0.0,0.0,2.9,1.053,0.0,0.0,30.63,0.199,1.053,,6.47,47.99,5.0,4767.0,1764.0,0.2188,3.5,3.56,3.6,3.6,3.6,3.6,351.0,113.0,3.98,15.0,4.0,877.2399999999993,1.8108043408873298,25H1,53,2.7023809523809526,0.274223034734918,3.5911602209944724,0.1989795918367347
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,20000,09:43:00,4.67,trail_stop,4539.01,5.11,False,,0,0.0,67.45,1357654,5.4,6.12,False,-0.01,3,14.58,5.59,1.5,2.0,0.0,0.0,0.0,0.3,0.0,1.5,1.328,0.2,0.0,16.62,1.392,1.328,,,,,,,,,,,,,,,,,,,4000.0000000000036,1.134752499999999,25H1,9,,,4.504504504504508,
RYM,2025-02-05,09:40:00,29.35,28.28,30.6,654,09:42:00,29.2,trail_stop,-97.09,-0.51,False,,0,0.0,32.56,32711,2.59,5.01,False,-0.01,3,4.88,4.56,2.3,1.0,0.3,0.0,0.3,0.3,0.2,2.3,1.328,0.2,0.0,12.37,0.702,1.328,,,,,,,,,,,,,,,,,,,699.7800000000002,-0.1387436051330418,25H1,10,,,3.64565587734242,
ATON,2025-02-06,10:21:00,4.83,4.6,5.28,5110,10:59:00,4.59,stop,-1266.0,-5.13,False,,0,0.0,28.02,127758,4.76,-3.04,False,-0.08,2,7.31,5.75,1.7,2.0,0.3,-0.3,0.3,0.0,0.2,1.7,1.156,0.2,0.0,15.46,0.416,1.156,,,,,,,,,,,,,,,,,,,1175.3000000000022,-1.0771717859269954,25H1,51,,,4.761904761904771,
GMEX,2025-02-07,10:29:00,4.82,4.64,5.15,15940,10:39:00,4.63,stop,-3154.84,-4.1,False,,0,0.0,125.15,442828,-2.46,-13.69,False,0.01,2,6.21,-1.35,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.814,0.0,0.0,27.09,1.935,0.814,,6.21,50.0,3.0,4855.0,588.0,0.28,4.65,4.77,4.8,4.8,4.73,4.8,1138.0,119.0,5.19,7.0,1.0,2869.20000000001,-1.0995538826153595,25H1,59,8.256802721088436,0.4285714285714257,3.7344398340249088,1.935374149659864
BFRG,2025-02-10,10:28:00,3.5,3.4,3.69,13800,10:34:00,3.63,trail_stop,1830.94,3.79,False,,0,0.0,35.92,690024,-0.78,15.03,False,-0.06,2,5.79,-0.28,1.6,1.0,0.3,0.0,0.3,0.0,0.0,1.6,0.983,0.0,0.0,31.82,1.285,0.983,,5.79,31.05,4.0,37464.0,5293.0,0.19,3.41,3.48,3.46,3.48,3.44,3.44,6799.0,118.0,20.51,8.0,4.0,1380.0000000000011,1.326768115942028,25H1,58,7.078027583600982,0.3684210526315781,2.85714285714286,1.2845267334215
DOMH,2025-02-10,10:12:00,4.18,4.06,4.43,9347,10:14:00,4.05,stop,-1263.63,-3.23,False,,0,0.0,73.98,467391,-2.85,16.61,False,-0.06,2,5.3,-2.3,1.6,1.0,0.3,0.0,0.3,0.0,0.0,1.6,0.983,0.0,0.0,44.88,2.944,0.983,,5.3,47.62,3.0,12788.0,7512.0,0.21,4.07,4.16,4.16,4.3,4.16,4.24,22118.0,102.0,50.74,4.0,1.0,1121.640000000001,-1.126591419706857,25H1,42,1.70234291799787,0.42857142857142794,2.8708133971291896,2.9443556975505856
JG,2025-02-10,09:37:00,12.86,12.49,13.61,20000,09:42:00,13.36,trail_stop,9937.93,3.86,False,,0,0.0,49.48,2271962,3.26,4.68,False,-0.06,3,10.67,3.61,1.7,2.0,0.0,0.3,0.0,0.0,0.2,1.7,0.983,0.2,0.0,15.83,0.727,0.983,,10.67,28.95,2.0,6574.0,4534.0,1.24,12.5,12.79,12.8,12.85,12.61,12.81,3297.0,67.0,0.79,7.0,1.0,7399.9999999999845,1.3429635135135163,25H1,7,1.4499338332598148,0.2338709677419348,2.8771384136858416,0.7271724746360829
BFRG,2025-02-11,10:41:00,3.98,3.85,4.25,20000,10:49:00,3.84,stop,-2824.99,-3.55,False,,0,0.0,32.89,1386121,7.56,4.46,False,0.07,2,5.61,7.82,1.5,2.0,0.3,0.0,0.0,0.0,0.0,1.5,0.813,0.2,0.0,17.26,0.461,0.813,,,,,,,,,,,,,,,,,,,2599.9999999999977,-1.0865346153846163,25H1,71,,,3.2663316582914548,
STAA,2025-02-12,10:22:00,15.73,15.48,16.15,20000,10:32:00,15.85,trail_stop,2479.01,0.79,False,,0,0.0,23.19,593850,7.05,-33.73,False,-0.07,3,3.51,7.56,1.2,2.0,0.0,0.0,0.3,-0.5,0.2,1.2,0.791,0.2,0.0,16.07,0.432,0.791,,,,,,,,,,,,,,,,,,,5000.0,0.495802,25H1,52,,,1.589319771137953,
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1468,09:51:00,5.46,stop,-366.62,-4.37,False,,0,0.0,18.45,36732,4.32,4.9,False,0.05,3,5.83,5.47,2.0,2.0,0.3,0.0,0.3,0.0,0.2,2.0,0.899,0.2,0.0,15.88,8.823,0.899,,5.83,-12.3,3.0,2733.0,899.0,0.3,5.49,5.6,5.68,5.68,5.68,5.68,7929.0,73.0,5.67,8.0,1.0,337.6399999999993,-1.085831062670302,25H1,13,3.040044493882091,0.3666666666666648,4.028021015761813,8.819799777530589
CNVS,2025-02-14,09:59:00,4.2,4.09,4.39,5245,10:01:00,4.08,stop,-622.89,-2.83,False,,0,0.0,28.15,145734,0.17,2.68,False,0.05,3,6.89,0.84,1.9,1.8,0.3,0.3,0.3,0.0,0.0,1.9,0.899,0.0,0.0,28.42,1.211,0.899,,6.89,32.81,2.0,10102.0,4554.0,0.27,4.1,4.17,4.18,4.22,4.15,4.15,5515.0,89.0,5.02,4.0,1.0,576.9500000000016,-1.0796256174711816,25H1,29,2.218269653052262,0.2592592592592603,2.6190476190476266,1.2110232762406676
INLF,2025-02-14,09:46:00,10.36,9.9,11.39,11638,10:12:00,11.36,trail_stop,11601.6,9.62,False,,0,0.0,288.89,292884,8.51,-2.89,False,0.05,2,7.49,5.76,1.2,2.0,0.3,-0.3,0.0,0.0,0.0,1.2,0.899,0.2,0.0,17.83,2.61,0.899,,7.49,48.96,3.0,11131.0,7557.0,0.69,9.56,10.31,10.18,10.6,10.18,10.6,19720.0,76.0,26.23,33.0,1.0,5353.47999999999,2.167113727892889,25H1,16,1.4729389969564641,1.0869565217391306,4.440154440154432,2.6095011247849675
PCLA,2025-02-14,10:20:00,4.8,4.62,5.2,12600,10:26:00,4.97,trail_stop,2030.62,3.35,False,,0,0.0,68.67,957780,-4.09,-30.88,False,0.05,2,3.08,-3.54,0.7,1.8,0.0,-0.3,0.0,0.0,0.0,0.7,0.899,0.0,0.0,48.22,0.843,0.899,,3.08,42.86,2.0,30733.0,23370.0,0.14,4.63,4.78,4.72,4.8,4.68,4.74,19708.0,110.0,3.66,8.0,1.0,2267.9999999999964,0.8953350970017651,25H1,50,1.3150620453572957,1.0714285714285738,3.7499999999999942,0.8433033804022251
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,13529,10:29:00,12.62,trail_stop,6243.9,3.8,False,,0,0.0,36.59,127864,3.19,-6.76,False,-0.02,3,13.74,3.64,2.3,1.0,0.0,0.3,0.3,-0.5,0.0,2.3,0.648,0.2,0.0,36.59,1.216,0.648,,,,,,,,,,,,,,,,,,,5411.600000000005,1.1537992460640096,25H1,50,,,3.2894736842105288,
JZXN,2025-02-19,09:59:00,5.28,5.04,5.8,6986,10:19:00,5.45,trail_stop,1238.9,3.36,False,,0,0.0,53.81,174698,5.74,8.9,False,-0.02,2,4.64,2.42,0.9,2.0,0.3,-0.3,0.0,-0.5,0.2,0.9,0.648,0.2,0.0,19.86,10.383,0.648,,4.64,22.11,2.0,1995.0,1482.0,0.2261,5.05,5.25,5.21,5.5,5.16,5.5,15382.0,89.0,2.35,24.0,1.0,1676.6400000000015,0.7389183128161079,25H1,29,1.3461538461538463,0.8845643520566129,4.545454545454549,10.379217273954117
COEP,2025-02-20,11:02:00,10.6,10.15,11.43,4393,11:04:00,10.57,post_fill_exit,-139.73,-0.3,False,,0,0.0,40.24,122091,-1.32,-4.17,False,0.0,2,7.26,,2.3,1.8,0.3,0.0,0.3,-0.5,0.2,2.3,0.476,0.0,0.0,41.32,0.236,0.476,,7.26,4.35,5.0,4913.0,847.0,0.69,10.16,10.48,,,,,,152.0,1.24,1.0,2.0,1976.849999999997,-0.07068315754862545,25H1,92,5.800472255017709,0.46376811594202944,4.245283018867918,
INSG,2025-02-20,09:49:00,9.5,9.18,10.17,2293,10:42:00,9.7,trail_stop,467.22,2.15,False,,0,0.0,43.49,114681,1.25,-8.63,False,0.0,3,7.88,1.74,2.1,1.0,0.3,0.0,0.3,-0.5,0.0,2.1,0.476,0.0,0.0,23.29,1.38,0.476,,7.88,37.68,2.0,15489.0,6016.0,0.69,9.19,9.45,9.31,9.45,9.21,9.45,8300.0,79.0,11.0,52.0,1.0,733.7600000000007,0.636747710423026,25H1,19,2.5746343085106385,0.3768115942028983,3.3684210526315814,1.3796542553191489
ARQQ,2025-02-24,10:16:00,14.3,14.03,14.67,18526,10:23:00,13.99,stop,-5709.99,-2.16,False,,0,0.0,16.46,463177,-2.0,-0.62,False,0.02,3,3.01,-1.19,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.059,0.0,0.0,17.13,0.499,1.059,,3.01,34.94,3.0,3566.0,3439.0,0.415,14.04,14.18,14.22,14.25,14.1,14.14,1715.0,106.0,0.92,7.0,1.0,5002.020000000025,-1.1415368191250677,25H1,46,1.0369293399243966,0.3373493975903628,1.8881118881118975,0.498691480081419
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,11:06:00,2.98,stop,-1063.71,-1.94,False,,0,0.0,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.0,1.8,0.3,0.3,0.3,0.0,0.2,3.3,1.059,0.2,0.0,20.41,2.142,1.059,,7.36,-4.88,2.0,10751.0,190.0,0.205,3.0,3.02,3.02,3.04,3.02,3.04,407.0,121.0,1.03,24.0,1.0,899.9999999999968,-1.1819000000000042,25H1,61,56.584210526315786,0.09756097560975618,1.644736842105257,2.142105263157895
AARD,2025-02-25,10:38:00,15.64,14.88,17.19,4516,10:41:00,14.84,stop,-3647.87,-5.16,False,,0,0.0,17.82,437840,8.16,1.38,False,0.0,2,3.98,9.09,1.4,1.0,0.0,-0.3,0.0,0.3,0.2,1.4,1.224,0.2,0.0,21.26,0.366,1.224,,3.98,24.56,7.0,729.0,571.0,0.57,14.75,15.5,15.57,15.57,15.57,15.57,209.0,128.0,0.21,4.0,5.0,3432.159999999999,-1.062849634049695,25H1,68,1.276707530647986,1.3157894736842106,4.859335038363169,0.3660245183887916
AXGN,2025-02-25,09:45:00,19.94,19.25,20.84,13095,09:54:00,19.19,stop,-9781.31,-3.75,False,,0,0.0,29.47,363777,5.68,-8.83,False,0.0,3,5.81,6.93,3.0,1.8,0.3,0.0,0.3,0.3,0.0,3.1,1.224,0.2,0.0,23.18,3.128,1.224,,5.81,37.04,2.0,16837.0,5977.0,1.08,19.26,19.61,19.84,19.84,19.36,19.4,18699.0,75.0,4.51,11.0,1.0,9035.550000000017,-1.0825362042155686,25H1,15,2.816965032625063,0.32407407407407207,3.4603811434302973,3.1284925547933744
DOGZ,2025-02-25,11:07:00,26.8,25.4,29.45,3798,12:46:00,25.33,stop,-5613.27,-5.51,False,,0,0.0,18.68,94952,5.9,-3.95,False,0.0,2,4.88,7.16,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.224,0.2,0.0,15.99,0.241,1.224,,4.88,39.66,9.0,22019.0,6146.0,1.16,24.48,26.46,26.67,26.8,26.67,26.8,1480.0,157.0,2.78,35.0,1.0,5317.200000000008,-1.0556815617242143,25H1,97,3.582655385616661,1.7068965517241383,5.223880597014934,0.24080702896192646
LE,2025-02-25,09:02:00,13.04,12.49,14.24,3228,15:00:00,12.97,eod,-241.45,-0.57,False,,0,0.0,11.6,80719,7.98,0.89,False,0.0,2,8.23,7.62,2.3,2.0,0.3,0.0,0.3,0.3,0.2,2.3,1.224,0.2,0.0,15.38,1.486,1.224,,8.23,0.0,4.0,2627.0,1503.0,0.95,12.5,12.97,12.98,12.98,12.96,12.98,2233.0,32.0,8.18,222.0,1.0,1775.3999999999965,-0.13599752168525428,25H1,-28,1.7478376580172987,0.49473684210526386,4.217791411042937,1.4856952761144377
CSAI,2025-02-26,10:18:00,8.66,8.47,9.02,20000,10:24:00,8.8,trail_stop,2908.7,1.68,False,,0,0.0,22.45,1455089,-1.34,9.22,False,-0.13,2,4.14,-0.84,1.8,2.0,0.0,0.0,0.3,0.3,0.2,1.8,1.439,0.0,0.0,15.8,0.805,1.439,,4.14,2.31,2.0,3698.0,2116.0,0.3378,8.48,8.62,8.61,8.68,8.6,8.6,1703.0,108.0,0.53,8.0,3.0,3799.99999999999,0.7654473684210547,25H1,48,1.7476370510396975,0.4144464179988123,2.1939953810623503,0.804820415879017
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,11234,10:11:00,9.17,exhaust+trail_stop,7176.28,7.5,False,,0,0.0,21.95,280864,1.01,-1.75,False,-0.13,2,4.69,2.72,2.1,2.0,0.3,0.0,0.3,0.3,0.2,2.1,1.439,0.0,0.0,16.05,0.357,1.439,,4.69,2.7,2.0,3808.0,563.0,0.37,8.25,8.38,8.48,8.48,8.48,8.48,201.0,82.0,1.59,19.0,1.0,3145.5199999999927,2.281428825758544,25H1,22,6.763765541740675,0.3513513513513535,3.2863849765258144,0.35701598579040855
MEG,2025-02-27,09:40:00,20.46,19.78,21.73,14886,10:27:00,21.25,trail_stop,11707.29,3.84,False,,0,0.0,25.16,372173,2.46,8.49,False,0.05,2,8.76,3.29,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,1.271,0.2,0.0,16.28,0.197,1.271,,8.76,42.29,2.0,6159.0,1997.0,1.65,19.79,20.29,20.36,20.36,20.31,20.31,393.0,70.0,2.83,45.0,1.0,10122.479999999996,1.1565634113379335,25H1,10,3.084126189283926,0.30303030303030304,3.323558162267838,0.19679519278918378
