r,frac,trades,WR%,total,2025,2026,green,worst_mo,mdd,top5%,pp_fired
1.5,0.5,78,57.7,56101,55433,668,12/20,-7672,-25330,127,49
1.5,0.67,78,57.7,46543,46865,-322,10/20,-6642,-23306,136,49
2.0,0.5,78,57.7,95363,90731,4631,14/20,-11305,-26234,84,45
2.0,0.67,78,57.7,88185,84010,4175,14/20,-11463,-25923,84,45
2.5,0.5,78,57.7,94679,96899,-2220,14/20,-11305,-25901,89,30
2.5,0.67,78,57.7,87268,92274,-5006,14/20,-11463,-25594,91,30
