symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
ARQQ,2025-01-16,23.86137,9002.197091939994,18.00815063007697,scale_eod,1,1,7.428825622775792,109456.0,2.367766447603143,58.52490520314221,4.0,0.8862275449101809,4.982206405693955,1.0,3.333897672508748,9.179213210296265,25.88635259834872,0.0956848030018764,1294414.1,24.12943322500364,-57.416177306308015,18.30061229943164,1.0320507170000697,0.1582012184859707,-0.0858325759870731,0.2353318263099264,1.0145048394102745,3.0,16.0,3333.3333333333335,600.1464727959996,0.3274901844733177,Q4,0,600.1464727959996,2025-01,ARQQ
PDYN,2025-01-23,10.320869999999998,-2468.1723955799953,-4.936908163472921,stop,0,1,6.599999999999984,614192.0,2.958620841944104,43.00096187001729,3.0,0.8610606060606065,1.982999999999997,1.0,2.5504180506301166,5.152471083070455,25.657202944269187,0.0368852459016392,15734920.2,23.77533164655521,-33.11036789297658,20.947669532721765,1.958326614201704,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.3333333333335,-164.5448263719997,0.273952277594467,Q3,2,-164.5448263719997,2025-01,PDYN
NTRB,2025-01-23,8.49541,-918.38276702858,-1.8369313042488498,stop,1,1,6.500000000000005,123163.0,2.366486125007297,55.66966199688503,5.0,1.0,5.875000000000008,1.0,3.891165454198969,8.99182561307902,26.839237057220704,0.5736040609137056,319032.93333333335,9.903021011227516,-2.200488997555009,13.364142806332044,13.617625473984504,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.3333333333335,-61.22551780190534,0.15506691641180417,Q2,3,-61.22551780190534,2025-01,NTRB
LAES,2025-01-24,4.45,0.0,0.0,no_fill,0,0,3.409090909090917,1043018.0,1.9157996418985888,45.74568340393124,3.0,0.9319999999999988,0.9045454545454458,1.0,1.6308521322759066,8.10810810810811,15.970515970515956,0.1846153846153849,77679745.0,27.95571267071567,-60.0,23.04294784712256,0.325923997304574,0.080352896803924,0.0065594201472716,0.009840098400975,0.6091130582638482,4.0,24.0,3333.3333333333335,0.0,0.4291587045946619,Q5,1,0.0,2025-01,LAES
NVTS,2025-01-28,3.19,0.0,0.0,no_fill,0,0,3.662420382165597,222353.0,1.2452858652282044,84.05344553179425,1.0,0.0434782608695643,-1.9108280254777088,0.0,-1.4167944676246225,5.0167224080267525,13.37792642140468,0.05,5023384.5,10.276936663988572,-30.989010989010985,7.873843360254712,1.1566482716980953,0.2320602044553864,-0.1714894608904087,0.2085523132622587,0.7303052824008065,1.0,28.0,3333.3333333333335,0.0,0.15869841299513632,Q2,3,0.0,2025-01,NVTS
JG,2025-01-30,9.6921,0.0,0.0,no_fill,0,0,8.890011223344551,43246.0,2.816728456647215,43.4631870215275,4.0,0.9720994823885872,8.529741863075193,1.0,3.838271835784449,5.568720379146928,31.149289099526083,0.0718904526435907,2100013.7,12.239901601542408,-57.44985673352436,33.33397501788606,0.4920291710477888,0.1007814828305571,-0.0430477830391719,0.3572556122364352,1.000545971940559,3.0,30.0,3333.3333333333335,0.0,0.29280332005933446,Q4,0,0.0,2025-01,JG
LAES,2025-01-30,3.49,0.0,0.0,no_fill,0,0,3.15186246418339,1031628.0,1.393398596055779,29.832218256468003,1.0,0.1363636363636371,-2.722063037249289,0.0,-1.5671829281981706,6.402439024390256,16.463414634146343,0.0,54651744.6,23.40065353398713,-63.26315789473684,18.382649053704657,0.3845780249803773,0.1007814828305571,-0.0430477830391719,0.3572556122364352,1.000545971940559,3.0,30.0,3333.3333333333335,0.0,0.19570948377168576,Q3,2,0.0,2025-01,LAES
KC,2025-02-04,16.31,0.0,0.0,no_fill,0,0,2.4927176944530447,617314.0,1.6877490839404583,67.72234056441734,3.0,0.7120835405270998,0.3669042454291727,0.0,0.5780827230472392,6.571994715984155,11.690885072655217,0.322033898305085,2715816.5,6.615333101022936,-1.2545899632802833,7.334032500121578,4.16844437022899,0.1505352960856477,0.0301104048176754,0.0100373053181088,1.364199540683512,1.0,4.0,3333.3333333333335,0.0,0.30774370874139445,Q4,0,0.0,2025-02,KC
NVNI,2025-02-05,6.24869,-2420.639342100001,-4.841688417892392,stop,0,1,4.461032185568676,68621.0,2.6527950692949136,71.13235535606722,0.0,0.4580784454839858,-2.4095031703989105,0.0,-0.5124552662642915,8.527874564459923,35.36585365853659,0.0935960591133006,22983062.2,28.355560538944147,-17.81662269129288,45.7084576036692,0.074886539705749,0.0882392115077205,-0.0366275972296262,-0.189438000598223,1.3180425183298543,2.0,5.0,3333.3333333333335,-161.37595614000008,0.18319774365499977,Q2,3,-161.37595614000008,2025-02,NVNI
CRML,2025-02-07,6.46,0.0,0.0,no_fill,0,0,7.528641571194762,31158.0,2.8319958432308923,67.30950382261493,4.0,0.9565217391304356,5.400981996726678,1.0,3.5037982855855034,6.260869565217398,62.782608695652165,0.0969529085872575,166106.45,15.184568887903987,-38.22042467138524,10.3465071623442,5.697202005099741,0.1499448005404738,0.0502562243569779,0.094009763821074,0.8076316014152966,4.0,7.0,3333.3333333333335,0.0,0.31023978713218014,Q4,0,0.0,2025-02,CRML
