variant,picks,fills,pnl,mdd,25H1,25H2,2026,neg_months,worst_month,wrapper_picks
asis,119,66,6394,-509,2442,1135,2817,6,-198,50
wrappers_in,123,70,7085,-509,2442,1135,3509,3,-198,54
wrappers_out,94,52,4998,-684,1230,-76,3843,4,-575,0
pit_full,124,70,6789,-652,2248,1175,3365,4,-328,53
