day,instrument_id,symbol
2025-01-02,318,AEI
2025-01-02,967,APM
2025-01-02,1864,BGLC
2025-01-02,3499,COEP
2025-01-02,3808,CTCX
2025-01-02,8203,ICG
2025-01-02,10245,MARX
2025-01-02,10247,MARXU
2025-01-02,13434,RAIN
2025-01-02,13614,REVB
2025-01-02,14667,SISI
2025-01-02,15017,SPCB
2025-01-02,16454,UCL
2025-01-02,17744,XPON
2025-01-02,18001,ZVZZT
2025-01-02,18193,NMRA
2025-01-02,18899,NITO
2025-01-02,19593,KLTO
2025-01-02,19694,BDMD
2025-01-02,19855,MKZR
2025-01-02,19985,NEHC
2025-01-02,19996,ATLN
2025-01-03,989,APRE
2025-01-03,3050,CHEK
2025-01-03,3690,CRIS
2025-01-03,3990,CYCC
2025-01-03,4524,DOGZ
2025-01-03,5740,FCUV
2025-01-03,8578,INTZ
2025-01-03,9227,JUNS
2025-01-03,9641,LATG
2025-01-03,11572,NSYS
2025-01-03,13363,QSI
2025-01-03,16372,TXMD
2025-01-03,18001,ZVZZT
2025-01-03,18176,SPPL
2025-01-03,18772,BRLS
2025-01-03,19025,MFI
2025-01-03,19658,HTCO
2025-01-03,19694,BDMD
2025-01-03,19751,PTLE
2025-01-03,19996,ATLN
2025-01-03,20125,INLF
2025-01-06,2235,BOXL
2025-01-06,3499,COEP
2025-01-06,6715,GDTC
2025-01-06,8228,IDAI
2025-01-06,9348,KELYB
2025-01-06,10430,MEGL
2025-01-06,11104,NAOV
2025-01-06,11108,NARI
2025-01-06,11428,NN
2025-01-06,12582,PHH
2025-01-06,12959,PRTG
2025-01-06,13434,RAIN
2025-01-06,13667,RGF
2025-01-06,14539,SGMT
2025-01-06,15101,SPRC
2025-01-06,18001,ZVZZT
2025-01-06,18010,ZXZZT
2025-01-06,18282,MSS
2025-01-06,18879,ZEO
2025-01-06,19659,FOXX
2025-01-06,19664,ZJK
2025-01-06,19694,BDMD
2025-01-06,19985,NEHC
2025-01-06,19996,ATLN
2025-01-06,20027,ANNA
2025-01-07,3499,COEP
2025-01-07,10920,MSSAU
2025-01-07,12388,PCTTU
2025-01-07,15060,SPI
2025-01-07,17379,WHLR
2025-01-07,17896,ZCMD
2025-01-07,18001,ZVZZT
2025-01-07,20047,YSXT
2025-01-07,20150,ZYBT
2025-01-08,1301,ATHE
2025-01-08,1837,BFRI
2025-01-08,9625,LAES
2025-01-08,10368,MCVT
2025-01-08,11524,NRXP
2025-01-08,17790,XXII
2025-01-08,18001,ZVZZT
2025-01-08,18321,LRHC
2025-01-08,18795,CERO
2025-01-08,19129,LSB
2025-01-08,19139,XHG
2025-01-08,19293,CGBS
2025-01-08,19658,HTCO
2025-01-08,19817,IMG
2025-01-08,19909,MSW
2025-01-08,20077,JXG
2025-01-10,545,AIMD
2025-01-10,3116,CHSN
2025-01-10,3991,CYCCP
2025-01-10,9625,LAES
2025-01-10,9641,LATG
2025-01-10,10750,MODV
2025-01-10,13760,RLAY
2025-01-10,14859,SMSI
2025-01-10,15060,SPI
2025-01-10,18001,ZVZZT
2025-01-10,18876,XTIA
2025-01-10,18986,CDTG
2025-01-10,19129,LSB
2025-01-10,19542,GLXG
2025-01-10,19909,MSW
2025-01-10,19985,NEHC
2025-01-10,19996,ATLN
2025-01-10,20027,ANNA
2025-01-10,20157,MIMI
2025-01-13,562,AIRS
2025-01-13,2228,BOWNU
2025-01-13,3410,CMTL
2025-01-13,6426,FTIIU
2025-01-13,9641,LATG
2025-01-13,12127,OST
2025-01-13,14782,SLRX
2025-01-13,17790,XXII
2025-01-13,18001,ZVZZT
2025-01-13,18082,BOWN
2025-01-13,18340,ATPC
2025-01-13,18876,XTIA
2025-01-13,19271,EHGO
2025-01-13,19694,BDMD
2025-01-13,19996,ATLN
2025-01-14,2228,BOWNU
2025-01-14,4579,DRIO
2025-01-14,9227,JUNS
2025-01-14,10503,MGIH
2025-01-14,12591,PHIO
2025-01-14,14893,SNGX
2025-01-14,17457,WNW
2025-01-14,17790,XXII
2025-01-14,18001,ZVZZT
2025-01-14,18082,BOWN
2025-01-14,19347,NVA
2025-01-14,19658,HTCO
2025-01-14,20160,BZAI
2025-01-15,11067,MYNZ
2025-01-15,14512,SGBX
2025-01-15,14980,SONM
2025-01-15,17754,XRTX
2025-01-15,18001,ZVZZT
2025-01-15,18010,ZXZZT
2025-01-15,19751,PTLE
2025-01-15,19757,SPHL
2025-01-15,20077,JXG
2025-01-16,2128,BMRA
2025-01-16,2228,BOWNU
2025-01-16,4050,DATS
2025-01-16,12591,PHIO
2025-01-16,14931,SNTI
2025-01-16,18001,ZVZZT
2025-01-16,18010,ZXZZT
2025-01-16,18337,PMEC
2025-01-16,18390,LUXHP
2025-01-16,19351,ORKT
2025-01-16,20160,BZAI
2025-01-16,20183,KBSX
2025-01-16,20188,PCLA
2025-01-17,2228,BOWNU
2025-01-17,2584,BYFC
2025-01-17,4524,DOGZ
2025-01-17,8600,IONR
2025-01-17,10479,MFH
2025-01-17,17616,XCUR
2025-01-17,18001,ZVZZT
2025-01-17,18010,ZXZZT
2025-01-17,18549,SVMH
2025-01-17,19351,ORKT
2025-01-17,19694,BDMD
2025-01-17,19743,STFS
2025-01-17,20160,BZAI
2025-01-17,20191,KBSX
2025-01-21,1037,AQUNU
2025-01-21,1233,ASST
2025-01-21,4524,DOGZ
2025-01-21,7134,GOEV
2025-01-21,8532,INM
2025-01-21,17425,WLGS
2025-01-21,18001,ZVZZT
2025-01-21,18010,ZXZZT
2025-01-21,18549,SVMH
2025-01-21,18725,BTSGU
2025-01-21,19757,SPHL
2025-01-21,20062,LSE
2025-01-22,3244,CLEU
2025-01-22,4050,DATS
2025-01-22,7129,GODN
2025-01-22,10078,LSTA
2025-01-22,11600,NTRB
2025-01-22,13640,RFACU
2025-01-22,14534,SGLY
2025-01-22,18001,ZVZZT
2025-01-22,18010,ZXZZT
2025-01-22,19415,BGM
2025-01-22,19743,STFS
2025-01-22,19770,NAMI
2025-01-22,19977,TNMG
2025-01-22,20151,DGNX
2025-01-23,3116,CHSN
2025-01-23,3499,COEP
2025-01-23,7131,GODNU
2025-01-23,9227,JUNS
2025-01-23,10289,MBIO
2025-01-23,13810,RNAZ
2025-01-23,14534,SGLY
2025-01-23,16583,UPXI
2025-01-23,17381,WHLRL
2025-01-23,18001,ZVZZT
2025-01-23,18010,ZXZZT
2025-01-23,18727,PBM
2025-01-23,18879,ZEO
2025-01-23,19694,BDMD
2025-01-23,19728,DWTX
2025-01-23,20151,DGNX
2025-01-23,20202,MCTR
2025-01-23,20207,DXST
2025-01-23,20210,SKBL
2025-01-24,5479,EVAX
2025-01-24,7129,GODN
2025-01-24,7131,GODNU
2025-01-24,12890,PRFX
2025-01-24,13638,RFAC
2025-01-24,13810,RNAZ
2025-01-24,14867,SMX
2025-01-24,18001,ZVZZT
2025-01-24,18010,ZXZZT
2025-01-24,18421,CREV
2025-01-24,18965,NXTT
2025-01-24,20062,LSE
2025-01-24,20093,NEUP
2025-01-24,20151,DGNX
2025-01-24,20192,PCLA
2025-01-27,4524,DOGZ
2025-01-27,9005,JG
2025-01-27,9262,JZXN
2025-01-27,13638,RFAC
2025-01-27,13640,RFACU
2025-01-27,13664,RGC
2025-01-27,15653,TC
2025-01-27,18001,ZVZZT
2025-01-27,18010,ZXZZT
2025-01-27,18244,YHGJ
2025-01-27,18289,NVNI
2025-01-27,18616,ONCO
2025-01-27,18702,JL
2025-01-27,18718,YIBO
2025-01-27,19019,MTEN
2025-01-27,19228,GRAL
2025-01-27,19351,ORKT
2025-01-27,19461,WOK
2025-01-27,19465,SPAI
2025-01-27,19533,TEKX
2025-01-27,19728,DWTX
2025-01-27,19909,MSW
2025-01-27,20054,GITS
2025-01-27,20093,NEUP
2025-01-27,20151,DGNX
2025-01-27,20160,BZAI
2025-01-27,20192,PCLA
2025-01-27,20246,GMHS
2025-01-28,2042,BLBX
2025-01-28,9005,JG
2025-01-28,10289,MBIO
2025-01-28,13638,RFAC
2025-01-28,13810,RNAZ
2025-01-28,17381,WHLRL
2025-01-28,18001,ZVZZT
2025-01-28,18289,NVNI
2025-01-28,18562,INHD
2025-01-28,18702,JL
2025-01-28,19208,TECX
2025-01-28,19439,SLXN
2025-01-28,20062,LSE
2025-01-28,20151,DGNX
2025-01-28,20251,TWNPV
2025-01-28,20253,FATAV
2025-01-28,20254,FMTO
2025-01-29,3751,CSGS
2025-01-29,5651,FATBB
2025-01-29,9518,KRKR
2025-01-29,13638,RFAC
2025-01-29,13640,RFACU
2025-01-29,13986,RTC
2025-01-29,17643,XFOR
2025-01-29,18001,ZVZZT
2025-01-29,19019,MTEN
2025-01-29,20151,DGNX
2025-01-29,20246,GMHS
2025-01-29,20251,TWNPV
2025-01-29,20252,FATBV
2025-01-30,174,ACON
2025-01-30,1611,BAOS
2025-01-30,1899,BHIL
2025-01-30,3244,CLEU
2025-01-30,9119,JNVR
2025-01-30,11995,ONEW
2025-01-30,12959,PRTG
2025-01-30,17381,WHLRL
2025-01-30,18001,ZVZZT
2025-01-30,18702,JL
2025-01-30,18718,YIBO
2025-01-30,19448,RITR
2025-01-30,19659,FOXX
2025-01-30,20030,AMOD
2025-01-30,20151,DGNX
2025-01-30,20163,RNTX
2025-01-30,20262,CSAI
2025-01-31,1611,BAOS
2025-01-31,1899,BHIL
2025-01-31,4529,DOMH
2025-01-31,5740,FCUV
2025-01-31,7015,GLST
2025-01-31,7017,GLSTU
2025-01-31,16939,VISL
2025-01-31,18001,ZVZZT
2025-01-31,18655,TCTM
2025-01-31,18702,JL
2025-01-31,20105,ONEG
2025-01-31,20262,CSAI
2025-02-03,1742,BCTX
2025-02-03,5740,FCUV
2025-02-03,7094,GNLX
2025-02-03,7566,HCWB
2025-02-03,13555,REBN
2025-02-03,14534,SGLY
2025-02-03,17381,WHLRL
2025-02-03,18001,ZVZZT
2025-02-03,18082,BOWN
2025-02-03,18421,CREV
2025-02-03,20047,YSXT
2025-02-03,20049,ZBAI
2025-02-03,20093,NEUP
2025-02-03,20151,DGNX
2025-02-03,20246,GMHS
2025-02-03,20262,CSAI
2025-02-04,2228,BOWNU
2025-02-04,6675,GCTK
2025-02-04,7015,GLST
2025-02-04,16717,UXIN
2025-02-04,16958,VLCN
2025-02-04,18001,ZVZZT
2025-02-04,18082,BOWN
2025-02-04,18474,CAPT
2025-02-04,19430,QNTM
2025-02-04,19921,RADX
2025-02-04,20262,CSAI
2025-02-05,174,ACON
2025-02-05,3613,CPIX
2025-02-05,9518,KRKR
2025-02-05,13638,RFAC
2025-02-05,13640,RFACU
2025-02-05,13810,RNAZ
2025-02-05,17381,WHLRL
2025-02-05,18001,ZVZZT
2025-02-05,18082,BOWN
2025-02-05,19751,PTLE
2025-02-05,20262,CSAI
2025-02-05,20305,HCAI
2025-02-05,20307,CJMB
2025-02-06,2228,BOWNU
2025-02-06,7015,GLST
2025-02-06,9795,LFVN
2025-02-06,10104,LTRY
2025-02-06,13555,REBN
2025-02-06,13638,RFAC
2025-02-06,14512,SGBX
2025-02-06,17846,YOSH
2025-02-06,18001,ZVZZT
2025-02-06,18082,BOWN
2025-02-06,18327,FBYD
2025-02-06,18474,CAPT
2025-02-06,18831,CRML
2025-02-06,19430,QNTM
2025-02-06,20192,PCLA
2025-02-06,20307,CJMB
2025-02-07,2228,BOWNU
2025-02-07,3436,CNDT
2025-02-07,11604,NTRP
2025-02-07,11713,NWL
2025-02-07,18001,ZVZZT
2025-02-07,18010,ZXZZT
2025-02-07,18082,BOWN
2025-02-07,18524,GSIW
2025-02-07,20160,BZAI
2025-02-07,20296,FBGL
2025-02-07,20305,HCAI
2025-02-07,20323,EFSI
2025-02-10,1766,BDRX
2025-02-10,2228,BOWNU
2025-02-10,4529,DOMH
2025-02-10,7015,GLST
2025-02-10,7017,GLSTU
2025-02-10,9005,JG
2025-02-10,9518,KRKR
2025-02-10,10104,LTRY
2025-02-10,10730,MNTS
2025-02-10,13638,RFAC
2025-02-10,13640,RFACU
2025-02-10,15512,SWTX
2025-02-10,17846,YOSH
2025-02-10,18001,ZVZZT
2025-02-10,18082,BOWN
2025-02-10,18327,FBYD
2025-02-10,19909,MSW
2025-02-10,20262,CSAI
2025-02-10,20307,CJMB
2025-02-11,4529,DOMH
2025-02-11,5208,ENTA
2025-02-11,7015,GLST
2025-02-11,7017,GLSTU
2025-02-11,9518,KRKR
2025-02-11,18001,ZVZZT
2025-02-11,18010,ZXZZT
2025-02-11,18088,ABLV
2025-02-11,18450,AITRU
2025-02-11,19417,AIFF
2025-02-11,19448,RITR
2025-02-11,19659,FOXX
2025-02-11,19728,DWTX
2025-02-11,19909,MSW
2025-02-11,20093,NEUP
2025-02-11,20210,SKBL
2025-02-11,20296,FBGL
2025-02-12,174,ACON
2025-02-12,2228,BOWNU
2025-02-12,6199,FORR
2025-02-12,7015,GLST
2025-02-12,12879,PRE
2025-02-12,13198,PWUP
2025-02-12,14985,SOPA
2025-02-12,18001,ZVZZT
2025-02-12,19417,AIFF
2025-02-12,20062,LSE
2025-02-12,20262,CSAI
2025-02-13,2039,BLACU
2025-02-13,10298,MBRX
2025-02-13,10511,MGOL
2025-02-13,13638,RFAC
2025-02-13,13640,RFACU
2025-02-13,14985,SOPA
2025-02-13,17846,YOSH
