action,reason,n,month
3,32,2,202501
3,110,33,202501
7,0,224195,202501
8,0,135,202501
8,30,6,202501
8,70,2,202501
9,50,1050,202501
14,0,8598,202501
3,15,2,202502
3,32,1,202502
3,110,33,202502
7,0,213865,202502
8,0,69,202502
8,30,4,202502
9,50,903,202502
14,0,8037,202502
3,15,1,202503
3,32,5,202503
3,110,28,202503
7,0,237202,202503
8,0,100,202503
8,30,11,202503
8,70,5,202503
9,50,623,202503
14,0,9520,202503
3,15,5,202504
3,32,6,202504
3,110,39,202504
7,0,239004,202504
8,0,301,202504
8,30,6,202504
8,70,6,202504
8,90,2,202504
9,50,1193,202504
14,0,13173,202504
3,15,3,202505
3,32,7,202505
3,110,40,202505
7,0,239560,202505
8,0,143,202505
8,30,4,202505
8,110,3,202505
9,50,1005,202505
14,0,7414,202505
3,15,3,202506
3,32,6,202506
3,110,31,202506
7,0,230225,202506
8,0,196,202506
8,30,3,202506
8,70,5,202506
9,50,966,202506
14,0,6469,202506
3,15,5,202507
3,32,11,202507
3,110,39,202507
7,0,255945,202507
8,0,169,202507
8,30,9,202507
8,70,4,202507
9,50,1006,202507
14,0,6829,202507
3,15,3,202508
3,32,10,202508
3,110,36,202508
7,0,246305,202508
8,0,51,202508
8,30,12,202508
8,70,1,202508
9,50,706,202508
14,0,6905,202508
3,15,5,202509
3,32,7,202509
3,110,39,202509
7,0,248306,202509
8,0,137,202509
8,30,5,202509
8,70,3,202509
9,50,1005,202509
14,0,6557,202509
3,15,7,202510
3,32,7,202510
3,110,53,202510
7,0,274520,202510
8,0,156,202510
8,30,11,202510
8,70,3,202510
9,50,929,202510
14,0,8676,202510
3,15,5,202511
3,32,10,202511
3,110,35,202511
7,0,229045,202511
8,0,91,202511
8,30,10,202511
8,70,2,202511
8,90,1,202511
9,50,784,202511
14,0,9001,202511
3,15,3,202512
3,32,6,202512
3,110,44,202512
7,0,268092,202512
8,0,125,202512
8,30,6,202512
8,70,5,202512
9,50,1122,202512
14,0,8510,202512
3,15,2,202601
3,32,8,202601
3,110,42,202601
7,0,244973,202601
8,0,141,202601
8,30,7,202601
8,110,2,202601
9,50,816,202601
14,0,7595,202601
3,15,5,202602
3,32,2,202602
3,110,50,202602
7,0,235225,202602
8,0,150,202602
8,30,5,202602
8,70,1,202602
9,50,961,202602
14,0,9559,202602
3,15,1,202603
3,32,7,202603
3,110,43,202603
7,0,274267,202603
8,0,147,202603
8,30,8,202603
9,50,761,202603
14,0,10198,202603
3,15,2,202604
3,32,7,202604
3,110,40,202604
7,0,264456,202604
8,0,107,202604
8,30,8,202604
9,50,1374,202604
14,0,7487,202604
3,15,2,202605
3,32,4,202605
3,110,47,202605
7,0,254412,202605
8,0,101,202605
8,30,8,202605
8,70,2,202605
9,50,1368,202605
14,0,8543,202605
3,15,4,202606
3,32,11,202606
3,110,57,202606
7,0,271375,202606
8,0,201,202606
8,30,6,202606
8,70,3,202606
9,50,1592,202606
14,0,11013,202606
3,32,6,202607
3,110,49,202607
7,0,288264,202607
8,0,308,202607
8,30,10,202607
8,70,3,202607
8,110,2,202607
9,50,1102,202607
14,0,10831,202607
3,15,3,202608
3,32,2,202608
3,110,44,202608
7,0,277498,202608
8,0,199,202608
8,30,5,202608
9,50,1195,202608
14,0,7836,202608
3,15,1,202609
3,32,3,202609
3,110,19,202609
7,0,159204,202609
8,0,84,202609
8,30,2,202609
8,70,2,202609
9,50,611,202609
14,0,4175,202609
