split,side,rule,horizon,events,filled,fill_rate,n,mean_netR,t,mde,mean_grossR,mean_raw_pct,weeks_green,weeks,ex_top5_netR,cap3R_netR
TRAIN,up,continuation,h5,690,250,0.3623,250,0.2390121639071604,0.8988390790920211,0.7445538078029365,0.3300965851571604,0.6601931703143208,0.4230769230769231,52,-0.2736257415280429,-0.5461383098835609
TRAIN,up,continuation,h30,690,250,0.3623,250,-0.39372769077343867,-0.7780722730054677,1.4168832027739937,-0.3026432695234386,-0.6052865390468772,0.46153846153846156,52,-1.4940484632175408,-2.1183187572744933
TRAIN,up,continuation,close,690,250,0.3623,250,-0.6386825744885821,-0.7027258698341217,2.544820512997708,-0.5850844528285818,-1.1701689056571636,0.3076923076923077,52,-3.041197653699131,-3.948928436373148
TRAIN,up,fade,h5,690,493,0.7145,493,0.5654892305870215,2.901261946164099,0.545752115811918,0.6550040429602467,1.3100080859204934,0.6730769230769231,52,0.13819501845698567,-0.18024215702179847
TRAIN,up,fade,h30,690,493,0.7145,493,0.4362179515034306,1.020685676389237,1.1966566127688294,0.5257327638766558,1.0514655277533116,0.6538461538461539,52,-0.45113616517213384,-1.6512031762363364
TRAIN,up,fade,close,690,493,0.7145,493,0.8359767959657536,1.208260822290274,1.9372762780367374,0.888651290002265,1.77730258000453,0.6346153846153846,52,-0.7471313276045737,-2.9810758479641013
TRAIN,down,continuation,h5,759,333,0.4387,333,0.4763700018618014,2.096472653263111,0.636228668729334,0.5626273244969365,1.125254648993873,0.62,50,0.051573456932878244,-0.20078888482189364
TRAIN,down,continuation,h30,759,333,0.4387,333,0.20581232233750085,0.3940821054993526,1.4623209085192757,0.2920696449726357,0.5841392899452714,0.54,50,-0.8583954606751346,-1.9220522940874627
TRAIN,down,continuation,close,759,333,0.4387,333,0.9799358894985002,1.1377350474069405,2.411651550024196,1.0306935317957975,2.061387063591595,0.54,50,-0.9609885185582243,-3.206811880162212
TRAIN,down,fade,h5,759,481,0.6337,481,-0.14993894440935762,-0.745547093233716,0.5631153929193742,-0.061427160365698674,-0.12285432073139735,0.5094339622641509,53,-0.6199048423376632,-0.8076208651528786
TRAIN,down,fade,h30,759,481,0.6337,481,0.2941802267724639,0.6487643030529223,1.2696515993354616,0.38269201081612286,0.7653840216322457,0.5849056603773585,53,-1.0088873833965477,-2.170674198426121
TRAIN,down,fade,close,759,481,0.6337,481,-1.1280508165147847,-1.5044097562712573,2.099522602186506,-1.0759665489264272,-2.1519330978528544,0.49056603773584906,53,-3.3474819067996417,-5.18007317045137
VAL,up,continuation,h5,317,136,0.429,136,0.152634822271966,0.44497467413311326,0.9604535431013219,0.24724519221681895,0.4944903844336379,0.45454545454545453,22,-0.31398809513875797,-0.4880090406090533
VAL,up,continuation,h30,317,136,0.429,136,-0.322270215033004,-0.43460962940696163,2.0762462242810975,-0.2276598450881512,-0.4553196901763024,0.22727272727272727,22,-1.6408445495969384,-2.3317929329687264
VAL,up,continuation,close,317,136,0.429,136,-0.30970662816692746,-0.2414782893944103,3.5911243244357274,-0.2540336815860452,-0.5080673631720904,0.45454545454545453,22,-2.4600974814586563,-4.272289226499212
VAL,up,fade,h5,317,205,0.6467,205,0.9150988982783945,2.9397749606675014,0.8715894752017744,1.0101419302905896,2.0202838605811793,0.7727272727272727,22,0.5069923257977202,0.05064200959489231
VAL,up,fade,h30,317,205,0.6467,205,0.6447369678655447,0.9501592074799984,1.8999589708880733,0.7397799998777395,1.479559999755479,0.6818181818181818,22,-0.21479019252421833,-1.5391712984094341
VAL,up,fade,close,317,205,0.6467,205,-0.6979958397977476,-0.6448594227975616,3.0307200024387755,-0.6420682956270163,-1.2841365912540326,0.5909090909090909,22,-2.0594785566851934,-4.136862071647305
VAL,down,continuation,h5,308,150,0.487,150,1.1069673042459038,3.0982425435162324,1.0004085891774184,1.1979160542459037,2.3958321084918075,0.7142857142857143,21,0.6585247789005648,0.12234615684914427
VAL,down,continuation,h30,308,150,0.487,150,1.711711795514118,2.4542429944466955,1.9528600217192658,1.8026605455141176,3.605321091028235,0.7142857142857143,21,0.5801886966201495,-0.8003120335697526
VAL,down,continuation,close,308,150,0.487,150,1.265978270535032,0.6555018725730143,5.407672053756418,1.319496557201699,2.638993114403398,0.7142857142857143,21,-0.8074488811785375,-4.520603417936478
VAL,down,fade,h5,308,182,0.5909,182,0.13401328355118658,0.41227504657108166,0.9101622741036464,0.22985390340008777,0.45970780680017553,0.5238095238095238,21,-0.38488034905070595,-0.5764281488112414
VAL,down,fade,h30,308,182,0.5909,182,-0.3819897184963436,-0.5714082187416284,1.8718162894912547,-0.2861490986474423,-0.5722981972948846,0.5714285714285714,21,-1.4847465679534635,-2.3436021060776486
VAL,down,fade,close,308,182,0.5909,182,0.7686671962426124,0.42523606527308755,5.061349037027523,0.8250640765448097,1.6501281530896195,0.42857142857142855,21,-3.3830995728876023,-5.483620847737247
TEST,up,continuation,h5,237,75,0.3165,75,-0.09102981871809547,-0.17672951880524448,1.4422236541680866,-0.0034523937180953694,-0.006904787436190739,0.4375,16,-0.6862660395316139,-0.8769898904509197
TEST,up,continuation,h30,237,75,0.3165,75,1.6605575676177904,1.4221350286764096,3.269423152917617,1.7481349926177905,3.496269985235581,0.5625,16,0.35217482064311284,-1.5779644418387269
TEST,up,continuation,close,237,75,0.3165,75,-0.3999995442660563,-0.24701212939325837,4.534185129677787,-0.34846509506605616,-0.6969301901321123,0.5,16,-2.4982404035047208,-3.8883103295148462
TEST,up,fade,h5,237,174,0.7342,174,0.8831189683549754,2.843509095725496,0.8696061901511292,0.970480406932562,1.940960813865124,0.875,16,0.49593701139500773,0.1186904213663956
TEST,up,fade,h30,237,174,0.7342,174,1.2353402539874734,1.9463688252471618,1.7771311717992022,1.3227016925650594,2.645403385130119,0.5625,16,0.40027533324677567,-0.9628045246693933
