day,symbol,ok,raw_pct,net_R,gross_R,ssr,month
2025-01-06,ZJK,True,-12.54211905653313,-6.351370465766565,-6.271059528266565,Y,2025-01
2025-01-08,LAES,True,-18.676165803108802,-9.4219122765544,-9.338082901554401,Y,2025-01
2025-01-08,LAES,True,1.6052880075542952,0.7188146287771476,0.8026440037771476,Y,2025-01
2025-01-08,XXII,True,6.3879210220673555,3.130651136033678,3.1939605110336777,N,2025-01
2025-01-10,LAES,True,3.8397328881469184,1.8216989440734592,1.9198664440734592,Y,2025-01
2025-01-10,MSW,True,-1.976949971942843,-1.0631721734714215,-0.9884749859714215,N,2025-01
2025-01-14,JUNS,True,5.500705218617763,2.6756554218088815,2.7503526093088815,Y,2025-01
2025-01-14,XXII,True,11.300397501419646,5.552031250709823,5.650198750709823,N,2025-01
2025-01-16,KBSX,True,0.8350730688935215,0.35648278444676074,0.41753653444676075,N,2025-01
2025-01-16,KBSX,True,-0.0,-0.0746971875,-0.0,N,2025-01
2025-01-16,KBSX,True,9.316279507194569,4.597086003597284,4.658139753597284,N,2025-01
2025-01-16,KBSX,True,12.673267326732663,6.256322725866331,6.336633663366332,N,2025-01
2025-01-17,BDMD,True,-1.5186206896551813,-0.8431397198275906,-0.7593103448275906,Y,2025-01
2025-01-17,BDMD,True,-7.418596844578729,-3.7931277972893644,-3.7092984222893643,Y,2025-01
2025-01-17,BDMD,True,-6.243496357960465,-3.1964453664802326,-3.1217481789802326,Y,2025-01
2025-01-17,BDMD,True,-2.6490066225165476,-1.3855570612582737,-1.3245033112582738,Y,2025-01
2025-01-21,DOGZ,True,-30.52345343303873,-15.342712654019364,-15.261726716519364,Y,2025-01
2025-01-21,DOGZ,True,-6.082597402597401,-3.1222846387987,-3.0412987012987003,Y,2025-01
2025-01-22,STFS,True,11.409395973154357,5.606530486577179,5.7046979865771785,Y,2025-01
2025-01-22,STFS,True,-5.268082717320111,-2.7322088586600555,-2.6340413586600553,Y,2025-01
2025-01-22,STFS,True,-2.5362318840579823,-1.351945317028991,-1.2681159420289911,Y,2025-01
2025-01-22,STFS,True,0.689531975705604,0.260936612852802,0.344765987852802,Y,2025-01
2025-01-22,STFS,True,8.100558659217882,3.9664499546089402,4.050279329608941,Y,2025-01
2025-01-22,STFS,True,12.108559498956161,5.979582561978081,6.054279749478081,Y,2025-01
2025-01-22,STFS,True,7.520267387284862,3.6854365061424312,3.760133693642431,Y,2025-01
2025-01-27,GRAL,True,-1.9157292659675695,-1.0873661954837848,-0.9578646329837848,Y,2025-01
2025-01-27,DWTX,True,-7.466660173212891,-3.8521497741064454,-3.7333300866064456,Y,2025-01
2025-01-27,DWTX,True,-5.156537753222845,-2.6970885641114224,-2.5782688766114226,Y,2025-01
2025-01-27,DWTX,True,4.648606481809803,2.2632494909049012,2.3243032409049014,Y,2025-01
2025-01-27,MSW,True,-2.6298909557408656,-1.3782548528704328,-1.3149454778704328,Y,2025-01
2025-01-27,BZAI,True,2.0576131687242816,0.9306390843621408,1.0288065843621408,Y,2025-01
2025-01-28,RNAZ,True,-16.663570499721338,-8.42995274986067,-8.331785249860669,Y,2025-01
2025-01-28,RNAZ,True,-5.8985645933014474,-3.0681019841507235,-2.9492822966507237,Y,2025-01
2025-01-28,RNAZ,True,12.510351035103506,6.136355830051753,6.255175517551753,Y,2025-01
2025-01-28,RNAZ,True,-0.21017865185408713,-0.18607526342704356,-0.10508932592704356,Y,2025-01
2025-01-28,RNAZ,True,12.610169491525426,6.244030995762713,6.305084745762713,Y,2025-01
2025-01-28,TECX,True,1.0166734444896353,0.4102479722448176,0.5083367222448176,Y,2025-01
