cell,split,conv,n_trades,raw_bps,mean_bps,t,nw_t,pct_pos,ex_jan_bps,jan_bps,mde_bps,mdd_pct,worst_bps,n_months,ex_top_1_bps,ex_top_1_t,ex_top_5_bps,ex_top_5_t,sym_top_1_bps,sym_top_5_bps,ex_taint_bps,ex_taint_t,taint_share,lls,honest_cost_bps,gross_excess_bps,rt_per_month,breakeven_bps_per_rt,breakeven_x_honest,ends_mid_hold,haircut_bps,mean_hold_sessions,book_n,book_usd_mo,book_raw_usd_mo,book_t,book_mde_usd,book_pct_pos,book_worst,book_mdd_usd,tr_wk,book_empty_months,book_usd_mo_held,boot_p
F5-LO,TRAIN,sealed,10371,126.9731892349077,-5.780621530593201,-0.18801183800784332,-0.22761382581434594,49.152542372881356,-7.334719805892802,15.588229754776306,61.492101687257055,-20.748236982392953,-689.2328036337003,59,-23.394026230579282,-0.7330661927643017,-55.491279346172014,-1.6620844858535724,-8.051728568599982,-7.514778129949862,-6.166149246185571,-0.20059570860118006,0.0025069906469964323,,10.0,-4.037764086185992,0.16671655101408117,-24.219335522631795,-2.4219335522631793,0,-5.780621530593201,125.96229871757787,180,146.62726764704473,1032.54695736187,0.5628953705373138,520.9752125233546,50.847457627118644,-4675.123508085016,-15987.999649369081,0.5750798722044729,4,90.99488977477927,0.824635072985403
F5-LO,VAL,sealed,4234,18.7562002487716,38.44979901673951,0.6774125336050445,0.7584809224605299,62.5,68.8615259567675,-296.0791973235682,113.51959731869121,-9.48534559044657,-806.634297480765,24,26.828737728036568,0.4726832593460432,-2.917519308404855,-0.0514039803917373,41.84945854179685,44.98877340263649,35.33083833409685,0.6164959453452469,0.004959848842701937,,10.0,40.31457586031341,0.16717745847544627,241.1483954114215,24.11483954114215,0,38.44979901673951,125.61502125649504,60,-306.8574425968548,-489.765222827406,-0.46891783162196354,1308.789821600301,58.333333333333336,-7335.832847774287,-15799.99252831886,0.5761316872427984,5,-524.9199312228961,
F5-LO,VAL,complete,5622,25.585530334039603,12.495875485157432,0.21296498714488954,0.2404966528883288,58.333333333333336,40.54815483140522,-296.0791973235682,117.351454365181,-9.805212075080483,-806.634297480765,24,1.9803002872337272,0.03353153130144536,-22.392989930696224,-0.38015016639114885,15.833576670151357,23.78864136941846,9.795016452721166,0.16563606141830098,0.004446816079686944,,10.0,14.259182422599233,0.16737456335344553,85.19324643427485,8.519324643427485,0,12.495875485157432,125.46709356101032,80,-263.9800621047753,-217.92741026467306,-0.4932933518669343,1070.2761799067741,58.333333333333336,-7335.832847774287,-13997.634253495176,0.7681755829903978,0,-263.9800621047753,
F5-LS,TRAIN,sealed,19827,-41.977019921855664,-41.977019921855664,-0.4986547059159654,-0.5266048630175768,49.152542372881356,-38.08270345161273,-95.52387138769602,168.361069990302,-56.26022534999733,-2183.5603493448607,59,-69.81141410843537,-0.8175971100874637,-154.59635677476325,-1.9323439994171596,-69.81141410843537,-154.59635677476325,-42.279860739872284,-0.5027873697469194,0.0025069906469964323,,17.15011035937046,-35.894646620162916,0.16671655101408117,-215.3034380919456,-12.554055547188263,0,-41.977019921855664,125.96229871757787,180,146.62726764704473,1032.54695736187,0.5628953705373138,520.9752125233546,50.847457627118644,-4675.123508085016,-15987.999649369081,0.5750798722044729,4,90.99488977477927,0.5884823035392921
F5-LS,VAL,sealed,8033,99.65536517864906,99.65536517864906,0.6307426369700411,0.6746187756160474,58.333333333333336,117.86151156296074,-100.61224504877953,315.9937487574111,-30.455912808938912,-1649.922873362396,24,61.81966951067,0.3975441309959021,-51.79099441335012,-0.34967676476873655,61.81966951067,-51.79099441335012,93.75233321536521,0.5940426479720747,0.004959848842701937,0.44417940840321873,17.07225551741922,106.27466170232728,0.16717745847544627,635.6997089887934,37.235836140114834,0,99.65536517864906,125.61502125649504,60,-306.8574425968548,-489.765222827406,-0.46891783162196354,1308.789821600301,58.333333333333336,-7335.832847774287,-15799.99252831886,0.5761316872427984,5,-524.9199312228961,
F5-LS,VAL,complete,10678,40.24993562409655,40.24993562409655,0.24154387873595587,0.2628339463621672,58.333333333333336,53.05558841253984,-100.61224504877953,333.2722471356506,-30.904233971259252,-1649.922873362396,24,5.83669929729839,0.035352510443073915,-116.0346627861171,-0.7437879476194424,5.83669929729839,-116.0346627861171,35.336160013143086,0.21231953845160553,0.004446816079686944,0.3831621997677613,17.072173315851906,46.49867815704968,0.16737456335344553,277.8120953711362,16.27280195856384,0,40.24993562409655,125.46709356101032,80,-263.9800621047753,-217.92741026467306,-0.4932933518669343,1070.2761799067741,58.333333333333336,-7335.832847774287,-13997.634253495176,0.7681755829903978,0,-263.9800621047753,
A2-LO,TRAIN,sealed,15492,50.14151597445167,-84.17795646262951,-2.6358759869836903,-2.715554890993469,33.33333333333333,-81.49356189246566,-113.70629673443183,63.87095362476199,-36.74773455119327,-754.9334557323795,48,-144.91274163506512,-4.239179441122636,-253.55087322117203,-6.2116416466052975,-78.03898989926311,-54.670123244206714,-83.84239167193925,-2.6374271139735033,0.005357603924606248,,10.0,-64.72227799679438,1.998341533528664,-32.38799620128398,-3.238799620128398,0,-84.17795646262951,10.508714175058094,1880,-676.178038501496,208.10270507218615,-1.6252414299984153,832.0954979619924,52.083333333333336,-8999.437333808335,-34010.4832811321,6.006389776357827,0,-676.178038501496,0.007598480303939212
A2-LO,VAL,sealed,9085,25.990279412676927,0.870220196775064,0.015919880631627917,0.015813295570623682,54.166666666666664,5.6659963537124645,-51.88331752953634,109.3249650435448,-8.919718572507861,-634.1806463748245,24,-54.28348212094198,-1.0124086289589702,-154.9643395874914,-2.5651329622934904,12.27037139958249,43.14381143300798,0.09597002784245134,0.00173352461391659,0.003632361034672537,,10.0,20.51558923400439,2.01082431307244,10.2025766749645,1.02025766749645,0,0.870220196775064,10.443478260869565,940,205.9209004658613,344.8832430448908,0.4078204760827067,1009.8605270820202,54.166666666666664,-4724.67431177594,-8379.054929703289,9.026063100137174,0,205.9209004658613,
A2-LO,VAL,complete,9289,23.477344394389153,3.234316423203487,0.060446316396974335,0.06000244071010883,54.166666666666664,8.245010418907109,-51.88331752953634,107.0145086083486,-8.919718572507861,-577.4423369405424,24,-52.631912284925264,-1.0009032773186053,-154.69244306022765,-2.5990050298528513,14.8032968013057,45.849026007541106,2.445303130428761,0.045093637925011594,0.0036602432985251374,,10.0,23.07869201197956,2.016946699064261,11.442390630692744,1.1442390630692745,0,3.234316423203487,10.411777371084078,960,229.30534402977173,331.91134876797634,0.46184808055122395,992.9903519620204,54.166666666666664,-4724.67431177594,-8379.054929703289,9.218106995884774,0,229.30534402977173,
A2-LS,TRAIN,sealed,29505,-166.0458201037071,-166.0458201037071,-2.1904648476657926,-2.2125787328736912,35.41666666666667,-135.8733413331516,-497.94308657981736,151.60783819986807,-62.13219373177298,-1802.9871098937167,48,-306.08534221187324,-4.2524709950984345,-608.9070903265929,-7.709299762713088,-306.08534221187324,-608.9070903265929,-166.82376553075036,-2.195396662163986,0.005357603924606248,,10.59418500496284,-125.00933149579548,1.998341533528664,-62.556539709733435,-5.904799631158872,0,-166.0458201037071,10.508714175058094,1880,-676.178038501496,208.10270507218615,-1.6252414299984153,832.0954979619924,52.083333333333336,-8999.437333808335,-34010.4832811321,6.006389776357827,0,-676.178038501496,0.04619076184763048
