day,symbol,entry_m,exit_m,entry,stop,target,exit_price,why,R,raw_rr,cost_R,net_R,split,half,wk,keep,date,pnl_R
2025-01-10,BG,727,955,81.725,80.44,84.29499999999999,81.21,eod,1.2849999999999966,-0.400778210116733,0.1504973844649305,-0.5512755945816636,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-0.5512755945816636
2025-01-10,BLBD,593,955,41.48,40.7,43.03999999999999,41.45,eod,0.779999999999994,-0.0384615384615311,0.9413824457593752,-0.9798439842209062,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-0.9798439842209062
2025-01-10,FTAI,622,835,176.74,174.42,181.38000000000005,181.38000000000005,target,2.3200000000000216,2.0,0.3273283524904181,1.6726716475095815,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,1.6726716475095815
2025-01-10,IONQ,788,795,33.763,33.36,34.569,33.36,stop,0.4029999999999987,-1.0,0.0882164351777261,-1.088216435177726,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.088216435177726
2025-01-10,IRTC,788,839,95.225,94.2,97.27499999999998,97.27499999999998,target,1.0249999999999917,2.0,0.4319127086007771,1.568087291399223,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,1.568087291399223
2025-01-10,FBL,790,907,37.39,36.925,38.32000000000001,36.925,stop,0.4650000000000034,-1.0,0.1172295921087688,-1.1172295921087687,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.1172295921087687
2025-01-10,METU,791,863,37.76,37.35,38.57999999999999,37.35,stop,0.4099999999999966,-1.0,0.1178466559508007,-1.117846655950801,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.117846655950801
2025-01-10,MSTZ,612,621,20.0088,19.5129,21.00060000000001,19.5129,stop,0.4959000000000024,-1.0,0.0598898040944048,-1.059889804094405,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.059889804094405
2025-01-10,OS,679,761,27.58,27.21,28.319999999999997,28.319999999999997,target,0.3699999999999974,2.0,0.3246177606177652,1.6753822393822349,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,1.6753822393822349
2025-01-10,PSMT,580,955,88.02,86.4,91.25999999999998,89.94,eod,1.6199999999999903,1.1851851851851931,0.8491308641975354,0.336054320987658,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,0.336054320987658
2025-01-10,QMCO,635,651,33.285,32.2,35.454999999999984,32.2,stop,1.0849999999999935,-1.0,0.3655930217248223,-1.3655930217248222,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.3655930217248222
2025-01-10,SMCX,631,661,45.65,44.35,48.24999999999999,44.35,stop,1.2999999999999972,-1.0,0.1210781431978262,-1.1210781431978265,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.1210781431978265
2025-01-10,SMCI,637,643,34.0216,33.36,35.3448,33.36,stop,0.6616,-1.0,0.0456507717860049,-1.045650771786005,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.045650771786005
2025-01-10,VFC,625,685,22.305,22.065,22.785,22.785,target,0.2399999999999984,2.0,0.0846078282828243,1.915392171717176,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,1.915392171717176
2025-01-10,UVXY,607,623,23.42,23.065,24.130000000000003,23.065,stop,0.3550000000000004,-1.0,0.0627400967747737,-1.0627400967747738,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-1.0627400967747738
2025-01-10,MEG,621,955,22.19,21.31,23.950000000000006,21.67,eod,0.8800000000000026,-0.5909090909090887,0.2906005928853759,-0.8815096837944647,TRAIN,H1,2025-01-04/2025-01-10,True,2025-01-10,-0.8815096837944647
2025-01-13,ACHC,615,697,46.69,46.125,47.81999999999999,46.125,stop,0.5649999999999977,-1.0,0.2417044247787588,-1.2417044247787588,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.2417044247787588
2025-01-13,ALGS,599,955,34.25,33.02,36.71,34.3,eod,1.2299999999999969,0.0406504065040628,0.2692764227642311,-0.2286260162601682,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-0.2286260162601682
2025-01-13,AMR,784,890,185.395,181.97,192.24500000000003,192.24500000000003,target,3.425000000000012,2.0,0.4833658394160563,1.5166341605839435,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,1.5166341605839435
2025-01-13,ASIX,593,955,28.57,28.17,29.37,29.03,eod,0.3999999999999986,1.150000000000006,0.7627285714285761,0.38727142857143,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,0.38727142857143
2025-01-13,ASND,619,774,134.71,132.37,139.39,132.03,stop,2.3400000000000034,-1.1452991452991466,0.9950205128205198,-2.140319658119666,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-2.140319658119666
2025-01-13,AVGX,584,955,30.755,29.94,32.38499999999999,30.33,eod,0.8149999999999977,-0.5214723926380391,0.1185607256278965,-0.6400331182659357,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-0.6400331182659357
2025-01-13,AVL,586,955,33.14,32.23,34.96000000000001,32.65,eod,0.9100000000000036,-0.5384615384615384,0.093786606799793,-0.6322481452613314,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-0.6322481452613314
2025-01-13,BBIO,640,687,30.59,29.95,31.87,31.87,target,0.6400000000000006,2.0,0.1464859262589923,1.853514073741008,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,1.853514073741008
2025-01-13,BRKR,670,691,63.9,62.28,67.13999999999999,62.28,stop,1.6199999999999974,-1.0,0.1964184424894109,-1.1964184424894109,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.1964184424894109
2025-01-13,DJT,601,633,37.51,36.5601,39.4098,39.4098,target,0.9498999999999996,2.0,0.0694440181735658,1.9305559818264344,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,1.9305559818264344
2025-01-13,HCC,780,955,52.775,52.11,54.105,53.6,eod,0.6649999999999991,1.2406015037594045,0.3872556390977454,0.8533458646616587,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,0.8533458646616587
2025-01-13,HIMS,591,599,26.065,25.65,26.895000000000007,25.65,stop,0.4150000000000027,-1.0,0.1668839944045827,-1.1668839944045828,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.1668839944045828
2025-01-13,JOE,675,821,46.04,45.3,47.52,45.3,stop,0.740000000000002,-1.0,0.3004405013709365,-1.3004405013709364,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.3004405013709364
2025-01-13,NBIS,827,915,33.9492,33.365,35.11759999999999,35.11759999999999,target,0.5841999999999956,2.0,0.0866042141694765,1.9133957858305235,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,1.9133957858305235
2025-01-13,TSLL,648,671,25.74,25.24,26.74,25.24,stop,0.5,-1.0,0.0405607915245108,-1.0405607915245108,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.0405607915245108
2025-01-13,U,644,677,21.77,21.51,22.29,21.51,stop,0.259999999999998,-1.0,0.1139175647881551,-1.1139175647881552,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.1139175647881552
2025-01-13,BITX,621,629,50.4,49.6556,51.8888,49.6556,stop,0.7443999999999988,-1.0,0.1074324721709696,-1.1074324721709696,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.1074324721709696
2025-01-13,BITU,623,628,48.2698,47.63,49.549399999999984,47.63,stop,0.6397999999999939,-1.0,0.0871841223837198,-1.0871841223837198,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.0871841223837198
2025-01-13,OILU,631,648,32.7,32.36,33.38000000000001,32.32,stop,0.3400000000000034,-1.1176470588235257,0.1396377748543492,-1.2572848336778748,TRAIN,H1,2025-01-11/2025-01-17,True,2025-01-13,-1.2572848336778748
