day,symbol,entry_m,exit_m,exit_price,why,split,half,wk,net_R,cost_R,b0_net_R,date,pnl_R
2025-01-10,BG,727,758,81.25,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.5201534155933318,0.15050361014586439,-0.5512755945816636,2025-01-10,-0.5201534155933318
2025-01-10,BLBD,593,627,41.56,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.8388465483234699,0.9414106508875802,-0.9798439842209062,2025-01-10,-0.8388465483234699
2025-01-10,FTAI,622,835,181.38000000000005,target,TRAIN,H1,2025-01-04/2025-01-10,1.6726716475095817,0.32732835249041814,1.6726716475095815,2025-01-10,1.6726716475095817
2025-01-10,IONQ,788,795,33.36,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0882164351777261,0.0882164351777261,-1.088216435177726,2025-01-10,-1.0882164351777261
2025-01-10,IRTC,788,839,97.27499999999998,target,TRAIN,H1,2025-01-04/2025-01-10,1.5680872913992225,0.43191270860077696,1.568087291399223,2025-01-10,1.5680872913992225
2025-01-10,FBL,790,845,37.4,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.09592851683995604,0.11743389318403763,-1.1172295921087687,2025-01-10,-0.09592851683995604
2025-01-10,METU,791,846,37.735,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.17901007058494411,0.11803446082884952,-1.117846655950801,2025-01-10,-0.17901007058494411
2025-01-10,MSTZ,612,621,19.5129,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0598898040944051,0.059889804094404836,-1.059889804094405,2025-01-10,-1.0598898040944051
2025-01-10,OS,679,711,27.66,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.10804478764478581,0.32426100386100853,1.6753822393822349,2025-01-10,-0.10804478764478581
2025-01-10,PSMT,580,955,89.94,eod,TRAIN,H1,2025-01-04/2025-01-10,0.336054320987658,0.8491308641975354,0.336054320987658,2025-01-10,0.336054320987658
2025-01-10,QMCO,635,651,32.2,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.3655930217248227,0.3655930217248224,-1.3655930217248222,2025-01-10,-1.3655930217248227
2025-01-10,SMCX,631,661,44.35,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.1210781431978263,0.1210781431978262,-1.1210781431978265,2025-01-10,-1.1210781431978263
2025-01-10,SMCI,637,643,33.36,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.045650771786005,0.04565077178600499,-1.045650771786005,2025-01-10,-1.045650771786005
2025-01-10,VFC,625,685,22.784999999999997,target,TRAIN,H1,2025-01-04/2025-01-10,1.9153921717171762,0.08460782828282432,1.915392171717176,2025-01-10,1.9153921717171762
2025-01-10,UVXY,607,623,23.065,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0627400967747738,0.06274009677477373,-1.0627400967747738,2025-01-10,-1.0627400967747738
2025-01-10,MEG,621,652,22.16,time_stop,TRAIN,H1,2025-01-04/2025-01-10,-0.32480286561264987,0.2907119565217396,-0.8815096837944647,2025-01-10,-0.32480286561264987
2025-01-13,ACHC,615,646,46.64,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.33038230088494885,0.2418867256637146,-1.2417044247787588,2025-01-13,-0.33038230088494885
2025-01-13,ALGS,599,633,33.945,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.5171861788617924,0.2692186991869953,-0.2286260162601682,2025-01-13,-0.5171861788617924
2025-01-13,AMR,784,890,192.24500000000003,target,TRAIN,H1,2025-01-11/2025-01-17,1.5166341605839435,0.48336583941605626,1.5166341605839435,2025-01-13,1.5166341605839435
2025-01-13,ASIX,593,628,28.64,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.5875335714285748,0.762533571428576,0.38727142857143,2025-01-13,-0.5875335714285748
2025-01-13,ASND,619,650,134.7,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.9995222222222375,0.995248717948725,-2.140319658119666,2025-01-13,-0.9995222222222375
2025-01-13,AVGX,584,615,30.57,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.3456134863640919,0.118619621333418,-0.6400331182659357,2025-01-13,-0.3456134863640919
2025-01-13,AVL,586,617,32.8,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.467445947459136,0.09381957383276007,-0.6322481452613314,2025-01-13,-0.467445947459136
2025-01-13,BBIO,640,687,31.87,target,TRAIN,H1,2025-01-11/2025-01-17,1.8535140737410076,0.14648592625899237,1.853514073741008,2025-01-13,1.8535140737410076
2025-01-13,BRKR,670,691,62.28,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.1964184424894109,0.19641844248941093,-1.1964184424894109,2025-01-13,-1.1964184424894109
2025-01-13,DJT,601,633,39.4098,target,TRAIN,H1,2025-01-11/2025-01-17,1.930555981826434,0.06944401817356588,1.9305559818264344,2025-01-13,1.930555981826434
2025-01-13,HCC,780,841,52.93,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.15397142857142768,0.387054135338347,0.8533458646616587,2025-01-13,-0.15397142857142768
2025-01-13,HIMS,591,599,25.65,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.1668839944045828,0.16688399440458276,-1.1668839944045828,2025-01-13,-1.1668839944045828
2025-01-13,JOE,675,706,45.61,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.8816053662357994,0.3005242851547203,-1.3004405013709364,2025-01-13,-0.8816053662357994
2025-01-13,NBIS,827,859,34.04,time_stop,TRAIN,H1,2025-01-11/2025-01-17,0.06919092448167416,0.0862352994142557,1.9133957858305235,2025-01-13,0.06919092448167416
2025-01-13,TSLL,648,671,25.24,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.0405607915245108,0.0405607915245108,-1.0405607915245108,2025-01-13,-1.0405607915245108
2025-01-13,U,644,675,21.6,time_stop,TRAIN,H1,2025-01-11/2025-01-17,-0.7678329494035376,0.11398679555738588,-1.1139175647881552,2025-01-13,-0.7678329494035376
2025-01-13,BITX,621,629,49.6556,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.1074324721709696,0.10743247217096968,-1.1074324721709696,2025-01-13,-1.1074324721709696
2025-01-13,BITU,623,628,47.63,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.0871841223837198,0.0871841223837198,-1.0871841223837198,2025-01-13,-1.0871841223837198
