day,symbol,min_open,min_high,min_low,min_close,nbars,store,first_m,d_open,d_high,d_low,d_close,d_vol,prev_close,prev_date,src,ratio_open,ratio_close
2025-01-02,RAIL,9.18,9.6,9.11,9.51,206,cache,570,9.18,9.6,9.11,9.54,218730,,,sample,1.0,1.003154574132492
2025-01-02,OLMA,5.92,6.08,5.425,5.48,291,cache,570,5.92,6.08,5.425,5.57,905227,,,sample,1.0,1.0164233576642336
2025-01-02,BKYI,1.67,1.73,1.29,1.4,182,cache,570,1.67,1.73,1.29,1.39,452832,,,sample,1.0,0.9928571428571429
2025-01-02,BSBR,3.78,4.01,3.75,3.98,238,sip,570,3.78,4.01,3.75,3.99,1373282,,,sample,1.0,1.0025125628140703
2025-01-02,SYNA,79.76,83.6014,79.1,82.63,345,sip,570,79.88,83.6014,79.1,82.48,864363,,,sample,1.0015045135406218,0.9981846786881279
2025-01-02,MNPR,22.0,23.0,21.808,22.64,33,cache,570,22.0,23.0,21.808,22.22,18450,,,sample,1.0,0.9814487632508834
2025-01-02,CCCC,3.59,3.88,3.56,3.669,308,sip,570,3.59,3.88,3.56,3.66,1957185,,,sample,1.0,0.9975470155355683
2025-01-02,VHI,23.44,24.28,22.08,22.08,29,sip,570,23.44,24.28,22.08,22.19,24478,,,sample,1.0,1.0049818840579712
2025-01-02,TARA,5.27,5.71,5.24,5.5898,251,cache,570,5.27,5.71,5.24,5.58,347933,,,sample,1.0,0.9982468066836022
2025-01-02,SLSR,3.05,3.24,3.05,3.215,74,sip,570,3.05,3.24,3.05,3.215,159327,,,sample,1.0,1.0
2025-01-02,APLS,32.32,33.5,31.87,33.18,352,sip,570,32.32,33.5,31.87,33.16,1219736,,,sample,1.0,0.9993972272453284
2025-01-02,EGAN,6.32,6.5699,6.1001,6.2,87,sip,570,6.32,6.5699,6.1001,6.14,155562,,,sample,1.0,0.9903225806451612
2025-01-02,DDD,3.36,3.4,3.09,3.115,328,cache,570,3.36,3.4,3.09,3.2,2639021,,,sample,1.0,1.0272873194221508
2025-01-02,DPST,112.7,114.2171,104.9101,105.91,304,sip,570,112.7,114.2171,104.9101,106.05,698968,,,sample,1.0,1.0013218770654329
2025-01-02,SKYH,12.02,12.092,11.36,11.41,83,sip,570,12.02,12.092,11.36,11.36,69205,,,sample,1.0,0.9956178790534618
2025-01-02,IMNM,10.72,11.16,10.47,10.53,283,sip,570,10.72,11.16,10.47,10.53,579424,,,sample,1.0,1.0
2025-01-02,ACDC,7.96,8.51,7.8851,8.27,260,sip,570,7.96,8.51,7.8851,8.27,512399,,,sample,1.0,1.0
2025-01-02,PETZ,1.24,1.2958,1.22,1.241,12,cache,570,1.24,1.2958,1.22,1.241,6066,,,sample,1.0,1.0
2025-01-02,AVR,5.46,5.6,5.25,5.56,87,sip,570,5.46,5.6,5.25,5.55,65090,,,sample,1.0,0.9982014388489209
2025-01-02,GNSS,2.62,2.77,2.58,2.738,99,sip,570,2.62,2.77,2.58,2.72,125657,,,sample,1.0,0.9934258582907233
2025-01-02,JCSE,1.35,1.4,1.31,1.33,23,cache,570,1.35,1.4,1.31,1.33,17580,,,sample,1.0,1.0
2025-01-02,ARVN,19.54,20.11,18.745,18.93,302,cache,570,19.54,20.11,18.745,18.89,670319,,,sample,1.0,0.9978869519281565
2025-01-02,CYCCP,7.47,8.55,7.4,8.34,28,sip,605,7.47,8.55,7.4,8.34,22181,,,sample,1.0,1.0
2025-01-02,CUBI,49.16,49.765,47.35,47.44,174,sip,570,49.16,49.765,47.35,47.44,241152,,,sample,1.0,1.0
2025-01-02,OMER,9.85,10.23,9.52,9.81,318,cache,570,9.85,10.23,9.52,9.84,609851,,,sample,1.0,1.003058103975535
2025-01-02,REPL,12.38,13.56,12.17,12.66,289,cache,570,12.38,13.56,12.17,12.56,1157051,,,sample,1.0,0.9921011058451817
2025-01-02,SVRE,1.02,1.05,0.9404,1.0457,133,cache,570,1.02,1.05,0.9404,1.03,564519,,,sample,1.0,0.9849861336903509
2025-01-02,LPTH,3.61,4.0899,3.61,3.74,236,cache,570,3.61,4.0899,3.61,3.79,802974,,,sample,1.0,1.0133689839572193
2025-01-02,ALEC,1.89,2.065,1.845,1.92,292,cache,570,1.89,2.065,1.845,1.89,1078619,,,sample,1.0,0.984375
2025-01-02,MGLD,1.8,1.99,1.62,1.81,62,cache,571,1.8,1.99,1.62,1.81,76262,,,sample,1.0,1.0
2025-01-02,PSNY,1.08,1.12,1.04,1.09,363,cache,570,1.08,1.12,1.04,1.1,3538034,,,sample,1.0,1.0091743119266054
2025-01-02,PMCB,1.57,1.75,1.5,1.6401,18,cache,570,1.57,1.75,1.5,1.6401,44490,,,sample,1.0,1.0
2025-01-02,QUIK,11.43,13.08,11.42,11.785,249,cache,570,11.43,13.08,11.42,11.98,647856,,,sample,1.0,1.0165464573610523
2025-01-02,ACHV,3.55,3.76,3.55,3.7,129,sip,570,3.55,3.76,3.55,3.69,160708,,,sample,1.0,0.9972972972972972
2025-01-02,CTXR,3.95,4.51,3.7,3.89,143,cache,570,3.95,4.51,3.7,3.88,234276,,,sample,1.0,0.9974293059125964
2025-01-02,BCDA,2.21,2.33,2.2,2.26,23,sip,578,2.21,2.33,2.2,2.26,18556,,,sample,1.0,1.0
