day,symbol,em,net,why,split,i,entry,stop,r_pct,hmax_before,hmax_incl,ei_l,ei_o,ei_h,nxt_o,crossed_before,fill_below_bar_low,target_already_exceeded,target_exceeded_before
2025-01-15,CORZW,572,1.495167613952874,eod,TRAIN,1,8.10424,7.729999974008001,4.61783,9.05,9.05,8.39,8.44,8.44,8.36,1,1,1,1
2025-01-15,CVGW,572,-1.0412050333255425,stop,TRAIN,2,24.23248,22.51000001487664,7.1081457,24.22,24.45,24.12,24.357,24.45,23.41,0,0,0,0
2025-01-15,DOGZ,585,0.0441262940076444,eod,TRAIN,14,44.00161,41.499999931162655,5.6852694,44.0,44.5,43.7,43.7,44.5,44.04,0,0,0,0
2025-01-16,JUNS,572,-1.1965666623608622,stop,TRAIN,1,5.4162,4.979999996046,8.053617,5.39,5.5,5.405,5.5,5.5,5.45,0,0,0,0
2025-01-16,CNXC,573,-1.0849217895790852,stop,TRAIN,3,47.61241,45.95000004134284,3.4915476,47.44,48.39,47.0757,47.3124,48.39,47.8964,0,0,0,0
2025-01-16,DOGZ,573,-0.1230696298035327,eod,TRAIN,2,44.45296,39.4000000383328,11.366982,44.32,45.25,44.95,44.95,45.25,45.4,0,1,0,0
2025-01-16,BCAX,575,-1.2438744874584735,stop,TRAIN,5,12.95876,12.80000000233328,1.2251172,13.45,13.45,12.82,13.1,13.13,12.87,1,0,1,1
2025-01-17,ATRA,572,-1.0393785220900726,stop,TRAIN,2,7.85349,7.27000000740504,7.4296904,7.75,7.89,7.56,7.5997,7.89,7.86,0,0,0,0
2025-01-17,QBTS,573,-1.0523924663022457,stop,TRAIN,3,5.82743,5.499999994840399,5.618772,5.81,5.8668,5.75,5.805,5.8668,5.764,0,0,0,0
2025-01-17,MESO,575,0.6956787579992669,eod,TRAIN,3,16.72001,15.9199999903254,4.784746,16.575,16.93,16.67,16.69,16.93,16.9,0,0,0,0
2025-01-17,TRAW,580,-1.0561043849960303,stop,TRAIN,3,6.86052,6.50009999538396,5.2535377,6.855,7.1283,6.895,7.1283,7.1283,6.9,0,1,0,0
2025-01-21,QURE,571,-1.2445791304102785,stop,TRAIN,1,14.09215,13.919999999664851,1.2216021,14.22,14.65,14.285,14.32,14.65,14.48,1,1,1,0
2025-01-21,TSLQ,571,2.0,target,TRAIN,1,22.61765,21.8900000305536,3.2171776,22.56,23.06,22.435,22.45,23.06,23.085,0,0,0,0
2025-01-21,BTSG,572,2.0,target,TRAIN,2,18.60565,17.561999925533,5.609318,18.6,18.95,18.59,18.6,18.95,18.94,0,0,0,0
2025-01-21,SMWB,572,-0.1307213588495963,eod,TRAIN,2,15.68692,14.1700000126836,9.669967,15.61,15.74,15.005,15.05,15.74,15.41,0,0,0,0
2025-01-22,APLD,571,-1.219811828159003,stop,TRAIN,1,9.43823,9.309999998674181,1.3586234,9.69,9.85,9.5624,9.57,9.85,9.75,1,1,1,0
2025-01-22,BTDR,571,-1.1882775909412795,stop,TRAIN,1,21.77513,21.43000000345971,1.5849733,22.14,22.53,21.96,22.14,22.53,21.94,1,1,1,0
2025-01-22,ENGN,571,-1.1880967600564316,stop,TRAIN,1,6.99091,6.880000002822831,1.5864887,6.88,7.21,6.78,6.81,7.21,6.905,0,0,0,0
2025-01-22,GLUE,571,2.0,target,TRAIN,1,5.70707,5.62999999747779,1.3504303,5.75,5.94,5.78,5.78,5.94,5.875,1,1,1,0
2025-01-23,TIL,571,2.0,target,TRAIN,1,19.77916,19.0299999866332,3.787623,20.11,20.11,20.0,20.0,20.0,20.0,1,1,0,0
2025-01-23,BTCT,572,2.0,target,TRAIN,2,6.17848,5.799999988176241,6.1257787,5.9999,6.23,5.98,5.98,6.23,6.1553,0,0,0,0
2025-01-23,CFB,572,0.1226031881027634,eod,TRAIN,1,15.02494,14.2500000218646,5.157691,15.08,15.08,15.05,15.05,15.05,15.06,1,1,0,0
2025-01-23,NNE,572,2.0,target,TRAIN,2,36.55935,35.4000000004425,3.171145,36.45,37.49,36.3801,36.44,37.49,37.41,0,0,0,0
2025-01-24,LFMD,571,-0.4106366779433377,eod,TRAIN,1,5.17548,5.059000000185,2.2506125,5.23,5.41,5.228,5.23,5.41,5.39,1,1,1,0
2025-01-24,SOUNW,571,-0.4597573316402942,eod,TRAIN,1,9.59871,9.1899999997872,4.257968,9.2182,10.23,9.61,9.61,10.23,9.96,0,1,0,0
2025-01-24,YSXT,571,2.0,target,TRAIN,1,5.568656,5.4100000010442235,2.8490896,5.41,5.775,5.5,5.5,5.775,5.83,0,0,0,0
2025-01-24,COEP,576,2.0,target,TRAIN,2,9.76922,9.519999988115641,2.5510738,9.64,10.2692,10.2692,10.2692,10.2692,9.705,0,1,1,0
2025-01-27,EVAX,571,2.0,target,TRAIN,1,6.04809,5.620000020748201,7.078102,6.03,6.76,6.01,6.01,6.76,6.73,0,0,0,0
2025-01-27,TRML,572,-0.7137405868295804,eod,TRAIN,2,17.59262,16.68499996843314,5.1590953,17.59,17.75,17.025,17.75,17.75,17.21,0,0,0,0
2025-01-27,SLN,574,-1.1108032810951052,stop,TRAIN,2,5.70707,5.406500001784219,5.2666254,5.64,5.84,5.84,5.84,5.84,5.795,0,1,0,0
2025-01-27,COEP,575,2.0,target,TRAIN,3,11.94573,11.189999996114699,6.326361,11.94,12.0,11.85,11.85,12.0,11.885,0,0,0,0
2025-01-28,CCB,572,0.3499066742383996,eod,TRAIN,2,84.39242,78.4800001406428,7.005866,84.75,84.84,83.76,84.6,84.84,84.82,1,0,0,0
2025-01-28,FPH,573,-1.1037575521501133,stop,TRAIN,3,6.23866,6.0599999999304,2.863756,6.205,6.37,6.2,6.2395,6.37,6.33,0,0,0,0
2025-01-28,WSFS,573,0.4711605706881533,eod,TRAIN,1,54.95437,53.689999968339414,2.3007634,56.54,56.54,55.795,55.795,55.795,56.16,1,1,0,0
2025-01-28,BDMD,574,-0.0549151014573318,eod,TRAIN,3,7.19151,6.71999998447086,6.5564814,7.4573,7.4573,7.3067,7.3067,7.3067,6.9,1,1,0,0
2025-01-29,BNGO,571,2.0,target,TRAIN,1,5.08521,5.02630000336425,1.1584575,5.06,5.28,5.08,5.08,5.28,5.185,0,0,1,0
2025-01-29,GRAL,571,2.0,target,TRAIN,1,27.12112,26.52969998794336,2.1806622,27.45,27.9699,27.48,27.5,27.9699,27.5852,1,1,0,0
2025-01-29,NTCL,571,2.0,target,TRAIN,1,8.43523,8.209999995894702,2.670111,8.21,9.03,9.03,9.03,9.03,8.45,0,1,1,0
2025-01-29,CFB,574,0.382306635653993,eod,TRAIN,1,15.63677,14.6900000101741,6.054767,15.67,15.83,15.61,15.61,15.83,15.665,1,0,0,0
2025-01-30,API,572,1.084475958578276,eod,TRAIN,2,5.79734,5.55200000902262,4.2319407,5.75,5.86,5.76,5.78,5.86,5.84,0,0,0,0
2025-01-30,DXF,572,-1.1039366416182286,stop,TRAIN,2,23.03891,20.380099983668,11.54052,22.64,23.36,21.4779,21.4779,23.36,20.17,0,0,0,0
2025-01-30,MBLY,574,0.1026000406793998,eod,TRAIN,4,16.05803,14.50000004070075,9.7024975,15.93,16.27,15.88,15.89,16.27,16.07,0,0,0,0
2025-01-30,BRKL,575,0.3015246802202018,eod,TRAIN,2,12.08615,11.5399999660465,4.518809,12.05,12.19,12.18,12.18,12.19,12.095,0,1,0,0
2025-01-31,NEUP,571,-1.1279605003011832,stop,TRAIN,1,5.42623,5.30000000219856,2.3262928,5.3,5.64,5.5,5.5,5.64,5.512,0,1,0,0
2025-01-31,JL,572,-1.0445473241400691,stop,TRAIN,2,5.56665,5.1999999814245,6.586547,5.41,5.6283,5.6283,5.6283,5.6283,5.3562,0,1,0,0
2025-01-31,PDYN,576,-0.0627097749557808,eod,TRAIN,6,8.47535,8.0400000019365,5.136661,8.4,8.49,8.395,8.4,8.49,8.487,0,0,0,0
2025-01-31,CMPR,580,-1.0616354486694357,stop,TRAIN,2,70.37048,67.0000000084144,4.789622,69.94,70.785,69.59,69.59,70.785,70.675,0,0,0,0
2025-02-03,AVBP,571,-1.0334801434301302,stop,TRAIN,1,28.62562,26.1350001271146,8.700667,27.76,28.89,26.14,26.14,28.89,26.14,0,0,0,0
2025-02-03,ZSPC,572,2.0,target,TRAIN,2,17.70295,16.795000038223,5.128806,17.56,17.91,17.31,17.31,17.91,17.77,0,0,0,0
2025-02-03,ZBIO,573,-1.0671584619560015,stop,TRAIN,3,8.04406,7.6899999751346,4.401509,7.84,8.1108,7.84,7.84,8.1108,8.02,0,0,0,0
2025-02-03,BCAX,574,-1.18901792150548,stop,TRAIN,2,12.65786,12.090000046793598,4.486224,12.94,13.6,12.78,12.78,13.6,12.843,1,1,0,0
2025-02-04,SLAB,571,2.0,target,TRAIN,1,135.19437,131.73999999530693,2.5551138,137.81,140.0,137.99,138.0,140.0,140.99,1,1,0,0
2025-02-04,DWTX,572,-1.0580521723286629,stop,TRAIN,1,14.22254,13.4999999805516,5.080246,13.9,14.246,14.246,14.246,14.246,14.25,0,1,0,0
2025-02-04,TDG,572,-0.5076693538985184,eod,TRAIN,2,1356.8384,1253.460054632576,7.619061,1345.0,1362.16,1343.77,1343.77,1362.16,1352.62,0,0,0,0
2025-02-04,EPD,576,-0.2359486936298346,eod,TRAIN,6,33.22939,31.551699905565403,5.048814,33.21,33.24,32.98,33.21,33.24,33.065,0,0,0,0
2025-02-05,DWTX,571,-1.0756869993141482,stop,TRAIN,1,13.00891,12.49999999681099,3.9120111,12.5,13.14,12.5001,12.5001,13.14,12.99,0,0,0,0
