symbol,ts,open,high,low,close,volume,trade_count,vwap
BA,2026-09-15 17:57:00+00:00,210.52,210.52,210.51,210.51,2277.0,81.0,210.514149
AIPI,2026-09-15 17:57:00+00:00,36.63,36.63,36.63,36.63,141.0,2.0,36.63
AMBA,2026-09-15 17:57:00+00:00,65.515,65.57,65.515,65.56,956.0,41.0,65.5375
AOS,2026-09-15 17:57:00+00:00,57.11,57.11,57.11,57.11,741.0,39.0,57.11
APO,2026-09-15 17:57:00+00:00,127.51,127.51,127.455,127.48,1994.0,34.0,127.464302
ARM,2026-09-15 17:57:00+00:00,243.325,243.393,243.315,243.393,1780.0,78.0,243.348443
ARXS,2026-09-15 17:57:00+00:00,49.095,49.15,49.095,49.1,583.0,15.0,49.115
AVLV,2026-09-15 17:57:00+00:00,93.1699,93.1699,93.15,93.15,12009.0,8.0,93.157261
ADSK,2026-09-15 17:57:00+00:00,228.33,228.44,228.285,228.285,2960.0,84.0,228.343862
AEE,2026-09-15 17:57:00+00:00,103.06,103.06,103.02,103.045,1148.0,46.0,103.033636
APH,2026-09-15 17:57:00+00:00,77.725,77.75,77.72,77.75,4685.0,112.0,77.733329
BAC,2026-09-15 17:57:00+00:00,59.585,59.585,59.5422,59.5422,69795.0,601.0,59.55995
B,2026-09-15 17:57:00+00:00,42.505,42.515,42.505,42.515,4851.0,95.0,42.510038
AAON,2026-09-15 17:57:00+00:00,74.74,74.74,74.68,74.68,2664.0,54.0,74.703098
AIR,2026-09-15 17:57:00+00:00,116.44,116.5375,116.4,116.43,1052.0,34.0,116.4585
ANF,2026-09-15 17:57:00+00:00,137.54,137.54,137.46,137.47,1661.0,57.0,137.492432
ARES,2026-09-15 17:57:00+00:00,128.975,129.05,128.975,129.0225,805.0,34.0,129.015833
ARKK,2026-09-15 17:57:00+00:00,83.81,83.82,83.8,83.82,2685.0,52.0,83.810848
ASGI,2026-09-15 17:57:00+00:00,20.535,20.535,20.49,20.49,494.0,5.0,20.499184
AS,2026-09-15 17:57:00+00:00,26.7,26.71,26.675,26.69,110429.0,590.0,26.694486
AYI,2026-09-15 17:57:00+00:00,299.62,299.94,299.515,299.83,666.0,29.0,299.677793
AMH,2026-09-15 17:57:00+00:00,31.67,31.675,31.67,31.675,1195.0,34.0,31.67375
ANET,2026-09-15 17:57:00+00:00,192.07,192.11,192.06,192.11,1993.0,105.0,192.088889
ARQT,2026-09-15 17:57:00+00:00,23.41,23.42,23.4,23.42,7184.0,100.0,23.404896
ARTY,2026-09-15 17:57:00+00:00,72.12,72.12,72.11,72.11,1504.0,8.0,72.114084
AXP,2026-09-15 17:57:00+00:00,324.74,324.78,324.7,324.78,633.0,55.0,324.745644
AZO,2026-09-15 17:57:00+00:00,2888.05,2889.462,2888.05,2889.19,732.0,42.0,2889.145734
ADI,2026-09-15 17:57:00+00:00,362.265,362.4,362.22,362.31,1661.0,63.0,362.324461
AMKR,2026-09-15 17:57:00+00:00,45.9899,45.99,45.955,45.9675,3545.0,74.0,45.973258
AVIG,2026-09-15 17:57:00+00:00,39.94,39.94,39.94,39.94,12279.0,2.0,39.94
ALLE,2026-09-15 17:57:00+00:00,154.32,154.32,154.32,154.32,386.0,21.0,154.32
AMDY,2026-09-15 17:57:00+00:00,44.55,44.55,44.53,44.53,351.0,8.0,44.543333
AMSC,2026-09-15 17:57:00+00:00,27.775,27.775,27.7501,27.7501,334.0,10.0,27.761418
AM,2026-09-15 17:57:00+00:00,21.31,21.31,21.3,21.3,1945.0,42.0,21.306646
AON,2026-09-15 17:57:00+00:00,308.74,308.74,308.74,308.74,238.0,23.0,308.74
AORT,2026-09-15 17:57:00+00:00,25.45,25.495,25.45,25.49,2839.0,60.0,25.478403
ASX,2026-09-15 17:57:00+00:00,37.05,37.05,37.05,37.05,1757.0,49.0,37.05
BALL,2026-09-15 17:57:00+00:00,60.92,60.92,60.905,60.92,898.0,42.0,60.915
AMT,2026-09-15 17:57:00+00:00,177.165,177.245,177.165,177.225,4061.0,110.0,177.1998
ASTS,2026-09-15 17:57:00+00:00,59.3385,59.3405,59.3301,59.3301,2286.0,60.0,59.338681
ATKR,2026-09-15 17:57:00+00:00,94.595,94.595,94.595,94.595,188.0,5.0,94.595
BAC.PRM,2026-09-15 17:57:00+00:00,19.37,19.37,19.34,19.36,2208.0,37.0,19.362857
ALH,2026-09-15 17:57:00+00:00,21.21,21.21,21.2,21.21,1678.0,45.0,21.207143
ASND,2026-09-15 17:57:00+00:00,233.3,233.7564,233.22,233.22,8197.0,161.0,233.391689
AVL,2026-09-15 17:57:00+00:00,33.58,33.58,33.579,33.58,2853.0,18.0,33.579643
BAH,2026-09-15 17:57:00+00:00,80.395,80.4,80.35,80.35,2439.0,67.0,80.374819
ACYS,2026-09-15 17:57:00+00:00,20.46,20.46,20.46,20.46,891.0,3.0,20.46
AEIS,2026-09-15 17:57:00+00:00,246.62,246.98,246.62,246.84,2781.0,86.0,246.839242
AGL,2026-09-15 17:57:00+00:00,90.4,90.4,90.395,90.395,486.0,12.0,90.398333
AMCR,2026-09-15 17:57:00+00:00,42.55,42.55,42.54,42.545,2308.0,64.0,42.545931
ARKG,2026-09-15 17:57:00+00:00,47.57,47.61,47.57,47.61,5177.0,71.0,47.590823
AROC,2026-09-15 17:57:00+00:00,30.13,30.13,30.12,30.12,1380.0,33.0,30.1275
ASML,2026-09-15 17:57:00+00:00,1592.12,1592.5599,1591.63,1592.5599,2905.0,170.0,1592.202124
AIPO,2026-09-15 17:57:00+00:00,27.27,27.28,27.27,27.28,419.0,5.0,27.274987
ADNT,2026-09-15 17:57:00+00:00,18.631,18.65,18.631,18.65,524.0,17.0,18.640333
AIG,2026-09-15 17:57:00+00:00,75.52,75.55,75.52,75.55,2394.0,75.0,75.532083
ALK,2026-09-15 17:57:00+00:00,39.99,40.015,39.99,39.995,13406.0,78.0,39.996239
ALNY,2026-09-15 17:57:00+00:00,241.44,241.79,241.44,241.79,2618.0,93.0,241.589825
AMGN,2026-09-15 17:57:00+00:00,378.05,378.24,378.05,378.1923,4550.0,126.0,378.180325
AOSL,2026-09-15 17:57:00+00:00,24.545,24.545,24.545,24.545,542.0,19.0,24.545
ARMK,2026-09-15 17:57:00+00:00,58.37,58.37,58.36,58.36,3728.0,62.0,58.361898
AIRR,2026-09-15 17:57:00+00:00,105.2999,105.2999,105.285,105.285,317.0,11.0,105.29245
ALSN,2026-09-15 17:57:00+00:00,123.625,123.625,123.625,123.625,375.0,18.0,123.625
AMRC,2026-09-15 17:57:00+00:00,22.595,22.62,22.595,22.61,1687.0,58.0,22.610278
ASTE,2026-09-15 17:57:00+00:00,40.95,40.95,40.95,40.95,1442.0,23.0,40.95
ATEX,2026-09-15 17:57:00+00:00,76.355,76.355,76.355,76.355,298.0,27.0,76.355
ATHM,2026-09-15 17:57:00+00:00,21.53,21.54,21.515,21.54,969.0,23.0,21.524814
AU,2026-09-15 17:57:00+00:00,100.1801,100.27,100.18,100.245,3517.0,28.0,100.198945
AVLN,2026-09-15 17:57:00+00:00,33.715,33.715,33.715,33.715,243.0,10.0,33.715
ABVX,2026-09-15 17:57:00+00:00,107.24,107.28,107.19,107.24,1364.0,29.0,107.241
AG,2026-09-15 17:57:00+00:00,18.5801,18.595,18.58,18.5801,19909.0,97.0,18.583628
APD,2026-09-15 17:57:00+00:00,288.73,288.74,288.7,288.7,793.0,55.0,288.714925
BABA,2026-09-15 17:57:00+00:00,109.995,109.995,109.96,109.97,13038.0,144.0,109.974914
ANGL,2026-09-15 17:57:00+00:00,28.43,28.43,28.43,28.43,808.0,7.0,28.43
AAPU,2026-09-15 17:57:00+00:00,43.93,43.93,43.93,43.93,460.0,2.0,43.93
AGI,2026-09-15 17:57:00+00:00,35.145,35.145,35.145,35.145,1699.0,21.0,35.145
AJG,2026-09-15 17:57:00+00:00,252.585,252.585,252.585,252.585,247.0,34.0,252.585
AKAM,2026-09-15 17:57:00+00:00,105.59,105.66,105.59,105.66,2967.0,93.0,105.626078
AKR,2026-09-15 17:57:00+00:00,19.725,19.73,19.725,19.725,932.0,19.0,19.726455
ALKS,2026-09-15 17:57:00+00:00,45.17,45.18,45.17,45.17,1936.0,39.0,45.171606
ALKT,2026-09-15 17:57:00+00:00,19.76,19.76,19.75,19.75,1035.0,31.0,19.757308
AAOI,2026-09-15 17:57:00+00:00,95.98,95.98,95.95,95.96,2694.0,81.0,95.967313
AAPL,2026-09-15 17:57:00+00:00,330.42,330.52,330.395,330.475,25992.0,787.0,330.464506
AER,2026-09-15 17:57:00+00:00,138.18,138.19,138.15,138.17,2190.0,45.0,138.169834
ALL.PRH,2026-09-15 17:57:00+00:00,18.105,18.11,18.0983,18.0983,1000.0,6.0,18.105825
ARKX,2026-09-15 17:57:00+00:00,31.58,31.58,31.58,31.58,216.0,4.0,31.58
AVDE,2026-09-15 17:57:00+00:00,91.825,91.8266,91.815,91.815,5444.0,15.0,91.82524
AVUS,2026-09-15 17:57:00+00:00,128.42,128.42,128.41,128.41,2442.0,6.0,128.414322
AWK,2026-09-15 17:57:00+00:00,139.08,139.12,139.08,139.1,1281.0,64.0,139.09
ALL,2026-09-15 17:57:00+00:00,256.08,256.08,255.87,256.04,18486.0,222.0,255.968623
ATEN,2026-09-15 17:57:00+00:00,26.555,26.555,26.55,26.55,771.0,25.0,26.551667
ACHC,2026-09-15 17:57:00+00:00,27.81,27.81,27.75,27.75,3457.0,79.0,27.783293
ACT,2026-09-15 17:57:00+00:00,48.52,48.615,48.52,48.615,5986.0,90.0,48.582484
ARWR,2026-09-15 17:57:00+00:00,73.0,73.0175,72.94,72.94,2508.0,82.0,72.964873
AVNT,2026-09-15 17:57:00+00:00,41.08,41.08,41.08,41.08,482.0,23.0,41.08
